Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling,SUPERVISOR__reason
ADAUSDT,Buy,44,0.8953,0.90174616,0.868441,Bullish,2025-09-14T17:47:22.343826+00:00,2025-09-14T23:17:22.343826+05:30,Inconclusive,600,,,5.04%,66.54968844428967,0.0018129919119044269,0.0011724496041112756,0.0006405423077931512,0.8959357053720952,0.8907299999999999,0.8855242946279046,0.9389414760675019,154.3410143360272,10.0,0.0,3.0,0.8911392892541077,0.0022015336159274795,0.8934453125,0.001276562499999856,0.1428808772221138,,19.971538786748884,,rising,15779085.0,8.0,15.982866523507145,15.0,0.0,0.0,5.0,0.9389414760675019,66.54968844428967,154.3410143360272,0.0006405423077931512,0.0022015336159274795,0.8934453125,,19.971538786748884,,0.0,3.0,rising,15779085.0,0.001276562499999856,0.1428808772221138,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
QUSDT,Buy,54,0.022585,0.02274761,0.02190745,Bullish,2025-09-14T17:47:24.743942+00:00,2025-09-14T23:17:24.743942+05:30,Fail,8,,8.0,5.04%,20.268445123236035,-0.0015360300401371374,-0.001172041785966152,-0.00036398825417098546,0.030274771547212392,0.026326499999999996,0.0223782284527876,0.026185071713011862,-155.01653081933927,10.0,0.0,3.0,0.02770120321341525,0.0010305641985358623,0.02351440625,-0.0004399531249999998,-1.870993978425459,,-46.43884421685296,,falling,-300499823.0,24.0,0.0,8.0,5.0,12.0,5.0,0.026185071713011862,20.268445123236035,-155.01653081933927,-0.00036398825417098546,0.0010305641985358623,0.02351440625,,-46.43884421685296,,0.0,3.0,falling,-300499823.0,-0.0004399531249999998,-1.870993978425459,5.039999999999983,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,,,-0.0004399531249999998,-1.870993978425459,,,,,,,,1.0,
HOLOUSDT,Buy,44,0.4305,0.4335996,0.417585,Bullish,2025-09-14T17:47:41.483733+00:00,2025-09-14T23:17:41.483733+05:30,Success,15,15.0,,5.04%,68.1025911157279,0.0015724037510358446,0.000978818470031114,0.0005935852810047305,0.4302901448823192,0.42584,0.4213898551176808,1.0235784590423744,167.09801579400957,10.0,0.0,3.0,0.42567560098381063,0.0021846811346442323,0.42836406250000003,0.0008015625000000193,0.18712178965760445,,21.09655936463666,,rising,3409062.0,8.0,15.520881477027746,15.0,0.0,0.0,5.0,1.0235784590423744,68.1025911157279,167.09801579400957,0.0005935852810047305,0.0021846811346442323,0.42836406250000003,,21.09655936463666,,0.0,3.0,rising,3409062.0,0.0008015625000000193,0.18712178965760445,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
PUMPBTCUSDT,Buy,54,0.10408,0.10482938,0.1009576,Bullish,2025-09-14T17:47:44.099418+00:00,2025-09-14T23:17:44.099418+05:30,Success,1,1.0,,5.04%,25.751482698936883,-0.003991480585679746,-0.003828715536522712,-0.0001627650491570344,0.11787042508054284,0.11036599999999999,0.10286157491945715,0.0811804413706481,-130.91078499883494,10.0,0.0,3.0,0.11666193281490028,0.002729378184120847,0.10511765624999998,-0.0007301562500000025,-0.694608571050596,,-44.50119714402845,,falling,-13622680.0,24.0,0.0,8.0,5.0,12.0,5.0,0.0811804413706481,25.751482698936883,-130.91078499883494,-0.0001627650491570344,0.002729378184120847,0.10511765624999998,,-44.50119714402845,,0.0,3.0,falling,-13622680.0,-0.0007301562500000025,-0.694608571050596,5.039999999999973,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,,,-0.0007301562500000025,-0.694608571050596,,,,,,,,1.0,
WIFUSDT,Buy,48,0.94,0.946768,0.9118,Bullish,2025-09-14T17:47:45.263806+00:00,2025-09-14T23:17:45.263806+05:30,Inconclusive,600,,,5.04%,71.10370066736772,0.003858716145616281,0.002011285228211347,0.0018474309174049339,0.940335501012223,0.92746,0.9145844989877769,0.9869713414684013,166.87886707319583,10.0,0.0,3.0,0.9287529867744456,0.003921337194422134,0.9339546875,0.002709375000000014,0.29009705034539096,,24.599946817996155,,rising,6389422.600000001,8.0,20.0,15.0,0.0,0.0,5.0,0.9869713414684013,71.10370066736772,166.87886707319583,0.0018474309174049339,0.003921337194422134,0.9339546875,,24.599946817996155,,0.0,3.0,rising,6389422.600000001,0.002709375000000014,0.29009705034539096,5.039999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
ARBUSDT,Buy,42,0.5166,0.52031952,0.501102,Bullish,2025-09-14T17:47:48.907558+00:00,2025-09-14T23:17:48.907558+05:30,Inconclusive,600,,,5.04%,64.04657849952483,0.001253357502099095,0.000911004183055475,0.0003423533190436201,0.5177005117817259,0.514115,0.510529488218274,0.8465335147781556,125.50607287449068,10.0,3.0,0.0,0.5143422870629946,0.0016123273057148013,0.5164796875,0.0006312499999999721,0.12222165077885512,,20.44237041388126,,rising,10407590.7,8.0,9.096037031639941,15.0,5.0,0.0,5.0,0.8465335147781556,64.04657849952483,125.50607287449068,0.0003423533190436201,0.0016123273057148013,0.5164796875,,20.44237041388126,,3.0,0.0,rising,10407590.7,0.0006312499999999721,0.12222165077885512,5.039999999999968,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.9}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
AAVEUSDT,Buy,48,307.65,309.86508,298.4205,Bullish,2025-09-14T17:47:50.069621+00:00,2025-09-14T23:17:50.069621+05:30,Inconclusive,600,,,5.04%,73.90541568653919,0.7812533611800632,0.4619433122650058,0.3193100489150574,307.56646689353704,305.2645,302.96253310646296,1.018143854869821,182.95146963515975,10.0,0.0,3.0,305.28592058407514,0.7179518543426772,306.41328124999995,0.5153124999999363,0.16817564104850186,,27.81975456089325,,rising,22620.1,8.0,19.67403214798806,15.0,0.0,0.0,5.0,1.018143854869821,73.90541568653919,182.95146963515975,0.3193100489150574,0.7179518543426772,306.41328124999995,,27.81975456089325,,0.0,3.0,rising,22620.1,0.5153124999999363,0.16817564104850186,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
1000SHIBUSDT,Buy,44,0.01376,0.01385907,0.0133472,Bullish,2025-09-14T17:47:51.440697+00:00,2025-09-14T23:17:51.440697+05:30,Inconclusive,600,,,5.04%,64.15868159844649,2.2097175136093564e-05,1.1315046354594207e-05,1.0782128781499356e-05,0.013764885606008389,0.013690249999999998,0.013615614393991607,0.9672702730661847,183.15252074026597,10.0,0.0,3.0,0.013705741231045981,3.828670207655508e-05,0.013723875,1.58125000000002e-05,0.115218915940288,,14.635120569928207,,rising,153305715.0,8.0,15.75877202059781,15.0,0.0,0.0,5.0,0.9672702730661847,64.15868159844649,183.15252074026597,1.0782128781499356e-05,3.828670207655508e-05,0.013723875,,14.635120569928207,,0.0,3.0,rising,153305715.0,1.58125000000002e-05,0.115218915940288,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
MUSDT,Buy,43,2.574,2.5925328,2.49678,Bullish,2025-09-14T17:47:52.606614+00:00,2025-09-14T23:17:52.606614+05:30,Success,198,198.0,,5.04%,53.995019744429456,0.004376058800879878,0.003027613997211411,0.0013484448036684676,2.5850104338059747,2.563795,2.542579566194025,0.7405088694704415,113.0952380952364,10.0,3.0,0.0,2.5561209802795766,0.023346793449999844,2.5649812499999998,0.0029156249999999773,0.11367042156740824,,5.282955343354312,,falling,-88468.0,8.0,5.386172167811911,15.0,10.0,0.0,5.0,0.7405088694704415,53.995019744429456,113.0952380952364,0.0013484448036684676,0.023346793449999844,2.5649812499999998,,5.282955343354312,,3.0,0.0,falling,-88468.0,0.0029156249999999773,0.11367042156740824,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.61}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
FILUSDT,Buy,41,2.526,2.5441872,2.45022,Bullish,2025-09-14T17:47:55.056762+00:00,2025-09-14T23:17:55.056762+05:30,Success,504,504.0,,5.04%,68.11767247351544,0.006675915202939642,0.005300549583970198,0.0013753656189694442,2.531431626982631,2.5130500000000002,2.4946683730173693,0.8522539112624861,112.17669282185304,10.0,3.0,0.0,2.512711006851906,0.007790540698392293,2.5258125000000002,0.0017031250000001386,0.06742879766412346,,26.80421024186944,,rising,837102.4999999998,8.0,8.237032592882619,15.0,5.0,0.0,5.0,0.8522539112624861,68.11767247351544,112.17669282185304,0.0013753656189694442,0.007790540698392293,2.5258125000000002,,26.80421024186944,,3.0,0.0,rising,837102.4999999998,0.0017031250000001386,0.06742879766412346,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.76}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
