Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
ETHUSDT,Buy,41,4372.02,4403.498544,4240.8594,Bullish,2025-09-10T16:46:41.558798+00:00,2025-09-10T22:16:41.558798+05:30,Inconclusive,600,,,5.04%,37.097075804820534,-8.49895196048692,-4.995311608162208,-3.5036403523247124,4426.323734068713,4392.6295,4358.935265931287,0.19416874177981747,-98.11114189300204,5.0,3.0,0.0,4386.178530365485,10.986083670015953,4365.6225,-4.903906249999636,-0.112330057168242,,-19.797629120180503,,falling,-231207.83599999998,18.0,0.0,8.0,10.0,0.0,5.0,0.19416874177981747,37.097075804820534,-98.11114189300204,-3.5036403523247124,10.986083670015953,4365.6225,,-19.797629120180503,,3.0,0.0,falling,-231207.83599999998,-4.903906249999636,-0.112330057168242,5.039999999999935,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
BAKEUSDT,Buy,59,0.1092,0.10998624,0.105924,Bullish,2025-09-10T16:46:45.869647+00:00,2025-09-10T22:16:45.869647+05:30,Fail,1,,1.0,5.04%,28.896994843743812,-0.008251143568364427,-0.006144053281886411,-0.0021070902864780165,0.15277830201310158,0.1296,0.1064216979868984,0.05993325161461694,-145.77137192099465,5.0,3.0,0.0,0.13548950882209934,0.007588584388981595,0.11526406249999999,-0.002653125000000006,-2.3017798804375875,,-35.20837744811632,,falling,-577813600.0,24.0,0.0,8.0,10.0,12.0,5.0,0.05993325161461694,28.896994843743812,-145.77137192099465,-0.0021070902864780165,0.007588584388981595,0.11526406249999999,,-35.20837744811632,,3.0,0.0,falling,-577813600.0,-0.002653125000000006,-2.3017798804375875,5.039999999999958,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,59,1.0,-0.002653125000000006,-2.3017798804375875,,,,,,,,,
AVAXUSDT,Buy,42,28.806,29.0134032,27.94182,Bullish,2025-09-10T16:46:50.224057+00:00,2025-09-10T22:16:50.224057+05:30,Success,9,9.0,,5.04%,62.074915343556064,0.08018893947167882,0.0870186838524841,-0.006829744380805275,28.874206537673558,28.644150000000003,28.41409346232645,0.8517613575269467,113.29974041837956,5.0,3.0,0.0,28.3197618030425,0.1637321199549108,28.573203125,0.018781250000003524,0.06573029253262457,,12.966775955390464,,rising,210971.0,8.0,9.0,15.0,5.0,0.0,5.0,0.8517613575269467,62.074915343556064,113.29974041837956,-0.006829744380805275,0.1637321199549108,28.573203125,,12.966775955390464,,3.0,0.0,rising,210971.0,0.018781250000003524,0.06573029253262457,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
AVNTUSDT,Buy,47,0.39529,0.39813609,0.3834313,Bullish,2025-09-10T16:46:51.963300+00:00,2025-09-10T22:16:51.963300+05:30,Fail,2,,2.0,5.04%,68.96433448814044,0.014008514699364094,0.010174439487333077,0.003834075212031017,0.3875257413795539,0.353524,0.3195222586204461,1.1141744261532864,218.8076333588449,5.0,3.0,0.0,0.33512125105058266,0.01927469078203897,0.36334921875000004,0.005229374999999981,1.439214598558974,,22.43499356802157,,rising,49760374.0,8.0,13.77402237624952,15.0,5.0,0.0,5.0,1.1141744261532864,68.96433448814044,218.8076333588449,0.003834075212031017,0.01927469078203897,0.36334921875000004,,22.43499356802157,,3.0,0.0,rising,49760374.0,0.005229374999999981,1.439214598558974,5.040000000000044,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.23}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,
SOMIUSDT,Buy,48,1.0177,1.02502744,0.987169,Bullish,2025-09-10T16:46:55.508042+00:00,2025-09-10T22:16:55.508042+05:30,Success,2,2.0,,5.04%,28.597146190422293,-0.018172909996005737,-0.01753151631435712,-0.0006413936816486165,1.097893815923535,1.044235,0.9905761840764651,0.25274333263509796,-82.07056741510944,5.0,0.0,3.0,1.0703252779922956,0.013376657395741065,1.0149390624999999,0.0027250000000000885,0.2684890256650348,,-39.37836416266375,,falling,-20287462.0,18.0,0.0,8.0,5.0,12.0,5.0,0.25274333263509796,28.597146190422293,-82.07056741510944,-0.0006413936816486165,0.013376657395741065,1.0149390624999999,,-39.37836416266375,,0.0,3.0,falling,-20287462.0,0.0027250000000000885,0.2684890256650348,5.040000000000051,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,1.0,,,,,,,,,,,
PUMPUSDT,Buy,44,0.005716,0.00575716,0.00554452,Bullish,2025-09-10T16:46:57.238026+00:00,2025-09-10T22:16:57.238026+05:30,Fail,24,,24.0,5.04%,64.49707270599406,2.7775782439010133e-05,1.3036265019900358e-05,1.4739517419109774e-05,0.005720880109562078,0.0056151,0.005509319890437921,0.9769327637195597,179.8803886644367,5.0,3.0,0.0,0.00559442900862121,4.970028153303579e-05,0.005674828125,1.92812500000002e-05,0.3397679995814887,,17.014632644333822,,rising,1349800431.0,8.0,11.117634088722372,15.0,5.0,0.0,5.0,0.9769327637195597,64.49707270599406,179.8803886644367,1.4739517419109774e-05,4.970028153303579e-05,0.005674828125,,17.014632644333822,,3.0,0.0,rising,1349800431.0,1.92812500000002e-05,0.3397679995814887,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.88}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
NAORISUSDT,Strong Buy,66,0.11741,0.11825535,0.1138877,Bullish,2025-09-10T16:47:05.022234+00:00,2025-09-10T22:17:05.022234+05:30,Success,1,1.0,,5.04%,92.35666178625841,0.013299943454405688,0.010105977304258666,0.0031939661501470228,0.11400616916944137,0.07975499999999999,0.04550383083055861,1.0496892648207103,166.42421055706495,5.0,3.0,0.0,0.06760591253805552,0.008588470730178224,0.10368359375,0.0044692187500000174,4.310439663941546,,71.42603287909871,,rising,983164052.0,8.0,17.92535935811914,15.0,5.0,0.0,5.0,1.0496892648207103,92.35666178625841,166.42421055706495,0.0031939661501470228,0.008588470730178224,0.10368359375,,71.42603287909871,,3.0,0.0,rising,983164052.0,0.0044692187500000174,4.310439663941546,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,,0.0044692187500000174,4.310439663941546,51.0,59.0,True,59.0,66.0,0.7437799465099284,4.310439663941546,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
LTCUSDT,Buy,40,116.59,117.429448,113.0923,Bullish,2025-09-10T16:47:05.884103+00:00,2025-09-10T22:17:05.884103+05:30,Success,425,425.0,,5.04%,64.11523070123673,0.6321462171131742,0.4175068854935806,0.2146393316195936,117.4004938129759,115.126,112.85150618702411,0.8218298488322854,107.44280335939709,5.0,0.0,3.0,114.72963901267633,0.6448970567907674,116.5275,0.3892187499999977,0.33401450301430796,,31.337697356056164,,rising,313119.40699999995,8.0,11.987854657773024,15.0,0.0,0.0,5.0,0.8218298488322854,64.11523070123673,107.44280335939709,0.2146393316195936,0.6448970567907674,116.5275,,31.337697356056164,,0.0,3.0,rising,313119.40699999995,0.3892187499999977,0.33401450301430796,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
HIFIUSDT,Buy,62,0.06596,0.06643491,0.0639812,Bullish,2025-09-10T16:47:07.608805+00:00,2025-09-10T22:17:07.608805+05:30,Success,1,1.0,,5.04%,23.523251085678766,-0.0038261334375923745,-0.003233432464105911,-0.0005927009734864636,0.08415529674868469,0.07515400000000001,0.06615270325131534,-0.010704193889813212,-159.6121591771435,5.0,0.0,3.0,0.0796512595178876,0.002911677435964609,0.0701596875,-0.0006398437500000076,-0.9119820409690502,,-39.669386019598605,,falling,-52734505.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.010704193889813212,23.523251085678766,-159.6121591771435,-0.0005927009734864636,0.002911677435964609,0.0701596875,,-39.669386019598605,,0.0,3.0,falling,-52734505.0,-0.0006398437500000076,-0.9119820409690502,5.039999999999936,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,1.0,-0.0006398437500000076,-0.9119820409690502,,,,,,,,,
OGUSDT,Buy,48,23.419,23.5876168,22.71643,Bullish,2025-09-10T16:47:18.888376+00:00,2025-09-10T22:17:18.888376+05:30,Success,4,4.0,,5.04%,73.67372063732688,0.11610236388336759,0.08203513472764254,0.03406722915572505,23.417157986729748,23.0921,22.76704201327025,1.0028333610393394,146.9797200227179,5.0,3.0,0.0,23.00570591732526,0.13218848462601573,23.322203125,0.0518437500000033,0.22229353600145052,,32.85745713509793,,rising,59169.899999999994,8.0,15.18520971815792,15.0,5.0,0.0,5.0,1.0028333610393394,73.67372063732688,146.9797200227179,0.03406722915572505,0.13218848462601573,23.322203125,,32.85745713509793,,3.0,0.0,rising,59169.899999999994,0.0518437500000033,0.22229353600145052,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
