Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
BTCUSDT,Buy,45,112215.9,113023.85448,108849.423,Bearish,2025-09-08T21:56:32.751281+00:00,2025-09-09T03:26:32.751281+05:30,Inconclusive,300,,,5.04%,60.57606837343148,32.31349619789398,-4.71743940003201,37.03093559792599,112279.85350006883,112027.15,111774.44649993116,0.8734613884425552,123.58876406918947,-5.0,3.0,0.0,112119.87039119087,65.80529947135982,112215.2328125,41.1328125,,8.350480306706256,,rising,509.69900000000007,8.0,20.0,7.0,5.0,0.0,5.0,0.8734613884425552,60.57606837343148,123.58876406918947,37.03093559792599,65.80529947135982,112215.2328125,,8.350480306706256,,3.0,0.0,rising,509.69900000000007,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
1000PEPEUSDT,Buy,41,0.0102951,0.01036922,0.00998625,Bearish,2025-09-08T21:56:49.057907+00:00,2025-09-09T03:26:49.057907+05:30,Success,133,133.0,,5.04%,69.50439422437869,2.256174643972507e-05,8.2956726207082e-06,1.426607381901687e-05,0.010322568567030349,0.01020951,0.01009645143296965,0.8785206298299559,122.72904914903245,-5.0,3.0,0.0,0.010228600104878251,2.4725501048689726e-05,0.010297651562500003,1.6310937500001524e-05,,21.297158478836327,,rising,781414271.0,8.0,16.0,7.0,5.0,0.0,5.0,0.8785206298299559,69.50439422437869,122.72904914903245,1.426607381901687e-05,2.4725501048689726e-05,0.010297651562500003,,21.297158478836327,,3.0,0.0,rising,781414271.0,5.0400000000000444,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
LINKUSDT,Buy,41,23.097,23.2632984,22.40409,Bearish,2025-09-08T21:56:50.455450+00:00,2025-09-09T03:26:50.455450+05:30,Success,185,185.0,,5.04%,64.93984027450004,0.02816018307217405,0.002370852302010312,0.025789330770163738,23.123062591531095,22.952849999999998,22.7826374084689,0.923441058923269,137.35343383584447,-5.0,3.0,0.0,22.999545736133676,0.05054165823981311,23.066875,0.03923437499999949,,12.519563445109647,,rising,171158.21000000002,8.0,16.0,7.0,5.0,0.0,5.0,0.923441058923269,64.93984027450004,137.35343383584447,0.025789330770163738,0.05054165823981311,23.066875,,12.519563445109647,,3.0,0.0,rising,171158.21000000002,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
PENGUUSDT,Buy,41,0.033928,0.03417228,0.03291016,Bearish,2025-09-08T21:56:52.921714+00:00,2025-09-09T03:26:52.921714+05:30,Success,6,6.0,,5.04%,65.99336924564336,6.562511728834541e-05,-2.1081549205742513e-05,8.670666649408793e-05,0.03395843246391215,0.033447750000000005,0.03293706753608786,0.9702041228525675,164.19599150272552,-5.0,3.0,0.0,0.03360936125497641,0.00017949085068739225,0.033763890625,8.117187499999401e-05,,10.09650232476939,,rising,6904958.0,8.0,15.593682841708658,7.0,5.0,0.0,5.0,0.9702041228525675,65.99336924564336,164.19599150272552,8.670666649408793e-05,0.00017949085068739225,0.033763890625,,10.09650232476939,,3.0,0.0,rising,6904958.0,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
BNBUSDT,Buy,45,882.76,889.115872,856.2772,Bearish,2025-09-08T21:56:56.576225+00:00,2025-09-09T03:26:56.576225+05:30,Inconclusive,300,,,5.04%,72.36579789804176,0.9478867055702267,0.5927956973996684,0.3550910081705583,883.1555844908705,880.0705,876.9854155091296,0.9358875758441684,133.9087158883232,-5.0,3.0,0.0,879.8645902420122,0.6772550638662588,882.3828125000001,0.46890625000003183,,29.21832542967814,,rising,9741.07,8.0,20.0,7.0,5.0,0.0,5.0,0.9358875758441684,72.36579789804176,133.9087158883232,0.3550910081705583,0.6772550638662588,882.3828125000001,,29.21832542967814,,3.0,0.0,rising,9741.07,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
FARTCOINUSDT,Buy,41,0.8214,0.82731408,0.796758,Bearish,2025-09-08T21:57:02.734254+00:00,2025-09-09T03:27:02.734254+05:30,Success,132,132.0,,5.04%,69.48093506693704,0.003387510105065994,0.0011904251812680155,0.0021970849237979784,0.8242324498868847,0.808285,0.7923375501131154,0.9111942690845474,133.09699753678174,-5.0,3.0,0.0,0.8107855368119449,0.0034683492919872845,0.8197906250000001,0.002831250000000063,,24.80361161920798,,rising,5465186.1,8.0,16.0,7.0,5.0,0.0,5.0,0.9111942690845474,69.48093506693704,133.09699753678174,0.0021970849237979784,0.0034683492919872845,0.8197906250000001,,24.80361161920798,,3.0,0.0,rising,5465186.1,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
1000BONKUSDT,Buy,42,0.023055,0.023221,0.02236335,Bearish,2025-09-08T21:57:05.539410+00:00,2025-09-09T03:27:05.539410+05:30,Success,36,36.0,,5.04%,60.988120063642896,6.258006698918461e-05,2.8275012318460264e-05,3.4305054670724346e-05,0.023180409935987606,0.0228491,0.022517790064012395,0.8107362285803911,101.17719443762992,-5.0,3.0,0.0,0.022873898529822946,9.85602581836795e-05,0.023130906250000003,3.950000000000134e-05,,15.55848165378267,,falling,-50050330.0,8.0,12.353481689983209,7.0,10.0,0.0,5.0,0.8107362285803911,60.988120063642896,101.17719443762992,3.4305054670724346e-05,9.85602581836795e-05,0.023130906250000003,,15.55848165378267,,3.0,0.0,falling,-50050330.0,5.040000000000049,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
WIFUSDT,Buy,40,0.8683,0.87455176,0.842251,Bearish,2025-09-08T21:57:08.017388+00:00,2025-09-09T03:27:08.017388+05:30,Success,125,125.0,,5.04%,67.30456166221563,0.0022449081800201,0.0010478112234898937,0.001197096956530206,0.8711564602204983,0.861,0.8508435397795017,0.8593771767680789,118.44792375765667,-5.0,3.0,0.0,0.8616657042127022,0.0025602829428460366,0.869128125,0.001576562499999934,,22.76790843350668,,rising,3512278.6000000006,8.0,15.221543711410279,7.0,5.0,0.0,5.0,0.8593771767680789,67.30456166221563,118.44792375765667,0.001197096956530206,0.0025602829428460366,0.869128125,,22.76790843350668,,3.0,0.0,rising,3512278.6000000006,5.040000000000041,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
AAVEUSDT,Buy,41,303.06,305.242032,293.9682,Bearish,2025-09-08T21:57:10.306860+00:00,2025-09-09T03:27:10.306860+05:30,Success,20,20.0,,5.04%,60.46043796766068,0.23341313857258683,-0.051660942825691725,0.28507408139827856,303.727252501023,301.709,299.69074749897703,0.8346954851573902,111.3030416823071,-5.0,3.0,0.0,302.63514256636165,0.5733399430037041,303.28953125,0.20765625000001364,,8.859537504838991,,rising,5933.799999999999,8.0,15.93319606813873,7.0,5.0,0.0,5.0,0.8346954851573902,60.46043796766068,111.3030416823071,0.28507408139827856,0.5733399430037041,303.28953125,,8.859537504838991,,3.0,0.0,rising,5933.799999999999,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
BIOUSDT,Sell,41,0.15877,0.15762686,0.1635331,Bearish,2025-09-08T21:57:14.328465+00:00,2025-09-09T03:27:14.328465+05:30,Success,238,238.0,,5.04%,51.945397536602464,-0.00021530951558171307,-0.00042503542246745895,0.00020972590688574588,0.1591951101690399,0.1578485,0.1565018898309601,0.8421554437900185,110.04531932048819,-5.0,0.0,3.0,0.1592909869901143,0.0006710098994775613,0.1587215625,3.593749999999951e-05,,-9.101933160629466,,falling,-2285058.0,12.0,4.0,15.0,5.0,0.0,5.0,0.8421554437900185,51.945397536602464,110.04531932048819,0.00020972590688574588,0.0006710098994775613,0.1587215625,,-9.101933160629466,,0.0,3.0,falling,-2285058.0,5.040000000000056,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,
