Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,79,44,29,6,60.273972602739725,67.12658227848101
Buy,712,443,130,139,77.31239092495636,46.86516853932584
Strong Sell,106,90,8,8,91.83673469387756,67.54716981132076
Sell,487,355,45,87,88.75,47.252566735112936
