Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
SUIUSDT,Buy,49,3.6665,3.6928988,3.556505,Bullish,2025-09-11T22:28:42.889835+00:00,2025-09-12T03:58:42.889835+05:30,Success,136,136.0,,5.04%,84.79679798675645,0.012701562864350535,0.008523019225214513,0.004178543639136022,3.666931303576453,3.63023,3.5935286964235473,0.9941241381855244,173.4107598242538,10.0,3.0,0.0,3.622312542034588,0.008394085947279825,3.6539124999999997,0.005399999999999405,0.14778679018721455,,54.00347681315076,,rising,4575333.899999999,8.0,15.947107519403318,15.0,5.0,0.0,5.0,0.9941241381855244,84.79679798675645,173.4107598242538,0.004178543639136022,0.008394085947279825,3.6539124999999997,,54.00347681315076,,3.0,0.0,rising,4575333.899999999,0.005399999999999405,0.14778679018721455,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,
BNBUSDT,Buy,48,900.34,906.822448,873.3298,Bullish,2025-09-11T22:28:45.521565+00:00,2025-09-12T03:58:45.521565+05:30,Success,136,136.0,,5.04%,74.97456338023652,0.6868826451028553,0.32616007572952654,0.3607225693733288,899.9733675024675,897.5575000000001,895.1416324975328,1.0758800921735432,217.61748307447237,10.0,3.0,0.0,897.3521998742905,0.8202306446959451,898.5425,0.546875,0.06086245224905889,,26.624327065936086,,rising,10234.03,8.0,14.554764956592326,15.0,5.0,0.0,5.0,1.0758800921735432,74.97456338023652,217.61748307447237,0.3607225693733288,0.8202306446959451,898.5425,,26.624327065936086,,3.0,0.0,rising,10234.03,0.546875,0.06086245224905889,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.45}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,
ADAUSDT,Buy,46,0.8902,0.89660944,0.863494,Bullish,2025-09-11T22:28:46.431486+00:00,2025-09-12T03:58:46.431486+05:30,Success,123,123.0,,5.04%,79.36633348593908,0.0016475193653112674,0.0010607987428765564,0.000586720622434711,0.8885597313453325,0.8841249999999998,0.8796902686546672,1.1849343880090712,280.520474550322,10.0,3.0,0.0,0.8827721353389921,0.0016286100595753676,0.8859078124999998,0.0006203125000000531,0.07001998303294715,,35.741891297461024,,rising,8728369.0,8.0,12.646204077914465,15.0,5.0,0.0,5.0,1.1849343880090712,79.36633348593908,280.520474550322,0.000586720622434711,0.0016286100595753676,0.8859078124999998,,35.741891297461024,,3.0,0.0,rising,8728369.0,0.0006203125000000531,0.07001998303294715,5.039999999999991,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.35}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,
1000PEPEUSDT,Buy,40,0.0106404,0.01071701,0.01032119,Bullish,2025-09-11T22:28:48.196335+00:00,2025-09-12T03:58:48.196335+05:30,Success,134,134.0,,5.04%,66.21588772291996,1.8370438891130228e-05,1.5017621390309552e-05,3.3528175008206757e-06,0.010633949893297088,0.01058423,0.010534510106702913,1.0648644463532047,220.59088396589522,10.0,3.0,0.0,0.010556438599679837,2.6410529555138648e-05,0.010600864062500001,1.568750000003477e-06,0.01479832201181456,,18.920165822009825,,rising,589612654.0,8.0,7.046800703170292,15.0,5.0,0.0,5.0,1.0648644463532047,66.21588772291996,220.59088396589522,3.3528175008206757e-06,2.6410529555138648e-05,0.010600864062500001,,18.920165822009825,,3.0,0.0,rising,589612654.0,1.568750000003477e-06,0.01479832201181456,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.95}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,
LTCUSDT,Buy,42,115.79,116.623688,112.3163,Bullish,2025-09-11T22:28:49.967442+00:00,2025-09-12T03:58:49.967442+05:30,Success,136,136.0,,5.04%,71.31460836323737,0.15351546416151507,0.12004169409627304,0.033473770065242034,115.68400273233564,115.34450000000001,115.00499726766438,1.156106648884898,272.66028002947115,10.0,3.0,0.0,115.1352511014076,0.17061840466333184,115.45578125,0.04406249999999545,0.038163961581608064,,24.96233802334151,,rising,11522.307000000004,8.0,8.708580432169892,15.0,5.0,0.0,5.0,1.156106648884898,71.31460836323737,272.66028002947115,0.033473770065242034,0.17061840466333184,115.45578125,,24.96233802334151,,3.0,0.0,rising,11522.307000000004,0.04406249999999545,0.038163961581608064,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.29}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
BCHUSDT,Buy,48,597.0,601.2984,579.09,Bullish,2025-09-11T22:28:50.850728+00:00,2025-09-12T03:58:50.850728+05:30,Success,137,137.0,,5.04%,90.04052538716513,0.8593808627616681,0.2221256010423186,0.6372552617193495,593.2205444133002,589.4515,585.6824555866998,1.5013811423079595,467.21311475408277,10.0,0.0,3.0,589.6368992689529,1.0600553052185746,590.0140624999999,0.5259374999999409,0.08913982452747742,,38.48579394552705,,rising,18490.517,8.0,20.0,15.0,0.0,0.0,5.0,1.5013811423079595,90.04052538716513,467.21311475408277,0.6372552617193495,1.0600553052185746,590.0140624999999,,38.48579394552705,,0.0,3.0,rising,18490.517,0.5259374999999409,0.08913982452747742,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,
FUSDT,Buy,41,0.009508,0.00957646,0.00922276,Bullish,2025-09-11T22:28:54.417137+00:00,2025-09-12T03:58:54.417137+05:30,Success,2,2.0,,5.04%,60.576612087255995,8.400231937323935e-05,5.919548026886989e-05,2.4806839104369456e-05,0.009560906535475986,0.00929405,0.009027193464524014,0.9008708267503798,139.65700426658722,10.0,3.0,0.0,0.009246554382303852,0.00016888103950838808,0.009459,2.568749999999967e-05,0.27156676181414174,,14.314517489881773,,rising,198274560.0,8.0,7.525346245131894,15.0,5.0,0.0,5.0,0.9008708267503798,60.576612087255995,139.65700426658722,2.4806839104369456e-05,0.00016888103950838808,0.009459,,14.314517489881773,,3.0,0.0,rising,198274560.0,2.568749999999967e-05,0.27156676181414174,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.47}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,
FARTCOINUSDT,Buy,49,0.8927,0.89912744,0.865919,Bullish,2025-09-11T22:28:57.070274+00:00,2025-09-12T03:58:57.070274+05:30,Success,115,115.0,,5.04%,81.82305246274228,0.0061118498755879935,0.004228612736953732,0.0018832371386342615,0.8914003812055068,0.8753499999999999,0.8592996187944929,1.0404856052280973,208.82888377551768,10.0,3.0,0.0,0.8704027440417273,0.003805725673962537,0.8844515625,0.0023374999999998813,0.2642880740006473,,56.38279058279959,,rising,9943188.899999999,8.0,15.87623470510481,15.0,5.0,0.0,5.0,1.0404856052280973,81.82305246274228,208.82888377551768,0.0018832371386342615,0.003805725673962537,0.8844515625,,56.38279058279959,,3.0,0.0,rising,9943188.899999999,0.0023374999999998813,0.2642880740006473,5.039999999999961,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,
PENGUUSDT,Buy,42,0.03424,0.03448653,0.0332128,Bullish,2025-09-11T22:28:59.717272+00:00,2025-09-12T03:58:59.717272+05:30,Success,50,50.0,,5.04%,75.10974680577925,0.00011845477628024542,9.893668542395207e-05,1.9518090856293353e-05,0.034240333513998626,0.03395755,0.03367476648600138,0.9994103015520414,159.51267884969369,10.0,3.0,0.0,0.03382782555811228,0.00010009196678988417,0.034127671875,1.4171874999996392e-05,0.04152605267626798,,38.361734673342404,,rising,34669853.0,8.0,8.68003772504931,15.0,5.0,0.0,5.0,0.9994103015520414,75.10974680577925,159.51267884969369,1.9518090856293353e-05,0.00010009196678988417,0.034127671875,,38.361734673342404,,3.0,0.0,rising,34669853.0,1.4171874999996392e-05,0.04152605267626798,5.040000000000058,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.32}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,
1000BONKUSDT,Buy,49,0.02425,0.0244246,0.0235225,Bullish,2025-09-11T22:29:01.512056+00:00,2025-09-12T03:59:01.512056+05:30,Success,25,25.0,,5.04%,71.4525665227048,4.734899310284563e-05,1.8950881749173316e-05,2.839811135367231e-05,0.02415438742211758,0.0239667,0.02377901257788242,1.2547122678858125,317.1200534871011,10.0,3.0,0.0,0.023921858113348432,9.24463542057977e-05,0.024000921874999998,2.7984374999998063e-05,0.1165970838359644,,14.492306241905526,,rising,69830567.0,8.0,16.37243429817584,15.0,5.0,0.0,5.0,1.2547122678858125,71.4525665227048,317.1200534871011,2.839811135367231e-05,9.24463542057977e-05,0.024000921874999998,,14.492306241905526,,3.0,0.0,rising,69830567.0,2.7984374999998063e-05,0.1165970838359644,5.0400000000000125,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,
