coin,signal,confidence,outcome,duration_min,did_tp_hit_later,estimated_profit,analysis_log
ETHUSDT,Neutral,22,Inconclusive,300,False,4.65%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
BTCUSDT,Neutral,22,Inconclusive,300,False,2.30%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
SOLUSDT,Neutral,31,Inconclusive,300,False,5.27%,"{'buy_score': 0, 'sell_score': 20, 'initial_signal': 'Sell', 'num_confluence_met': 1, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 31, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': True}"
WLFIUSDT,Neutral,26,Inconclusive,300,False,16.51%,"{'buy_score': -5, 'sell_score': 15, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 26, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
XRPUSDT,Neutral,25,Inconclusive,300,False,3.52%,"{'buy_score': 0, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 1, 'vol_profile_ok': False, 'min_profit_ok': True, 'confidence': 25, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': True}"
DOGEUSDT,Neutral,22,Inconclusive,300,False,4.67%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
TAUSDT,Neutral,22,Inconclusive,300,False,64.34%,"{'buy_score': 0, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
ENAUSDT,Neutral,22,Inconclusive,300,False,5.98%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
1000PEPEUSDT,Neutral,22,Inconclusive,300,False,5.20%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
LINKUSDT,Neutral,22,Inconclusive,300,False,5.00%,"{'buy_score': -15, 'sell_score': 5, 'initial_signal': 'Sell', 'num_confluence_met': 0, 'vol_profile_ok': True, 'min_profit_ok': True, 'confidence': 22, 'bb_touch': False, 'rsi_extreme': False, 'cci_extreme': False}"
