SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,Keltner_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Bollinger_buy_score,Bollinger_sell_score,Keltner_sell_score
signals_2025-09-05_12-02-11_STRONG.json,PTBUSDT,Buy,50,Success,0.0,True,50,25.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:20.330835+00:00,2025-09-05T12:01:20.330835+05:30,61.442248048059625,-20.454545454545542,80.21780061330425,0.0970298512791747,,,falling,up,up,0.0009529452694578278,0.0008375798699593568,0.00011536539949847096,0.047797957401267535,0.044332500000000004,0.04086704259873247,0.046867500000000006,0.044332500000000004,0.0417975,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,BNXUSDT,Strong Sell,60,Inconclusive,,False,35,60.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:21.176654+00:00,2025-09-05T12:01:21.176654+05:30,,,,,,,falling,down,down,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,,,,0.0,0.0,0.0,10.0,0.0,,,,,15.0,10.0,10.0,0.0,15.0,15.0,10.0
signals_2025-09-05_12-02-11_STRONG.json,LINKUSDT,Sell,55,Inconclusive,,False,25,55.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:22.092895+00:00,2025-09-05T12:01:22.092895+05:30,47.986872883223434,-84.17266187050207,-92.10000798785155,-0.23459753787298437,,,falling,down,down,0.01650580610725072,0.02987597632741006,-0.01337017022015934,22.61770916425186,22.54855,22.479390835748138,22.60505,22.54855,22.49205,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,SUIUSDT,Strong Sell,70,Inconclusive,,False,30,70.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:22.970022+00:00,2025-09-05T12:01:22.970022+05:30,65.52043799298208,-15.693430656933335,146.57430583852152,-0.041480051716088755,,,falling,down,down,0.006684999947625503,0.006139290641913979,0.0005457093057115239,3.3607203149913776,3.3463149999999997,3.331909685008622,3.3583650000000005,3.3463150000000006,3.3342650000000007,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,10.0,10.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,SOMIUSDT,Sell,35,Success,5.0,True,30,35.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:23.823264+00:00,2025-09-05T12:01:23.823264+05:30,56.4890454668255,-58.98876404494374,-0.39777247414574024,-0.18289848562460015,,,falling,up,up,0.003634038054626254,0.004778366004198208,-0.0011443279495719537,0.5729005068178877,0.561185,0.5494694931821124,0.5732349999999999,0.5611849999999999,0.5491349999999999,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,1000PEPEUSDT,Buy,45,Success,39.0,True,45,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:24.713418+00:00,2025-09-05T12:01:24.713418+05:30,42.754076593935025,-88.29113924050714,-147.19265722027157,-0.18826665195104234,,,falling,up,up,8.485154381950716e-07,7.340689218144438e-06,-6.4921737799493665e-06,0.009577366140875829,0.00954477,0.00951217385912417,0.009572919999999999,0.00954477,0.00951662,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,IDOLUSDT,Sell,55,Success,0.0,True,20,55.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:25.573104+00:00,2025-09-05T12:01:25.573104+05:30,38.21180450850843,-47.524752475247446,-61.86982130378438,-0.004285921850615804,,,falling,down,down,-0.0003290443161171053,-0.0003051604490900501,-2.3883867027055174e-05,0.03914725389499092,0.038192500000000004,0.03723774610500909,0.039052500000000004,0.038192500000000004,0.037332500000000005,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,AVAXUSDT,Strong Sell,65,Inconclusive,,False,35,65.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:26.441096+00:00,2025-09-05T12:01:26.441096+05:30,43.39831750695568,-96.57142857142846,-184.06805877803296,-0.1353808762475136,,,falling,down,down,0.010793459050109533,0.03221485688085892,-0.021421397830749388,24.514139786170876,24.425050000000002,24.33596021382913,24.506549999999997,24.42505,24.34355,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,ADAUSDT,Strong Buy,55,Success,29.0,True,55,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:27.298875+00:00,2025-09-05T12:01:27.298875+05:30,39.00888263382805,-80.4878048780509,-144.02825072518323,-0.281075021923509,,,falling,up,up,-0.00040609570086491686,-6.490503614452921e-05,-0.0003411906647203877,0.8191020652344606,0.8166800000000001,0.8142579347655395,0.8187800000000001,0.8166800000000001,0.8145800000000001,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,TAKEUSDT,Sell,45,Success,1.0,True,20,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:28.152578+00:00,2025-09-05T12:01:28.152578+05:30,43.62357828307005,-57.16981132075482,-56.9781620662913,-0.21204596127890193,,,falling,down,down,-0.0013413297987751593,-0.0014799883816785135,0.0001386585829033541,0.1565071607472305,0.152563,0.1486188392527695,0.156398,0.152563,0.148728,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,NEIROETHUSDT,Buy,40,Success,0.0,True,40,35.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:29.012534+00:00,2025-09-05T12:01:29.012534+05:30,35.82099836759464,-72.85259809119836,-61.69221520889678,-0.2175372994475233,,,falling,up,up,-0.0014256300040189351,-0.0012375752757701618,-0.00018805472824877335,0.0794567697489501,0.073496,0.0675352302510499,0.07772099999999998,0.07349599999999999,0.069271,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,AAVEUSDT,Strong Buy,55,Success,35.0,True,55,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:29.867393+00:00,2025-09-05T12:01:29.867393+05:30,40.47608227609006,-94.47852760736349,-185.1620120205837,-0.24913454586836553,,,falling,up,up,-0.060122389669515997,0.09060911428783361,-0.1507315039573496,308.92140959590057,308.1195,307.31759040409946,308.8145,308.1195,307.4245,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,BNBUSDT,Sell,45,Inconclusive,,False,30,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:30.738298+00:00,2025-09-05T12:01:30.738298+05:30,44.71333843876079,-76.07655502392251,-110.26808295394409,-0.0960222249526461,,,falling,up,up,0.0024379672621535065,0.15877425146054933,-0.15633628419839582,847.4064989249899,846.36,845.3135010750101,847.1850000000001,846.36,845.535,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,JELLYJELLYUSDT,Sell,45,Fail,3.0,False,40,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:31.620483+00:00,2025-09-05T12:01:31.620483+05:30,39.466541455217346,-63.03030303030307,-117.3465001166833,-0.16934057310218056,,,falling,up,up,-0.0008926310600234355,-0.0004251542929074673,-0.0004674767671159682,0.04388763678390948,0.040584,0.037280363216090524,0.043614,0.040583999999999995,0.03755399999999999,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,FARTCOINUSDT,Strong Buy,65,Success,31.0,True,65,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:32.483462+00:00,2025-09-05T12:01:32.483462+05:30,37.832207582741624,-90.66666666666764,-158.18992989164894,-0.22639924022875266,,,falling,up,up,-0.0009210946738904546,-0.00029480441667333285,-0.0006262902572171218,0.7586365776631167,0.75408,0.7495234223368833,0.75783,0.7540800000000001,0.7503300000000002,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,BCHUSDT,Sell,55,Inconclusive,,False,25,55.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:33.343318+00:00,2025-09-05T12:01:33.343318+05:30,42.982786342267126,-85.04901960784532,-99.96242014280976,-0.04421391555329903,,,falling,down,down,-0.10603345802132935,0.10749422183431694,-0.2135276798556463,594.005379935807,592.3354999999999,590.6656200641928,593.6555000000001,592.3355,591.0155,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,BASUSDT,Strong Buy,55,Success,20.0,True,55,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:34.201759+00:00,2025-09-05T12:01:34.201759+05:30,38.13355329111742,-80.00000000000047,-121.07407526226362,-0.20094921717719846,,,falling,up,up,-8.170711361781685e-05,-6.549432708228451e-05,-1.6212786535532342e-05,0.02263282459654224,0.0223718,0.022110775403457763,0.0226033,0.022371799999999997,0.022140299999999995,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,TAUSDT,Strong Sell,65,Fail,18.0,False,45,65.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:35.055553+00:00,2025-09-05T12:01:35.055553+05:30,36.986660533500824,-92.45283018867903,-168.3223992502345,-0.2810262649982639,,,falling,down,down,-0.0006444260203411489,-0.00034813457993139083,-0.0002962914404097581,0.1442196943679647,0.1421565,0.1400933056320353,0.14394149999999994,0.14215649999999996,0.14037149999999998,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,HYPEUSDT,Strong Buy,60,Success,41.0,True,60,40.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:35.913297+00:00,2025-09-05T12:01:35.913297+05:30,60.793797183077295,-13.599999999999568,107.25145492256696,0.10221463637021543,,,falling,up,up,0.05712374976385348,0.05481196354181864,0.002311786222034845,45.68697492056628,45.55714999999999,45.42732507943371,45.663149999999995,45.55714999999999,45.45114999999999,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,,10.0,10.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,WIFUSDT,Sell,45,Inconclusive,,False,30,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:36.770363+00:00,2025-09-05T12:01:36.770363+05:30,47.081544550466276,-73.46938775510051,-127.31402612152402,-0.2866500279020017,,,falling,up,up,-8.790738662045605e-05,0.000321373327621851,-0.00040928071424230705,0.8000190823607722,0.797445,0.7948709176392277,0.799545,0.797445,0.795345,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,ARIAUSDT,Strong Buy,60,Success,6.0,True,60,30.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:37.626426+00:00,2025-09-05T12:01:37.626426+05:30,54.93218275125039,-19.54022988505745,133.57676693459086,0.19358207838766073,,,falling,up,up,-0.00010716270161581498,-0.0004936234479138806,0.0003864607462980656,0.11659326357314682,0.11456949999999999,0.11254573642685316,0.11649949999999998,0.11456949999999999,0.1126395,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,,10.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,ARBUSDT,Buy,45,Success,32.0,True,45,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:38.509965+00:00,2025-09-05T12:01:38.509965+05:30,44.72614806802247,-81.25000000000023,-152.4736415247295,-0.20825445751561641,,,falling,up,up,5.159406346183504e-05,0.00034882683397042115,-0.0002972327705085861,0.48963534206420734,0.4882099999999999,0.4867846579357925,0.48946,0.48821000000000003,0.48696000000000006,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,LTCUSDT,Sell,45,Inconclusive,,False,20,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:39.365807+00:00,2025-09-05T12:01:39.365807+05:30,50.093699718288164,-63.23529411764742,-11.496177242034316,0.1461649911075621,,,falling,down,down,0.04927337422738276,0.05327026578625835,-0.003996891558875587,111.90195587877407,111.63,111.35804412122592,111.94,111.63,111.32,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,SPKUSDT,Strong Buy,55,Success,16.0,True,55,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:40.226228+00:00,2025-09-05T12:01:40.226228+05:30,38.46100121923693,-87.14285714285715,-116.53461149695306,-0.012807245518123322,,,falling,up,up,-0.00017855674517971987,-0.00015423151445306417,-2.43252307266557e-05,0.06074599393059331,0.060313500000000006,0.0598810060694067,0.060678499999999996,0.0603135,0.0599485,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,PENGUUSDT,Strong Sell,65,Inconclusive,,False,10,65.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:41.081538+00:00,2025-09-05T12:01:41.081538+05:30,41.50363505430983,-79.3814432989681,-140.88009514542688,-0.1937097107039302,,,falling,down,down,-1.484309252025584e-05,9.273288602333564e-07,-1.5770421380489197e-05,0.028873269463514015,0.028766649999999998,0.02866003053648598,0.028862150000000003,0.028766650000000005,0.028671150000000006,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,UNIUSDT,Strong Buy,55,Success,33.0,True,55,55.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:41.933420+00:00,2025-09-05T12:01:41.933420+05:30,35.89951853106197,-94.93670886076009,-150.99433688923716,0.16518599642754994,,,falling,down,down,-0.00022295601155697398,0.008701228187281142,-0.008924184198838116,9.475729774398493,9.43495,9.394170225601508,9.466949999999999,9.434949999999999,9.402949999999999,10.0,10.0,15.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,10.0,10.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,BIOUSDT,Strong Sell,75,Success,11.0,True,65,75.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:42.792936+00:00,2025-09-05T12:01:42.792936+05:30,70.3996140044165,-13.043478260869678,209.93505353695087,-0.020209547845979933,,,rising,up,up,9.276735210392295e-05,-0.00013546416231329466,0.0002282315144172176,0.14018532467850758,0.13889349999999998,0.13760167532149237,0.14016350000000002,0.13889350000000003,0.13762350000000004,10.0,0.0,0.0,10.0,0.0,15.0,10.0,10.0,,10.0,25.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,,15.0,10.0
signals_2025-09-05_12-02-11_STRONG.json,TREEUSDT,Strong Buy,65,Success,3.0,True,65,,,,Bullish,5.04%,0,0,2025-09-05T06:31:43.651234+00:00,2025-09-05T12:01:43.651234+05:30,43.293060295487166,-42.37288135593212,-46.58119658119597,0.09903159147642564,,,rising,up,up,-0.0010415097930185913,-0.0010876581048663283,4.6148311847737065e-05,0.3332147777699408,0.330065,0.3269152222300592,0.3327650000000001,0.33006500000000005,0.327365,10.0,0.0,0.0,0.0,10.0,15.0,10.0,10.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
signals_2025-09-05_12-02-11_STRONG.json,IPUSDT,Buy,45,Success,29.0,True,45,35.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:44.506969+00:00,2025-09-05T12:01:44.506969+05:30,45.62992486860007,-82.57676902536684,-92.72895541606191,-0.056173381690732334,,,falling,up,up,-0.000230846346696012,0.02212906724421108,-0.022359913590907093,8.39967408356546,8.275825000000001,8.151975916434543,8.384125,8.275825,8.167525,10.0,0.0,15.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,1000BONKUSDT,Sell,35,Fail,82.0,False,30,35.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:45.392164+00:00,2025-09-05T12:01:45.392164+05:30,55.6568978373384,-49.46236559139917,26.378326996196478,-0.19261094421125932,,,falling,up,up,1.9771648598738978e-05,2.4503445319359485e-05,-4.731796720620507e-06,0.019617751860575485,0.019580800000000002,0.01954384813942452,0.0196138,0.0195808,0.019547799999999997,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,TRUMPUSDT,Buy,50,Success,49.0,True,50,45.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:46.250836+00:00,2025-09-05T12:01:46.250836+05:30,33.73411826059967,-76.66666666666725,-139.46397047020469,-0.059153596138460565,,,falling,up,up,-0.004367606230530896,-0.00200963047519651,-0.002357975755334386,8.344334586116597,8.32715,8.309965413883402,8.340150000000001,8.327150000000001,8.314150000000001,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,
signals_2025-09-05_12-02-11_STRONG.json,MITOUSDT,Strong Sell,65,Success,1.0,True,60,65.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:47.112953+00:00,2025-09-05T12:01:47.112953+05:30,32.6989454617831,-96.88427299703281,-219.85549989856935,-0.39421082396203233,,,falling,down,down,-0.0010201019804519096,-0.00038753215565068744,-0.0006325698248012221,0.19604342810075887,0.19194050000000001,0.18783757189924116,0.19617050000000003,0.19194050000000001,0.1877105,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,15.0,,
signals_2025-09-05_12-02-11_STRONG.json,VIDTUSDT,Sell,50,Inconclusive,,False,35,50.0,,,Bullish,5.04%,0,0,2025-09-05T06:31:47.959236+00:00,2025-09-05T12:01:47.959236+05:30,,,0.0,,,,falling,down,down,0.0,0.0,0.0,0.00293,0.00293,0.00293,0.0029300000000000003,0.0029300000000000003,0.0029300000000000003,10.0,,,0.0,,0.0,0.0,0.0,10.0,0.0,,,0.0,,15.0,10.0,10.0,0.0,15.0,15.0,
