Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope
WLFIUSDT,Buy,42,0.2115,0.2130228,0.205155,Bullish,2025-09-09T05:21:56.498102+00:00,2025-09-09T10:51:56.498102+05:30,Success,16,16,,5.04%,68.97163834394404,0.0010915254111735495,0.0007980384331741976,0.0002934869779993519,0.21278575914284836,0.209305,0.20582424085715162,0.8153047812155988,114.19068736141864,10.0,5.0,5.0,0.20906672946830981,0.0012864797372279092,0.21164687499999998,0.00016093749999998574,,32.769601540398256,,rising,119141305.0,8.0,9.475163944021457,15.0,5.0,0.0,5.0,0.8153047812155988,68.97163834394404,114.19068736141864,0.0002934869779993519,0.0012864797372279092,0.21164687499999998,,32.769601540398256,,5.0,5.0,rising,119141305.0,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.52}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
HYPEUSDT,Buy,42,53.329,53.7129688,51.72913,Bullish,2025-09-09T05:22:01.946766+00:00,2025-09-09T10:52:01.946766+05:30,Success,40,40,,5.04%,78.7532711755329,0.5055777737715985,0.4550385905458808,0.05053918322571771,53.770209865280044,52.518899999999995,51.267590134719946,0.8237007964524843,106.65448531682088,10.0,3.0,0.0,51.919110692474376,0.2642091747449367,53.368421875,0.052015625000002785,,60.581009310131925,,rising,781972.9299999999,8.0,8.590833753552193,15.0,5.0,0.0,5.0,0.8237007964524843,78.7532711755329,106.65448531682088,0.05053918322571771,0.2642091747449367,53.368421875,,60.581009310131925,,3.0,0.0,rising,781972.9299999999,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.41}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
ADAUSDT,Buy,40,0.8648,0.87102656,0.838856,Bullish,2025-09-09T05:22:03.034150+00:00,2025-09-09T10:52:03.034150+05:30,Success,42,42,,5.04%,50.77663422015698,0.0007656425268073308,0.000996975947056928,-0.0002313334202495973,0.868197297488788,0.8656349999999999,0.8630727025112118,0.3370602938078731,-37.77118776339573,10.0,3.0,0.0,0.8642226038293911,0.0023352292049103863,0.8663921875,-0.000443749999999965,,10.804635215871022,,falling,-5000694.0,6.0,4.0,15.0,10.0,0.0,5.0,0.3370602938078731,50.77663422015698,-37.77118776339573,-0.0002313334202495973,0.0023352292049103863,0.8663921875,,10.804635215871022,,3.0,0.0,falling,-5000694.0,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
PENGUUSDT,Buy,47,0.034956,0.03520768,0.03390732,Bullish,2025-09-09T05:22:04.118319+00:00,2025-09-09T10:52:04.118319+05:30,Success,11,11,,5.04%,75.10554483817724,0.00041326703221542666,0.0002908500660237337,0.00012241696619169298,0.03522938655689597,0.034107099999999994,0.03298481344310402,0.8782010907926665,127.50160582807159,10.0,3.0,0.0,0.033849847821415376,0.0002907530911325502,0.034822031249999996,0.00021253124999999484,,53.324539984474484,,rising,739014392.0,8.0,14.104818411926136,15.0,5.0,0.0,5.0,0.8782010907926665,75.10554483817724,127.50160582807159,0.00012241696619169298,0.0002907530911325502,0.034822031249999996,,53.324539984474484,,3.0,0.0,rising,739014392.0,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.9}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,
XNYUSDT,Buy,54,0.011564,0.01164726,0.01121708,Bullish,2025-09-09T05:22:07.357388+00:00,2025-09-09T10:52:07.357388+05:30,Success,1,1,,5.04%,29.25882566338447,-0.000320024592994678,-0.00021852562342376304,-0.00010149896957091498,0.013295924762820505,0.01236815,0.011440375237179494,0.06662434018181149,-157.22532501056037,10.0,0.0,3.0,0.012726828524703816,0.0002932010046518522,0.012029921874999999,-0.00024310937499999984,,-30.91148275491234,,falling,-207463749.0,24.0,0.0,8.0,5.0,12.0,5.0,0.06662434018181149,29.25882566338447,-157.22532501056037,-0.00010149896957091498,0.0002932010046518522,0.012029921874999999,,-30.91148275491234,,0.0,3.0,falling,-207463749.0,5.0400000000000125,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.00024310937499999984
BCHUSDT,Buy,44,581.17,585.354424,563.7349,Bullish,2025-09-09T05:22:13.875702+00:00,2025-09-09T10:52:13.875702+05:30,Success,54,54,,5.04%,30.428745019903133,-0.7605165944286227,-0.48910941502626604,-0.2714071794023567,585.8651083353318,583.537,581.2088916646683,-0.008352632065717564,-187.19410158658934,10.0,0.0,3.0,584.475866361345,1.1584744410637846,582.9004687500001,-0.5846874999999727,,-21.047130096045805,,falling,-1892.9699999999996,26.0,0.0,8.0,5.0,0.0,5.0,-0.008352632065717564,30.428745019903133,-187.19410158658934,-0.2714071794023567,1.1584744410637846,582.9004687500001,,-21.047130096045805,,0.0,3.0,falling,-1892.9699999999996,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
WIFUSDT,Buy,42,0.8751,0.88140072,0.848847,Bullish,2025-09-09T05:22:14.958224+00:00,2025-09-09T10:52:14.958224+05:30,Success,42,42,,5.04%,57.189680002784655,0.001199902146523768,0.0013561163210988859,-0.00015621417457511782,0.8776103965475163,0.87402,0.8704296034524838,0.6504012141426394,102.80797101449528,10.0,3.0,0.0,0.8710428788065727,0.003782748636596631,0.8731578125,-9.687499999988525e-05,,10.172447898830198,,rising,293138.2000000002,8.0,9.0,15.0,5.0,0.0,5.0,0.6504012141426394,57.189680002784655,102.80797101449528,-0.00015621417457511782,0.003782748636596631,0.8731578125,,10.172447898830198,,3.0,0.0,rising,293138.2000000002,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
VIRTUALUSDT,Buy,48,1.2997,1.30905784,1.260709,Bullish,2025-09-09T05:22:33.398575+00:00,2025-09-09T10:52:33.398575+05:30,Success,54,54,,5.04%,58.59952526390485,0.0017376369537631664,0.0014540930528282527,0.00028354390093491373,1.3002310903802652,1.293745,1.2872589096197347,0.9590592830866944,166.30128405887552,10.0,3.0,0.0,1.2889518644117324,0.007981648193639848,1.290984375,0.0008156249999999865,,6.2963881720809916,,falling,-381217.7999999998,8.0,9.852587517934017,15.0,10.0,0.0,5.0,0.9590592830866944,58.59952526390485,166.30128405887552,0.00028354390093491373,0.007981648193639848,1.290984375,,6.2963881720809916,,3.0,0.0,falling,-381217.7999999998,5.040000000000033,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.15}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,
NEARUSDT,Buy,42,2.662,2.6811664,2.58214,Bullish,2025-09-09T05:22:43.180667+00:00,2025-09-09T10:52:43.180667+05:30,Success,78,78,,5.04%,70.49265597586768,0.012623092042908457,0.010305612677575288,0.002317479365333169,2.66859522028908,2.63365,2.5987047797109195,0.9056348731740419,143.98534966235397,10.0,3.0,0.0,2.6204386696363886,0.01115002756659204,2.65815625,0.0022031250000003055,,29.6965758497267,,rising,1676730.0,8.0,8.98828405901385,15.0,5.0,0.0,5.0,0.9056348731740419,70.49265597586768,143.98534966235397,0.002317479365333169,0.01115002756659204,2.65815625,,29.6965758497267,,3.0,0.0,rising,1676730.0,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.01}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
BTRUSDT,Buy,44,0.07624,0.07678893,0.0739528,Bullish,2025-09-09T05:22:44.263473+00:00,2025-09-09T10:52:44.263473+05:30,Success,24,24,,5.04%,69.62000348700829,0.0006989522662714936,0.000396890888853724,0.0003020613774177696,0.0763557330337809,0.0734185,0.07048126696621909,0.9802989697361659,147.65100671140863,10.0,3.0,0.0,0.07342487094981331,0.00106987725055177,0.07538328124999999,7.984375000000266e-05,,22.882854429167875,,rising,7783208.0,8.0,10.775985800509064,15.0,5.0,0.0,5.0,0.9802989697361659,69.62000348700829,147.65100671140863,0.0003020613774177696,0.00106987725055177,0.07538328124999999,,22.882854429167875,,3.0,0.0,rising,7783208.0,5.040000000000037,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.22}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
