Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
LINKUSDT,Buy,43,23.428,23.5966816,22.72516,Bullish,2025-09-10T12:25:31.232420+00:00,2025-09-10T17:55:31.232420+05:30,Success,5,5.0,,5.04%,59.206440156727055,0.003925157788071232,-0.007770241930780165,0.011695399718851397,23.457199710283867,23.369999999999997,23.28280028971613,0.8325699122806185,128.42734782828833,10.0,3.0,0.0,23.382026181834018,0.04480282827860131,23.35628125,0.024968749999995765,0.1069037906023493,,2.2358191992148804,,rising,78872.98999999999,8.0,10.264997189619304,15.0,5.0,0.0,5.0,0.8325699122806185,59.206440156727055,128.42734782828833,0.011695399718851397,0.04480282827860131,23.35628125,,2.2358191992148804,,3.0,0.0,rising,78872.98999999999,0.024968749999995765,0.1069037906023493,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.74}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
ADAUSDT,Buy,44,0.8775,0.883818,0.851175,Bullish,2025-09-10T12:25:32.964713+00:00,2025-09-10T17:55:32.964713+05:30,Success,5,5.0,,5.04%,62.96025199424612,0.000493900649214174,4.2040725309667765e-06,0.0004896965766832072,0.8781171581587794,0.8749749999999998,0.8718328418412202,0.9017939060363537,153.97282832440877,10.0,3.0,0.0,0.8756059189571327,0.0016144936715158378,0.8760812499999999,0.0006453124999999948,0.07365897854793661,,10.816303618963584,,rising,8311199.0,8.0,11.279506911515126,15.0,5.0,0.0,5.0,0.9017939060363537,62.96025199424612,153.97282832440877,0.0004896965766832072,0.0016144936715158378,0.8760812499999999,,10.816303618963584,,3.0,0.0,rising,8311199.0,0.0006453124999999948,0.07365897854793661,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.72}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
PUMPUSDT,Buy,48,0.005525,0.00556478,0.00535925,Bullish,2025-09-10T12:25:33.836702+00:00,2025-09-10T17:55:33.836702+05:30,Success,5,5.0,,5.04%,74.07862620775855,4.119755607020093e-05,1.9974294577671618e-05,2.1223261492529314e-05,0.005538040839497518,0.0053837,0.005229359160502482,0.9577531146650041,156.08891752577242,10.0,3.0,0.0,0.005370398567246821,4.466145422180628e-05,0.00547875,2.8625000000000005e-05,0.5224731918777095,,28.802043426998253,,rising,4998060688.0,8.0,15.404874397753169,15.0,5.0,0.0,5.0,0.9577531146650041,74.07862620775855,156.08891752577242,2.1223261492529314e-05,4.466145422180628e-05,0.00547875,,28.802043426998253,,3.0,0.0,rising,4998060688.0,2.8625000000000005e-05,0.5224731918777095,5.039999999999958,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
BNBUSDT,Buy,44,887.07,893.456904,860.4579,Bullish,2025-09-10T12:25:34.707011+00:00,2025-09-10T17:55:34.707011+05:30,Success,36,36.0,,5.04%,72.73395519689849,0.7456697829982204,0.5046911754402073,0.24097860755801315,886.8280753203217,884.9535,883.0789246796783,1.064527863206071,249.1705374917304,10.0,3.0,0.0,884.2348659545439,0.7744978686631085,885.5546875,0.38343750000001364,0.04329913278224431,,31.719210202268634,,rising,15888.68,8.0,11.467401545436685,15.0,5.0,0.0,5.0,1.064527863206071,72.73395519689849,249.1705374917304,0.24097860755801315,0.7744978686631085,885.5546875,,31.719210202268634,,3.0,0.0,rising,15888.68,0.38343750000001364,0.04329913278224431,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.53}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
PENGUUSDT,Buy,46,0.034052,0.03429717,0.03303044,Bullish,2025-09-10T12:25:38.177290+00:00,2025-09-10T17:55:38.177290+05:30,Success,5,5.0,,5.04%,65.02299966103858,6.085289657218468e-05,1.4048671022982097e-05,4.680422554920258e-05,0.034072516625632945,0.0337784,0.033484283374367055,0.965121615296663,170.38993855166166,10.0,3.0,0.0,0.0338194439398421,0.00011978135604229742,0.0339215625,6.034374999999703e-05,0.17789201190245005,,15.68170045552848,,rising,70183234.0,8.0,13.377932011257242,15.0,5.0,0.0,5.0,0.965121615296663,65.02299966103858,170.38993855166166,4.680422554920258e-05,0.00011978135604229742,0.0339215625,,15.68170045552848,,3.0,0.0,rising,70183234.0,6.034374999999703e-05,0.17789201190245005,5.039999999999983,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.62}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
ARBUSDT,Buy,49,0.5069,0.51054968,0.491693,Bullish,2025-09-10T12:25:44.347541+00:00,2025-09-10T17:55:44.347541+05:30,Success,5,5.0,,5.04%,63.756881177844775,0.0005078958935202937,0.00010261919872252097,0.0004052766947977728,0.5070538621277899,0.504485,0.50191613787221,0.9700524745712481,190.9492273730587,10.0,3.0,0.0,0.5050722713120026,0.0013238195586131264,0.5056968749999999,0.0005484374999999986,0.10845182699616221,,14.02808399642458,,falling,-61183.0,8.0,11.347406685346506,15.0,10.0,0.0,5.0,0.9700524745712481,63.756881177844775,190.9492273730587,0.0004052766947977728,0.0013238195586131264,0.5056968749999999,,14.02808399642458,,3.0,0.0,falling,-61183.0,0.0005484374999999986,0.10845182699616221,5.039999999999984,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.65}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
LTCUSDT,Buy,43,113.17,113.984824,109.7749,Bullish,2025-09-10T12:25:46.067858+00:00,2025-09-10T17:55:46.067858+05:30,Success,40,40.0,,5.04%,62.87361107896099,0.044081317319694335,0.01012973383614826,0.03395158348354607,113.20226426988162,112.9435,112.68473573011838,0.9376570229414164,152.3646723646785,10.0,3.0,0.0,112.94242643931393,0.13931177798060407,112.99875,0.06734375000002046,0.05959689819579462,,9.375943176251067,,rising,10891.258999999998,8.0,9.849024507594418,15.0,5.0,0.0,5.0,0.9376570229414164,62.87361107896099,152.3646723646785,0.03395158348354607,0.13931177798060407,112.99875,,9.375943176251067,,3.0,0.0,rising,10891.258999999998,0.06734375000002046,0.05959689819579462,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.15}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
1000SATSUSDT,Buy,42,4.43e-05,4.462e-05,4.297e-05,Bullish,2025-09-10T12:25:46.963966+00:00,2025-09-10T17:55:46.963966+05:30,Success,5,5.0,,5.04%,55.732373256064015,1.7448044513068944e-07,7.58077436718089e-08,9.867270145888054e-08,4.4796183527239876e-05,4.377e-05,4.274381647276013e-05,0.7582384076197062,96.67504889633959,10.0,3.0,0.0,4.3827927820533455e-05,5.796442089197076e-07,4.4251562499999996e-05,3.031250000000023e-07,0.6850040605910861,,8.413475681429802,,falling,-3026405110.0,4.0,8.085514525240722,15.0,10.0,0.0,5.0,0.7582384076197062,55.732373256064015,96.67504889633959,9.867270145888054e-08,5.796442089197076e-07,4.4251562499999996e-05,,8.413475681429802,,3.0,0.0,falling,-3026405110.0,3.031250000000023e-07,0.6850040605910861,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.91}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
DOTUSDT,Buy,46,4.098,4.1275056,3.97506,Bullish,2025-09-10T12:25:48.721079+00:00,2025-09-10T17:55:48.721079+05:30,Success,5,5.0,,5.04%,65.36870444775408,0.0036216874028225376,0.00024838001635130944,0.003373307386471228,4.102590931640256,4.0779,4.0532090683597435,0.9070320288609349,158.58585858585442,10.0,3.0,0.0,4.085589099308206,0.008642027703757557,4.088875,0.003296875000000199,0.08063036898902996,,13.279647480772136,,rising,1263936.9,8.0,13.368099715777156,15.0,5.0,0.0,5.0,0.9070320288609349,65.36870444775408,158.58585858585442,0.003373307386471228,0.008642027703757557,4.088875,,13.279647480772136,,3.0,0.0,rising,1263936.9,0.003296875000000199,0.08063036898902996,5.040000000000042,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.63}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
MUSDT,Buy,49,2.0345,2.0491484,1.973465,Bullish,2025-09-10T12:25:51.313586+00:00,2025-09-10T17:55:51.313586+05:30,Fail,43,,43.0,5.04%,70.7317263526737,0.012908538456494645,0.0022141211795928956,0.01069441727690175,2.024177713183639,1.9647549999999998,1.9053322868163605,1.0868547249303557,225.07911595295457,10.0,3.0,0.0,1.97511264237319,0.02129175816027078,1.9891,0.01190937500000011,0.5987318385199392,,18.478014482820814,,rising,2568001.0,8.0,16.0,15.0,5.0,0.0,5.0,1.0868547249303557,70.7317263526737,225.07911595295457,0.01069441727690175,0.02129175816027078,1.9891,,18.478014482820814,,3.0,0.0,rising,2568001.0,0.01190937500000011,0.5987318385199392,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
