Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
ETHUSDT,Buy,41,4429.98,4461.875856,4297.0806,Bullish,2025-09-11T14:42:08.715017+00:00,2025-09-11T20:12:08.715017+05:30,Success,511,511,,5.04%,55.16955905127004,0.1661541383500662,-2.3979630938755436,2.56411723222561,4436.642008190395,4411.8785,4387.114991809604,0.865487390979208,137.5872630411972,10.0,3.0,0.0,4419.420740957902,16.535914986463606,4417.405,-0.4545312499994907,-0.010289553482179938,,0.03959764391094826,,rising,68570.31200000002,8.0,7.721524549672072,15.0,5.0,0.0,5.0,0.865487390979208,55.16955905127004,137.5872630411972,2.56411723222561,16.535914986463606,4417.405,,0.03959764391094826,,3.0,0.0,rising,68570.31200000002,-0.4545312499994907,-0.010289553482179938,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.28}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,
BTCUSDT,Buy,41,114412.0,115235.7664,110979.64,Bullish,2025-09-11T14:42:09.636368+00:00,2025-09-11T20:12:09.636368+05:30,Success,507,507,,5.04%,59.65973357841967,108.63574982922,66.08043743601499,42.555312393205014,114640.10959627495,114011.93999999999,113383.77040372502,0.8184331129462178,114.1237292673534,10.0,3.0,0.0,114028.65286488112,238.50351441852368,114341.096875,-22.58437499999127,-0.019751756470100128,,10.810443883964973,,rising,3882.6459999999993,8.0,8.28223248586897,15.0,5.0,0.0,5.0,0.8184331129462178,59.65973357841967,114.1237292673534,42.555312393205014,238.50351441852368,114341.096875,,10.810443883964973,,3.0,0.0,rising,3882.6459999999993,-22.58437499999127,-0.019751756470100128,5.039999999999957,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.72}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,
WLFIUSDT,Buy,46,0.2019,0.20335368,0.195843,Bullish,2025-09-11T14:42:23.982589+00:00,2025-09-11T20:12:23.982589+05:30,Success,37,37,,5.04%,58.94385966971339,0.00025954746876533097,2.9422515657702394e-05,0.00023012495310762858,0.20228463460572155,0.20009000000000002,0.1978953653942785,0.9123693291086388,122.51243781094703,10.0,3.0,0.0,0.20049792240967035,0.0012288339396150651,0.201253125,4.6875000000001776e-05,0.02329156379559412,,5.679574271768034,,rising,108686142.0,8.0,13.494503851605186,15.0,5.0,0.0,5.0,0.9123693291086388,58.94385966971339,122.51243781094703,0.00023012495310762858,0.0012288339396150651,0.201253125,,5.679574271768034,,3.0,0.0,rising,108686142.0,4.6875000000001776e-05,0.02329156379559412,5.0400000000000444,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.51}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,
LTCUSDT,Buy,41,114.06,114.881232,110.6382,Bullish,2025-09-11T14:42:30.180663+00:00,2025-09-11T20:12:30.180663+05:30,Success,263,263,,5.04%,33.912463163718584,-0.7091023112088948,-0.5356028283830154,-0.17349948282587935,117.43345506371388,115.33049999999999,113.2275449362861,0.19792507174256102,-99.62104223136467,10.0,0.0,3.0,115.8981476415622,0.5639506818048867,113.99140625,-0.42515625000000057,-0.37297219499825285,,-36.22600725017619,,falling,-248998.17999999996,18.0,5.0,8.0,5.0,0.0,5.0,0.19792507174256102,33.912463163718584,-99.62104223136467,-0.17349948282587935,0.5639506818048867,113.99140625,,-36.22600725017619,,0.0,3.0,falling,-248998.17999999996,-0.42515625000000057,-0.37297219499825285,5.039999999999968,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,
ONDOUSDT,Buy,40,1.0192,1.02653824,0.988624,Bullish,2025-09-11T14:42:45.451717+00:00,2025-09-11T20:12:45.451717+05:30,Success,219,219,,5.04%,53.17953468144258,2.8355712343719475e-05,-0.0003770333135367313,0.00040538902588045075,1.0256005660767729,1.015395,1.0051894339232272,0.6864178807611655,60.70140937397906,10.0,3.0,0.0,1.0169084545765226,0.005213962907193191,1.0161656250000002,-0.0012218749999997058,-0.12024368566883037,,0.019601835106307874,,falling,-442273.8999999998,4.0,5.86601569560616,15.0,10.0,0.0,5.0,0.6864178807611655,53.17953468144258,60.70140937397906,0.00040538902588045075,0.005213962907193191,1.0161656250000002,,0.019601835106307874,,3.0,0.0,falling,-442273.8999999998,-0.0012218749999997058,-0.12024368566883037,5.039999999999958,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.13}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,
TAUSDT,Buy,43,0.1187,0.11955464,0.115139,Bullish,2025-09-11T14:42:52.629215+00:00,2025-09-11T20:12:52.629215+05:30,Success,1,1,,5.04%,56.32025809154006,-1.8329896563543113e-05,-0.0003808777185500604,0.0003625478219865173,0.11908694752748689,0.116614,0.1141410524725131,0.9217639025523283,120.14360184911999,10.0,0.0,3.0,0.11811642430231206,0.0017964667539615334,0.11704374999999999,0.0003589062499999851,0.30664281518661624,,-0.44569981475009673,,falling,-2258000.0,8.0,9.843478293427259,15.0,5.0,0.0,5.0,0.9217639025523283,56.32025809154006,120.14360184911999,0.0003625478219865173,0.0017964667539615334,0.11704374999999999,,-0.44569981475009673,,0.0,3.0,falling,-2258000.0,0.0003589062499999851,0.30664281518661624,5.040000000000021,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.16}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,
PYTHUSDT,Buy,49,0.17521,0.17647151,0.1699537,Bullish,2025-09-11T14:42:55.318589+00:00,2025-09-11T20:12:55.318589+05:30,Success,6,6,,5.04%,68.31936109271753,0.0007005162531359688,5.34602424280663e-05,0.0006470560107079025,0.17498161939524326,0.17120700000000003,0.1674323806047568,1.0302521368173636,215.71243038587795,10.0,3.0,0.0,0.17183197158716682,0.001195021041759831,0.17216921875000002,0.0006796875000000258,0.3947787560022402,,14.587077072810036,,rising,31586105.0,8.0,16.0,15.0,5.0,0.0,5.0,1.0302521368173636,68.31936109271753,215.71243038587795,0.0006470560107079025,0.001195021041759831,0.17216921875000002,,14.587077072810036,,3.0,0.0,rising,31586105.0,0.0006796875000000258,0.3947787560022402,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,
HIFIUSDT,Buy,47,0.07574,0.07628533,0.0734678,Bullish,2025-09-11T14:42:57.123163+00:00,2025-09-11T20:12:57.123163+05:30,Success,3,3,,5.04%,61.076271282518995,0.00033981193581680835,0.00010907005876954592,0.00023074187704726242,0.07582050646678481,0.07409,0.07235949353321519,0.9767390448027652,146.95652173912956,10.0,3.0,0.0,0.07426087920314467,0.0010513594500259828,0.07479546875000001,0.0003484375000000206,0.4658537553453338,,8.496898760203585,,falling,-268417.0,8.0,9.26728042345312,15.0,10.0,0.0,5.0,0.9767390448027652,61.076271282518995,146.95652173912956,0.00023074187704726242,0.0010513594500259828,0.07479546875000001,,8.496898760203585,,3.0,0.0,falling,-268417.0,0.0003484375000000206,0.4658537553453338,5.039999999999979,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.73}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,
DAMUSDT,Strong Buy,68,0.07183,0.07234718,0.0696751,Bullish,2025-09-11T14:42:58.902701+00:00,2025-09-11T20:12:58.902701+05:30,Success,1,1,,5.04%,82.76999963213183,0.0017700239100182369,0.000947816159523174,0.0008222077504950629,0.06956391224505691,0.06422649999999999,0.05888908775494307,1.2122833735619505,289.5325380098859,10.0,3.0,0.0,0.06326617262046617,0.0018738364388650557,0.06625265625,0.0010034374999999957,1.5145619161495818,,41.974559339474766,,rising,128970183.0,8.0,19.530794258560462,15.0,5.0,0.0,5.0,1.2122833735619505,82.76999963213183,289.5325380098859,0.0008222077504950629,0.0018738364388650557,0.06625265625,,41.974559339474766,,3.0,0.0,rising,128970183.0,0.0010034374999999957,1.5145619161495818,5.039999999999943,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,53.0,61.0,0.0010034374999999957,1.5145619161495818,True,61.0,68.0,0.8775661882133718,1.5145619161495818,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
