Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,5,2,3,0,40.0,79.0
Buy,121,34,87,0,28.09917355371901,48.17355371900826
Strong Sell,3,2,1,0,66.66666666666666,79.0
Sell,237,124,112,1,52.54237288135594,47.278481012658226
