Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI<=30_and_CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,__source_file,WOULD__missing_points,WOULD__top1,WOULD__top2,WOULD__top3
XRPUSDT,Buy,40,2.8725,2.893182,2.786325,Bullish,2025-09-07T20:57:38.179363+00:00,2025-09-08T02:27:38.179363+05:30,Inconclusive,300,,,5.04%,62.79689625505303,0.0022473510138105723,0.0010095399102231265,0.0012378111035874458,2.876354871887372,2.86459,2.8528251281126282,0.836170256494259,105.48823948681611,10.0,0.0,3.0,2.8664849639119274,0.0037914286911776046,2.8730015625000003,0.0007515625000000803,,14.13613798238961,,rising,4290915.5,8.0,11.835427989250054,15.0,0.0,0.0,5.0,0.836170256494259,62.79689625505303,105.48823948681611,0.0012378111035874458,0.0037914286911776046,2.8730015625000003,,14.13613798238961,,0.0,3.0,rising,4290915.5,5.039999999999967,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,,Buy,40,40.0,,,signals_2025-09-08_02-28-55.csv,25,base_score:32.0,confluence_bonus:30.0,volume_score:10.0
DOGEUSDT,Buy,47,0.22328,0.22488762,0.2165816,Bullish,2025-09-07T20:57:39.372692+00:00,2025-09-08T02:27:39.372692+05:30,Success,73,73.0,,5.04%,65.1340536886992,0.00031088325140668505,0.00022645609634903047,8.442715505765458e-05,0.22321632177289605,0.222411,0.22160567822710395,1.0395358906508652,197.6983148376572,10.0,3.0,0.0,0.22211013221506337,0.000438603490378743,0.22270328125,6.859374999998447e-05,,18.367161200657545,,rising,12175119.0,8.0,13.619780202008881,15.0,5.0,0.0,5.0,1.0395358906508652,65.1340536886992,197.6983148376572,8.442715505765458e-05,0.000438603490378743,0.22270328125,,18.367161200657545,,3.0,0.0,rising,12175119.0,5.04000000000002,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.38}]}",False,not_in_gap_or_already_strong,,Buy,47,47.0,,,signals_2025-09-08_02-28-55.csv,18,base_score:32.0,confluence_bonus:30.0,momentum_score:6.38
MUSDT,Buy,54,1.7604,1.77307488,1.707588,Bullish,2025-09-07T20:57:44.633762+00:00,2025-09-08T02:27:44.633762+05:30,Success,13,13.0,,5.04%,29.196874772220085,-0.023213771486520818,-0.0228430209980663,-0.00037075048845451944,1.8410746568477245,1.7925099999999996,1.7439453431522747,0.169409792179929,-108.62334076003478,10.0,0.0,3.0,1.8279622792037211,0.01640358534877638,1.7577749999999999,-0.00020781250000001528,,-44.81087035777639,,falling,-4573849.0,24.0,0.0,8.0,5.0,12.0,5.0,0.169409792179929,29.196874772220085,-108.62334076003478,-0.00037075048845451944,0.01640358534877638,1.7577749999999999,,-44.81087035777639,,0.0,3.0,falling,-4573849.0,5.040000000000021,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.00020781250000001528,Buy,54,,,,signals_2025-09-08_02-28-55.csv,11,momentum_score:20.0,confluence_bonus:18.0,base_score:16.0
REDUSDT,Buy,49,0.7267,0.73193224,0.704899,Bullish,2025-09-07T20:57:50.622137+00:00,2025-09-08T02:27:50.622137+05:30,Success,83,83.0,,5.04%,65.64856062317617,0.0033750849471085864,0.0015279593236421742,0.0018471256234664122,0.7260553682410111,0.713985,0.7019146317589888,1.026703069289909,203.84445913197015,10.0,3.0,0.0,0.715146958768204,0.006418566400051404,0.718615625,0.002464062499999864,,16.226611892738575,,falling,-114566.0,8.0,10.906684795352255,15.0,10.0,0.0,5.0,1.026703069289909,65.64856062317617,203.84445913197015,0.0018471256234664122,0.006418566400051404,0.718615625,,16.226611892738575,,3.0,0.0,falling,-114566.0,5.039999999999999,,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.09}]}",False,not_in_gap_or_already_strong,,Buy,49,49.0,,,signals_2025-09-08_02-28-55.csv,16,base_score:32.0,confluence_bonus:30.0,momentum_score:9.09
SUIUSDT,Buy,42,3.3854,3.40977488,3.283838,Bullish,2025-09-07T20:57:53.999354+00:00,2025-09-08T02:27:53.999354+05:30,Success,143,143.0,,5.04%,59.8272050862256,0.0022008763309817603,0.0012102878890253022,0.0009905884419564581,3.388101152869091,3.378045,3.3679888471309094,0.8656965091793097,138.23857302119217,10.0,0.0,3.0,3.3791730291290687,0.005229536611421098,3.3787125000000002,0.00048437500000009237,,10.254501124198418,,rising,554722.5,8.0,13.546124135555964,15.0,0.0,0.0,5.0,0.8656965091793097,59.8272050862256,138.23857302119217,0.0009905884419564581,0.005229536611421098,3.3787125000000002,,10.254501124198418,,0.0,3.0,rising,554722.5,5.039999999999974,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,,Buy,42,42.0,,,signals_2025-09-08_02-28-55.csv,23,base_score:32.0,confluence_bonus:30.0,volume_score:10.0
LINKUSDT,Buy,43,22.256,22.4162432,21.58832,Bullish,2025-09-07T20:57:55.197440+00:00,2025-09-08T02:27:55.197440+05:30,Success,111,111.0,,5.04%,60.704203657950934,0.009427119533253148,0.0017465423891294706,0.0076805771441236775,22.26005653820074,22.2014,22.14274346179926,0.9654212614213893,152.55877199863912,10.0,0.0,3.0,22.21506330886408,0.03258148450150381,22.198703124999998,0.006171874999999716,,6.819084529975568,,rising,172861.14,8.0,14.657625927095502,15.0,0.0,0.0,5.0,0.9654212614213893,60.704203657950934,152.55877199863912,0.0076805771441236775,0.03258148450150381,22.198703124999998,,6.819084529975568,,0.0,3.0,rising,172861.14,5.040000000000002,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,,Buy,43,43.0,,,signals_2025-09-08_02-28-55.csv,22,base_score:32.0,confluence_bonus:30.0,volume_score:10.0
PUMPUSDT,Buy,45,0.004888,0.00492319,0.00474136,Bullish,2025-09-07T20:57:56.430621+00:00,2025-09-08T02:27:56.430621+05:30,Success,9,9.0,,5.04%,62.69099703684985,2.0394198365495872e-05,1.7097175440729126e-05,3.2970229247667457e-06,0.004900704677781224,0.00484415,0.004787595322218776,0.8876779226789088,133.97642015005283,10.0,3.0,0.0,0.0048123987065386495,2.7788518877530317e-05,0.004867375,1.6140625000000963e-05,,19.71702070971971,,rising,545588675.0,8.0,11.847526726528233,15.0,5.0,0.0,5.0,0.8876779226789088,62.69099703684985,133.97642015005283,3.2970229247667457e-06,2.7788518877530317e-05,0.004867375,,19.71702070971971,,3.0,0.0,rising,545588675.0,5.040000000000059,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.15}]}",False,not_in_gap_or_already_strong,,Buy,45,45.0,,,signals_2025-09-08_02-28-55.csv,20,base_score:32.0,confluence_bonus:30.0,momentum_score:8.15
ADAUSDT,Buy,47,0.8311,0.83708392,0.806167,Bullish,2025-09-07T20:57:57.807247+00:00,2025-09-08T02:27:57.807247+05:30,Success,143,143.0,,5.04%,64.52533498686239,0.0005702652721195633,0.00028627159131037094,0.0002839936808091924,0.8307935602134506,0.828155,0.8255164397865493,1.058069507943607,199.2031872509899,10.0,3.0,0.0,0.828251191397637,0.0013785416011753385,0.8280890624999999,0.0001265624999999826,,10.652143696037527,,rising,2466042.0,8.0,13.944245667747317,15.0,5.0,0.0,5.0,1.058069507943607,64.52533498686239,199.2031872509899,0.0002839936808091924,0.0013785416011753385,0.8280890624999999,,10.652143696037527,,3.0,0.0,rising,2466042.0,5.040000000000027,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.06}]}",False,not_in_gap_or_already_strong,,Buy,47,47.0,,,signals_2025-09-08_02-28-55.csv,18,base_score:32.0,confluence_bonus:30.0,momentum_score:6.06
HEMIUSDT,Buy,44,0.039538,0.03982267,0.03835186,Bullish,2025-09-07T20:57:59.418559+00:00,2025-09-08T02:27:59.418559+05:30,Fail,65,,65.0,5.04%,32.784420869854415,-0.0002378527323508295,-9.301089530534351e-05,-0.00014484183704548597,0.04160866972346679,0.04059069999999999,0.0395727302765332,-0.01705859994289686,-161.03250772292017,10.0,0.0,3.0,0.04042873337029562,0.00041705726080472236,0.0398979375,-0.00011653125000000292,,-16.95804369270572,,falling,-95504654.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.01705859994289686,32.784420869854415,-161.03250772292017,-0.00014484183704548597,0.00041705726080472236,0.0398979375,,-16.95804369270572,,0.0,3.0,falling,-95504654.0,5.0400000000000045,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,Buy,44,44.0,,,signals_2025-09-08_02-28-55.csv,21,confluence_bonus:30.0,momentum_score:20.0,base_score:14.0
HYPEUSDT,Buy,44,47.155,47.494516,45.74035,Bullish,2025-09-07T20:58:09.791753+00:00,2025-09-08T02:28:09.791753+05:30,Success,148,148.0,,5.04%,59.8670805158131,-0.0022245500025235287,-0.030333120832712515,0.028108570830188986,47.203698807014625,46.978699999999996,46.75370119298537,0.89177985505617,105.98708544918503,10.0,0.0,3.0,47.048225840723724,0.10605175701118037,46.867671875,0.04089062499999585,,-0.8172508763470131,,falling,-29760.590000000004,8.0,11.36109875910322,15.0,5.0,0.0,5.0,0.89177985505617,59.8670805158131,105.98708544918503,0.028108570830188986,0.10605175701118037,46.867671875,,-0.8172508763470131,,0.0,3.0,falling,-29760.590000000004,5.040000000000049,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.64}]}",False,not_in_gap_or_already_strong,,Buy,44,44.0,,,signals_2025-09-08_02-28-55.csv,21,base_score:32.0,confluence_bonus:30.0,momentum_score:8.64
