Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct
ENAUSDT,Buy,40,0.7377,0.74386298,0.73153702,Bullish,2025-09-06T13:52:34.469204+00:00,2025-09-06T19:22:34.469204+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Success,30,30.0,,5.85%,39.66364088060793,-0.0005424537319186065,0.7511976700600312,0.74197,0.7327423299399688,0.26863065257962054,-95.37113837109574,10.0,3.0,0.0,0.7440637334336045,0.0034238755860245733,0.7356109375,,-28.263520243002187,,falling,-0.011599999999999944,0.26863065257962054,39.66364088060793,-95.37113837109574,-0.0005424537319186065,0.0034238755860245733,0.7356109375,,-28.263520243002187,,3.0,0.0,falling,5.848018487719937
BCHUSDT,Buy,40,593.44,597.712768,588.69248,Bullish,2025-09-06T13:52:49.938173+00:00,2025-09-06T19:22:49.938173+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 7.0}]}",Success,170,170.0,,5.04%,58.428611684423124,0.7532018689242674,594.7978850436687,590.106,585.4141149563313,0.8552942973846979,126.37574821394116,10.0,3.0,0.0,593.4671353630998,1.862149878951538,593.2962500000001,,7.483605785820684,,rising,5.290000000000077,0.8552942973846979,58.428611684423124,126.37574821394116,0.7532018689242674,1.862149878951538,593.2962500000001,,7.483605785820684,,3.0,0.0,rising,5.040000000000049
NMRUSDT,Buy,44,18.109,18.398744,17.74682,Bullish,2025-09-06T13:52:51.139735+00:00,2025-09-06T19:22:51.139735+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.06}]}",Success,13,13.0,,11.20%,73.63006582440309,0.08823519357481913,18.53475689563916,17.278,16.02124310436084,0.8306128666902495,101.47988711914675,10.0,3.0,0.0,16.97995275006033,0.30530533723929204,18.343921875,,43.74652779703193,,rising,1.591000000000001,0.8306128666902495,73.63006582440309,101.47988711914675,0.08823519357481913,0.30530533723929204,18.343921875,,43.74652779703193,,3.0,0.0,rising,11.199999999999957
BNBUSDT,Buy,41,861.73,867.934456,854.83616,Bullish,2025-09-06T13:52:52.337563+00:00,2025-09-06T19:22:52.337563+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",Inconclusive,300,,,5.04%,49.11359838921382,-0.28479840777282517,864.8165560962029,862.506,860.195443903797,0.3320750573259854,-69.54432354564793,10.0,3.0,0.0,861.3457920752347,1.1400640351738327,861.1560937500001,,-2.930132328342371,,falling,-2.8099999999999454,0.3320750573259854,49.11359838921382,-69.54432354564793,-0.28479840777282517,1.1400640351738327,861.1560937500001,,-2.930132328342371,,3.0,0.0,falling,5.04000000000004
AVAXUSDT,Buy,43,24.168,24.3420096,23.974656,Bullish,2025-09-06T13:52:55.893335+00:00,2025-09-06T19:22:55.893335+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.56}]}",Success,27,27.0,,5.04%,57.182769834994595,0.0015606204674592991,24.17082772501936,24.14675,24.12267227498064,0.9412792317985171,138.03376365443103,10.0,3.0,0.0,24.151718061989897,0.02595510512014051,24.157062500000002,,5.142156025102394,,rising,0.01699999999999946,0.9412792317985171,57.182769834994595,138.03376365443103,0.0015606204674592991,0.02595510512014051,24.157062500000002,,5.142156025102394,,3.0,0.0,rising,5.0400000000000444
MITOUSDT,Buy,41,0.22313,0.22670008,0.2186674,Bullish,2025-09-06T13:53:01.878886+00:00,2025-09-06T19:23:01.878886+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Fail,9,,9.0,11.20%,46.70463249692227,-0.001404750883980556,0.23451452042386287,0.22877399999999998,0.2230334795761371,0.008406940201943894,-148.52812755288838,10.0,3.0,0.0,0.21835304578726453,0.0040769911955664115,0.22713249999999996,,23.879217104554364,,rising,0.005599999999999994,0.008406940201943894,46.70463249692227,-148.52812755288838,-0.001404750883980556,0.0040769911955664115,0.22713249999999996,,23.879217104554364,,3.0,0.0,rising,11.20000000000001
PYTHUSDT,Buy,42,0.15823,0.15936926,0.15696416,Bullish,2025-09-06T13:53:03.047113+00:00,2025-09-06T19:23:03.047113+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Success,11,11.0,,5.04%,61.82319625287969,0.00012610367064811047,0.1581216623043169,0.15719349999999999,0.15626533769568307,1.0583613960506832,212.24887848645332,10.0,0.0,3.0,0.15752300980933592,0.0005960344309221213,0.15750468750000002,,4.233868597064765,,rising,0.0004200000000000037,1.0583613960506832,61.82319625287969,212.24887848645332,0.00012610367064811047,0.0005960344309221213,0.15750468750000002,,4.233868597064765,,0.0,3.0,rising,5.040000000000022
PIPPINUSDT,Buy,40,0.01982,0.02013712,0.0194236,Bullish,2025-09-06T13:53:04.242209+00:00,2025-09-06T19:23:04.242209+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,81,81.0,,11.20%,48.600427931194595,-2.608310253932742e-05,0.0200999422618706,0.019909000000000003,0.019718057738129405,0.26694525578544276,-94.9400104329715,10.0,3.0,0.0,0.019768067052576912,0.0002206205974748375,0.0198546875,,2.7732314933913393,,falling,-0.0001899999999999992,0.26694525578544276,48.600427931194595,-94.9400104329715,-2.608310253932742e-05,0.0002206205974748375,0.0198546875,,2.7732314933913393,,3.0,0.0,falling,11.200000000000019
AAVEUSDT,Buy,41,299.88,302.039136,297.48096,Bullish,2025-09-06T13:53:05.438404+00:00,2025-09-06T19:23:05.438404+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Inconclusive,300,,,5.04%,58.86786251270348,0.05231581528443896,299.85613945189994,299.53049999999996,299.2048605481,1.0366364516965678,171.02246675839953,10.0,0.0,3.0,299.75956831339744,0.335054080980477,299.73421874999997,,6.581032984419727,,rising,0.5400000000000205,1.0366364516965678,58.86786251270348,171.02246675839953,0.05231581528443896,0.335054080980477,299.73421874999997,,6.581032984419727,,0.0,3.0,rising,5.039999999999976
TRXUSDT,Buy,62,0.33012,0.33249686,0.32747904,Bullish,2025-09-06T13:53:12.581287+00:00,2025-09-06T19:23:12.581287+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",Fail,110,,110.0,5.04%,29.76683361155969,-4.447467527345832e-05,0.33102204741247543,0.3305995,0.33017695258752455,-0.06739194921450216,-221.03174603178226,10.0,0.0,3.0,0.33082908738630745,0.00018702812886575463,0.3305128125000001,,-26.22721169506914,,falling,-0.0006699999999999484,-0.06739194921450216,29.76683361155969,-221.03174603178226,-4.447467527345832e-05,0.00018702812886575463,0.3305128125000001,,-26.22721169506914,,0.0,3.0,falling,5.039999999999954
