SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score,Keltner_sell_score
signals_2025-09-05_00-27-13_STRONG.json,ETHUSDT,Sell,45,Inconclusive,,False,40,45,,,Bullish,5.04%,0,0,2025-09-04T18:56:11.970478+00:00,2025-09-05T00:26:11.970478+05:30,39.27318416446127,-77.72916666666751,-153.1926083681845,-0.09844101271135391,,,falling,up,up,-7.457735145403603,-5.716418497504583,-1.74131664789902,4323.588830794232,4298.9525,4274.316169205768,4320.7325,4298.952499999999,4277.172499999999,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,BTCUSDT,Buy,40,Success,208.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T18:56:12.849598+00:00,2025-09-05T00:26:12.849598+05:30,55.493697590980496,-38.64734299516908,41.40811031737127,-0.010312262715375494,,,falling,up,up,83.41408582135045,77.15627550148616,6.257810319864291,110152.69829281453,109857.33,109561.96170718547,110102.88,109857.33,109611.78,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,SOLUSDT,Sell,45,Inconclusive,,False,40,45,,,Bullish,5.04%,0,0,2025-09-04T18:56:13.709884+00:00,2025-09-05T00:26:13.709884+05:30,38.56405740001094,-70.08196721311515,-108.01726442840376,-0.18595318695738425,,,falling,up,up,-0.41129919647485735,-0.3244521535067987,-0.08684704296805867,205.08608307426763,203.786,202.48591692573237,204.856,203.786,202.716,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,WLFIUSDT,Strong Sell,60,Fail,13.0,False,20,60,,,Bullish,5.04%,0,0,2025-09-04T18:56:14.566137+00:00,2025-09-05T00:26:14.566137+05:30,56.62538501453023,-15.00000000000007,9.73882248782603,-0.18885764663322985,,,falling,down,down,0.0004937873516921154,0.00044897644247105813,4.4810909221057276e-05,0.18873353516789787,0.18023499999999998,0.1717364648321021,0.187785,0.180235,0.172685,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,ALPACAUSDT,Sell,50,Inconclusive,,False,35,50,,,Bullish,5.04%,0,0,2025-09-04T18:56:15.446595+00:00,2025-09-05T00:26:15.446595+05:30,,,0.0,,,,falling,down,down,0.0,0.0,0.0,1.19,1.19,1.19,1.1900000000000002,1.1900000000000002,1.1900000000000002,10.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,15.0,10.0,10.0,0.0,15.0,10.0,15.0,
signals_2025-09-05_00-27-13_STRONG.json,XRPUSDT,Strong Buy,55,Success,241.0,True,55,45,,,Bullish,5.04%,0,0,2025-09-04T18:56:16.304621+00:00,2025-09-05T00:26:16.304621+05:30,37.875203657900535,-87.86764705882409,-122.42263830343528,-0.26103204862510837,,,falling,up,up,-0.003929408200601614,-0.0025676407285550075,-0.0013617674720466065,2.8237600416088,2.80934,2.7949199583912003,2.8203899999999997,2.8093399999999997,2.7982899999999997,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,DOGEUSDT,Sell,45,Inconclusive,,False,30,45,,,Bullish,5.04%,0,0,2025-09-04T18:56:17.161535+00:00,2025-09-05T00:26:17.161535+05:30,40.71390393452923,-77.39130434782544,-123.42778838153298,-0.2537579776084988,,,falling,up,up,-0.0003179822282767808,-0.0002597212892985743,-5.826093897820652e-05,0.21317154911397537,0.21204150000000005,0.21091145088602473,0.2131165,0.2120415,0.2109665,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,MUSDT,Buy,50,Fail,27.0,False,50,15,,,Bullish,5.04%,0,0,2025-09-04T18:56:18.109194+00:00,2025-09-05T00:26:18.109194+05:30,49.155072007239404,-65.2173913043477,-13.268763415109566,0.04051358255501912,,,falling,up,up,0.004110972086646125,0.004106229592896984,4.742493749140819e-06,1.3972438484260097,1.365375,1.3335061515739903,1.3936749999999998,1.3653749999999998,1.3370749999999998,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,ENAUSDT,Strong Buy,65,Success,141.0,True,65,35,,,Bullish,5.04%,0,0,2025-09-04T18:56:18.983580+00:00,2025-09-05T00:26:18.983580+05:30,35.436854162213876,-94.79166666666721,-135.02965489690345,-0.09244566309602945,,,falling,up,up,-0.003813045496554701,-0.004366966031552766,0.0005539205349980652,0.6550593626008022,0.650255,0.6454506373991978,0.6548049999999999,0.6502549999999999,0.645705,10.0,10.0,15.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_00-27-13_STRONG.json,PUMPUSDT,Buy,50,Fail,60.0,False,50,15,,,Bullish,5.04%,0,0,2025-09-04T18:56:19.873104+00:00,2025-09-05T00:26:19.873104+05:30,49.14200994809874,-54.79452054794523,19.335572974990516,0.01223218815898037,,,falling,up,up,-7.824938203883532e-06,-1.3569104869599224e-05,5.7441666657156925e-06,0.004227669767556472,0.0041569,0.004086130232443527,0.0042204,0.0041569,0.0040934,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
