Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI<=30_and_CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,__source_file,WOULD__missing_points,WOULD__top1,WOULD__top2,WOULD__top3
1000PEPEUSDT,Buy,59,0.0099178,0.00998921,0.00962027,Bullish,2025-09-07T22:57:46.783123+00:00,2025-09-08T04:27:46.783123+05:30,Success,242,242.0,,5.04%,71.72705934491248,1.8611709037916896e-05,1.1164893878958247e-05,7.446815158958647e-06,0.0099010730446851,0.009843875,0.0097866769553148,1.1462196427079363,223.20317829767868,10.0,3.0,0.0,0.0098376636887286,2.047836224384022e-05,0.009874665625,8.740624999999808e-06,,24.054880057062014,,rising,1191628178.0,8.0,17.727434434790634,15.0,5.0,0.0,5.0,1.1462196427079363,71.72705934491248,223.20317829767868,7.446815158958647e-06,2.047836224384022e-05,0.009874665625,,24.054880057062014,,3.0,0.0,rising,1191628178.0,5.0399999999999725,,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,8.740624999999808e-06,Buy,59,,51.0,59.0,signals_2025-09-08_04-28-35.csv,6,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
FARTCOINUSDT,Buy,60,0.7627,0.76819144,0.739819,Bullish,2025-09-07T22:58:02.194986+00:00,2025-09-08T04:28:02.194986+05:30,Success,6,6.0,,5.04%,80.06518116062676,0.0035560895752178,0.0022966950730917,0.001259394502126,0.7575894864043625,0.7476700000000001,0.7377505135956376,1.2575997076516978,252.21297397278545,10.0,3.0,0.0,0.744811519190019,0.0029553283553485,0.7527890625,0.0017062499999997,,35.426643496189406,,rising,9118489.2,8.0,19.22744832949684,15.0,5.0,0.0,5.0,1.2575997076516978,80.06518116062676,252.21297397278545,0.001259394502126,0.0029553283553485,0.7527890625,,35.426643496189406,,3.0,0.0,rising,9118489.2,5.0400000000000125,,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.0017062499999997,Buy,60,,52.0,60.0,signals_2025-09-08_04-28-35.csv,5,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
WIFUSDT,Buy,58,0.835,0.841012,0.80995,Bullish,2025-09-07T22:58:05.075873+00:00,2025-09-08T04:28:05.075873+05:30,Success,241,241.0,,5.04%,73.18419369795392,0.0024130244719889,0.0017136352797045,0.0006993891922844,0.8338346593904779,0.8275399999999999,0.821245340609522,1.0925658194695136,186.64865473375664,10.0,3.0,0.0,0.8258925307076835,0.00218403911029,0.83133125,0.0011187499999999,,30.21459088864687,,rising,4081194.3,8.0,16.685457891181372,15.0,5.0,0.0,5.0,1.0925658194695136,73.18419369795392,186.64865473375664,0.0006993891922844,0.00218403911029,0.83133125,,30.21459088864687,,3.0,0.0,rising,4081194.3,5.040000000000015,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.0011187499999999,Buy,58,,50.0,58.0,signals_2025-09-08_04-28-35.csv,7,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
FILUSDT,Buy,59,2.403,2.4203016,2.33091,Bullish,2025-09-07T22:58:12.709081+00:00,2025-09-08T04:28:12.709081+05:30,Success,244,244.0,,5.04%,75.51269213510682,0.0038011512897431,0.0023484755978945,0.0014526756918485,2.3994426039114267,2.3889500000000004,2.378457396088574,1.1695192212821133,273.5542560104036,10.0,3.0,0.0,2.385791919600025,0.0039073204950249,2.391875,0.0023906250000003,,27.052003935951905,,rising,581748.0,8.0,17.922794188180006,15.0,5.0,0.0,5.0,1.1695192212821133,75.51269213510682,273.5542560104036,0.0014526756918485,0.0039073204950249,2.391875,,27.052003935951905,,3.0,0.0,rising,581748.0,5.04000000000004,,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.0023906250000003,Buy,59,,51.0,59.0,signals_2025-09-08_04-28-35.csv,6,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
PENGUUSDT,Buy,58,0.029739,0.02995312,0.02884683,Bullish,2025-09-07T22:58:13.670898+00:00,2025-09-08T04:28:13.670898+05:30,Success,2,2.0,,5.04%,78.2888255885756,0.0001163400513604,7.59006983824905e-05,4.043935297794921e-05,0.0295642794519241,0.029245,0.0289257205480758,1.2736169631696228,320.8780367492906,10.0,3.0,0.0,0.0291338345206183,0.0001268442706795,0.02938296875,6.017187500000076e-05,,33.418532383647985,,rising,157535287.0,8.0,16.65146479436176,15.0,5.0,0.0,5.0,1.2736169631696228,78.2888255885756,320.8780367492906,4.043935297794921e-05,0.0001268442706795,0.02938296875,,33.418532383647985,,3.0,0.0,rising,157535287.0,5.039999999999964,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,6.017187500000076e-05,Buy,58,,50.0,58.0,signals_2025-09-08_04-28-35.csv,7,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
SEIUSDT,Buy,59,0.2958,0.29792976,0.286926,Bullish,2025-09-07T22:58:25.100350+00:00,2025-09-08T04:28:25.100350+05:30,Success,28,28.0,,5.04%,61.12627640150116,0.0001487795464641,3.76037754319724e-05,0.0001111757710322,0.2955033275662995,0.2945399999999999,0.2935766724337004,1.153983153850807,214.4754316069101,10.0,3.0,0.0,0.2946664202894594,0.0006275785811762,0.294903125,6.0937500000024514e-05,,5.7649692068328,,falling,-2756.0,8.0,13.25160861891166,15.0,10.0,0.0,5.0,1.153983153850807,61.12627640150116,214.4754316069101,0.0001111757710322,0.0006275785811762,0.294903125,,5.7649692068328,,3.0,0.0,falling,-2756.0,5.039999999999954,,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.75}]}",True,,6.0937500000024514e-05,Buy,59,,51.0,59.0,signals_2025-09-08_04-28-35.csv,6,base_score:32.0,confluence_bonus:30.0,momentum_score:6.75
XPLUSDT,Buy,61,0.7208,0.72598976,0.699176,Bullish,2025-09-07T22:58:28.886128+00:00,2025-09-08T04:28:28.886128+05:30,Success,51,51.0,,5.04%,77.66138387677253,0.0066728172955345,0.0040289459963447,0.0026438712991898,0.7281763093309379,0.7019650000000001,0.6757536906690622,0.8592914753359635,110.73550797915948,10.0,3.0,0.0,0.7026554460963167,0.0043460651012805,0.7234859375,0.0036796875,,39.83120981131149,,rising,3138617.0,8.0,20.0,15.0,5.0,0.0,5.0,0.8592914753359635,77.66138387677253,110.73550797915948,0.0026438712991898,0.0043460651012805,0.7234859375,,39.83120981131149,,3.0,0.0,rising,3138617.0,5.040000000000042,,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.0036796875,Buy,61,,53.0,61.0,signals_2025-09-08_04-28-35.csv,4,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
ETHUSDT,Buy,60,4331.03,4362.213416,4201.0991,Bullish,2025-09-07T23:21:40.508568+00:00,2025-09-08T04:51:40.508568+05:30,Inconclusive,300,,,5.04%,78.23815724164373,8.803000994815193,5.994298041239054,2.808702953576139,4327.634166021309,4302.8235,4278.012833978692,1.068434962120201,211.53232497287937,10.0,3.0,0.0,4296.825650064714,6.635509478168661,4315.95140625,3.3693750000002183,,36.06856424723295,,rising,111454.938,8.0,19.15880862013802,15.0,5.0,0.0,5.0,1.068434962120201,78.23815724164373,211.53232497287937,2.808702953576139,6.635509478168661,4315.95140625,,36.06856424723295,,3.0,0.0,rising,111454.938,5.039999999999976,,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,3.3693750000002183,Buy,60,,52.0,60.0,signals_2025-09-08_04-53-01.csv,5,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
WLDUSDT,Buy,58,1.0424,1.04990528,1.011128,Bullish,2025-09-07T23:21:55.126380+00:00,2025-09-08T04:51:55.126380+05:30,Success,101,101.0,,5.04%,63.652776132674575,0.0006323633459466,-0.0004697995975324,0.0011021629434791,1.040346118590195,1.03432,1.0282938814098048,1.1704149511052446,273.14685747915826,10.0,3.0,0.0,1.0364646387260448,0.0034333471181245,1.03505,0.001340625,,4.570056114408619,,rising,3345927.0,8.0,16.704409060144236,15.0,5.0,0.0,5.0,1.1704149511052446,63.652776132674575,273.14685747915826,0.0011021629434791,0.0034333471181245,1.03505,,4.570056114408619,,3.0,0.0,rising,3345927.0,5.0399999999999645,,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.001340625,Buy,58,,50.0,58.0,signals_2025-09-08_04-53-01.csv,7,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
AVAXUSDT,Buy,61,24.882,25.0611504,24.13554,Bullish,2025-09-07T23:22:09.151247+00:00,2025-09-08T04:52:09.151247+05:30,Inconclusive,300,,,5.04%,82.46429194825738,0.075810144214941,0.0481265031976428,0.0276836410172981,24.83437303361447,24.6138,24.393226966385534,1.1079618972570742,229.48803934719177,10.0,3.0,0.0,24.564187165495767,0.0480919671968103,24.729812500000005,0.0323281250000029,,41.79366014223572,,rising,770513.0,8.0,20.0,15.0,5.0,0.0,5.0,1.1079618972570742,82.46429194825738,229.48803934719177,0.0276836410172981,0.0480919671968103,24.729812500000005,,41.79366014223572,,3.0,0.0,rising,770513.0,5.040000000000029,,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,0.0323281250000029,Buy,61,,53.0,61.0,signals_2025-09-08_04-53-01.csv,4,base_score:32.0,confluence_bonus:30.0,volume_score:5.0
