Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
ADAUSDT,Buy,41,0.8913,0.89771736,0.864561,Bullish,2025-09-11T03:33:48.412963+00:00,2025-09-11T09:03:48.412963+05:30,Success,537,537.0,,5.04%,62.8690197982835,0.0011954070212087942,0.0008932603941816584,0.0003021466270271357,0.8921305066655709,0.8886749999999999,0.8852194933344288,0.8798285250256209,179.76313332351094,10.0,3.0,0.0,0.8871857715795917,0.001825350984730981,0.8897578125,0.00031250000000004885,0.035121916954232855,,20.695498860164985,,rising,8593814.0,8.0,7.972671069460091,15.0,5.0,0.0,5.0,0.8798285250256209,62.8690197982835,179.76313332351094,0.0003021466270271357,0.001825350984730981,0.8897578125,,20.695498860164985,,3.0,0.0,rising,8593814.0,0.00031250000000004885,0.035121916954232855,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.03}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
FARTCOINUSDT,Buy,42,0.8854,0.89177488,0.858838,Bullish,2025-09-11T03:33:50.175984+00:00,2025-09-11T09:03:50.175984+05:30,Fail,537,,537.0,5.04%,59.172451110010606,0.00039821922916161157,-0.00012964234986670192,0.0005278615790283135,0.8884862460454827,0.8820499999999999,0.8756137539545171,0.760244867608134,80.75519593844064,10.0,3.0,0.0,0.8812020165300425,0.0030474940227371607,0.8806593750000001,0.0013578124999999996,0.15418134849242926,,3.223057975663255,,falling,-1554757.799999999,4.0,8.157080474041727,15.0,10.0,0.0,5.0,0.760244867608134,59.172451110010606,80.75519593844064,0.0005278615790283135,0.0030474940227371607,0.8806593750000001,,3.223057975663255,,3.0,0.0,falling,-1554757.799999999,0.0013578124999999996,0.15418134849242926,5.039999999999978,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.84}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
PYTHUSDT,Buy,43,0.17033,0.17155638,0.1652201,Bullish,2025-09-11T03:33:53.741285+00:00,2025-09-11T09:03:53.741285+05:30,Success,177,177.0,,5.04%,57.22739919737851,-6.690402705633591e-05,-0.00017628825839657763,0.00010938423134024172,0.17032950618259782,0.1696655,0.16900149381740218,1.0003718469911378,158.59595183192147,10.0,3.0,0.0,0.17019242884074534,0.0004914861631294709,0.16966578124999998,5.515624999999358e-05,0.0325087649339979,,-4.030345041081556,,rising,2304468.0,8.0,10.341394629403322,15.0,5.0,0.0,5.0,1.0003718469911378,57.22739919737851,158.59595183192147,0.00010938423134024172,0.0004914861631294709,0.16966578124999998,,-4.030345041081556,,3.0,0.0,rising,2304468.0,5.515624999999358e-05,0.0325087649339979,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.66}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
AAVEUSDT,Buy,49,304.0,306.1888,294.88,Bullish,2025-09-11T03:33:54.622919+00:00,2025-09-11T09:03:54.622919+05:30,Success,103,103.0,,5.04%,74.30452988435972,0.5213685333016542,0.34299681557645334,0.17837171772520088,303.3613535546145,301.969,300.5766464453855,1.2293406165657206,308.45771144278245,10.0,3.0,0.0,301.3666442699183,0.6009771719908484,302.20953125,0.2120312500000523,0.07016034508344193,,24.228215314393495,,rising,5153.5,8.0,16.123267613016772,15.0,5.0,0.0,5.0,1.2293406165657206,74.30452988435972,308.45771144278245,0.17837171772520088,0.6009771719908484,302.20953125,,24.228215314393495,,3.0,0.0,rising,5153.5,0.2120312500000523,0.07016034508344193,5.040000000000034,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,
WIFUSDT,Buy,49,0.8978,0.90426416,0.870866,Bullish,2025-09-11T03:33:59.953512+00:00,2025-09-11T09:03:59.953512+05:30,Inconclusive,600,,,5.04%,61.58440111325128,0.0006746787435449875,8.442516810508349e-05,0.000590253575439904,0.8985773595562064,0.894105,0.8896326404437936,0.9130929047142875,170.38539553752773,10.0,3.0,0.0,0.8935543656691372,0.0021051349771904187,0.8935421874999998,0.000776562499999911,0.08690831959178325,,8.954117846941745,,falling,-472307.1000000001,8.0,10.729300479090519,15.0,10.0,0.0,5.0,0.9130929047142875,61.58440111325128,170.38539553752773,0.000590253575439904,0.0021051349771904187,0.8935421874999998,,8.954117846941745,,3.0,0.0,falling,-472307.1000000001,0.000776562499999911,0.08690831959178325,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.27}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,
WUSDT,Buy,44,0.09225,0.0929142,0.0894825,Bullish,2025-09-11T03:34:02.595634+00:00,2025-09-11T09:04:02.595634+05:30,Success,189,189.0,,5.04%,35.510542359462235,-0.00017348334450062453,-0.0001534035331000389,-2.0079811400585632e-05,0.09318823959698361,0.0927805,0.0923727604030164,-0.1505377499813116,-228.73975409837018,10.0,0.0,3.0,0.09311945728703824,0.00029615385098765367,0.09268281250000002,-7.34374999999815e-05,-0.07923529510930788,,-14.951659864864734,,falling,-6315917.800000001,26.0,0.0,8.0,5.0,0.0,5.0,-0.1505377499813116,35.510542359462235,-228.73975409837018,-2.0079811400585632e-05,0.00029615385098765367,0.09268281250000002,,-14.951659864864734,,0.0,3.0,falling,-6315917.800000001,-7.34374999999815e-05,-0.07923529510930788,5.040000000000028,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
IPUSDT,Buy,62,10.169,10.2422168,9.86393,Bullish,2025-09-11T03:34:03.471741+00:00,2025-09-11T09:04:03.471741+05:30,Success,156,156.0,,5.04%,29.6059063347613,-0.03668220780227571,-0.03439805265503375,-0.0022841551472419647,10.324518462174051,10.25345,10.18238153782595,-0.09414540160709933,-190.9308916503166,10.0,0.0,3.0,10.310418722397662,0.039415719573392446,10.238687500000001,-0.004624999999998991,-0.04517180546822032,,-27.28137048465966,,falling,-65778.8,32.0,0.0,8.0,5.0,12.0,5.0,-0.09414540160709933,29.6059063347613,-190.9308916503166,-0.0022841551472419647,0.039415719573392446,10.238687500000001,,-27.28137048465966,,0.0,3.0,falling,-65778.8,-0.004624999999998991,-0.04517180546822032,5.040000000000059,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,1.0,-0.004624999999998991,-0.04517180546822032
TIAUSDT,Buy,40,1.7709,1.78365048,1.717773,Bullish,2025-09-11T03:34:04.356216+00:00,2025-09-11T09:04:04.356216+05:30,Success,226,226.0,,5.04%,55.91392863825233,0.00014280613167461098,-0.0004751185302351121,0.0006179246619097232,1.7746773473402422,1.7665549999999999,1.7584326526597576,0.7674719399447908,102.53495509832801,10.0,0.0,3.0,1.7653188804027145,0.004962762154092611,1.7627171874999998,0.001098437499999827,0.0623150161460502,,0.48993761272219705,,falling,-282560.0,8.0,6.98829390274193,15.0,5.0,0.0,5.0,0.7674719399447908,55.91392863825233,102.53495509832801,0.0006179246619097232,0.004962762154092611,1.7627171874999998,,0.48993761272219705,,0.0,3.0,falling,-282560.0,0.001098437499999827,0.0623150161460502,5.040000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.01}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
1000BONKUSDT,Buy,45,0.023447,0.02361582,0.02274359,Bullish,2025-09-11T03:34:05.239198+00:00,2025-09-11T09:04:05.239198+05:30,Success,535,535.0,,5.04%,60.51574598799858,1.4351797659593879e-05,5.511379594881199e-06,8.84041806471268e-06,0.02349158559100032,0.023358949999999996,0.023226314408999672,0.8319244832248215,127.05570291777147,10.0,3.0,0.0,0.023320422776411942,6.403980607695127e-05,0.023295906249999998,1.0437499999994826e-05,0.04480400928809038,,5.345714522186167,,falling,-11008304.0,8.0,7.313096128026331,15.0,10.0,0.0,5.0,0.8319244832248215,60.51574598799858,127.05570291777147,8.84041806471268e-06,6.403980607695127e-05,0.023295906249999998,,5.345714522186167,,3.0,0.0,falling,-11008304.0,1.0437499999994826e-05,0.04480400928809038,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.69}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
UNIUSDT,Buy,40,9.862,9.9330064,9.56614,Bullish,2025-09-11T03:34:06.139033+00:00,2025-09-11T09:04:06.139033+05:30,Success,142,142.0,,5.04%,67.10815048849746,0.021549445308208348,0.018867957824887642,0.002681487483320706,9.869295458939344,9.817200000000001,9.765104541060659,0.9299798956772913,146.97016942106086,10.0,3.0,0.0,9.785978270065792,0.02309911555279685,9.845734375000001,0.0009375000000009237,0.009521890031701405,,25.194935478629038,,rising,256825.0,8.0,6.786067693916737,15.0,5.0,0.0,5.0,0.9299798956772913,67.10815048849746,146.97016942106086,0.002681487483320706,0.02309911555279685,9.845734375000001,,25.194935478629038,,3.0,0.0,rising,256825.0,0.0009375000000009237,0.009521890031701405,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.21}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
