Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
REDUSDT,Buy,48,0.713,0.7181336,0.69161,Bullish,2025-09-08T07:27:18.160862+00:00,2025-09-08T12:57:18.160862+05:30,Success,17,17.0,,5.04%,72.46149292090126,0.005165085931127633,0.002842965775884083,0.0023221201552435502,0.7199597652280602,0.69938,0.6788002347719398,0.8309075650053901,101.99389393539575,10.0,3.0,0.0,0.7028680187088127,0.005056864652596298,0.7161406250000001,0.002565625000000016,,35.42764516118667,,rising,7005349.0,8.0,15.020837525724923,15.0,5.0,0.0,5.0,0.8309075650053901,72.46149292090126,101.99389393539575,0.0023221201552435502,0.005056864652596298,0.7161406250000001,,35.42764516118667,,3.0,0.0,rising,7005349.0,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
PUMPUSDT,Buy,48,0.004817,0.00485168,0.00467249,Bullish,2025-09-08T07:27:19.144178+00:00,2025-09-08T12:57:19.144178+05:30,Success,38,38.0,,5.04%,66.07235630101479,1.3724352006500018e-05,1.1973423743112399e-07,1.3604617769068894e-05,0.004823857650851832,0.00473525,0.004646642349148168,0.9613032803267815,153.43915343915242,10.0,0.0,3.0,0.004769536273587289,2.9165267651986165e-05,0.004793203125000001,6.968750000000898e-06,,12.993882929266121,,rising,3000207572.0,8.0,20.0,15.0,0.0,0.0,5.0,0.9613032803267815,66.07235630101479,153.43915343915242,1.3604617769068894e-05,2.9165267651986165e-05,0.004793203125000001,,12.993882929266121,,0.0,3.0,rising,3000207572.0,5.040000000000062,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
AVAXUSDT,Buy,61,25.012,25.1920864,24.26164,Bullish,2025-09-08T07:27:20.204144+00:00,2025-09-08T12:57:20.204144+05:30,Success,108,108.0,,5.04%,73.83502602681551,0.06538776862279505,0.03474707939147036,0.030640689231324687,25.066923862902513,24.80525,24.54357613709749,0.895052829707003,133.14770282242745,10.0,3.0,0.0,24.802451756333532,0.05604855828319293,24.993578125000006,0.03746875000000571,,29.974259117699486,,rising,738151.0,8.0,20.0,15.0,5.0,0.0,5.0,0.895052829707003,73.83502602681551,133.14770282242745,0.030640689231324687,0.05604855828319293,24.993578125000006,,29.974259117699486,,3.0,0.0,rising,738151.0,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,61,53.0,61.0,0.03746875000000571,
HEMIUSDT,Buy,44,0.036573,0.03683633,0.03547581,Bullish,2025-09-08T07:27:21.218292+00:00,2025-09-08T12:57:21.218292+05:30,Success,20,20.0,,5.04%,32.925457102004145,-0.00013319669736246154,-1.202206959952953e-05,-0.00012117462776293201,0.038011843648355394,0.0373335,0.036655156351644604,-0.060556586505811284,-262.93571151363886,10.0,0.0,3.0,0.037270938930584196,0.0002906499024440406,0.037130328124999994,-0.00015348437499999867,,-14.098522341226783,,falling,-25533065.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.060556586505811284,32.925457102004145,-262.93571151363886,-0.00012117462776293201,0.0002906499024440406,0.037130328124999994,,-14.098522341226783,,0.0,3.0,falling,-25533065.0,5.040000000000054,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
LTCUSDT,Buy,41,112.89,113.702808,109.5033,Bullish,2025-09-08T07:27:22.281629+00:00,2025-09-08T12:57:22.281629+05:30,Success,190,190.0,,5.04%,52.732844425955165,-0.12282158842647561,-0.21977736560626238,0.09695577717978676,113.06406531008534,112.5655,112.06693468991466,0.8254337931618784,108.31426392067205,10.0,0.0,3.0,113.15163833029497,0.23811844929906692,112.70906250000002,0.0682812500000125,,-14.901497903020248,,falling,-128627.17300000004,8.0,14.772189677719359,8.0,5.0,0.0,5.0,0.8254337931618784,52.732844425955165,108.31426392067205,0.09695577717978676,0.23811844929906692,112.70906250000002,,-14.901497903020248,,0.0,3.0,falling,-128627.17300000004,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 7.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
HYPEUSDT,Buy,47,50.053,50.4133816,48.55141,Bullish,2025-09-08T07:27:24.306552+00:00,2025-09-08T12:57:24.306552+05:30,Success,43,43.0,,5.04%,69.20979178344237,0.2357030241787612,0.23886384307980993,-0.0031608189010487175,50.13797334868856,49.67125,49.20452665131144,0.9089681832638871,129.67123221489243,10.0,3.0,0.0,49.17803286677579,0.1990647963551539,49.954046875,-0.006046875000002672,,31.21919998005706,,falling,-10755.330000000005,8.0,9.0,15.0,10.0,0.0,5.0,0.9089681832638871,69.20979178344237,129.67123221489243,-0.0031608189010487175,0.1990647963551539,49.954046875,,31.21919998005706,,3.0,0.0,falling,-10755.330000000005,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,
BIOUSDT,Buy,41,0.16799,0.16919953,0.1629503,Bullish,2025-09-08T07:27:26.299772+00:00,2025-09-08T12:57:26.299772+05:30,Inconclusive,300,,,5.04%,34.920229843777136,-0.0012637502413824775,-0.0008165509559523371,-0.00044719928543014036,0.17441307068703768,0.17082150000000001,0.16722992931296235,0.10581313209020514,-131.46009181104603,10.0,3.0,0.0,0.17080672319310164,0.0014924753073345825,0.16886734375,-0.0007042187499999852,,-19.904098088778543,,falling,-88454726.0,18.0,0.0,8.0,10.0,0.0,5.0,0.10581313209020514,34.920229843777136,-131.46009181104603,-0.00044719928543014036,0.0014924753073345825,0.16886734375,,-19.904098088778543,,3.0,0.0,falling,-88454726.0,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
GPSUSDT,Buy,44,0.01563,0.01574254,0.0151611,Bullish,2025-09-08T07:27:27.362979+00:00,2025-09-08T12:57:27.362979+05:30,Success,3,3.0,,5.04%,61.573043937325444,0.00012659069142785355,4.636689444743438e-05,8.022379698041917e-05,0.015823167988400534,0.015024,0.014224832011599462,0.8791443155855496,126.04872317379855,10.0,0.0,3.0,0.015260817718294309,0.0002735255278687041,0.0155990625,5.609374999999972e-05,,12.677874241268098,,rising,264960436.0,8.0,16.039091168317803,15.0,0.0,0.0,5.0,0.8791443155855496,61.573043937325444,126.04872317379855,8.022379698041917e-05,0.0002735255278687041,0.0155990625,,12.677874241268098,,0.0,3.0,rising,264960436.0,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
FARTCOINUSDT,Buy,61,0.7719,0.77745768,0.748743,Bullish,2025-09-08T07:27:28.376001+00:00,2025-09-08T12:57:28.376001+05:30,Success,63,63.0,,5.04%,69.63694813956471,0.0020879429213114253,0.0011394090303470516,0.0009485338909643738,0.7720611107311611,0.7642800000000001,0.756498889268839,0.9896473179262252,190.19329286667627,10.0,3.0,0.0,0.7633203386432047,0.0036187213515953363,0.76834375,0.0010140625000000236,,21.035239610391955,,falling,-858013.9000000018,8.0,15.290844519738707,15.0,10.0,0.0,5.0,0.9896473179262252,69.63694813956471,190.19329286667627,0.0009485338909643738,0.0036187213515953363,0.76834375,,21.035239610391955,,3.0,0.0,falling,-858013.9000000018,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 4.71}]}",True,,,Buy,61,53.0,61.0,0.0010140625000000236,
PENGUUSDT,Buy,61,0.031431,0.0316573,0.03048807,Bullish,2025-09-08T07:27:29.444231+00:00,2025-09-08T12:57:29.444231+05:30,Success,55,55.0,,5.04%,78.0243246631558,0.00015286225383840182,7.885272384037666e-05,7.400952999802517e-05,0.0312501801726076,0.030742349999999995,0.030234519827392392,1.1780317881309916,264.5353551735316,10.0,3.0,0.0,0.03066851911755066,0.00016860432324056638,0.0309649375,6.593750000000176e-05,,28.26814616202153,,rising,387348751.0,8.0,19.534894276810817,15.0,5.0,0.0,5.0,1.1780317881309916,78.0243246631558,264.5353551735316,7.400952999802517e-05,0.00016860432324056638,0.0309649375,,28.26814616202153,,3.0,0.0,rising,387348751.0,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,61,53.0,61.0,6.593750000000176e-05,
