Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
XRPUSDT,Buy,43,2.9869,3.00840568,2.897293,Bullish,2025-09-08T14:29:15.807318+00:00,2025-09-08T19:59:15.807318+05:30,Inconclusive,300,,,5.04%,60.129886944483765,0.0085432736045572,0.009398597921108434,-0.0008553243165512342,2.993724240584102,2.9782599999999997,2.9627957594158976,0.7793541639827591,94.67200492762531,10.0,3.0,0.0,2.9590077334707376,0.01025856209555881,2.9850484375,-8.281250000008455e-05,,21.403883854237606,,falling,-2559877.200000002,4.0,9.0,15.0,10.0,0.0,5.0,0.7793541639827591,60.129886944483765,94.67200492762531,-0.0008553243165512342,0.01025856209555881,2.9850484375,,21.403883854237606,,3.0,0.0,falling,-2559877.200000002,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
WLFIUSDT,Buy,41,0.2137,0.21523864,0.207289,Bullish,2025-09-08T14:29:16.716755+00:00,2025-09-08T19:59:16.716755+05:30,Success,63,63.0,,5.04%,60.35205147228769,0.0006314415838580834,0.0003432818280278345,0.00028815975583024883,0.21426670075093812,0.21142500000000003,0.20858329924906194,0.9002884538861027,161.018350140517,10.0,3.0,0.0,0.21111823613193442,0.0017411716236354722,0.2117984375,0.000568749999999979,,10.754657075528026,,rising,76762450.0,8.0,7.971942826340165,15.0,5.0,0.0,5.0,0.9002884538861027,60.35205147228769,161.018350140517,0.00028815975583024883,0.0017411716236354722,0.2117984375,,10.754657075528026,,3.0,0.0,rising,76762450.0,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.03}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
WLDUSDT,Buy,60,1.4072,1.41733184,1.364984,Bullish,2025-09-08T14:29:17.604920+00:00,2025-09-08T19:59:17.604920+05:30,Success,1,1.0,,5.04%,82.45664355562906,0.03755275343053888,0.02710626156592982,0.010446491864609057,1.4080305216923654,1.309105,1.2101794783076345,0.9958022880336778,156.57825779843688,10.0,3.0,0.0,1.2824474735318634,0.025540768134638285,1.372734375,0.016081249999999825,,49.94409126334601,,rising,111894747.0,8.0,18.81629853217287,15.0,5.0,0.0,5.0,0.9958022880336778,82.45664355562906,156.57825779843688,0.010446491864609057,0.025540768134638285,1.372734375,,49.94409126334601,,3.0,0.0,rising,111894747.0,5.039999999999947,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,52.0,60.0,0.016081249999999825,
TAUSDT,Buy,42,0.31074,0.31297733,0.3014178,Bullish,2025-09-08T14:29:18.493607+00:00,2025-09-08T19:59:18.493607+05:30,Fail,5,,5.0,5.04%,65.72039864763067,0.013123082121367091,0.013835928716324164,-0.0007128465949570728,0.31352838070943667,0.28703850000000003,0.2605486192905634,0.9473689455225947,146.89557692970638,10.0,3.0,0.0,0.2563852875951616,0.01786119400558612,0.28312203124999996,0.0012018749999999634,,22.299096350103888,,rising,67542486.0,8.0,9.0,15.0,5.0,0.0,5.0,0.9473689455225947,65.72039864763067,146.89557692970638,-0.0007128465949570728,0.01786119400558612,0.28312203124999996,,22.299096350103888,,3.0,0.0,rising,67542486.0,5.039999999999961,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
ADAUSDT,Buy,48,0.8633,0.86951576,0.837401,Bullish,2025-09-08T14:29:25.834824+00:00,2025-09-08T19:59:25.834824+05:30,Inconclusive,300,,,5.04%,61.30214703874866,0.0017501952135232646,0.0015970781790441535,0.0001531170344791111,0.8635159883211967,0.8587300000000001,0.8539440116788035,0.9774353480721893,163.72653205809917,10.0,3.0,0.0,0.8550936178043014,0.0032499230885355552,0.858265625,0.00030156250000001883,,13.88820673697117,,falling,-438529.0,8.0,10.130737167430805,15.0,10.0,0.0,5.0,0.9774353480721893,61.30214703874866,163.72653205809917,0.0001531170344791111,0.0032499230885355552,0.858265625,,13.88820673697117,,3.0,0.0,falling,-438529.0,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.87}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,
NMRUSDT,Buy,54,18.129,18.2595288,17.58513,Bullish,2025-09-08T14:29:31.231296+00:00,2025-09-08T19:59:31.231296+05:30,Success,7,7.0,,5.04%,29.561640888280024,-0.1048844979420025,-0.08983094798701231,-0.015053549954990184,18.605124798358275,18.339949999999998,18.07477520164172,0.10224349880530008,-128.47003485783986,10.0,0.0,3.0,18.473847199288603,0.09840109310596769,18.180703125000004,-0.008359375000001279,,-32.36386624351877,,falling,-160134.30000000005,24.0,0.0,8.0,5.0,12.0,5.0,0.10224349880530008,29.561640888280024,-128.47003485783986,-0.015053549954990184,0.09840109310596769,18.180703125000004,,-32.36386624351877,,0.0,3.0,falling,-160134.30000000005,5.040000000000017,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,,,-0.008359375000001279,1.0
XNYUSDT,Buy,60,0.015893,0.01600743,0.01541621,Bullish,2025-09-08T14:29:33.879750+00:00,2025-09-08T19:59:33.879750+05:30,Fail,1,,1.0,5.04%,71.62253890644762,0.0006122186370664997,0.00044304178256001877,0.00016917685450648092,0.015193181690025225,0.013645299999999999,0.012097418309974774,1.2260567827904765,298.0813701577842,10.0,3.0,0.0,0.012741586297108762,0.000788166075820316,0.01389959375,0.0002710781249999992,,22.88525723531399,,falling,-410158599.0,8.0,14.151508841495971,15.0,10.0,0.0,5.0,1.2260567827904765,71.62253890644762,298.0813701577842,0.00016917685450648092,0.000788166075820316,0.01389959375,,22.88525723531399,,3.0,0.0,falling,-410158599.0,5.0400000000000125,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.85}]}",True,,,Buy,60,52.0,60.0,0.0002710781249999992,
1000BONKUSDT,Buy,47,0.022428,0.02258948,0.02175516,Bullish,2025-09-08T14:29:37.443971+00:00,2025-09-08T19:59:37.443971+05:30,Success,28,28.0,,5.04%,64.90280935740738,6.019026507960226e-05,3.6562923997213506e-05,2.3627341082388756e-05,0.02241898764052797,0.022186400000000002,0.021953812359472035,1.0193741151756246,163.77444614960822,10.0,3.0,0.0,0.02210561610565861,0.00012378337297284486,0.022150937500000002,3.1421874999999766e-05,,13.557274724899122,,rising,139153440.0,8.0,13.581036793218818,15.0,5.0,0.0,5.0,1.0193741151756246,64.90280935740738,163.77444614960822,2.3627341082388756e-05,0.00012378337297284486,0.022150937500000002,,13.557274724899122,,3.0,0.0,rising,139153440.0,5.0399999999999725,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.42}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,
SPKUSDT,Sell,42,0.06585,0.06537588,0.0678255,Bullish,2025-09-08T14:29:38.326023+00:00,2025-09-08T19:59:38.326023+05:30,Success,39,39.0,,5.04%,32.688610429453405,-0.0006542344211811629,-0.0003971604018583346,-0.0002570740193228283,0.07004682712743436,0.067718,0.06538917287256564,0.09893974567834347,-129.44472379857677,10.0,0.0,3.0,0.06794818150521965,0.0007560767112515876,0.06627156250000002,-0.000310312499999979,,-26.31357812760501,,falling,-158054411.0,8.0,17.160251958474703,7.0,5.0,0.0,5.0,0.09893974567834347,32.688610429453405,-129.44472379857677,-0.0002570740193228283,0.0007560767112515876,0.06627156250000002,,-26.31357812760501,,0.0,3.0,falling,-158054411.0,5.039999999999941,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
WIFUSDT,Buy,45,0.8548,0.86095456,0.829156,Bullish,2025-09-08T14:29:40.091992+00:00,2025-09-08T19:59:40.091992+05:30,Success,32,32.0,,5.04%,62.34831569982955,0.001261253161567777,0.0007439151194285367,0.0005173380421392402,0.8558925344298195,0.8488750000000002,0.8418574655701808,0.9221568172735265,115.94202898550569,10.0,3.0,0.0,0.8465642908076814,0.003973059827284942,0.8456812499999999,0.0009500000000000064,,9.114995552400963,,rising,486116.4000000004,8.0,12.125075773104209,15.0,5.0,0.0,5.0,0.9221568172735265,62.34831569982955,115.94202898550569,0.0005173380421392402,0.003973059827284942,0.8456812499999999,,9.114995552400963,,3.0,0.0,rising,486116.4000000004,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.87}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,
