Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
AVAXUSDT,Sell,63,29.183,28.9728824,30.05849,Bearish,2025-09-14T14:26:30.159732+00:00,2025-09-14T19:56:30.159732+05:30,Success,24,24.0,,5.04%,25.30700193620828,-0.11640049525501084,-0.1141029888999783,-0.002297506355032536,29.546892423989135,29.370299999999997,29.19370757601086,-0.030317200956245946,-182.47226229274858,-10.0,0.0,3.0,29.59022448012125,0.10963058190952962,29.28471875,-0.019265624999999176,-0.06578729734257453,,-40.27709361890415,,falling,-545082.0,8.0,9.502963238544918,15.0,5.0,12.0,5.0,-0.030317200956245946,25.30700193620828,-182.47226229274858,-0.002297506355032536,0.10963058190952962,29.28471875,,-40.27709361890415,,0.0,3.0,falling,-545082.0,-0.019265624999999176,-0.06578729734257453,5.040000000000005,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 2, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.5}]}",True,,,Sell,63,1.0,-0.019265624999999176,-0.06578729734257453,55.0,63.0,False,0.041913603212076454,-0.06578729734257453,False,conditions_not_met
BNBUSDT,Sell,62,926.63,919.958264,954.4289,Bearish,2025-09-14T14:26:31.108993+00:00,2025-09-14T19:56:31.108993+05:30,Inconclusive,600,,,5.04%,28.20741352581244,-1.7683929014616524,-1.3550637057333512,-0.4133291957283012,936.7323643946498,931.6715,926.6106356053502,0.001913150910566524,-177.95788307010193,-10.0,0.0,3.0,933.4557389766455,1.8500581578608193,928.5598437499999,-0.36828124999999545,-0.039661552508310854,,-31.368706850538835,,falling,-18318.1,8.0,9.36193992352618,15.0,5.0,12.0,5.0,0.001913150910566524,28.20741352581244,-177.95788307010193,-0.4133291957283012,1.8500581578608193,928.5598437499999,,-31.368706850538835,,0.0,3.0,falling,-18318.1,-0.36828124999999545,-0.039661552508310854,5.040000000000008,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 10.64}]}",True,,,Sell,62,1.0,-0.36828124999999545,-0.039661552508310854,54.0,62.0,False,0.44682832696051505,-0.039661552508310854,False,conditions_not_met
ADAUSDT,Sell,62,0.885,0.878628,0.91155,Bearish,2025-09-14T14:26:32.060854+00:00,2025-09-14T19:56:32.060854+05:30,Success,24,24.0,,5.04%,27.752536724004514,-0.004024387970247845,-0.004037893793370646,1.3505823122801283e-05,0.897961875151416,0.8911049999999999,0.8842481248485838,0.054826370235200546,-150.53899809765818,-10.0,0.0,3.0,0.8987439182610731,0.003106161812768571,0.8869375000000002,-0.0003671874999999769,-0.04139947854273574,,-42.318702745714035,,falling,-38176954.0,8.0,9.0,15.0,5.0,12.0,5.0,0.054826370235200546,27.752536724004514,-150.53899809765818,1.3505823122801283e-05,0.003106161812768571,0.8869375000000002,,-42.318702745714035,,0.0,3.0,falling,-38176954.0,-0.0003671874999999769,-0.04139947854273574,5.040000000000035,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",True,,,Sell,62,1.0,-0.0003671874999999769,-0.04139947854273574,54.0,62.0,False,0.008696149097759547,-0.04139947854273574,False,conditions_not_met
LINKUSDT,Buy,54,24.026,24.1989872,23.30522,Bearish,2025-09-14T14:26:35.906351+00:00,2025-09-14T19:56:35.906351+05:30,Success,181,181.0,,5.04%,29.059900841976315,-0.08222553651689424,-0.07592429439696456,-0.006301242119929676,24.342552675471875,24.186749999999996,24.030947324528118,-0.015876892078822803,-191.51285691748663,-10.0,0.0,3.0,24.327075498181255,0.08049213108732606,24.10515625,-0.014281249999996248,-0.0592456230189184,,-34.20613618960631,,falling,-176670.77000000014,32.0,0.0,0.0,5.0,12.0,5.0,-0.015876892078822803,29.059900841976315,-191.51285691748663,-0.006301242119929676,0.08049213108732606,24.10515625,,-34.20613618960631,,0.0,3.0,falling,-176670.77000000014,-0.014281249999996248,-0.0592456230189184,5.040000000000043,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""trend_score"", ""gap"": 15.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.014281249999996248,-0.0592456230189184,,,,,,,
UBUSDT,Sell,40,0.037733,0.03746132,0.03886499,Bearish,2025-09-14T14:26:38.778138+00:00,2025-09-14T19:56:38.778138+05:30,Success,17,17.0,,5.04%,33.96094964210647,-0.0006356316164764508,-0.0005746658819594735,-6.096573451697736e-05,0.04116746474606412,0.03912445,0.037081435253935875,0.15946158668687288,-96.9431889974242,-10.0,0.0,3.0,0.040132140843225146,0.0008153603886490286,0.037448843749999995,-0.0002502812500000118,-0.6683283779623017,,-26.142332875013707,,rising,5020423.0,4.0,10.794516447913047,15.0,5.0,0.0,5.0,0.15946158668687288,33.96094964210647,-96.9431889974242,-6.096573451697736e-05,0.0008153603886490286,0.037448843749999995,,-26.142332875013707,,0.0,3.0,rising,5020423.0,-0.0002502812500000118,-0.6683283779623017,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.21}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,
HUSDT,Sell,41,0.06007,0.0596375,0.0618721,Bearish,2025-09-14T14:26:39.730420+00:00,2025-09-14T19:56:39.730420+05:30,Success,14,14.0,,5.04%,42.22743060386161,-0.00016149546090529765,-8.025568480302701e-05,-8.123977610227064e-05,0.0614137201379161,0.0606275,0.0598412798620839,0.14545553267201133,-161.67737243970552,-10.0,0.0,3.0,0.060894349598422486,0.0005385244263076144,0.060559999999999996,-0.0001920312500000021,-0.317092552840162,,-8.471637038770943,,rising,2077028.0,8.0,7.620550027457366,15.0,5.0,0.0,5.0,0.14545553267201133,42.22743060386161,-161.67737243970552,-8.123977610227064e-05,0.0005385244263076144,0.060559999999999996,,-8.471637038770943,,0.0,3.0,rising,2077028.0,-0.0001920312500000021,-0.317092552840162,5.040000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.38}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,,,,,,,
LTCUSDT,Sell,44,114.41,113.586248,117.8423,Bearish,2025-09-14T14:26:41.632438+00:00,2025-09-14T19:56:41.632438+05:30,Inconclusive,600,,,5.04%,30.013840296641604,-0.2673719960195058,-0.24544089376199504,-0.021931102257510743,115.5111980285108,115.00250000000001,114.49380197148922,-0.08236907437458711,-222.43998040176646,-10.0,0.0,3.0,115.49719344069466,0.30468018640579747,114.79421875,-0.05890624999999261,-0.05131464863076357,,-29.387438915826756,,falling,-34053.778999999995,8.0,10.727537521849968,15.0,5.0,0.0,5.0,-0.08236907437458711,30.013840296641604,-222.43998040176646,-0.021931102257510743,0.30468018640579747,114.79421875,,-29.387438915826756,,0.0,3.0,falling,-34053.778999999995,-0.05890624999999261,-0.05131464863076357,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.27}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,,,,,,,
UNIUSDT,Sell,42,9.425,9.35714,9.70775,Bearish,2025-09-14T14:26:44.534663+00:00,2025-09-14T19:56:44.534663+05:30,Success,17,17.0,,5.04%,35.1659688264471,-0.022801006228107212,-0.022686466302351216,-0.00011453992575599647,9.516276490194405,9.4696,9.422923509805594,0.022243426891761692,-193.98354242546603,-10.0,0.0,3.0,9.524849383502302,0.035329092189450295,9.462500000000002,-0.0030468749999990052,-0.03219947159840428,,-20.61074184074087,,falling,-291479.0,8.0,9.0778100440114,15.0,5.0,0.0,5.0,0.022243426891761692,35.1659688264471,-193.98354242546603,-0.00011453992575599647,0.035329092189450295,9.462500000000002,,-20.61074184074087,,0.0,3.0,falling,-291479.0,-0.0030468749999990052,-0.03219947159840428,5.039999999999969,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.92}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,,,,,,,
TRUMPUSDT,Sell,59,8.693,8.6304104,8.95379,Bearish,2025-09-14T14:26:46.433712+00:00,2025-09-14T19:56:46.433712+05:30,Inconclusive,600,,,5.04%,29.039859633982147,-0.028229021868606097,-0.025436344347853676,-0.0027926775207524207,8.805485571156222,8.7462,8.686914428843778,0.05132421799720554,-168.85325558795344,-10.0,0.0,3.0,8.79247709307688,0.028369738923768508,8.707515625000001,-0.00782812499999963,-0.08990078613840707,,-35.480296175619046,,falling,-469717.86,8.0,6.362526517362639,15.0,5.0,12.0,5.0,0.05132421799720554,29.039859633982147,-168.85325558795344,-0.0027926775207524207,0.028369738923768508,8.707515625000001,,-35.480296175619046,,0.0,3.0,falling,-469717.86,-0.00782812499999963,-0.08990078613840707,5.040000000000065,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 13.64}]}",True,,,Sell,59,1.0,-0.00782812499999963,-0.08990078613840707,51.0,59.0,False,0.19687720978021986,-0.08990078613840707,False,conditions_not_met
XLMUSDT,Sell,40,0.38718,0.3843923,0.3987954,Bearish,2025-09-14T14:27:03.772065+00:00,2025-09-14T19:57:03.772065+05:30,Success,16,16.0,,5.04%,36.043361560894695,-0.0012763743915808479,-0.0011189859002965652,-0.00015738849128428263,0.39249270066215874,0.3895025,0.3865122993378412,0.11164813629543771,-173.067277287101,-10.0,0.0,3.0,0.39150403451959687,0.001472436613453853,0.38814890625,-0.00029250000000002885,-0.07535767724452498,,-30.356175330714024,,falling,-299261.0,8.0,6.565355789382622,15.0,5.0,0.0,5.0,0.11164813629543771,36.043361560894695,-173.067277287101,-0.00015738849128428263,0.001472436613453853,0.38814890625,,-30.356175330714024,,0.0,3.0,falling,-299261.0,-0.00029250000000002885,-0.07535767724452498,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.43}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,
