Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
FARTCOINUSDT,Buy,59,0.9164,0.92299808,0.888908,Bullish,2025-09-13T09:32:06.032000+00:00,2025-09-13T15:02:06.032000+05:30,Success,3,3.0,,5.04%,76.97230199029529,0.0031681231401696763,0.0020036645013414706,0.0011644586388282058,0.9164200334894472,0.905635,0.8948499665105527,0.9990712365674693,156.34264315805987,5.0,3.0,0.0,0.905107521727655,0.0030711158968170756,0.912728125,0.0012281249999999133,0.1345554022453196,,33.86466341429489,,rising,7432286.399999999,8.0,18.099952027483365,15.0,5.0,0.0,5.0,0.9990712365674693,76.97230199029529,156.34264315805987,0.0011644586388282058,0.0030711158968170756,0.912728125,,33.86466341429489,,3.0,0.0,rising,7432286.399999999,0.0012281249999999133,0.1345554022453196,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,51.0,59.0,0.0012281249999999133,0.1345554022453196,False,,,0.7583293356236137,0.1345554022453196,False,,Buy,59,,,conditions_not_met,
SOMIUSDT,Buy,43,1.0212,1.02855264,0.990564,Bullish,2025-09-13T09:32:07.121436+00:00,2025-09-13T15:02:07.121436+05:30,Success,1,1.0,,5.04%,41.02306857960547,-0.0012202543265806831,0.0008303015543788355,-0.002050555880959519,1.0491504943089602,1.03558,1.0220095056910397,-0.02982594711030713,-174.92354740060972,5.0,3.0,0.0,1.0280980449231043,0.010746426304461707,1.0290484375,-0.0007781250000000739,-0.07561597410229524,,-3.143904526320397,,falling,-3265642.0,20.0,0.0,8.0,10.0,0.0,5.0,-0.02982594711030713,41.02306857960547,-174.92354740060972,-0.002050555880959519,0.010746426304461707,1.0290484375,,-3.143904526320397,,3.0,0.0,falling,-3265642.0,-0.0007781250000000739,-0.07561597410229524,5.039999999999938,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,,,,,,,,,,,,Buy,43,not_in_gap_or_already_strong,43.0,,
1000BONKUSDT,Strong Buy,68,0.026797,0.02698994,0.02599309,Bullish,2025-09-13T09:32:08.208171+00:00,2025-09-13T15:02:08.208171+05:30,Success,217,217.0,,5.04%,80.22149502996731,0.0001730260254280032,0.00011607278377242586,5.6953241655577325e-05,0.026811993067991483,0.0262708,0.025729606932008518,0.9861481337453885,145.9626111421537,5.0,3.0,0.0,0.02619389321556699,0.00011486294650564463,0.026654750000000005,7.482812500000588e-05,0.2807309203800668,,45.82403795398181,,rising,473590511.0,8.0,20.0,15.0,5.0,0.0,5.0,0.9861481337453885,80.22149502996731,145.9626111421537,5.6953241655577325e-05,0.00011486294650564463,0.026654750000000005,,45.82403795398181,,3.0,0.0,rising,473590511.0,7.482812500000588e-05,0.2807309203800668,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,7.482812500000588e-05,0.2807309203800668,True,61.0,68.0,0.991673004884626,0.2807309203800668,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
WIFUSDT,Strong Buy,68,0.9817,0.98876824,0.952249,Bullish,2025-09-13T09:32:10.377001+00:00,2025-09-13T15:02:10.377001+05:30,Success,233,233.0,,5.04%,90.67329486661352,0.006586276720944917,0.004143826971298864,0.002442449749646053,0.9816679855201111,0.9610750000000001,0.9404820144798891,1.0007773151653414,153.3338516157441,5.0,3.0,0.0,0.9589111143274901,0.0033802587922915355,0.975225,0.0032562500000000716,0.33389730574996246,,64.46556566592217,,rising,22511393.3,8.0,20.0,15.0,5.0,0.0,5.0,1.0007773151653414,90.67329486661352,153.3338516157441,0.002442449749646053,0.0033802587922915355,0.975225,,64.46556566592217,,3.0,0.0,rising,22511393.3,0.0032562500000000716,0.33389730574996246,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.0032562500000000716,0.33389730574996246,True,61.0,68.0,1.4451258910802354,0.33389730574996246,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
LINEAUSDT,Buy,47,0.02334,0.02350805,0.0226398,Bullish,2025-09-13T09:32:12.580533+00:00,2025-09-13T15:02:12.580533+05:30,Success,14,14.0,,5.04%,41.24878089172507,2.7790202972513556e-06,6.24641918422214e-05,-5.968517154497005e-05,0.023867774082615516,0.023615,0.023362225917384485,-0.04396399574376457,-177.75361005377266,5.0,3.0,0.0,0.023399193956679925,0.00016076254209161514,0.02353875,-6.406249999999988e-05,-0.27215761244755937,,0.8728761620770109,,falling,-142237515.0,20.0,4.0,8.0,10.0,0.0,5.0,-0.04396399574376457,41.24878089172507,-177.75361005377266,-5.968517154497005e-05,0.00016076254209161514,0.02353875,,0.8728761620770109,,3.0,0.0,falling,-142237515.0,-6.406249999999988e-05,-0.27215761244755937,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,,,,,,,,Buy,47,not_in_gap_or_already_strong,47.0,,
AAVEUSDT,Buy,42,318.76,321.055072,309.1972,Bullish,2025-09-13T09:32:13.691098+00:00,2025-09-13T15:02:13.691098+05:30,Success,232,232.0,,5.04%,70.82082985071216,0.48006920099760464,0.27150437791160836,0.20856482308599628,318.98714774994016,317.305,315.62285225005985,0.9324828184836161,156.97256929484604,5.0,0.0,3.0,317.3661742910668,0.4946638443684976,318.08953125,0.24890625000000455,0.07825037467340559,,25.58960603122731,,rising,16382.5,8.0,14.119105754442494,15.0,0.0,0.0,5.0,0.9324828184836161,70.82082985071216,156.97256929484604,0.20856482308599628,0.4946638443684976,318.08953125,,25.58960603122731,,0.0,3.0,rising,16382.5,0.24890625000000455,0.07825037467340559,5.040000000000011,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,,,,,,,,,,,,Buy,42,not_in_gap_or_already_strong,42.0,,
1000SHIBUSDT,Strong Buy,68,0.0145,0.0146044,0.014065,Bullish,2025-09-13T09:32:15.925894+00:00,2025-09-13T15:02:15.925894+05:30,Success,26,26.0,,5.04%,86.61686503504778,7.939219593684592e-05,4.308516712421725e-05,3.630702881262867e-05,0.014464065347245923,0.014190050000000001,0.013916034652754079,1.0655705111324063,184.13814180929072,5.0,3.0,0.0,0.014167526661647252,4.7862168084848764e-05,0.014363125000000001,3.893750000000078e-05,0.27109351203168375,,47.6987715677124,,rising,971554548.0,8.0,20.0,15.0,5.0,0.0,5.0,1.0655705111324063,86.61686503504778,184.13814180929072,3.630702881262867e-05,4.7862168084848764e-05,0.014363125000000001,,47.6987715677124,,3.0,0.0,rising,971554548.0,3.893750000000078e-05,0.27109351203168375,5.039999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,3.893750000000078e-05,0.27109351203168375,True,61.0,68.0,1.5,0.27109351203168375,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
YGGUSDT,Buy,48,0.2317,0.23336824,0.224749,Bullish,2025-09-13T09:32:17.010132+00:00,2025-09-13T15:02:17.010132+05:30,Success,1,1.0,,5.04%,67.51530280592763,0.0015224371840110718,0.0008993716095601911,0.0006230655744508806,0.23257462609670126,0.22601,0.2194453739032987,0.9333834034248519,143.37349397590333,5.0,3.0,0.0,0.22541914447406416,0.002338150120094677,0.23052968750000002,0.0005515624999999913,0.2392587722568232,,18.39623056623683,,rising,14345662.0,8.0,15.395472069268003,15.0,5.0,0.0,5.0,0.9333834034248519,67.51530280592763,143.37349397590333,0.0006230655744508806,0.002338150120094677,0.23052968750000002,,18.39623056623683,,3.0,0.0,rising,14345662.0,0.0005515624999999913,0.2392587722568232,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,,,Buy,48,not_in_gap_or_already_strong,48.0,,
PNUTUSDT,Strong Buy,68,0.2795,0.2815124,0.271115,Bullish,2025-09-13T09:32:19.207226+00:00,2025-09-13T15:02:19.207226+05:30,Success,1,1.0,,5.04%,86.60906260380939,0.002454949307056309,0.0013031833246331971,0.0011517659824231117,0.2785273604537979,0.270301,0.26207463954620214,1.0591172458139186,182.42942102257905,5.0,3.0,0.0,0.2698916226026239,0.0014880072235846729,0.27523546875000005,0.001323750000000068,0.4809518213666158,,48.70145622489955,,rising,38490326.0,8.0,20.0,15.0,5.0,0.0,5.0,1.0591172458139186,86.60906260380939,182.42942102257905,0.0011517659824231117,0.0014880072235846729,0.27523546875000005,,48.70145622489955,,3.0,0.0,rising,38490326.0,0.001323750000000068,0.4809518213666158,5.040000000000063,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,53.0,61.0,0.001323750000000068,0.4809518213666158,True,61.0,68.0,1.5,0.4809518213666158,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),Buy,68,,,,
VELVETUSDT,Buy,59,0.1551,0.15621672,0.150447,Bullish,2025-09-13T09:32:20.324527+00:00,2025-09-13T15:02:20.324527+05:30,Success,27,27.0,,5.04%,28.231798220961807,-0.006324573219215507,-0.006081543245476613,-0.00024302997373889385,0.1802879920147407,0.1646185,0.1489490079852593,0.1962728596738899,-103.08477889525221,5.0,3.0,0.0,0.1724975708451107,0.0043185045104354326,0.1541821875,-0.0007620312499999893,-0.49424078251580733,,-38.921869419815344,,falling,-22267999.0,24.0,0.0,8.0,10.0,12.0,5.0,0.1962728596738899,28.231798220961807,-103.08477889525221,-0.00024302997373889385,0.0043185045104354326,0.1541821875,,-38.921869419815344,,3.0,0.0,falling,-22267999.0,-0.0007620312499999893,-0.49424078251580733,5.039999999999945,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,,,-0.0007620312499999893,-0.49424078251580733,,,,,,,,Buy,59,hma_not_aligned,,,1.0
