Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
AAVEUSDT,Buy,42,301.05,303.21756,292.0185,Bullish,2025-09-08T08:59:13.713638+00:00,2025-09-08T14:29:13.713638+05:30,Success,82,82.0,,5.04%,57.04281957251807,0.27233089420752776,0.16177997972607286,0.1105509144814549,301.72287437864657,300.2015,298.68012562135345,0.7788596981483425,82.38354574888417,10.0,0.0,3.0,300.3547118545501,0.6933810025351429,301.46203124999994,0.1226562500000341,,9.719433573655447,,falling,-4664.299999999999,4.0,12.826499338537104,15.0,5.0,0.0,5.0,0.7788596981483425,57.04281957251807,82.38354574888417,0.1105509144814549,0.6933810025351429,301.46203124999994,,9.719433573655447,,0.0,3.0,falling,-4664.299999999999,5.039999999999954,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.17}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
MITOUSDT,Buy,40,0.22522,0.22684158,0.2184634,Bullish,2025-09-08T08:59:14.854208+00:00,2025-09-08T14:29:14.854208+05:30,Fail,231,,231.0,5.04%,53.767584264568804,0.0004428583246294804,0.0002552487758361433,0.0001876095487933371,0.22732306934399302,0.2239625,0.220601930656007,0.6870962731728429,67.45570723206598,10.0,3.0,0.0,0.22396863657275315,0.0020653702481118986,0.22615828125000004,0.000336406250000032,,6.3124100347669385,,falling,-3833797.0,4.0,6.180059083913048,15.0,10.0,0.0,5.0,0.6870962731728429,53.767584264568804,67.45570723206598,0.0001876095487933371,0.0020653702481118986,0.22615828125000004,,6.3124100347669385,,3.0,0.0,falling,-3833797.0,5.0400000000000285,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.82}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
XNYUSDT,Buy,47,0.009831,0.00990178,0.00953607,Bullish,2025-09-08T08:59:17.106640+00:00,2025-09-08T14:29:17.106640+05:30,Success,3,3.0,,5.04%,60.07478022398071,4.07867332280782e-05,1.1742969701853932e-05,2.9043763526224267e-05,0.009869360490906618,0.009624400000000002,0.009379439509093385,0.9217006571863003,176.00349576343515,10.0,3.0,0.0,0.009584741203045793,0.00015140286465547208,0.009589750000000001,2.0187500000001107e-05,,8.22371663181448,,falling,-70578441.0,8.0,8.603944094555738,15.0,10.0,0.0,5.0,0.9217006571863003,60.07478022398071,176.00349576343515,2.9043763526224267e-05,0.00015140286465547208,0.009589750000000001,,8.22371663181448,,3.0,0.0,falling,-70578441.0,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.4}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,
BTRUSDT,Buy,40,0.07736,0.07791699,0.0750392,Bullish,2025-09-08T08:59:18.215158+00:00,2025-09-08T14:29:18.215158+05:30,Success,1,1.0,,5.04%,62.420176650699965,0.0005376058958218022,0.00033959255281147807,0.0001980133430103241,0.07716901382171633,0.07546450000000002,0.0737599861782837,1.0560236519793549,244.4134888850176,10.0,3.0,0.0,0.07468246990399245,0.0014299102210212824,0.07584515624999999,0.0002798437500000084,,12.620896301375339,,rising,32436280.0,8.0,7.3235095199568105,15.0,5.0,0.0,5.0,1.0560236519793549,62.420176650699965,244.4134888850176,0.0001980133430103241,0.0014299102210212824,0.07584515624999999,,12.620896301375339,,3.0,0.0,rising,32436280.0,5.040000000000056,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.68}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
ARBUSDT,Buy,42,0.4965,0.5000748,0.481605,Bullish,2025-09-08T08:59:23.791985+00:00,2025-09-08T14:29:23.791985+05:30,Success,16,16.0,,5.04%,55.18917099626677,0.0006205059446924843,0.00038310748082460934,0.00023739846386787499,0.4984252331037554,0.4952500000000001,0.49207476689624474,0.6968359423000389,63.32958848250229,10.0,3.0,0.0,0.4952957651042861,0.0015177960658798331,0.4976453125,0.000604687500000034,,11.375753181704237,,falling,-5577223.699999999,4.0,7.7538397027839485,15.0,10.0,0.0,5.0,0.6968359423000389,55.18917099626677,63.32958848250229,0.00023739846386787499,0.0015177960658798331,0.4976453125,,11.375753181704237,,3.0,0.0,falling,-5577223.699999999,5.040000000000063,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.25}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
TRUMPUSDT,Buy,40,8.546,8.6075312,8.28962,Bullish,2025-09-08T08:59:26.019966+00:00,2025-09-08T14:29:26.019966+05:30,Success,175,175.0,,5.04%,61.50687878743162,0.012502093399957559,0.007631279992803436,0.004870813407154123,8.562206542370221,8.51485,8.467493457629777,0.82888803152558,94.55022980958974,10.0,3.0,0.0,8.512458645863319,0.016546537747056483,8.551734374999999,0.00860937499999892,,20.89679499613932,,rising,361861.26,4.0,11.064893185433586,15.0,5.0,0.0,5.0,0.82888803152558,61.50687878743162,94.55022980958974,0.004870813407154123,0.016546537747056483,8.551734374999999,,20.89679499613932,,3.0,0.0,rising,361861.26,5.039999999999938,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.94}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
TAOUSDT,Buy,43,338.33,340.765976,328.1801,Bullish,2025-09-08T08:59:31.591212+00:00,2025-09-08T14:29:31.591212+05:30,Success,61,61.0,,5.04%,74.53136987322688,1.50287080067136,1.2829284849170968,0.21994231575426326,339.6738403755214,335.63500000000005,331.5961596244787,0.833635369242841,93.96298281150328,10.0,3.0,0.0,334.0383228437001,1.105423262994862,339.143125,0.4640624999999545,,44.91697439624936,,rising,12705.596999999998,4.0,13.775198564033525,15.0,5.0,0.0,5.0,0.833635369242841,74.53136987322688,93.96298281150328,0.21994231575426326,1.105423262994862,339.143125,,44.91697439624936,,3.0,0.0,rising,12705.596999999998,5.039999999999964,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.22}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
UNIUSDT,Buy,44,9.478,9.5462416,9.19366,Bullish,2025-09-08T08:59:38.260208+00:00,2025-09-08T14:29:38.260208+05:30,Success,14,14.0,,5.04%,63.55905347684439,0.013644148422054414,0.007236811957952031,0.006407336464102383,9.488983600438187,9.431949999999999,9.37491639956181,0.9037093892565025,124.9143416544279,10.0,3.0,0.0,9.430330365582524,0.022923445884367035,9.475078125,0.011203124999999758,,16.33616785867789,,rising,61944.0,8.0,10.708244297744386,15.0,5.0,0.0,5.0,0.9037093892565025,63.55905347684439,124.9143416544279,0.006407336464102383,0.022923445884367035,9.475078125,,16.33616785867789,,3.0,0.0,rising,61944.0,5.040000000000026,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.29}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,
ASRUSDT,Buy,59,2.568,2.5864896,2.49096,Bullish,2025-09-08T08:59:39.362470+00:00,2025-09-08T14:29:39.362470+05:30,Fail,73,,73.0,5.04%,67.8645654680042,0.013218229376106283,0.0040890238011409615,0.009129205574965321,2.5586217104351703,2.49925,2.4398782895648297,1.0789794457334205,323.7726098191212,10.0,3.0,0.0,2.5068175528364796,0.023341993499513304,2.51425,0.006406249999999947,,19.756937618573282,,falling,-13814.000000000058,8.0,13.386556199826554,15.0,10.0,0.0,5.0,1.0789794457334205,67.8645654680042,323.7726098191212,0.009129205574965321,0.023341993499513304,2.51425,,19.756937618573282,,3.0,0.0,falling,-13814.000000000058,5.040000000000029,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.61}]}",True,,,Buy,59,,0.006406249999999947,51.0,59.0
CRVUSDT,Buy,41,0.777,0.7825944,0.75369,Bullish,2025-09-08T08:59:42.765554+00:00,2025-09-08T14:29:42.765554+05:30,Success,20,20.0,,5.04%,64.24639525887574,0.0017763875992126144,0.0012792016935045721,0.0004971859057080422,0.7790369957682104,0.77275,0.7664630042317897,0.8379992731575975,104.10958904109945,10.0,3.0,0.0,0.7717177306105262,0.0029512875315394053,0.7777812500000001,0.0011249999999999316,,23.467364470862982,,rising,1338000.2999999996,8.0,8.043137650762542,15.0,5.0,0.0,5.0,0.8379992731575975,64.24639525887574,104.10958904109945,0.0004971859057080422,0.0029512875315394053,0.7777812500000001,,23.467364470862982,,3.0,0.0,rising,1338000.2999999996,5.039999999999999,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.96}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
NEARUSDT,Buy,42,2.503,2.5210216,2.42791,Bullish,2025-09-08T08:59:44.956834+00:00,2025-09-08T14:29:44.956834+05:30,Success,20,20.0,,5.04%,56.18591108307113,0.003519766005752434,0.0025012143632333478,0.001018551642519086,2.511201556623355,2.497,2.4827984433766446,0.7112444487294043,68.65127582017178,10.0,3.0,0.0,2.49455177839623,0.006610412117310511,2.5082500000000003,0.002531250000000096,,15.052060907637657,,falling,-165258.0,4.0,7.69799022914834,15.0,10.0,0.0,5.0,0.7112444487294043,56.18591108307113,68.65127582017178,0.001018551642519086,0.006610412117310511,2.5082500000000003,,15.052060907637657,,3.0,0.0,falling,-165258.0,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.3}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,
EIGENUSDT,Buy,58,1.4312,1.44150464,1.388264,Bullish,2025-09-08T08:59:46.070553+00:00,2025-09-08T14:29:46.070553+05:30,Success,17,17.0,,5.04%,63.42768611703576,0.0033678190366586147,0.0012884011137372126,0.002079417922921402,1.436160042188973,1.416995,1.397829957811027,0.87059662744111,113.59529312880977,10.0,3.0,0.0,1.4195811083840404,0.0059924142799124645,1.4323468750000004,0.0019406250000002512,,14.324209231980184,,falling,-733641.8000000003,8.0,12.328200925194155,15.0,10.0,0.0,5.0,0.87059662744111,63.42768611703576,113.59529312880977,0.002079417922921402,0.0059924142799124645,1.4323468750000004,,14.324209231980184,,3.0,0.0,falling,-733641.8000000003,5.0399999999999885,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.67}]}",True,,,Buy,58,,0.0019406250000002512,50.0,58.0
