Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
ETHUSDT,Buy,44,4648.26,4681.727472,4508.8122,Bullish,2025-09-14T11:20:43.440799+00:00,2025-09-14T16:50:43.440799+05:30,Inconclusive,600,,,5.04%,37.923953890862364,-2.1452505964116426,-0.8687578936307856,-1.276492702780857,4669.952150500388,4659.530000000001,4649.107849499614,-0.04067536251668587,-221.18372855214565,5.0,0.0,3.0,4660.04195276521,5.8060178381305985,4657.17921875,-0.07312500000080036,-0.0015701564523520166,,-9.800836675704115,,falling,-30196.175000000003,26.0,0.0,8.0,5.0,0.0,5.0,-0.04067536251668587,37.923953890862364,-221.18372855214565,-1.276492702780857,5.8060178381305985,4657.17921875,,-9.800836675704115,,0.0,3.0,falling,-30196.175000000003,-0.07312500000080036,-0.0015701564523520166,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
PUMPUSDT,Buy,41,0.008269,0.00832854,0.00802093,Bullish,2025-09-14T11:20:48.648131+00:00,2025-09-14T16:50:48.648131+05:30,Fail,49,,49.0,5.04%,63.64002076394785,4.993080390677633e-05,3.7441558528487684e-05,1.2489245378288647e-05,0.008307145366872153,0.0081592,0.008011254633127848,0.8710829285207837,118.18766657476358,5.0,3.0,0.0,0.008120114579645978,6.746788921427171e-05,0.008262359375,1.6999999999999654e-05,0.205752367192327,,20.680262485961958,,rising,2238450950.0,8.0,8.44273405570723,15.0,5.0,0.0,5.0,0.8710829285207837,63.64002076394785,118.18766657476358,1.2489245378288647e-05,6.746788921427171e-05,0.008262359375,,20.680262485961958,,3.0,0.0,rising,2238450950.0,1.6999999999999654e-05,0.205752367192327,5.039999999999932,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.56}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
SOMIUSDT,Buy,41,1.3208,1.33030976,1.281176,Bullish,2025-09-14T11:20:49.510941+00:00,2025-09-14T16:50:49.510941+05:30,Success,40,40.0,,5.04%,39.58985042297576,-0.01304909298687118,-0.0008870769540290568,-0.012162016032842123,1.4511267963034533,1.3728349999999998,1.2945432036965463,0.16768548904973504,-115.52238805970114,5.0,0.0,3.0,1.3479726914641572,0.02802037150905233,1.3284546874999998,-0.017281250000000137,-1.3008535528239564,,-12.338299376148704,,falling,-4510290.0,18.0,5.0,8.0,5.0,0.0,5.0,0.16768548904973504,39.58985042297576,-115.52238805970114,-0.012162016032842123,0.02802037150905233,1.3284546874999998,,-12.338299376148704,,0.0,3.0,falling,-4510290.0,-0.017281250000000137,-1.3008535528239564,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 15.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
1000PEPEUSDT,Buy,44,0.0116806,0.0117647,0.01133018,Bullish,2025-09-14T11:20:50.408116+00:00,2025-09-14T16:50:50.408116+05:30,Fail,155,,155.0,5.04%,37.91384142173834,-5.744067810231623e-06,3.899121370157153e-06,-9.643189180388778e-06,0.011786491134276687,0.01173815,0.011689808865723312,-0.09524875513475091,-263.89425444079023,5.0,0.0,3.0,0.011725807856326913,3.015424584984657e-05,0.011731484375,-8.214062500001146e-06,-0.07001724792393244,,-4.737820815678434,,falling,-399366681.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.09524875513475091,37.91384142173834,-263.89425444079023,-9.643189180388778e-06,3.015424584984657e-05,0.011731484375,,-4.737820815678434,,0.0,3.0,falling,-399366681.0,-8.214062500001146e-06,-0.07001724792393244,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
WLFIUSDT,Buy,40,0.2343,0.23598696,0.227271,Bullish,2025-09-14T11:20:51.271941+00:00,2025-09-14T16:50:51.271941+05:30,Fail,65,,65.0,5.04%,49.64453521303826,0.0006479481456347358,0.001129916325561036,-0.00048196817992630014,0.23887162215823202,0.23549000000000003,0.23210837784176805,0.3240489409641506,-60.468973836989456,5.0,3.0,0.0,0.23229199025364697,0.0022505864948993383,0.236546875,-0.00022031250000004166,-0.09313693110511041,,7.617646360315359,,falling,-38341267.0,6.0,4.0,15.0,10.0,0.0,5.0,0.3240489409641506,49.64453521303826,-60.468973836989456,-0.00048196817992630014,0.0022505864948993383,0.236546875,,7.617646360315359,,3.0,0.0,falling,-38341267.0,-0.00022031250000004166,-0.09313693110511041,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
HIFIUSDT,Buy,41,0.58262,0.58681486,0.5651414,Bullish,2025-09-14T11:20:52.140762+00:00,2025-09-14T16:50:52.140762+05:30,Success,1,1.0,,5.04%,36.92200388775704,-0.006770238558782782,-0.005089587597182689,-0.0016806509616000926,0.6253367624663553,0.6025400000000001,0.5797432375336449,0.06309585561986814,-152.55295923787642,5.0,3.0,0.0,0.6053846905836743,0.013052961904101759,0.58802140625,-0.0028450000000000975,-0.4838259236417207,,-14.50747008627489,,falling,-5688926.0,18.0,0.0,8.0,10.0,0.0,5.0,0.06309585561986814,36.92200388775704,-152.55295923787642,-0.0016806509616000926,0.013052961904101759,0.58802140625,,-14.50747008627489,,3.0,0.0,falling,-5688926.0,-0.0028450000000000975,-0.4838259236417207,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,
MYXUSDT,Buy,43,10.827,10.9049544,10.50219,Bullish,2025-09-14T11:20:53.879187+00:00,2025-09-14T16:50:53.879187+05:30,Success,3,3.0,,5.04%,37.636251026636664,0.006532299509599326,0.048035520909657,-0.041503221400057674,11.398555773861602,11.1202,10.841844226138399,-0.026664124714329236,-158.98703613211006,5.0,0.0,3.0,11.029471295294718,0.17354344576483566,11.081453125000001,-0.055812499999998266,-0.5036568703619207,,1.9864766320379565,,rising,615190.0,26.0,4.0,8.0,0.0,0.0,5.0,-0.026664124714329236,37.636251026636664,-158.98703613211006,-0.041503221400057674,0.17354344576483566,11.081453125000001,,1.9864766320379565,,0.0,3.0,rising,615190.0,-0.055812499999998266,-0.5036568703619207,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,
BNBUSDT,Buy,59,935.04,941.772288,906.9888,Bullish,2025-09-14T11:20:58.230931+00:00,2025-09-14T16:50:58.230931+05:30,Inconclusive,600,,,5.04%,29.192817670439084,-0.9757786395879293,-0.6537385005198304,-0.3220401390680989,941.687560574886,938.1495000000001,934.6114394251142,0.060564335433908253,-164.38605856236927,5.0,3.0,0.0,938.4454219228745,0.9929081744699538,936.65625,-0.17468749999989086,-0.018650118439917616,,-24.94609053481451,,falling,-11044.52,24.0,0.0,8.0,10.0,12.0,5.0,0.060564335433908253,29.192817670439084,-164.38605856236927,-0.3220401390680989,0.9929081744699538,936.65625,,-24.94609053481451,,3.0,0.0,falling,-11044.52,-0.17468749999989086,-0.018650118439917616,5.04000000000003,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,59,1.0,-0.17468749999989086,-0.018650118439917616,,,,,,,,,
ADAUSDT,Buy,44,0.9107,0.91725704,0.883379,Bullish,2025-09-14T11:21:01.684704+00:00,2025-09-14T16:51:01.684704+05:30,Fail,196,,196.0,5.04%,33.629881098577926,-0.001115248312258843,-0.0005232641146620805,-0.0005919841975967626,0.9198317423527475,0.91533,0.9108282576472525,-0.014245334050967232,-223.19474835886172,5.0,0.0,3.0,0.9157381317170835,0.0019369610341260178,0.9133,-0.0004562500000000469,-0.049956202781128535,,-15.7463858178899,,falling,-11573801.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.014245334050967232,33.629881098577926,-223.19474835886172,-0.0005919841975967626,0.0019369610341260178,0.9133,,-15.7463858178899,,0.0,3.0,falling,-11573801.0,-0.0004562500000000469,-0.049956202781128535,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,
OPENUSDT,Sell,40,1.0137,1.00640136,1.044111,Bullish,2025-09-14T11:21:03.397634+00:00,2025-09-14T16:51:03.397634+05:30,Success,6,6.0,,5.04%,31.912545473864128,-0.013634151281268325,-0.010373124071985765,-0.0032610272092825597,1.078605715307135,1.04343,1.0082542846928653,0.07740731438701129,-145.4918279958981,5.0,0.0,3.0,1.056511109288188,0.013824005337471317,1.0262375000000001,-0.008443750000000083,-0.8227871228638675,,-28.512032580450473,,falling,-10278407.0,8.0,14.661503385754449,7.0,5.0,0.0,5.0,0.07740731438701129,31.912545473864128,-145.4918279958981,-0.0032610272092825597,0.013824005337471317,1.0262375000000001,,-28.512032580450473,,0.0,3.0,falling,-10278407.0,-0.008443750000000083,-0.8227871228638675,5.039999999999939,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,,,
