Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason
ETHUSDT,Strong Sell,67,4297.59,4266.647352,4426.5177,Bearish,2025-09-10T19:38:08.802144+00:00,2025-09-11T01:08:08.802144+05:30,Inconclusive,600,,,5.04%,26.210093118845805,-15.849934483155266,-13.391858765280201,-2.458075717875065,4370.342554245737,4333.449500000001,4296.556445754264,0.014007436723071729,-150.95765201174686,-10.0,0.0,3.0,4351.171167222495,11.470455921255397,4311.895624999999,-4.343125000001237,-0.10072426092181297,,-35.867462490786785,,falling,-123570.263,8.0,14.143110058919518,15.0,5.0,12.0,5.0,0.014007436723071729,26.210093118845805,-150.95765201174686,-2.458075717875065,11.470455921255397,4311.895624999999,,-35.867462490786785,,0.0,3.0,falling,-123570.263,-4.343125000001237,-0.10072426092181297,5.04000000000003,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,59.0,67.0,-4.343125000001237,-0.10072426092181297,Sell,67,,,,,,,
BTCUSDT,Sell,47,113143.9,112329.26392,116538.217,Bearish,2025-09-10T19:38:09.681392+00:00,2025-09-11T01:08:09.681392+05:30,Inconclusive,600,,,5.04%,33.67573685451602,-120.50321505467582,-91.72261757272068,-28.78059748195514,113807.21021021604,113439.325,113071.43978978395,0.09848209197304951,-130.7586836018856,-10.0,0.0,3.0,113499.54147406098,126.34963644941602,113272.2171875,-35.80156250001164,-0.03160665818057499,,-21.243752196678965,,falling,-3375.7429999999995,8.0,14.466848650913676,15.0,5.0,0.0,5.0,0.09848209197304951,33.67573685451602,-130.7586836018856,-28.78059748195514,126.34963644941602,113272.2171875,,-21.243752196678965,,0.0,3.0,falling,-3375.7429999999995,-35.80156250001164,-0.03160665818057499,5.03999999999998,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.53}]}",False,,,,,Sell,47,not_in_gap_or_already_strong,47.0,,,,,
SOLUSDT,Sell,47,220.66,219.071248,227.2798,Bearish,2025-09-10T19:38:10.536277+00:00,2025-09-11T01:08:10.536277+05:30,Inconclusive,600,,,5.04%,34.39670279723171,-0.4091243126574682,-0.27927932280647294,-0.12984498985099524,223.08686429153352,221.8915,220.6961357084665,-0.015114935556651644,-183.7534583461417,-10.0,0.0,3.0,222.22531138241808,0.6202999781248761,221.64765625,-0.23624999999998408,-0.10658808849912398,,-18.249048093061475,,falling,-483380.06000000006,8.0,14.023826964889123,15.0,5.0,0.0,5.0,-0.015114935556651644,34.39670279723171,-183.7534583461417,-0.12984498985099524,0.6202999781248761,221.64765625,,-18.249048093061475,,0.0,3.0,falling,-483380.06000000006,-0.23624999999998408,-0.10658808849912398,5.039999999999998,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.98}]}",False,,,,,Sell,47,not_in_gap_or_already_strong,47.0,,,,,
DOGEUSDT,Strong Sell,72,0.23932,0.2375969,0.2464996,Bearish,2025-09-10T19:38:14.945763+00:00,2025-09-11T01:08:14.945763+05:30,Fail,326,,326.0,5.04%,25.30996483701631,-0.0011056485390886217,-0.000706999434077519,-0.00039864910501110273,0.24621193986692627,0.24311149999999998,0.2400110601330737,-0.1114454984993446,-213.98834304746123,-10.0,0.0,3.0,0.24357210131787585,0.0010006884094068303,0.24166875,-0.0005253124999999859,-0.21736881578606498,,-29.321441970736817,,falling,-342395834.0,8.0,18.560996640240653,15.0,5.0,12.0,5.0,-0.1114454984993446,25.30996483701631,-213.98834304746123,-0.00039864910501110273,0.0010006884094068303,0.24166875,,-29.321441970736817,,0.0,3.0,falling,-342395834.0,-0.0005253124999999859,-0.21736881578606498,5.040000000000009,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-0.0005253124999999859,-0.21736881578606498,Sell,72,,,,,,,
XRPUSDT,Strong Sell,72,2.9694,2.94802032,3.058482,Bearish,2025-09-10T19:38:15.844430+00:00,2025-09-11T01:08:15.844430+05:30,Inconclusive,600,,,5.04%,26.625337292929984,-0.006163353860754395,-0.003740414208380956,-0.002422939652373439,3.0083423045837114,2.989985,2.9716276954162884,-0.06067599429235297,-207.3198735272785,-10.0,0.0,3.0,2.993062474706337,0.006037624077105545,2.98391875,-0.0037218750000000966,-0.1247311107247842,,-27.950231998858694,,falling,-16740024.5,8.0,18.63136341619336,15.0,5.0,12.0,5.0,-0.06067599429235297,26.625337292929984,-207.3198735272785,-0.002422939652373439,0.006037624077105545,2.98391875,,-27.950231998858694,,0.0,3.0,falling,-16740024.5,-0.0037218750000000966,-0.1247311107247842,5.039999999999976,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-0.0037218750000000966,-0.1247311107247842,Sell,72,,,,,,,
LINEAUSDT,Sell,45,0.02387,0.02369814,0.0245861,Bearish,2025-09-10T19:38:16.714674+00:00,2025-09-11T01:08:16.714674+05:30,Success,2,2.0,,5.04%,31.61345246178621,-0.0005880780441986401,-0.0005095879885036828,-7.849005569495729e-05,0.026209344348623057,0.025100499999999998,0.02399165565137694,-0.05485695604076888,-188.90094783300867,-10.0,0.0,3.0,0.025830187884392015,0.0006164722034564807,0.0246078125,-0.0001934375000000009,-0.7860816559781609,,-25.27683697929386,,falling,-2765525728.0,8.0,12.05571171922589,15.0,5.0,0.0,5.0,-0.05485695604076888,31.61345246178621,-188.90094783300867,-7.849005569495729e-05,0.0006164722034564807,0.0246078125,,-25.27683697929386,,0.0,3.0,falling,-2765525728.0,-0.0001934375000000009,-0.7860816559781609,5.040000000000021,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.94}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0,,,,,
AVAXUSDT,Sell,47,28.463,28.2580664,29.31689,Bearish,2025-09-10T19:38:17.573374+00:00,2025-09-11T01:08:17.573374+05:30,Fail,125,,125.0,5.04%,39.627727697998964,-0.04141866563359642,-0.015529087907400606,-0.025889577726195812,28.837448477273036,28.6486,28.45975152272696,0.008600750506299413,-162.70713057102395,-10.0,0.0,3.0,28.582744750358998,0.12035376622717343,28.612203125,-0.04979687499999841,-0.17404068740336961,,-8.487250513646886,,falling,-518135.0,8.0,14.162695650552989,15.0,5.0,0.0,5.0,0.008600750506299413,39.627727697998964,-162.70713057102395,-0.025889577726195812,0.12035376622717343,28.612203125,,-8.487250513646886,,0.0,3.0,falling,-518135.0,-0.04979687499999841,-0.17404068740336961,5.040000000000009,,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.84}]}",False,,,,,Sell,47,not_in_gap_or_already_strong,47.0,,,,,
ENAUSDT,Strong Sell,70,0.7724,0.76683872,0.795572,Bearish,2025-09-10T19:38:18.432072+00:00,2025-09-11T01:08:18.432072+05:30,Fail,491,,491.0,5.04%,23.773621896603018,-0.004547064019669089,-0.0035371009694059622,-0.001009963050263127,0.7942322360223459,0.783155,0.7720777639776542,0.0145449650840599,-160.38210155857098,-10.0,0.0,3.0,0.7890244444812594,0.0030604296669440537,0.776503125,-0.0021999999999999797,-0.2833214611982379,,-39.54539446628362,,falling,-18044461.0,8.0,16.92016672303358,15.0,5.0,12.0,5.0,0.0145449650840599,23.773621896603018,-160.38210155857098,-0.001009963050263127,0.0030604296669440537,0.776503125,,-39.54539446628362,,0.0,3.0,falling,-18044461.0,-0.0021999999999999797,-0.2833214611982379,5.040000000000002,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,62.0,70.0,-0.0021999999999999797,-0.2833214611982379,Sell,70,,,,,,,
WLFIUSDT,Strong Sell,68,0.196,0.1945888,0.20188,Bearish,2025-09-10T19:38:20.206228+00:00,2025-09-11T01:08:20.206228+05:30,Fail,189,,189.0,5.04%,25.52168708663035,-0.0009992059680290766,-0.0006872906492366865,-0.0003119153187923901,0.2020965237797385,0.19951,0.1969234762202615,-0.1785168625735282,-221.7659137576988,-10.0,0.0,3.0,0.20086798864523484,0.0012242620430829975,0.19841250000000002,-0.0004750000000000032,-0.23940023940024097,,-28.678763940973717,,falling,-76105127.0,8.0,15.114677567039347,15.0,5.0,12.0,5.0,-0.1785168625735282,25.52168708663035,-221.7659137576988,-0.0003119153187923901,0.0012242620430829975,0.19841250000000002,,-28.678763940973717,,0.0,3.0,falling,-76105127.0,-0.0004750000000000032,-0.23940023940024097,5.0400000000000045,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,60.0,68.0,-0.0004750000000000032,-0.23940023940024097,Sell,68,,,,,,,
BNBUSDT,Strong Sell,72,889.25,882.8474,915.9275,Bearish,2025-09-10T19:38:21.978509+00:00,2025-09-11T01:08:21.978509+05:30,Inconclusive,600,,,5.04%,20.940861621224215,-1.627769157736111,-1.1040431814631073,-0.5237259762730038,898.9923062964631,894.5385,890.0846937035369,-0.09370565848359544,-195.71865443425375,-10.0,0.0,3.0,895.4161370245599,1.291867103381001,892.12765625,-0.7876562500000546,-0.08828963483891038,,-35.91931069444263,,falling,-21716.530000000002,8.0,18.729656709777743,15.0,5.0,12.0,5.0,-0.09370565848359544,20.940861621224215,-195.71865443425375,-0.5237259762730038,1.291867103381001,892.12765625,,-35.91931069444263,,0.0,3.0,falling,-21716.530000000002,-0.7876562500000546,-0.08828963483891038,5.040000000000005,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,64.0,72.0,-0.7876562500000546,-0.08828963483891038,Sell,72,,,,,,,
