Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,0,0,0,0,0.0,0.0
Buy,320,124,128,68,49.2063492063492,46.425
Strong Sell,5,1,4,0,20.0,75.0
Sell,300,162,94,44,63.28125,46.38333333333333
