SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Keltner_buy_score,Bollinger_buy_score,Bollinger_sell_score,Keltner_sell_score
signals_2025-09-05_01-27-25_STRONG.json,ETHUSDT,Buy,50,Success,71.0,True,50,15,,,Bullish,5.04%,0,0,2025-09-04T19:56:03.039161+00:00,2025-09-05T01:26:03.039161+05:30,45.14994620364594,-54.18814432989604,-37.49741687549713,0.0705273342736197,,,falling,up,up,-7.392072376280339,-7.948722369997535,0.5566499937171958,4297.018625535438,4279.638000000001,4262.257374464563,4296.548000000001,4279.638,4262.727999999999,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,BTCUSDT,Buy,40,Success,148.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:56:04.607028+00:00,2025-09-05T01:26:04.607028+05:30,50.30175567285953,-52.110212114584385,-45.61149560472834,0.0647092308176688,,,falling,up,up,10.879348406320787,35.114298139126646,-24.23494973280586,110079.72433807372,109913.165,109746.60566192627,110065.665,109913.165,109760.665,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,SOLUSDT,Strong Sell,65,Success,298.0,True,45,65,,,Bullish,5.04%,0,0,2025-09-04T19:56:05.928140+00:00,2025-09-05T01:26:05.928140+05:30,37.00579918963152,-84.3137254901955,-129.55312263307073,-0.09666717930908954,,,falling,down,down,-0.416795923812316,-0.36723907422281565,-0.04955684958950035,203.7655583517163,202.95149999999998,202.13744164828367,203.5865,202.9515,202.31650000000002,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,10.0,,,
signals_2025-09-05_01-27-25_STRONG.json,WLFIUSDT,Buy,40,Success,4.0,True,40,25,,,Bullish,5.04%,0,0,2025-09-04T19:56:07.258310+00:00,2025-09-05T01:26:07.258310+05:30,57.85983840339373,-43.13725490196087,42.25796278776369,0.06751574390600677,,,falling,up,up,0.0019133228792932444,0.0020024870428979056,-8.916416360466115e-05,0.19151540812125614,0.18346,0.17540459187874388,0.18976,0.18346,0.17716,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,ALPACAUSDT,Sell,50,Inconclusive,,False,35,50,,,Bullish,5.04%,0,0,2025-09-04T19:56:08.569458+00:00,2025-09-05T01:26:08.569458+05:30,,,0.0,,,,falling,down,down,0.0,0.0,0.0,1.19,1.19,1.19,1.1900000000000002,1.1900000000000002,1.1900000000000002,10.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,15.0,10.0,10.0,0.0,10.0,15.0,15.0,
signals_2025-09-05_01-27-25_STRONG.json,XRPUSDT,Strong Sell,65,Inconclusive,,False,20,65,,,Bullish,5.04%,0,0,2025-09-04T19:56:09.861675+00:00,2025-09-05T01:26:09.861675+05:30,37.406246521842114,-72.30769230769288,-114.04236491344452,-0.10828640316792942,,,falling,down,down,-0.004933593449036877,-0.00427878217374658,-0.0006548112752902974,2.808298111154685,2.7982400000000003,2.7881818888453154,2.80619,2.79824,2.7902899999999997,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,DOGEUSDT,Strong Sell,65,Inconclusive,,False,20,65,,,Bullish,5.04%,0,0,2025-09-04T19:56:12.501314+00:00,2025-09-05T01:26:12.501314+05:30,38.37295662408723,-72.51461988304132,-103.66608061470646,-0.1442207090889331,,,falling,down,down,-0.00036280744055636194,-0.0003136694030042656,-4.9138037552096364e-05,0.21219348783774622,0.211361,0.21052851216225377,0.21202099999999996,0.21136099999999997,0.21070099999999997,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,MUSDT,Sell,35,Success,7.0,True,30,35,,,Bullish,5.04%,0,0,2025-09-04T19:56:14.001819+00:00,2025-09-05T01:26:14.001819+05:30,44.360724923548425,-77.9803646563814,-63.3753006082896,-0.09008947838441689,,,falling,up,up,-0.008243820375349875,-0.006769435982742022,-0.001474384392607853,1.3942576129554924,1.35002,1.3057823870445076,1.38577,1.3500199999999998,1.3142699999999996,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_01-27-25_STRONG.json,ENAUSDT,Strong Sell,65,Inconclusive,,False,45,65,,,Bullish,5.04%,0,0,2025-09-04T19:56:15.336906+00:00,2025-09-05T01:26:15.336906+05:30,30.105543976227338,-92.85714285714253,-171.40082544306733,-0.10258240257719362,,,falling,down,down,-0.003307369241309255,-0.0031122175287215444,-0.00019515171258771037,0.6534198531896535,0.647545,0.6416701468103466,0.652695,0.647545,0.642395,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,10.0,,,
signals_2025-09-05_01-27-25_STRONG.json,PUMPUSDT,Strong Buy,65,Success,6.0,True,65,35,,,Bullish,5.04%,0,0,2025-09-04T19:56:16.667493+00:00,2025-09-05T01:26:16.667493+05:30,37.75718023283619,-86.46616541353337,-105.4673721340388,0.05135310361442209,,,falling,up,up,-2.5247798342389535e-05,-2.042341814155272e-05,-4.824380200836814e-06,0.004208010077363112,0.0041311,0.0040541899226368885,0.0041866,0.0041311,0.0040756,10.0,10.0,15.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,10.0,,,,
