Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence
1000BONKUSDT,Buy,46,0.023332,0.02349999,0.02263204,Bullish,2025-09-10T14:53:48.561913+00:00,2025-09-10T20:23:48.561913+05:30,Success,17,17.0,,5.04%,46.237073109745005,2.4006758474443002e-05,5.753071722540575e-05,-3.3523958750962746e-05,0.02362255744285891,0.02346525,0.02330794255714109,0.07646632105159583,-132.51405163380025,10.0,3.0,0.0,0.023307413644814555,0.00011941774088627555,0.02340828125,-2.957812499999879e-05,-0.1263575257153867,,5.787603526178845,,falling,-178275811.0,12.0,4.0,15.0,10.0,0.0,5.0,0.07646632105159583,46.237073109745005,-132.51405163380025,-3.3523958750962746e-05,0.00011941774088627555,0.02340828125,,5.787603526178845,,3.0,0.0,falling,-178275811.0,-2.957812499999879e-05,-0.1263575257153867,5.040000000000051,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46,Buy,46
PROMPTUSDT,Buy,44,0.1885,0.1898572,0.182845,Bullish,2025-09-10T14:53:50.325166+00:00,2025-09-10T20:23:50.325166+05:30,Success,22,22.0,,5.04%,37.78160313394453,-0.0003597351292748685,-3.801498710140547e-05,-0.00032172014217346306,0.19303683130278323,0.19086999999999998,0.18870316869721673,-0.0468815216384788,-184.4532279314904,10.0,0.0,3.0,0.19080802727773677,0.0013475141147360444,0.18956406250000002,-0.00036249999999998783,-0.19122822924307598,,-8.24901887755786,,falling,-3792971.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.0468815216384788,37.78160313394453,-184.4532279314904,-0.00032172014217346306,0.0013475141147360444,0.18956406250000002,,-8.24901887755786,,0.0,3.0,falling,-3792971.0,-0.00036249999999998783,-0.19122822924307598,5.040000000000012,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44,Buy,44
XNYUSDT,Buy,40,0.013668,0.01376641,0.01325796,Bullish,2025-09-10T14:53:54.799913+00:00,2025-09-10T20:23:54.799913+05:30,Success,6,6.0,,5.04%,63.036177996168455,0.00023238570241634025,0.0001770637935943404,5.5321908821999856e-05,0.01392715033182026,0.013194349999999999,0.012461549668179738,0.8231780741852722,125.61700136877853,10.0,3.0,0.0,0.012924443298255577,0.0003842116174683461,0.013281875,0.00015335937500000028,1.154651545809611,,18.453638379465083,,rising,527288740.0,8.0,7.455714901274122,15.0,5.0,0.0,5.0,0.8231780741852722,63.036177996168455,125.61700136877853,5.5321908821999856e-05,0.0003842116174683461,0.013281875,,18.453638379465083,,3.0,0.0,rising,527288740.0,0.00015335937500000028,1.154651545809611,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.54}]}",False,not_in_gap_or_already_strong,40,Buy,40
NEARUSDT,Buy,41,2.696,2.7154112,2.61512,Bullish,2025-09-10T14:53:55.702824+00:00,2025-09-10T20:23:55.702824+05:30,Success,129,129.0,,5.04%,47.469466742858394,0.0029222045501340332,0.006489981778763873,-0.00356777722862984,2.72506556075871,2.7087,2.69233443924129,0.1119900751570488,-144.64249129276982,10.0,3.0,0.0,2.690164139308178,0.01083459796528923,2.70109375,-0.0020781249999997087,-0.07693642621622106,,7.76146050533395,,rising,188480.0,12.0,4.0,15.0,5.0,0.0,5.0,0.1119900751570488,47.469466742858394,-144.64249129276982,-0.00356777722862984,0.01083459796528923,2.70109375,,7.76146050533395,,3.0,0.0,rising,188480.0,-0.0020781249999997087,-0.07693642621622106,5.039999999999989,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41,Buy,41
PLUMEUSDT,Buy,40,0.1165,0.1173388,0.113005,Bullish,2025-09-10T14:53:57.478405+00:00,2025-09-10T20:23:57.478405+05:30,Fail,57,,57.0,5.04%,50.80124777637547,0.0004488886558533661,0.0008124229578781249,-0.0003635343020247588,0.11908358667896389,0.11733450000000001,0.11558541332103613,0.26144692826362953,-80.44569993722536,10.0,3.0,0.0,0.11535671408003029,0.0016550837524982743,0.116635,-0.00041531250000000075,-0.35607879281519333,,8.931580113190446,,falling,-3010874.0,6.0,4.0,15.0,10.0,0.0,5.0,0.26144692826362953,50.80124777637547,-80.44569993722536,-0.0003635343020247588,0.0016550837524982743,0.116635,,8.931580113190446,,3.0,0.0,falling,-3010874.0,-0.00041531250000000075,-0.35607879281519333,5.040000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
VIRTUALUSDT,Buy,40,1.2836,1.29284192,1.245092,Bullish,2025-09-10T14:54:04.605389+00:00,2025-09-10T20:24:04.605389+05:30,Success,16,16.0,,5.04%,47.63983801231778,0.00029256866075910715,0.002239880320097158,-0.001947311659338051,1.3042883902242777,1.29059,1.2768916097757221,0.24486053158233892,-97.79076291191673,10.0,3.0,0.0,1.2820431404853332,0.007076360918999957,1.2828015625,-0.00011562499999984155,-0.009013475145329936,,1.3922100046599404,,falling,-798489.6,6.0,4.0,15.0,10.0,0.0,5.0,0.24486053158233892,47.63983801231778,-97.79076291191673,-0.001947311659338051,0.007076360918999957,1.2828015625,,1.3922100046599404,,3.0,0.0,falling,-798489.6,-0.00011562499999984155,-0.009013475145329936,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
FILUSDT,Buy,40,2.492,2.5099424,2.41724,Bullish,2025-09-10T14:54:05.483941+00:00,2025-09-10T20:24:05.483941+05:30,Inconclusive,600,,,5.04%,51.48425186139754,0.003866518437404931,0.006039893027851011,-0.0021733745904460797,2.5065838589104286,2.4965,2.4864161410895718,0.27687113435579624,-77.80576546319737,10.0,3.0,0.0,2.4825423174111165,0.008489617068598984,2.4967812499999997,-0.0013906249999999787,-0.05569670951349778,,13.955880428243994,,falling,-623356.2,6.0,4.0,15.0,10.0,0.0,5.0,0.27687113435579624,51.48425186139754,-77.80576546319737,-0.0021733745904460797,0.008489617068598984,2.4967812499999997,,13.955880428243994,,3.0,0.0,falling,-623356.2,-0.0013906249999999787,-0.05569670951349778,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
BIOUSDT,Buy,40,0.14906,0.15013323,0.1445882,Bullish,2025-09-10T14:54:07.250554+00:00,2025-09-10T20:24:07.250554+05:30,Fail,207,,207.0,5.04%,49.306517895191384,0.00033218157889303157,0.0005953933341121493,-0.0002632117552191178,0.1513337673258596,0.14980149999999998,0.14826923267414036,0.2580383045810927,-93.95481002795957,10.0,3.0,0.0,0.14859513436768262,0.0009564556114338774,0.15011546874999998,-0.0002567187500000234,-0.1710141880365167,,9.14454051076382,,falling,-28761806.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2580383045810927,49.306517895191384,-93.95481002795957,-0.0002632117552191178,0.0009564556114338774,0.15011546874999998,,9.14454051076382,,3.0,0.0,falling,-28761806.0,-0.0002567187500000234,-0.1710141880365167,5.040000000000035,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
HBARUSDT,Buy,40,0.23436,0.23604739,0.2273292,Bullish,2025-09-10T14:54:08.153303+00:00,2025-09-10T20:24:08.153303+05:30,Inconclusive,600,,,5.04%,49.326468754442274,0.00035055323367513824,0.0005869388091296046,-0.0002363855754544664,0.23624177336382934,0.2349585,0.23367522663617063,0.2668072848430292,-63.880609634938914,10.0,3.0,0.0,0.2337149983405695,0.0008681356337398379,0.2352246875,-0.0002539062500000189,-0.10794200757521205,,11.349136292135645,,falling,-18544160.0,6.0,4.0,15.0,10.0,0.0,5.0,0.2668072848430292,49.326468754442274,-63.880609634938914,-0.0002363855754544664,0.0008681356337398379,0.2352246875,,11.349136292135645,,3.0,0.0,falling,-18544160.0,-0.0002539062500000189,-0.10794200757521205,5.040000000000029,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40,Buy,40
OPUSDT,Buy,46,0.7782,0.78380304,0.754854,Bullish,2025-09-10T14:54:11.742875+00:00,2025-09-10T20:24:11.742875+05:30,Inconclusive,600,,,5.04%,45.6952623563947,0.0008617457711240784,0.00200316125210696,-0.0011414154809828818,0.7882479979791459,0.7823749999999999,0.776502002020854,0.14455972785750584,-99.63708347080191,10.0,3.0,0.0,0.7774909366018486,0.003323512625166076,0.7815015625000001,-0.0015031249999999385,-0.19233806714237225,,7.838530782169611,,falling,-1878076.4,12.0,4.0,15.0,10.0,0.0,5.0,0.14455972785750584,45.6952623563947,-99.63708347080191,-0.0011414154809828818,0.003323512625166076,0.7815015625000001,,7.838530782169611,,3.0,0.0,falling,-1878076.4,-0.0015031249999999385,-0.19233806714237225,5.040000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,46,Buy,46
