Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence
ADAUSDT,Sell,43,0.8566,0.85043248,0.882298,Bearish,2025-09-09T02:55:45.503614+00:00,2025-09-09T08:25:45.503614+05:30,Fail,222,,222.0,5.04%,34.179931904639204,-0.0022666718802821784,-0.0016108310389810667,-0.0006558408413011117,0.8695212116317199,0.8626849999999999,0.8558487883682799,0.05494356174072172,-148.75901358510984,-10.0,0.0,3.0,0.8639431709395372,0.002763038159786412,0.8583390625,-0.0006265625000000385,,-21.349930774035016,,falling,-14516699.0,8.0,9.696693017241362,15.0,5.0,0.0,5.0,0.05494356174072172,34.179931904639204,-148.75901358510984,-0.0006558408413011117,0.002763038159786412,0.8583390625,,-21.349930774035016,,0.0,3.0,falling,-14516699.0,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.3}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,
PENGUUSDT,Sell,40,0.032864,0.03262738,0.03384992,Bearish,2025-09-09T02:55:48.813628+00:00,2025-09-09T08:25:48.813628+05:30,Fail,86,,86.0,5.04%,33.54190633746383,-0.00013349534806809255,-0.00010409162395781437,-2.940372411027817e-05,0.03360266623684491,0.033222800000000004,0.0328429337631551,0.0277284933505411,-155.632595243425,-10.0,0.0,3.0,0.03344445862474939,0.00021787406454056856,0.03329415625,-4.907812500000441e-05,,-19.746456989382057,,falling,-306807853.0,8.0,7.238978352631207,15.0,5.0,0.0,5.0,0.0277284933505411,33.54190633746383,-155.632595243425,-2.940372411027817e-05,0.00021787406454056856,0.03329415625,,-19.746456989382057,,0.0,3.0,falling,-306807853.0,5.03999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.76}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
AVAXUSDT,Sell,40,24.957,24.7773096,25.70571,Bearish,2025-09-09T02:55:51.005360+00:00,2025-09-09T08:25:51.005360+05:30,Fail,219,,219.0,5.04%,34.858347704558255,-0.07546391911309414,-0.06581353110468405,-0.009650388008410088,25.2537855531868,25.0863,24.918814446813204,0.11399655809181307,-131.92780705957583,-10.0,0.0,3.0,25.187705542260613,0.07427602916312369,24.9674375,-0.019343750000004434,,-26.359435331647152,,falling,-532110.0,8.0,7.118224207882545,15.0,5.0,0.0,5.0,0.11399655809181307,34.858347704558255,-131.92780705957583,-0.009650388008410088,0.07427602916312369,24.9674375,,-26.359435331647152,,0.0,3.0,falling,-532110.0,5.039999999999954,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.88}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
FARTCOINUSDT,Sell,44,0.8088,0.80297664,0.833064,Bearish,2025-09-09T02:55:54.324869+00:00,2025-09-09T08:25:54.324869+05:30,Fail,174,,174.0,5.04%,35.1020728132023,-0.002975514366428067,-0.0016366159988388095,-0.0013388983675892575,0.8284453751008742,0.818055,0.8076646248991257,0.05463590533794663,-177.57599800179275,-10.0,0.0,3.0,0.818320817358901,0.00483468258066983,0.81215625,-0.0015796874999999266,,-17.126205833303025,,falling,-7759589.7,8.0,10.64646753659062,15.0,5.0,0.0,5.0,0.05463590533794663,35.1020728132023,-177.57599800179275,-0.0013388983675892575,0.00483468258066983,0.81215625,,-17.126205833303025,,0.0,3.0,falling,-7759589.7,5.039999999999952,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.35}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,
LTCUSDT,Sell,43,111.82,111.014896,115.1746,Bearish,2025-09-09T02:55:55.410710+00:00,2025-09-09T08:25:55.410710+05:30,Inconclusive,300,,,5.04%,36.484203746825806,-0.23924446253195697,-0.15461273590751104,-0.08463172662444593,113.18171767528048,112.444,111.70628232471952,0.07707398039313207,-155.59474818733878,-10.0,0.0,3.0,112.5496928696088,0.322673197521887,111.9875,-0.10234375000000284,,-18.711276566891744,,falling,-93829.73099999999,8.0,10.294794406805133,15.0,5.0,0.0,5.0,0.07707398039313207,36.484203746825806,-155.59474818733878,-0.08463172662444593,0.322673197521887,111.9875,,-18.711276566891744,,0.0,3.0,falling,-93829.73099999999,5.040000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.71}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,
WIFUSDT,Sell,41,0.8606,0.85440368,0.886418,Bearish,2025-09-09T02:55:58.725235+00:00,2025-09-09T08:25:58.725235+05:30,Fail,199,,199.0,5.04%,39.40876955034955,-0.0018317898123557663,-0.00094422907354345,-0.0008875607388123164,0.8747440194046205,0.867555,0.8603659805953794,0.016276170048326332,-190.37871033776847,-10.0,0.0,3.0,0.8676429282003034,0.004755822973098968,0.86519375,-0.0008937500000000265,,-10.294123416283064,,falling,-295294.8000000003,8.0,8.479026627354724,15.0,5.0,0.0,5.0,0.016276170048326332,39.40876955034955,-190.37871033776847,-0.0008875607388123164,0.004755822973098968,0.86519375,,-10.294123416283064,,0.0,3.0,falling,-295294.8000000003,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.52}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
AAVEUSDT,Sell,40,298.7,296.54936,307.661,Bearish,2025-09-09T02:56:00.915834+00:00,2025-09-09T08:26:00.915834+05:30,Fail,249,,249.0,5.04%,30.145031023266725,-0.8261967549815381,-0.7191709642492492,-0.1070257907322889,302.1322074051589,300.4325,298.7327925948411,-0.009646541146311688,-168.72129562484778,-10.0,0.0,3.0,301.53649009949584,0.8504694336713267,299.5140625,-0.1384375000000091,,-30.32877705665898,,falling,-17480.7,8.0,7.02023667856781,15.0,5.0,0.0,5.0,-0.009646541146311688,30.145031023266725,-168.72129562484778,-0.1070257907322889,0.8504694336713267,299.5140625,,-30.32877705665898,,0.0,3.0,falling,-17480.7,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.98}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,
LINEAUSDT,Sell,41,0.0284,0.02819552,0.029252,Bearish,2025-09-09T02:56:03.122063+00:00,2025-09-09T08:26:03.122063+05:30,Success,23,23.0,,5.04%,40.892934252897966,-0.00015063328368179058,-9.252711165338842e-05,-5.810617202840216e-05,0.02922041256957006,0.0287175,0.02821458743042994,0.18433877058249928,-134.4858905697008,-10.0,0.0,3.0,0.028819178417507967,0.0003261617370716269,0.0285225,-0.0001185937499999963,,-13.852242637149375,,falling,-5186141.0,8.0,8.27563374294699,15.0,5.0,0.0,5.0,0.18433877058249928,40.892934252897966,-134.4858905697008,-5.810617202840216e-05,0.0003261617370716269,0.0285225,,-13.852242637149375,,0.0,3.0,falling,-5186141.0,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.72}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
ARBUSDT,Sell,41,0.5047,0.50106616,0.519841,Bearish,2025-09-09T02:56:04.235685+00:00,2025-09-09T08:26:04.235685+05:30,Fail,100,,100.0,5.04%,35.49559625802533,-0.0017287703263618726,-0.001402836904730419,-0.00032593342163145353,0.5124197433316977,0.50837,0.5043202566683023,0.04688486412527453,-162.6050716959783,-10.0,0.0,3.0,0.50995271930327,0.002223165190477685,0.5068921875,-0.0002874999999999961,,-20.315530170844994,,falling,-11982680.7,8.0,7.518587891111281,15.0,5.0,0.0,5.0,0.04688486412527453,35.49559625802533,-162.6050716959783,-0.00032593342163145353,0.002223165190477685,0.5068921875,,-20.315530170844994,,0.0,3.0,falling,-11982680.7,5.039999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.48}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
SPKUSDT,Sell,42,0.0658,0.06532624,0.067774,Bearish,2025-09-09T02:56:06.434197+00:00,2025-09-09T08:26:06.434197+05:30,Fail,75,,75.0,5.04%,37.42090868911277,-0.00023049425890458997,-0.00016400718654184532,-6.648707236274465e-05,0.06690937195609024,0.0662865,0.06566362804390975,0.10947029703042725,-138.9459274469472,-10.0,0.0,3.0,0.06638449667114488,0.00032451497675711744,0.0659971875,-6.640624999999789e-05,,-20.12909077104773,,falling,-23554758.0,8.0,8.91715283113162,15.0,5.0,0.0,5.0,0.10947029703042725,37.42090868911277,-138.9459274469472,-6.648707236274465e-05,0.00032451497675711744,0.0659971875,,-20.12909077104773,,0.0,3.0,falling,-23554758.0,5.040000000000039,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.08}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
