Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__confidence
BNBUSDT,Buy,62,932.47,939.183784,904.4959,Bullish,2025-09-14T11:32:47.337030+00:00,2025-09-14T17:02:47.337030+05:30,Inconclusive,600,,,5.04%,21.259080046443643,-1.4301211200175885,-0.9030483494964825,-0.527072770521106,941.5912674478363,937.3359999999999,933.0807325521635,-0.07176194676952073,-221.59509202452745,5.0,0.0,3.0,938.0129292307,1.0991837838594507,935.6453125,-0.59765625,-0.06387636874950944,,-34.87642602372377,,falling,-22107.510000000002,32.0,0.0,8.0,5.0,12.0,5.0,-0.07176194676952073,21.259080046443643,-221.59509202452745,-0.527072770521106,1.0991837838594507,935.6453125,,-34.87642602372377,,0.0,3.0,falling,-22107.510000000002,-0.59765625,-0.06387636874950944,5.040000000000024,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.59765625,-0.06387636874950944,Buy,62,
AVAXUSDT,Buy,62,29.711,29.9249192,28.81967,Bullish,2025-09-14T11:32:48.292652+00:00,2025-09-14T17:02:48.292652+05:30,Inconclusive,600,,,5.04%,26.872924559672782,-0.07690961747605485,-0.04193439781899662,-0.03497521965705823,30.325422008590316,30.023049999999994,29.720677991409673,-0.01600345126983436,-188.1607105504535,5.0,0.0,3.0,30.032887046559658,0.08079591543272381,29.856687499999996,-0.03087499999999821,-0.1034106680454696,,-24.43357630250103,,falling,-325831.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.01600345126983436,26.872924559672782,-188.1607105504535,-0.03497521965705823,0.08079591543272381,29.856687499999996,,-24.43357630250103,,0.0,3.0,falling,-325831.0,-0.03087499999999821,-0.1034106680454696,5.039999999999986,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.03087499999999821,-0.1034106680454696,Buy,62,
ENAUSDT,Buy,44,0.7403,0.74563016,0.718091,Bullish,2025-09-14T11:32:49.240607+00:00,2025-09-14T17:02:49.240607+05:30,Success,276,276.0,,5.04%,31.101835321387043,-0.0008565862655335321,-7.916135300248309e-05,-0.0007774249125310491,0.7509790631711506,0.7463650000000001,0.7417509368288495,-0.15722984005957594,-226.26176218991583,5.0,0.0,3.0,0.7467244092627001,0.0021712469940685947,0.7466421875,-0.0011468750000001027,-0.15360436621458692,,-11.345224372092447,,falling,-3420902.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.15722984005957594,31.101835321387043,-226.26176218991583,-0.0007774249125310491,0.0021712469940685947,0.7466421875,,-11.345224372092447,,0.0,3.0,falling,-3420902.0,-0.0011468750000001027,-0.15360436621458692,5.039999999999974,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0
ADAUSDT,Buy,62,0.905,0.911516,0.87785,Bullish,2025-09-14T11:32:50.186434+00:00,2025-09-14T17:02:50.186434+05:30,Inconclusive,600,,,5.04%,22.34752896428796,-0.002156330470410195,-0.0010519982120998361,-0.0011043322583103587,0.9214861457368365,0.914115,0.9067438542631635,-0.11828922703622294,-232.0574162679527,5.0,0.0,3.0,0.9149190842936685,0.0022245443902121553,0.911146875,-0.001231249999999906,-0.1351318907832402,,-28.79660055793129,,falling,-26434319.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.11828922703622294,22.34752896428796,-232.0574162679527,-0.0011043322583103587,0.0022245443902121553,0.911146875,,-28.79660055793129,,0.0,3.0,falling,-26434319.0,-0.001231249999999906,-0.1351318907832402,5.039999999999973,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.001231249999999906,-0.1351318907832402,Buy,62,
UBUSDT,Buy,54,0.040889,0.0411834,0.03966233,Bullish,2025-09-14T11:32:51.144901+00:00,2025-09-14T17:02:51.144901+05:30,Success,2,2.0,,5.04%,28.39926658934118,-0.0009281599502971027,-0.0008851720982746133,-4.298785202248943e-05,0.04410269447329763,0.04229555,0.040488405526702374,0.11083631641432458,-111.761499433939,5.0,0.0,3.0,0.04340591810725657,0.0008719251026866749,0.040986453124999996,-0.0001562656250000058,-0.38126164399595336,,-35.06540304606886,,falling,-144706256.0,24.0,0.0,8.0,5.0,12.0,5.0,0.11083631641432458,28.39926658934118,-111.761499433939,-4.298785202248943e-05,0.0008719251026866749,0.040986453124999996,,-35.06540304606886,,0.0,3.0,falling,-144706256.0,-0.0001562656250000058,-0.38126164399595336,5.0399999999999485,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,-0.0001562656250000058,-0.38126164399595336,Buy,54,
LINKUSDT,Buy,62,24.378,24.5535216,23.64666,Bullish,2025-09-14T11:32:53.977432+00:00,2025-09-14T17:02:53.977432+05:30,Inconclusive,600,,,5.04%,22.559942702326538,-0.04744765196236855,-0.01858546579946186,-0.028862186162906693,24.807938644236103,24.62925,24.450561355763895,-0.20303852008642137,-267.2796756484036,5.0,0.0,3.0,24.635737358510205,0.05271276657252447,24.54790625,-0.03012499999999818,-0.12271922376271166,,-25.01223933691158,,falling,-569913.39,32.0,0.0,8.0,5.0,12.0,5.0,-0.20303852008642137,22.559942702326538,-267.2796756484036,-0.028862186162906693,0.05271276657252447,24.54790625,,-25.01223933691158,,0.0,3.0,falling,-569913.39,-0.03012499999999818,-0.12271922376271166,5.039999999999992,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,-0.03012499999999818,-0.12271922376271166,Buy,62,
HYPEUSDT,Buy,44,53.889,54.2770008,52.27233,Bullish,2025-09-14T11:32:54.927894+00:00,2025-09-14T17:02:54.927894+05:30,Success,155,155.0,,5.04%,30.95577074179201,-0.1071892317341323,-0.0638911355268614,-0.0432980962072709,54.717883017249605,54.34425,53.9706169827504,-0.10922078481071897,-209.66108966108965,5.0,0.0,3.0,54.39357467680033,0.1543439216201143,54.156046875,-0.04029687499999568,-0.07440881919060065,,-19.011364662833103,,falling,-93729.81,26.0,0.0,8.0,5.0,0.0,5.0,-0.10922078481071897,30.95577074179201,-209.66108966108965,-0.0432980962072709,0.1543439216201143,54.156046875,,-19.011364662833103,,0.0,3.0,falling,-93729.81,-0.04029687499999568,-0.07440881919060065,5.0400000000000045,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0
BIOUSDT,Buy,40,0.17804,0.17932189,0.1726988,Bullish,2025-09-14T11:32:55.878902+00:00,2025-09-14T17:02:55.878902+05:30,Success,28,28.0,,5.04%,38.863261920635274,0.00022676489125336707,0.0010389588244656101,-0.0008121939332122431,0.18765205949024644,0.1828015,0.17795094050975357,0.009180331714878585,-154.23600186305308,5.0,0.0,3.0,0.18053174115704942,0.002676462324949341,0.1849984375,-0.0008759375000000347,-0.47348372874772776,,2.9570241539706927,,falling,-72768772.0,18.0,4.0,8.0,5.0,0.0,5.0,0.009180331714878585,38.863261920635274,-154.23600186305308,-0.0008121939332122431,0.002676462324949341,0.1849984375,,2.9570241539706927,,0.0,3.0,falling,-72768772.0,-0.0008759375000000347,-0.47348372874772776,5.040000000000035,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,,,Buy,40,40.0
HUSDT,Buy,44,0.06007,0.0605025,0.0582679,Bullish,2025-09-14T11:32:56.829347+00:00,2025-09-14T17:02:56.829347+05:30,Success,7,7.0,,5.04%,34.90689532953944,-0.0003554967445584395,-0.00030541529591759356,-5.008144864084593e-05,0.061856548960843645,0.06096900000000001,0.060081451039156374,-0.006450933785946135,-153.49637857676484,5.0,0.0,3.0,0.06172758300443904,0.0005619577830874114,0.0604390625,-0.00017296875000000211,-0.28618701688167664,,-20.602997549827357,,falling,-21896032.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.006450933785946135,34.90689532953944,-153.49637857676484,-5.008144864084593e-05,0.0005619577830874114,0.0604390625,,-20.602997549827357,,0.0,3.0,falling,-21896032.0,-0.00017296875000000211,-0.28618701688167664,5.040000000000003,,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,44,44.0
MOODENGUSDT,Buy,48,0.20555,0.20702996,0.1993835,Bullish,2025-09-14T11:32:57.807517+00:00,2025-09-14T17:02:57.807517+05:30,Success,34,34.0,,5.04%,36.00467403763216,1.757061298424123e-05,0.0005610342735597615,-0.0005434636605755203,0.21214997744889244,0.20953049999999998,0.20691102255110752,-0.2597889421958879,-281.51695935915717,5.0,0.0,3.0,0.20830471072351525,0.0015523723124710356,0.209010625,-0.0005943750000000081,-0.2843754952648977,,0.9810776205477703,,falling,-4202299.0,26.0,4.0,8.0,5.0,0.0,5.0,-0.2597889421958879,36.00467403763216,-281.51695935915717,-0.0005434636605755203,0.0015523723124710356,0.209010625,,0.9810776205477703,,0.0,3.0,falling,-4202299.0,-0.0005943750000000081,-0.2843754952648977,5.040000000000008,,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,,,Buy,48,48.0
