SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,Keltner_sell_score,MACD_sell_score,Bollinger_buy_score,Keltner_buy_score,Bollinger_sell_score
signals_2025-09-05_01-52-46_STRONG.json,ETHUSDT,Buy,50,Success,123.0,True,50,50.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:42.662004+00:00,2025-09-05T01:51:42.662004+05:30,55.55506942207437,-19.954361054766657,133.2234169229875,-0.0025800430310148155,,,falling,up,up,-0.8075630503035427,-4.328998204369984,3.5214351540664417,4298.41742048531,4280.3705,4262.32357951469,4293.6805,4280.3705,4267.0605,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,15.0,0.0,10.0,15.0,0.0,0.0,10.0,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,BTCUSDT,Sell,50,Inconclusive,,False,40,50.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:43.537329+00:00,2025-09-05T01:51:43.537329+05:30,59.445647199514994,-17.336726039018092,154.20248416086855,0.0599825702267002,,,falling,down,down,67.9143731083459,44.60688876432857,23.307484344017325,110199.48457209188,109956.88,109714.27542790813,110172.63,109956.88,109741.13,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,15.0,10.0,10.0,,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,SOLUSDT,Buy,40,Success,155.0,True,40,25.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:44.422177+00:00,2025-09-05T01:51:44.422177+05:30,47.80338001779129,-36.89839572192492,7.77305582797363,-0.05245515275914523,,,falling,up,up,-0.26579752123308253,-0.3324750251130793,0.06667750387999677,203.63577737440207,202.8515,202.0672226255979,203.60650000000004,202.85150000000004,202.09650000000005,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,WLFIUSDT,Sell,45,Success,59.0,True,35,45.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:45.524199+00:00,2025-09-05T01:51:45.524199+05:30,47.80943140097471,-90.4109589041095,-68.24685828045362,0.037372756023425865,,,falling,down,down,0.0013084373312640951,0.0018058505422665215,-0.0004974132110024264,0.1902492346309574,0.185595,0.18094076536904263,0.18984500000000004,0.18559500000000004,0.18134500000000003,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,,10.0,,,
signals_2025-09-05_01-52-46_STRONG.json,ALPACAUSDT,Sell,50,Inconclusive,,False,35,50.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:46.491939+00:00,2025-09-05T01:51:46.491939+05:30,,,0.0,,,,falling,down,down,0.0,0.0,0.0,1.19,1.19,1.19,1.1900000000000002,1.1900000000000002,1.1900000000000002,10.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,15.0,10.0,10.0,,0.0,15.0,10.0,15.0
signals_2025-09-05_01-52-46_STRONG.json,XRPUSDT,Buy,40,Success,155.0,True,40,25.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:47.377595+00:00,2025-09-05T01:51:47.377595+05:30,47.30398176721724,-38.197424892704625,11.803079304522802,-0.08697963887350041,,,falling,up,up,-0.003017269448505111,-0.003916957575713693,0.0008996881272085823,2.8068376741565135,2.79652,2.7862023258434867,2.80742,2.79652,2.78562,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,MUSDT,Strong Sell,65,Fail,13.0,False,35,65.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:48.238254+00:00,2025-09-05T01:51:48.238254+05:30,31.223811078905527,-98.38998211091253,-180.06073035404813,-0.4080895946534168,,,falling,down,down,-0.01479211954396864,-0.01048580488923869,-0.004306314654729951,1.373032326215299,1.33144,1.2898476737847009,1.3784399999999999,1.33144,1.28444,10.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,,10.0,,,
signals_2025-09-05_01-52-46_STRONG.json,DOGEUSDT,Buy,40,Success,130.0,True,40,40.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:49.095736+00:00,2025-09-05T01:51:49.095736+05:30,53.20507381184562,-17.714285714285968,87.61329305135904,-0.048120767949597104,,,falling,up,up,-9.422860612309791e-05,-0.00021777535011247067,0.00012354674398937275,0.21224049653178198,0.2113755,0.210510503468218,0.21207050000000002,0.21137550000000002,0.21068050000000002,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,15.0,0.0,10.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,ENAUSDT,Buy,40,Success,75.0,True,40,25.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:49.952416+00:00,2025-09-05T01:51:49.952416+05:30,48.88167219267776,-22.222222222221973,27.934125495103363,-0.0517117918842877,,,falling,up,up,-0.0018752409684489324,-0.002616548378812289,0.0007413074103633567,0.6517990272866307,0.646595,0.6413909727133693,0.650995,0.646595,0.6421950000000001,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,,0.0,,,
signals_2025-09-05_01-52-46_STRONG.json,PUMPUSDT,Buy,50,Success,2.0,True,50,30.0,,,Bullish,5.04%,0,0,2025-09-04T20:21:50.821335+00:00,2025-09-05T01:51:50.821335+05:30,53.94242058234737,-18.115942028985383,52.3255813953493,0.001420369399265872,,,falling,up,up,-1.1074899710511628e-05,-1.829587321464857e-05,7.220973504136941e-06,0.004197921366045916,0.00412285,0.004047778633954084,0.004183849999999999,0.004122849999999999,0.004061849999999999,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,,0.0,,,
