Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence
ETHUSDT,Sell,43,4413.77,4381.990856,4546.1831,Bearish,2025-09-11T09:21:27.521243+00:00,2025-09-11T14:51:27.521243+05:30,Success,189,189.0,,5.04%,34.66012763258591,-2.732549144040604,0.06753852294065388,-2.8000876669812578,4445.3581419523225,4429.950500000001,4414.542858047679,-0.025080348117845926,-207.88718114921198,-10.0,3.0,0.0,4422.842876592021,6.365489094558085,4426.47125,-2.998906249999891,-0.0677493669477666,,-10.440541527318226,,falling,-107774.507,8.0,14.557256953751107,15.0,0.0,0.0,5.0,-0.025080348117845926,34.66012763258591,-207.88718114921198,-2.8000876669812578,6.365489094558085,4426.47125,,-10.440541527318226,,3.0,0.0,falling,-107774.507,-2.998906249999891,-0.0677493669477666,5.040000000000013,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,43,Sell,43
BTCUSDT,Sell,42,113889.1,113069.09848,117305.773,Bearish,2025-09-11T09:21:28.515607+00:00,2025-09-11T14:51:28.515607+05:30,Inconclusive,600,,,5.04%,38.705304668243485,-50.582796096030506,-34.6914836459428,-15.891312450087703,114167.74832721341,114015.63500000001,113863.5216727866,0.08407654898480754,-141.35404710223253,-10.0,0.0,3.0,114045.39925800757,75.72364516349543,113940.0578125,-43.62968749999709,-0.03829178985655264,,-14.74654708605847,,falling,-1443.3480000000002,8.0,9.036623606518676,15.0,5.0,0.0,5.0,0.08407654898480754,38.705304668243485,-141.35404710223253,-15.891312450087703,75.72364516349543,113940.0578125,,-14.74654708605847,,0.0,3.0,falling,-1443.3480000000002,-43.62968749999709,-0.03829178985655264,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.96}]}",False,not_in_gap_or_already_strong,42,Sell,42
BAKEUSDT,Sell,41,0.1056,0.10483968,0.108768,Bearish,2025-09-11T09:21:33.599787+00:00,2025-09-11T14:51:33.599787+05:30,Success,2,2.0,,5.04%,56.81105395770188,-6.338119871718284e-07,-0.000902007393937253,0.0009013735819500811,0.10691536192416297,0.10169999999999998,0.096484638075837,0.8738954320630324,133.6445689386864,-10.0,0.0,3.0,0.1061268667777555,0.002767396695392209,0.10503281249999999,0.0007562500000000139,0.720013091147125,,-0.31675447000464174,,rising,110492773.0,12.0,4.0,15.0,5.0,0.0,5.0,0.8738954320630324,56.81105395770188,133.6445689386864,0.0009013735819500811,0.002767396695392209,0.10503281249999999,,-0.31675447000464174,,0.0,3.0,rising,110492773.0,0.0007562500000000139,0.720013091147125,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41,Sell,41
LINEAUSDT,Buy,41,0.02498,0.02515986,0.0242306,Bearish,2025-09-11T09:21:34.585153+00:00,2025-09-11T14:51:34.585153+05:30,Success,1,1.0,,5.04%,68.18550320686171,0.0002834243339958596,0.00019004474359725078,9.337959039860884e-05,0.02518863648484872,0.0242785,0.023368363515151282,0.8853817595921336,115.38461538461553,-10.0,3.0,0.0,0.024190951187827294,0.0003080028620488811,0.024979062500000003,0.00015828125000000304,0.633655686637571,,26.908913976215597,,rising,863473389.0,8.0,16.276264105659315,7.0,5.0,0.0,5.0,0.8853817595921336,68.18550320686171,115.38461538461553,9.337959039860884e-05,0.0003080028620488811,0.024979062500000003,,26.908913976215597,,3.0,0.0,rising,863473389.0,0.00015828125000000304,0.633655686637571,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41,Buy,41
ENAUSDT,Sell,42,0.7796,0.77398688,0.802988,Bearish,2025-09-11T09:21:40.670900+00:00,2025-09-11T14:51:40.670900+05:30,Success,128,128.0,,5.04%,41.008336329417624,-0.0006521446006700904,-0.0002532009121806961,-0.0003989436884893943,0.7852865286109574,0.782125,0.7789634713890425,0.1006678555353415,-167.73211567731965,-10.0,0.0,3.0,0.7825558527651874,0.00202351627364404,0.78215,-0.0008046874999999565,-0.10288148053441877,,-8.47490252556585,,falling,-7584881.0,8.0,8.731688422007599,15.0,5.0,0.0,5.0,0.1006678555353415,41.008336329417624,-167.73211567731965,-0.0003989436884893943,0.00202351627364404,0.78215,,-8.47490252556585,,0.0,3.0,falling,-7584881.0,-0.0008046874999999565,-0.10288148053441877,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.27}]}",False,not_in_gap_or_already_strong,42,Sell,42
SUIUSDT,Sell,41,3.6047,3.57874616,3.712841,Bearish,2025-09-11T09:21:44.654528+00:00,2025-09-11T14:51:44.654528+05:30,Success,189,189.0,,5.04%,39.60554240876847,-0.0027489011519592488,-0.0016484805163201437,-0.0011004206356391051,3.6234476233256028,3.61418,3.6049123766743976,-0.01145799019534303,-172.51534146058776,-10.0,0.0,3.0,3.6150538738761586,0.006111010552441485,3.6096265625,-0.0019390624999999773,-0.05371919965751242,,-11.369300279706845,,falling,-174592.10000000015,8.0,8.321723065064436,15.0,5.0,0.0,5.0,-0.01145799019534303,39.60554240876847,-172.51534146058776,-0.0011004206356391051,0.006111010552441485,3.6096265625,,-11.369300279706845,,0.0,3.0,falling,-174592.10000000015,-0.0019390624999999773,-0.05371919965751242,5.040000000000023,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.68}]}",False,not_in_gap_or_already_strong,41,Sell,41
HYPEUSDT,Sell,44,54.825,54.43026,56.46975,Bearish,2025-09-11T09:21:46.720112+00:00,2025-09-11T14:51:46.720112+05:30,Success,49,49.0,,5.04%,31.777213051053977,-0.14556315555392985,-0.09904494263552946,-0.04651821291840039,55.637716596936855,55.228449999999995,54.819183403063136,0.007106122244524001,-198.30560937302747,-10.0,0.0,3.0,55.35063163024047,0.15188117065059809,55.043921875,-0.06079687499999409,-0.1104515683640031,,-26.214911870388562,,falling,-229806.00999999998,8.0,11.350727580379054,15.0,5.0,0.0,5.0,0.007106122244524001,31.777213051053977,-198.30560937302747,-0.04651821291840039,0.15188117065059809,55.043921875,,-26.214911870388562,,0.0,3.0,falling,-229806.00999999998,-0.06079687499999409,-0.1104515683640031,5.039999999999984,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.65}]}",False,not_in_gap_or_already_strong,44,Sell,44
LINKUSDT,Sell,42,23.743,23.5720504,24.45529,Bearish,2025-09-11T09:21:48.696187+00:00,2025-09-11T14:51:48.696187+05:30,Success,189,189.0,,5.04%,41.06766760627083,-0.00649521381477669,0.0022932234219382648,-0.008788437236714955,23.849678518183353,23.799650000000003,23.749621481816654,-0.06617707316842672,-244.76295479604173,-10.0,0.0,3.0,23.78303350918512,0.041863416892195096,23.801765625,-0.009359374999998948,-0.039322187889155584,,-3.933005952815094,,falling,-326498.06999999995,8.0,9.038348738334417,15.0,5.0,0.0,5.0,-0.06617707316842672,41.06766760627083,-244.76295479604173,-0.008788437236714955,0.041863416892195096,23.801765625,,-3.933005952815094,,0.0,3.0,falling,-326498.06999999995,-0.009359374999998948,-0.039322187889155584,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.96}]}",False,not_in_gap_or_already_strong,42,Sell,42
1000PEPEUSDT,Sell,40,0.010569,0.0104929,0.01088607,Bearish,2025-09-11T09:21:49.679168+00:00,2025-09-11T14:51:49.679168+05:30,Success,189,189.0,,5.04%,37.7789827113063,-8.53386728625824e-06,-1.719097119680837e-06,-6.814770166577403e-06,0.010654830944535593,0.010610640000000001,0.01056644905546441,0.028862751887281924,-151.46015079659284,-10.0,3.0,0.0,0.010601189437759355,2.1061610111138274e-05,0.010590273437499999,-1.0239062500000395e-05,-0.09668364618182596,,-10.227281766957523,,falling,-611560217.0,8.0,11.765526146140322,15.0,0.0,0.0,5.0,0.028862751887281924,37.7789827113063,-151.46015079659284,-6.814770166577403e-06,2.1061610111138274e-05,0.010590273437499999,,-10.227281766957523,,3.0,0.0,falling,-611560217.0,-1.0239062500000395e-05,-0.09668364618182596,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40,Sell,40
ADAUSDT,Sell,41,0.8837,0.87733736,0.910211,Bearish,2025-09-11T09:21:50.665002+00:00,2025-09-11T14:51:50.665002+05:30,Success,189,189.0,,5.04%,39.586786310471425,-0.000630875897788763,-0.0003824213685742762,-0.00024845452921448674,0.887949106261073,0.885845,0.883740893738927,-0.009717603070590901,-182.0373719108057,-10.0,0.0,3.0,0.8863061450371114,0.0014275827782178692,0.8849343749999999,-0.0003890624999999259,-0.043965124532531125,,-11.862399805672814,,rising,1738764.0,8.0,8.176926754882482,15.0,5.0,0.0,5.0,-0.009717603070590901,39.586786310471425,-182.0373719108057,-0.00024845452921448674,0.0014275827782178692,0.8849343749999999,,-11.862399805672814,,0.0,3.0,rising,1738764.0,-0.0003890624999999259,-0.043965124532531125,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.82}]}",False,not_in_gap_or_already_strong,41,Sell,41
ARBUSDT,Sell,45,0.5206,0.51685168,0.536218,Bearish,2025-09-11T09:22:00.851035+00:00,2025-09-11T14:52:00.851035+05:30,Success,188,188.0,,5.04%,32.44336392792323,-0.0007899603475568506,-0.0003701194253117828,-0.00041984092224506785,0.5260578832284635,0.52335,0.5206421167715365,-0.007776696405117091,-171.3671770077961,-10.0,0.0,3.0,0.5230665336129368,0.001234792716782331,0.5219593749999999,-0.0005953125000001114,-0.11405341651351919,,-17.755845133315212,,falling,-7391557.3,8.0,12.160221547255738,15.0,5.0,0.0,5.0,-0.007776696405117091,32.44336392792323,-171.3671770077961,-0.00041984092224506785,0.001234792716782331,0.5219593749999999,,-17.755845133315212,,0.0,3.0,falling,-7391557.3,-0.0005953125000001114,-0.11405341651351919,5.0400000000000365,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.84}]}",False,not_in_gap_or_already_strong,45,Sell,45
