Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule
ETHUSDT,Buy,60,4456.71,4488.798312,4323.0087,Bullish,2025-09-11T22:46:27.830951+00:00,2025-09-12T04:16:27.830951+05:30,Success,118,118,,5.04%,79.12180608107961,7.91043264853397,4.958276899176694,2.952155749357276,4454.060246933384,4429.657499999999,4405.254753066614,1.054292106414269,169.627467986206,10.0,3.0,0.0,4426.269504428949,6.929423215188498,4444.24109375,3.761406249999709,0.08463551303032206,,39.61648894779995,,rising,56925.585,8.0,19.224767023794385,15.0,5.0,0.0,5.0,1.054292106414269,79.12180608107961,169.627467986206,2.952155749357276,6.929423215188498,4444.24109375,,39.61648894779995,,3.0,0.0,rising,56925.585,3.761406249999709,0.08463551303032206,5.039999999999978,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,52.0,60.0,3.761406249999709,0.08463551303032206,False,0.8520639186495322,0.08463551303032206,False,conditions_not_met,Buy,60,,,,,
BTCUSDT,Buy,61,115218.4,116047.97248,111761.848,Bullish,2025-09-11T22:46:28.707480+00:00,2025-09-12T04:16:28.707480+05:30,Success,120,120,,5.04%,87.37338638022604,207.20742640452227,134.50041029084286,72.7070161136794,115246.58853579596,114629.95999999999,114013.33146420402,0.9771430171005774,145.04209624556523,10.0,3.0,0.0,114513.28771903306,115.27108018125527,114998.8203125,126.31875000000582,0.10984351809587684,,63.59805422442983,,rising,7784.508000000002,8.0,20.0,15.0,5.0,0.0,5.0,0.9771430171005774,87.37338638022604,145.04209624556523,72.7070161136794,115.27108018125527,114998.8203125,,63.59805422442983,,3.0,0.0,rising,7784.508000000002,126.31875000000582,0.10984351809587684,5.040000000000015,,"{""if_confidence_needed"": 65, ""missing_points"": 4, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,53.0,61.0,126.31875000000582,0.10984351809587684,False,1.2614962226319555,0.10984351809587684,False,conditions_not_met,Buy,61,,,,,
SOLUSDT,Buy,43,227.94,229.581168,221.1018,Bullish,2025-09-11T22:46:29.599315+00:00,2025-09-12T04:16:29.599315+05:30,Success,100,100,,5.04%,65.28943212587022,0.4955901490027941,0.39179097670896657,0.10379917229382751,228.6017718308854,227.00900000000001,225.41622816911462,0.7922578055271278,87.79116465863646,10.0,3.0,0.0,226.72583822953808,0.5066573764824295,228.29562500000003,0.1948437500000466,0.08534712393198363,,30.81663541795817,,rising,435801.42000000004,4.0,13.91689305373856,15.0,5.0,0.0,5.0,0.7922578055271278,65.28943212587022,87.79116465863646,0.10379917229382751,0.5066573764824295,228.29562500000003,,30.81663541795817,,3.0,0.0,rising,435801.42000000004,0.1948437500000466,0.08534712393198363,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.08}]}",False,,,,,,,,,,Buy,43,not_in_gap_or_already_strong,43.0,,,
DOGEUSDT,Buy,44,0.25544,0.25727917,0.2477768,Bullish,2025-09-11T22:46:32.185490+00:00,2025-09-12T04:16:32.185490+05:30,Success,101,101,,5.04%,69.6872737123176,0.0011822513836104998,0.0009515405570687944,0.00023071082654170538,0.256845295927405,0.25313299999999994,0.24942070407259487,0.8107241509181989,93.36448043354473,10.0,3.0,0.0,0.2521779323582234,0.0009027446915101221,0.25598624999999997,0.00033453124999993644,0.13068328865317433,,45.53779300972906,,falling,-4259823.0,4.0,10.133583380854303,15.0,10.0,0.0,5.0,0.8107241509181989,69.6872737123176,93.36448043354473,0.00023071082654170538,0.0009027446915101221,0.25598624999999997,,45.53779300972906,,3.0,0.0,falling,-4259823.0,0.00033453124999993644,0.13068328865317433,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.87}]}",False,,,,,,,,,,Buy,44,not_in_gap_or_already_strong,44.0,,,
XRPUSDT,Buy,49,3.0274,3.04919728,2.936578,Bullish,2025-09-11T22:46:33.045328+00:00,2025-09-12T04:16:33.045328+05:30,Success,105,105,,5.04%,64.50640938365791,0.002256956451288872,0.0009253282716041822,0.0013316281796846895,3.0281865146678695,3.0182700000000002,3.008353485332131,0.9603431904145822,132.7917771883305,10.0,3.0,0.0,3.017197065147454,0.0046846248579238275,3.0235125,0.002453124999999723,0.08113493825475247,,14.697658784110649,,rising,5391028.899999999,8.0,15.82212072080334,15.0,5.0,0.0,5.0,0.9603431904145822,64.50640938365791,132.7917771883305,0.0013316281796846895,0.0046846248579238275,3.0235125,,14.697658784110649,,3.0,0.0,rising,5391028.899999999,0.002453124999999723,0.08113493825475247,5.039999999999981,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Buy,49,not_in_gap_or_already_strong,49.0,,,
PUMPUSDT,Buy,44,0.005882,0.00592435,0.00570554,Bullish,2025-09-11T22:46:33.909005+00:00,2025-09-12T04:16:33.909005+05:30,Success,13,13,,5.04%,78.9934211788007,9.576840051456464e-05,8.08657036340998e-05,1.4902696880464834e-05,0.005952663099446957,0.00570805,0.005463436900553043,0.8555614977147208,117.91219215630748,10.0,3.0,0.0,0.005610551402040646,4.998866954674064e-05,0.00590521875,2.7906250000000153e-05,0.4725692845840834,,59.29170403654349,,rising,4832555431.0,8.0,11.154915871420236,15.0,5.0,0.0,5.0,0.8555614977147208,78.9934211788007,117.91219215630748,1.4902696880464834e-05,4.998866954674064e-05,0.00590521875,,59.29170403654349,,3.0,0.0,rising,4832555431.0,2.7906250000000153e-05,0.4725692845840834,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.85}]}",False,,,,,,,,,,Buy,44,not_in_gap_or_already_strong,44.0,,,
AVAXUSDT,Buy,49,29.132,29.3417504,28.25804,Bullish,2025-09-11T22:46:35.637463+00:00,2025-09-12T04:16:35.637463+05:30,Success,118,118,,5.04%,72.31034182650946,0.06382756360224562,0.03159692916182467,0.03223063444042095,29.182632964977802,28.933700000000005,28.684767035022208,0.8983000001982119,133.31634494914366,10.0,3.0,0.0,28.94379231800095,0.056591870054682775,29.110734375,0.04671875000000014,0.160486332629663,,29.688235520050103,,rising,519573.0,8.0,16.0,15.0,5.0,0.0,5.0,0.8983000001982119,72.31034182650946,133.31634494914366,0.03223063444042095,0.056591870054682775,29.110734375,,29.688235520050103,,3.0,0.0,rising,519573.0,0.04671875000000014,0.160486332629663,5.040000000000019,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Buy,49,not_in_gap_or_already_strong,49.0,,,
ENAUSDT,Buy,47,0.7769,0.78249368,0.753593,Bullish,2025-09-11T22:46:36.527922+00:00,2025-09-12T04:16:36.527922+05:30,Success,110,110,,5.04%,72.51347513550249,0.0019244841044472327,0.0015168379330947521,0.0004076461713524806,0.7762309102907503,0.77179,0.7673490897092496,1.0753324955295007,169.93343195265743,10.0,3.0,0.0,0.7694332127824588,0.0020278441821820264,0.7738859375,0.001010937500000031,0.13063133092530588,,29.007342186866435,,rising,12347329.0,8.0,13.824585734162357,15.0,5.0,0.0,5.0,1.0753324955295007,72.51347513550249,169.93343195265743,0.0004076461713524806,0.0020278441821820264,0.7738859375,,29.007342186866435,,3.0,0.0,rising,12347329.0,0.001010937500000031,0.13063133092530588,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.18}]}",False,,,,,,,,,,Buy,47,not_in_gap_or_already_strong,47.0,,,
LINKUSDT,Buy,48,24.394,24.5696368,23.66218,Bullish,2025-09-11T22:46:39.959168+00:00,2025-09-12T04:16:39.959168+05:30,Success,117,117,,5.04%,75.065858548721,0.07847255653510032,0.0636616642049019,0.01481089233019843,24.380316025931943,24.20695,24.033583974068055,1.0394655584751844,184.22693822277282,10.0,3.0,0.0,24.080051038534375,0.06291580388475483,24.269499999999997,0.040390624999997016,0.16642545169862183,,36.4714719278135,,rising,600470.8300000001,8.0,14.649795345154836,15.0,5.0,0.0,5.0,1.0394655584751844,75.065858548721,184.22693822277282,0.01481089233019843,0.06291580388475483,24.269499999999997,,36.4714719278135,,3.0,0.0,rising,600470.8300000001,0.040390624999997016,0.16642545169862183,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.35}]}",False,,,,,,,,,,Buy,48,not_in_gap_or_already_strong,48.0,,,
HYPEUSDT,Buy,44,56.716,57.1243552,55.01452,Bullish,2025-09-11T22:46:41.686521+00:00,2025-09-12T04:16:41.686521+05:30,Success,69,69,,5.04%,78.64869498237611,0.27675188768633063,0.22207914418706218,0.054672743499268456,56.80938791622853,56.144850000000005,55.48031208377148,0.9297346968864192,135.25020367237033,10.0,3.0,0.0,55.80360066987173,0.18328990019702376,56.598078125,0.1337968750000016,0.23639826551089554,,48.02501958876228,,rising,277250.44999999995,8.0,11.158855139164668,15.0,5.0,0.0,5.0,0.9297346968864192,78.64869498237611,135.25020367237033,0.054672743499268456,0.18328990019702376,56.598078125,,48.02501958876228,,3.0,0.0,rising,277250.44999999995,0.1337968750000016,0.23639826551089554,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.84}]}",False,,,,,,,,,,Buy,44,not_in_gap_or_already_strong,44.0,,,
