Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__hma_slope
ETHUSDT,Buy,44,4313.5,4344.5572,4184.095,Bullish,2025-09-08T09:31:11.567899+00:00,2025-09-08T15:01:11.567899+05:30,Success,215,215.0,,5.04%,61.558735091215055,6.088453795012356,3.8592923075377197,2.229161487474636,4324.105608697107,4301.322,4278.538391302894,0.7672535365643477,104.53757028288209,10.0,3.0,0.0,4300.344686192195,7.710166231827258,4315.8393750000005,3.328437500000291,,28.55750470347814,,rising,137575.34500000003,8.0,10.938874479585916,15.0,5.0,0.0,5.0,0.7672535365643477,61.558735091215055,104.53757028288209,2.229161487474636,7.710166231827258,4315.8393750000005,,28.55750470347814,,3.0,0.0,rising,137575.34500000003,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.06}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,
XRPUSDT,Buy,42,2.9179,2.93890888,2.830363,Bullish,2025-09-08T09:31:17.700664+00:00,2025-09-08T15:01:17.700664+05:30,Success,42,42.0,,5.04%,63.43467871513731,0.0058147756378224,0.00581827562745606,-3.4999896336594324e-06,2.920846865285638,2.9120649999999997,2.9032831347143615,0.8322187149433269,117.05820618390848,10.0,3.0,0.0,2.900916135888174,0.005943924881704258,2.9136249999999997,0.0011109374999995758,,26.575740832866973,,falling,-1993975.5999999994,8.0,4.0,15.0,10.0,0.0,5.0,0.8322187149433269,63.43467871513731,117.05820618390848,-3.4999896336594324e-06,0.005943924881704258,2.9136249999999997,,26.575740832866973,,3.0,0.0,falling,-1993975.5999999994,5.0400000000000285,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,
WLDUSDT,Buy,40,1.2732,1.28236704,1.235004,Bullish,2025-09-08T09:31:19.426077+00:00,2025-09-08T15:01:19.426077+05:30,Success,3,3.0,,5.04%,57.264310882479954,0.00184087588773596,0.0003756873628513036,0.0014651885248846562,1.2775064387853312,1.259755,1.2420035612146687,0.8787016974395988,138.8145414858536,10.0,0.0,3.0,1.2526596195895077,0.011657497309496476,1.2594328125,-0.0010031249999999936,,3.4932491253540325,,rising,10102805.0,8.0,12.016472889818802,15.0,0.0,0.0,5.0,0.8787016974395988,57.264310882479954,138.8145414858536,0.0014651885248846562,0.011657497309496476,1.2594328125,,3.4932491253540325,,0.0,3.0,rising,10102805.0,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,
ENAUSDT,Buy,45,0.7725,0.778062,0.749325,Bullish,2025-09-08T09:31:21.167540+00:00,2025-09-08T15:01:21.167540+05:30,Success,52,52.0,,5.04%,63.86822887152947,0.002816026441269104,0.0015045478279643427,0.0013114786133047612,0.7744427242043275,0.7642450000000001,0.7540472757956727,0.9047471688093354,193.6690557022495,10.0,3.0,0.0,0.7629315546468509,0.004113563221964058,0.76915,0.0012671874999999888,,23.6499459083539,,rising,36894778.0,8.0,11.651635582322717,15.0,5.0,0.0,5.0,0.9047471688093354,63.86822887152947,193.6690557022495,0.0013114786133047612,0.004113563221964058,0.76915,,23.6499459083539,,3.0,0.0,rising,36894778.0,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.35}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,
NMRUSDT,Buy,54,18.433,18.5657176,17.88001,Bullish,2025-09-08T09:31:22.024786+00:00,2025-09-08T15:01:22.024786+05:30,Success,10,10.0,,5.04%,16.056850559564523,-0.13495875502386667,-0.11646583566839874,-0.01849291935546793,18.98520476426277,18.6977,18.41019523573723,0.0396598023710078,-127.41620398930743,10.0,0.0,3.0,18.889728699562486,0.08784168579089772,18.470687499999997,-0.0445156250000025,,-57.150545273211314,,falling,-225142.2,24.0,0.0,8.0,5.0,12.0,5.0,0.0396598023710078,16.056850559564523,-127.41620398930743,-0.01849291935546793,0.08784168579089772,18.470687499999997,,-57.150545273211314,,0.0,3.0,falling,-225142.2,5.039999999999979,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0445156250000025
LINKUSDT,Buy,48,22.795,22.959124,22.11115,Bullish,2025-09-08T09:31:27.457672+00:00,2025-09-08T15:01:27.457672+05:30,Success,32,32.0,,5.04%,70.84223595911251,0.0933677165818807,0.05989618588626454,0.03347153069561616,22.85609817393256,22.560850000000002,22.265601826067446,0.8965308182625485,142.50092216894265,10.0,3.0,0.0,22.521213691613916,0.07505856343152419,22.731734375,0.046015624999999005,,31.64370703820803,,rising,1626232.9100000004,8.0,14.70253279531059,15.0,5.0,0.0,5.0,0.8965308182625485,70.84223595911251,142.50092216894265,0.03347153069561616,0.07505856343152419,22.731734375,,31.64370703820803,,3.0,0.0,rising,1626232.9100000004,5.040000000000032,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.3}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,
AVAXUSDT,Buy,41,25.21,25.391512,24.4537,Bullish,2025-09-08T09:31:30.935301+00:00,2025-09-08T15:01:30.935301+05:30,Success,80,80.0,,5.04%,67.3512527088537,0.08717552001188267,0.07570380087190348,0.011471719139979186,25.30877445057477,25.064649999999997,24.820525549425223,0.7976965225273177,101.6126996669232,10.0,3.0,0.0,24.968242589481676,0.06161731973908347,25.208031249999998,0.011578125000003325,,36.0732111385648,,rising,758166.0,8.0,8.468244651428192,15.0,5.0,0.0,5.0,0.7976965225273177,67.3512527088537,101.6126996669232,0.011471719139979186,0.06161731973908347,25.208031249999998,,36.0732111385648,,3.0,0.0,rising,758166.0,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.53}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,
DOTUSDT,Buy,46,4.029,4.0580088,3.90813,Bullish,2025-09-08T09:31:37.008115+00:00,2025-09-08T15:01:37.008115+05:30,Inconclusive,300,,,5.04%,60.407271856397664,0.005842160097998317,0.002055748181249476,0.003786411916748841,4.035781872880468,4.0095,3.983218127119532,0.8709781279417766,137.79370768618398,10.0,3.0,0.0,4.012153775814789,0.010531392758668448,4.017015625,0.004171874999999936,,12.63913644073916,,rising,770385.3999999999,8.0,12.628857368098192,15.0,5.0,0.0,5.0,0.8709781279417766,60.407271856397664,137.79370768618398,0.003786411916748841,0.010531392758668448,4.017015625,,12.63913644073916,,3.0,0.0,rising,770385.3999999999,5.039999999999952,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.37}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
PTBUSDT,Buy,48,0.05298,0.05336146,0.0513906,Bullish,2025-09-08T09:31:37.907071+00:00,2025-09-08T15:01:37.907071+05:30,Success,1,1.0,,5.04%,60.15716969102804,0.00036703855162121407,0.0003435628880936556,2.3475663527558488e-05,0.0534311078389565,0.0521945,0.050957892161043496,0.8176027093046883,124.79418611253173,10.0,3.0,0.0,0.05185316919895132,0.0007322113109670838,0.052972500000000006,-3.203124999999474e-05,,14.844009642371988,,falling,-35350232.0,8.0,9.769471757978254,15.0,10.0,0.0,5.0,0.8176027093046883,60.15716969102804,124.79418611253173,2.3475663527558488e-05,0.0007322113109670838,0.052972500000000006,,14.844009642371988,,3.0,0.0,falling,-35350232.0,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.23}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,
TRXUSDT,Buy,46,0.3322,0.33459184,0.322234,Bullish,2025-09-08T09:31:43.995399+00:00,2025-09-08T15:01:43.995399+05:30,Inconclusive,300,,,5.04%,64.91454904507094,0.00027165285628732994,0.00015036353662646363,0.00012128931966086631,0.3324976859013317,0.331391,0.33028431409866826,0.8655056954400956,130.64106807900842,10.0,3.0,0.0,0.33130882714606175,0.0003236437678102552,0.3319621875,0.00013703125000003036,,21.86019311412878,,rising,18262612.0,8.0,12.994283101930176,15.0,5.0,0.0,5.0,0.8655056954400956,64.91454904507094,130.64106807900842,0.00012128931966086631,0.0003236437678102552,0.3319621875,,21.86019311412878,,3.0,0.0,rising,18262612.0,5.039999999999954,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.01}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,
