Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling,SUPERVISOR__reason
PTBUSDT,Buy,41,0.06267,0.06312122,0.0607899,Bullish,2025-09-12T05:39:22.193658+00:00,2025-09-12T11:09:22.193658+05:30,Success,2,2.0,,5.04%,36.006412433979115,-0.0017362290787015372,-0.0010942878660954087,-0.0006419412126061285,0.07352318966239851,0.0667505,0.0599778103376015,0.198753360673334,-99.53872299101721,5.0,3.0,0.0,0.06650201169818776,0.0017612629001981898,0.0610159375,-0.0009398437499999954,-1.5403250175415157,,-27.007274089275313,,falling,-216761789.0,18.0,0.0,8.0,10.0,0.0,5.0,0.198753360673334,36.006412433979115,-99.53872299101721,-0.0006419412126061285,0.0017612629001981898,0.0610159375,,-27.007274089275313,,3.0,0.0,falling,-216761789.0,-0.0009398437499999954,-1.5403250175415157,5.040000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
LTCUSDT,Buy,43,115.78,116.613616,112.3066,Bullish,2025-09-12T05:39:23.100173+00:00,2025-09-12T11:09:23.100173+05:30,Success,519,519.0,,5.04%,60.096671798741454,0.03155567815673521,-0.013794718606570066,0.04535039676330528,115.76823004731844,115.49300000000001,115.21776995268158,1.021382027137364,225.4405020516523,5.0,3.0,0.0,115.57947664290923,0.1725116303579638,115.57484375,0.040468750000016485,0.035015189021197775,,4.527577927188493,,rising,33901.85,8.0,10.309195038391692,15.0,5.0,0.0,5.0,1.021382027137364,60.096671798741454,225.4405020516523,0.04535039676330528,0.1725116303579638,115.57484375,,4.527577927188493,,3.0,0.0,rising,33901.85,0.040468750000016485,0.035015189021197775,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.69}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
FUSDT,Buy,41,0.009199,0.00926523,0.00892303,Bullish,2025-09-12T05:39:23.983998+00:00,2025-09-12T11:09:23.983998+05:30,Fail,55,,55.0,5.04%,33.19443974221336,-0.00015173077845246317,-0.00014170944347259896,-1.0021334979864218e-05,0.009790543535893719,0.00943555,0.00908055646410628,0.16682491921371423,-128.09352934367297,5.0,3.0,0.0,0.009636461540788403,0.00017391704579770379,0.00926725,-1.796875000000149e-05,-0.19389516846962682,,-27.712443275481625,,falling,-336963093.0,18.0,0.0,8.0,10.0,0.0,5.0,0.16682491921371423,33.19443974221336,-128.09352934367297,-1.0021334979864218e-05,0.00017391704579770379,0.00926725,,-27.712443275481625,,3.0,0.0,falling,-336963093.0,-1.796875000000149e-05,-0.19389516846962682,5.039999999999975,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
ACEUSDT,Buy,43,0.6643,0.66908296,0.644371,Bullish,2025-09-12T05:39:24.870986+00:00,2025-09-12T11:09:24.870986+05:30,Success,7,7.0,,5.04%,70.56541864658632,0.0053048904961846555,0.0033161601014319456,0.00198873039475271,0.6639146664594349,0.646715,0.6295153335405652,1.0112017736353767,227.23819858925498,5.0,3.0,0.0,0.6440076372482404,0.007401814494690458,0.6572296875,0.0020031249999999945,0.3047830976137995,,29.349566391228716,,rising,1974784.7199999993,8.0,10.44835526590174,15.0,5.0,0.0,5.0,1.0112017736353767,70.56541864658632,227.23819858925498,0.00198873039475271,0.007401814494690458,0.6572296875,,29.349566391228716,,3.0,0.0,rising,1974784.7199999993,0.0020031249999999945,0.3047830976137995,5.040000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.55}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
ONDOUSDT,Buy,44,1.0885,1.0963372,1.055845,Bullish,2025-09-12T05:39:25.757608+00:00,2025-09-12T11:09:25.757608+05:30,Success,24,24.0,,5.04%,32.783427575095374,-0.0037908219485598416,-0.0023590408441633414,-0.0014317811043965002,1.1112223177988223,1.10077,1.0903176822011778,-0.08695115457465986,-238.2179986183353,5.0,0.0,3.0,1.1016801850336129,0.005478053420700925,1.099128125,-0.002243749999999878,-0.20413907614272703,,-18.48511366240261,,falling,-7920287.4,26.0,0.0,8.0,5.0,0.0,5.0,-0.08695115457465986,32.783427575095374,-238.2179986183353,-0.0014317811043965002,0.005478053420700925,1.099128125,,-18.48511366240261,,0.0,3.0,falling,-7920287.4,-0.002243749999999878,-0.20413907614272703,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
PENGUUSDT,Buy,42,0.036323,0.03658453,0.03523331,Bullish,2025-09-12T05:39:26.643796+00:00,2025-09-12T11:09:26.643796+05:30,Success,18,18.0,,5.04%,43.2973314524091,-2.9259953627860935e-06,4.804697486774633e-05,-5.097297023053242e-05,0.0369124079716741,0.036592150000000004,0.03627189202832591,0.07979188060008627,-135.38016574892728,5.0,3.0,0.0,0.036309541851858,0.00020299571616242288,0.036455671875000005,-3.820312499999701e-05,-0.10479336420129276,,-0.2198752466352176,,falling,-132089103.0,12.0,0.0,15.0,10.0,0.0,5.0,0.07979188060008627,43.2973314524091,-135.38016574892728,-5.097297023053242e-05,0.00020299571616242288,0.036455671875000005,,-0.2198752466352176,,3.0,0.0,falling,-132089103.0,-3.820312499999701e-05,-0.10479336420129276,5.039999999999992,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
FARTCOINUSDT,Buy,40,0.9078,0.91433616,0.880566,Bullish,2025-09-12T05:39:27.529220+00:00,2025-09-12T11:09:27.529220+05:30,Success,6,6.0,,5.04%,46.2530695825347,0.0012301875798232942,0.0013705721117489578,-0.00014038453192566358,0.9167299391726901,0.9100349999999999,0.9033400608273098,0.3330828748140955,-31.30203130203192,5.0,3.0,0.0,0.907477411263119,0.004193876420261746,0.9144171875,0.0005234375000000568,0.057242745122838896,,9.519758923130803,,falling,-1495680.3999999994,6.0,4.0,15.0,10.0,0.0,5.0,0.3330828748140955,46.2530695825347,-31.30203130203192,-0.00014038453192566358,0.004193876420261746,0.9144171875,,9.519758923130803,,3.0,0.0,falling,-1495680.3999999994,0.0005234375000000568,0.057242745122838896,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,,
NAORISUSDT,Buy,44,0.08156,0.08214723,0.0791132,Bullish,2025-09-12T05:39:28.413887+00:00,2025-09-12T11:09:28.413887+05:30,Success,2,2.0,,5.04%,60.234540291995344,0.0008274895480018529,0.000674075118568803,0.00015341442943304993,0.08252881996143506,0.07948150000000001,0.07643418003856496,0.8410373748579345,130.39587281532923,5.0,3.0,0.0,0.07829786920210148,0.002049631578911412,0.08120249999999998,0.00010015624999998307,0.1233413380129714,,12.293700813102298,,rising,27496789.0,8.0,10.796394212636367,15.0,5.0,0.0,5.0,0.8410373748579345,60.234540291995344,130.39587281532923,0.00015341442943304993,0.002049631578911412,0.08120249999999998,,12.293700813102298,,3.0,0.0,rising,27496789.0,0.00010015624999998307,0.1233413380129714,5.039999999999941,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.2}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
1000BONKUSDT,Buy,59,0.024845,0.02502388,0.02409965,Bullish,2025-09-12T05:39:33.770121+00:00,2025-09-12T11:09:33.770121+05:30,Success,25,25.0,,5.04%,60.23349907808072,5.030204580977124e-05,3.060074459704122e-05,1.9701301212730017e-05,0.024847059617812254,0.02463265,0.024418240382187744,0.9951970022770658,158.2871063367686,5.0,3.0,0.0,0.024586743638477165,0.00013038615716617688,0.024708562500000003,3.7765625000001773e-05,0.15284428221998658,,9.979806842341544,,falling,-63060115.0,8.0,12.626391323911005,15.0,10.0,0.0,5.0,0.9951970022770658,60.23349907808072,158.2871063367686,1.9701301212730017e-05,0.00013038615716617688,0.024708562500000003,,9.979806842341544,,3.0,0.0,falling,-63060115.0,3.7765625000001773e-05,0.15284428221998658,5.04000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.37}]}",True,,,Buy,59,3.7765625000001773e-05,0.15284428221998658,51.0,59.0,False,,,0.3021992769925837,0.15284428221998658,True,,,conditions_not_met
MUSDT,Buy,45,2.1602,2.17575344,2.095394,Bullish,2025-09-12T05:39:34.654299+00:00,2025-09-12T11:09:34.654299+05:30,Success,5,5.0,,5.04%,64.5885663843966,0.04324654046303955,0.0368648382488347,0.006381702214204851,2.1700919636534457,2.080305,1.9905180363465542,0.9449142545257128,118.88642465273728,5.0,3.0,0.0,2.0227151146008047,0.051856273602918806,2.1359531250000003,0.019584374999999987,0.9168916101564721,,26.191601511277785,,rising,8149503.0,8.0,11.953564583404534,15.0,5.0,0.0,5.0,0.9449142545257128,64.5885663843966,118.88642465273728,0.006381702214204851,0.051856273602918806,2.1359531250000003,,26.191601511277785,,3.0,0.0,rising,8149503.0,0.019584374999999987,0.9168916101564721,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.05}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
