Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
LINEAUSDT,Strong Buy,65,0.02406,0.02423323,0.0233382,Bullish,2025-09-13T11:22:10.220674+00:00,2025-09-13T16:52:10.220674+05:30,Success,1,1.0,,5.04%,71.59159927900012,8.145284197469405e-05,2.770840909756027e-05,5.3744432877133775e-05,0.023885174666796842,0.023547000000000002,0.023208825333203162,1.2584837812647074,290.85173501577384,5.0,3.0,0.0,0.023495513555117045,0.0001663455416133763,0.02368859375,6.796875000000119e-05,0.28692606541914795,,15.540714792386758,,rising,146780292.0,8.0,16.754138623379184,15.0,5.0,0.0,5.0,1.2584837812647074,71.59159927900012,290.85173501577384,5.3744432877133775e-05,0.0001663455416133763,0.02368859375,,15.540714792386758,,3.0,0.0,rising,146780292.0,6.796875000000119e-05,0.28692606541914795,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,65,6.796875000000119e-05,0.28692606541914795,50.0,58.0,True,58.0,65.0,0.6461782186149321,0.28692606541914795,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
AAVEUSDT,Sell,40,317.47,315.184216,326.9941,Bullish,2025-09-13T11:22:11.411207+00:00,2025-09-13T16:52:11.411207+05:30,Success,149,149.0,,5.04%,41.581106594385304,-0.17126157485483873,0.11919268665367125,-0.29045426150850995,320.90418918637516,318.9045,316.9048108136248,0.14131925856931182,-134.1176470588243,5.0,0.0,3.0,318.1623553048257,0.638140411854142,317.46343749999994,-0.22515625000005457,-0.07092352170478045,,-5.612729023330362,,falling,-5305.400000000004,8.0,14.923774997966369,7.0,5.0,0.0,5.0,0.14131925856931182,41.581106594385304,-134.1176470588243,-0.29045426150850995,0.638140411854142,317.46343749999994,,-5.612729023330362,,0.0,3.0,falling,-5305.400000000004,-0.22515625000005457,-0.07092352170478045,5.039999999999952,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,40.0,Sell,40,,,,,,,,,,,,
VELVETUSDT,Buy,58,0.14132,0.1423375,0.1370804,Bullish,2025-09-13T11:22:18.583690+00:00,2025-09-13T16:52:18.583690+05:30,Fail,30,,30.0,5.04%,27.781015128312475,-0.004657824275350886,-0.005166947795165059,0.0005091235198141728,0.1533135745597562,0.14631200000000003,0.13931042544024386,0.1435087595372353,-108.2686064192656,5.0,0.0,3.0,0.15700786488081708,0.003144095570798376,0.14243781250000004,-5.953124999996673e-05,-0.04179455507993477,,-43.65974910913588,,falling,-12236606.0,24.0,3.886320946801691,8.0,5.0,12.0,5.0,0.1435087595372353,27.781015128312475,-108.2686064192656,0.0005091235198141728,0.003144095570798376,0.14243781250000004,,-43.65974910913588,,0.0,3.0,falling,-12236606.0,-5.953124999996673e-05,-0.04179455507993477,5.040000000000012,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""momentum_score"", ""gap"": 16.11}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,58,-5.953124999996673e-05,-0.04179455507993477,,,,,,,,,,1.0
OPENUSDT,Strong Buy,66,0.9184,0.92501248,0.890848,Bullish,2025-09-13T11:22:19.781362+00:00,2025-09-13T16:52:19.781362+05:30,Success,2,2.0,,5.04%,65.48473585492556,0.0017673110686476923,0.0006094544942787925,0.0011578565743688997,0.9193635237707007,0.9106649999999998,0.9019664762292989,0.9446156729521066,136.27409923534157,5.0,3.0,0.0,0.9114496260672704,0.0031157322129719963,0.9164109374999999,0.0018062500000000092,0.19710044108896393,,16.0674272858576,,rising,1878177.0,8.0,17.91878887060932,15.0,5.0,0.0,5.0,0.9446156729521066,65.48473585492556,136.27409923534157,0.0011578565743688997,0.0031157322129719963,0.9164109374999999,,16.0674272858576,,3.0,0.0,rising,1878177.0,0.0018062500000000092,0.19710044108896393,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,0.0018062500000000092,0.19710044108896393,51.0,59.0,True,59.0,66.0,0.7432324058841101,0.19710044108896393,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),
ARBUSDT,Buy,45,0.5515,0.5554708,0.534955,Bullish,2025-09-13T11:22:20.964793+00:00,2025-09-13T16:52:20.964793+05:30,Success,34,34.0,,5.04%,46.56562293695621,1.1224970427381464e-05,0.0007400431621946322,-0.0007288181917672507,0.5580608751674776,0.553865,0.5496691248325225,0.21817560036922656,-112.60504201680718,5.0,3.0,0.0,0.5508938591320137,0.0016031966382204653,0.5509124999999999,-0.0006609374999999584,-0.11997141106799328,,0.7039249853819542,,falling,-613898.9000000004,6.0,9.0,15.0,10.0,0.0,5.0,0.21817560036922656,46.56562293695621,-112.60504201680718,-0.0007288181917672507,0.0016031966382204653,0.5509124999999999,,0.7039249853819542,,3.0,0.0,falling,-613898.9000000004,-0.0006609374999999584,-0.11997141106799328,5.040000000000066,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,
ONDOUSDT,Buy,40,1.1072,1.11517184,1.073984,Bullish,2025-09-13T11:22:22.195906+00:00,2025-09-13T16:52:22.195906+05:30,Success,26,26.0,,5.04%,46.93227496283191,0.0004913938202433243,0.0018571028608421745,-0.0013657090405988501,1.1199885769326647,1.111585,1.1031814230673354,0.23909919340682212,-98.72198226061317,5.0,3.0,0.0,1.105881490609887,0.0033447609814936993,1.1079171875,-0.0011843750000000153,-0.10690104038123475,,4.53122593386071,,falling,-186319.80000000002,6.0,4.0,15.0,10.0,0.0,5.0,0.23909919340682212,46.93227496283191,-98.72198226061317,-0.0013657090405988501,0.0033447609814936993,1.1079171875,,4.53122593386071,,3.0,0.0,falling,-186319.80000000002,-0.0011843750000000153,-0.10690104038123475,5.03999999999997,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
BCHUSDT,Buy,49,601.55,605.88116,583.5035,Bullish,2025-09-13T11:22:24.546794+00:00,2025-09-13T16:52:24.546794+05:30,Inconclusive,600,,,5.04%,36.32012751231548,-0.1910159764549917,0.22308055293079496,-0.41409652938578667,606.0847640910064,603.9784999999999,601.8722359089935,-0.07649465951811718,-236.04087323885332,5.0,3.0,0.0,602.8456815814518,1.0102113258754342,602.93875,-0.3798437499999636,-0.062998729141221,,-5.4644660164995775,,falling,-13712.143,26.0,0.0,8.0,10.0,0.0,5.0,-0.07649465951811718,36.32012751231548,-236.04087323885332,-0.41409652938578667,1.0102113258754342,602.93875,,-5.4644660164995775,,3.0,0.0,falling,-13712.143,-0.3798437499999636,-0.062998729141221,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
BIOUSDT,Buy,49,0.16548,0.16667146,0.1605156,Bullish,2025-09-13T11:22:29.344843+00:00,2025-09-13T16:52:29.344843+05:30,Success,7,7.0,,5.04%,82.22611842624555,0.0025692691617877073,0.002117550181466289,0.00045171898032141805,0.16650343295080638,0.16036,0.15421656704919362,0.9167051257007646,121.36872038672315,5.0,3.0,0.0,0.15765471319623642,0.0015391178847059268,0.16510671875,0.001057343749999995,0.640400195706751,,56.841124644516405,,rising,41435004.0,8.0,16.043811026720302,15.0,5.0,0.0,5.0,0.9167051257007646,82.22611842624555,121.36872038672315,0.00045171898032141805,0.0015391178847059268,0.16510671875,,56.841124644516405,,3.0,0.0,rising,41435004.0,0.001057343749999995,0.640400195706751,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
NEARUSDT,Buy,40,2.855,2.875556,2.76935,Bullish,2025-09-13T11:22:35.246200+00:00,2025-09-13T16:52:35.246200+05:30,Success,20,20.0,,5.04%,51.90864106501942,0.001885089817581509,0.0036974183001145175,-0.0018123284825330085,2.8684688962510947,2.8577500000000002,2.847031103748906,0.3717218668984009,-69.41081517352353,5.0,3.0,0.0,2.846144293722594,0.007038177202406124,2.8524687500000008,-0.0016562499999994706,-0.05806373864742498,,8.031296548537465,,rising,239438.0,6.0,9.0,15.0,5.0,0.0,5.0,0.3717218668984009,51.90864106501942,-69.41081517352353,-0.0018123284825330085,0.007038177202406124,2.8524687500000008,,8.031296548537465,,3.0,0.0,rising,239438.0,-0.0016562499999994706,-0.05806373864742498,5.0400000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
OPUSDT,Buy,40,0.8242,0.83013424,0.799474,Bullish,2025-09-13T11:22:37.634712+00:00,2025-09-13T16:52:37.634712+05:30,Success,27,27.0,,5.04%,49.63670167897132,0.0006454360190911723,0.0017112191296718368,-0.0010657831105806645,0.8337169372448956,0.8268749999999999,0.8200330627551042,0.30451443032486786,-85.68923953539282,5.0,3.0,0.0,0.821298472507808,0.002882759585132728,0.822946875,-0.0010406250000000172,-0.12645105432838752,,6.432969498936021,,falling,-62318.30000000019,6.0,4.0,15.0,10.0,0.0,5.0,0.30451443032486786,49.63670167897132,-85.68923953539282,-0.0010657831105806645,0.002882759585132728,0.822946875,,6.432969498936021,,3.0,0.0,falling,-62318.30000000019,-0.0010406250000000172,-0.12645105432838752,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
