FileTimestampUTC,Coin,Signal,Outcome,Duration(min),Confidence,POP,Buy_Score,Sell_Score,Num_Conf,Confluence_OK,Vol_Profile_OK,Min_Profit_OK,Profit_Ceiling_OK,Regime,RegimeScore,ADX15m,MACD_Hist,RSI,CCI,PercentB,Overshoot_OK,Aligned,Initial_Signal,Vetoes_Passed,MaxProfitPrice,MaxDrawdownPrice,Did_TP_Hit_Later,DeservedStrongBuy,DeservedStrongSell
2025-08-21 23:32:51,ONDOUSDT,Sell,Fail,153,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0007917099046041751,40.295112898316276,-123.4867982079883,0.0999,False,,Sell,,0.9102,0.9324,No,0,0
2025-08-21 23:32:51,NEARUSDT,Sell,Success,97,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0023640015971119633,38.751133634899,-126.45687645687615,0.1077,False,,Sell,,2.424,2.465,Yes,0,0
2025-08-21 23:32:51,HBARUSDT,Sell,Fail,53,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0002123992765008503,41.359787310113745,-133.08637324459303,0.0781,False,,Sell,,0.23425,0.23856,No,0,0
2025-08-21 23:32:51,APTUSDT,Sell,Fail,148,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.003278726472481101,41.370274331426515,-127.30696798492758,0.1173,False,,Sell,,4.375,4.4711,No,0,0
2025-08-21 23:32:51,1000SHIBUSDT,Sell,Fail,163,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-7.814746470518087e-06,42.22515322091598,-130.92376136394577,0.1011,False,,Sell,,0.012313,0.012522,No,0,0
2025-08-21 23:32:51,XLMUSDT,Sell,Fail,155,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.00024083027135921552,36.84320603114091,-117.63196304552854,0.123,False,,Sell,,0.38878,0.39619,No,0,0
2025-08-21 23:32:51,PROVEUSDT,Sell,Fail,34,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0008778437060610959,41.17331000291306,-148.60426929392906,0.0735,False,,Sell,,1.0858,1.1656,No,0,0
2025-08-21 23:32:51,INJUSDT,Sell,Success,97,52,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.017074274957277306,38.697711682607846,-106.34396773010494,0.1588,False,,Sell,,13.15,13.446,Yes,0,0
2025-08-21 23:32:51,ETCUSDT,Sell,Fail,159,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.017381988412739646,40.07033838281861,-139.93370802709583,0.0752,False,,Sell,,20.87,21.304,No,0,0
2025-08-21 23:32:51,SEIUSDT,Sell,Fail,62,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.00028813023942963925,38.79399576869123,-140.71038251365854,0.1179,False,,Sell,,0.2896,0.2955,No,0,0
2025-08-21 23:32:51,TIAUSDT,Sell,Success,96,47,88,-5,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0017624634605275524,42.67733179753309,-118.56284511907282,0.1595,False,,Sell,,1.6502,1.6817,Yes,0,0
2025-08-21 23:32:51,USELESSUSDT,Sell,Fail,34,46,78,10,35,1,False,True,True,False,Bearish,-4.0,15.167531807835163,-0.0006390305912483415,33.59341281852144,-147.92474508114387,0.1023,False,,Sell,,0.2139,0.2382,No,0,0
2025-08-21 23:32:51,TAOUSDT,Sell,Fail,58,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.24767620613353458,39.423585594982555,-109.16600629157453,0.159,False,,Sell,,335.31,343.89,No,0,0
2025-08-21 23:32:51,FILUSDT,Sell,Success,97,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0023142184818697184,39.013211846198914,-155.41922290389266,0.0287,False,,Sell,,2.372,2.414,Yes,0,0
2025-08-21 23:32:51,VIRTUALUSDT,Sell,Fail,48,47,78,10,35,1,False,True,True,True,Bearish,-4.0,15.167531807835163,-0.0013838988856919913,39.76193373090966,-136.36427655948737,0.1017,False,,Sell,,1.174,1.2124,No,0,0
