Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct
AVAXUSDT,Buy,44,28.876,29.0839072,28.00972,Bullish,2025-09-11T05:52:41.333816+00:00,2025-09-11T11:22:41.333816+05:30,Success,242,242.0,,5.04%,39.84788084211998,-0.04913972307446812,-0.027211956308702177,-0.021927766765765945,29.20776264254823,29.0507,28.89363735745177,-0.05614752548924029,-272.57167308514374,10.0,3.0,0.0,29.086219400078747,0.12110544595476334,29.036156249999998,-0.01631250000000506,-0.05617995667041866,,-8.947932256743346,,rising,333751.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.05614752548924029,39.84788084211998,-272.57167308514374,-0.021927766765765945,0.12110544595476334,29.036156249999998,,-8.947932256743346,,3.0,0.0,rising,333751.0,-0.01631250000000506,-0.05617995667041866,5.040000000000026,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
NMRUSDT,Buy,41,18.186,18.3169392,17.64042,Bullish,2025-09-11T05:53:06.578734+00:00,2025-09-11T11:23:06.578734+05:30,Success,5,5.0,,5.04%,46.83680992392862,0.33322017206732824,0.6199031228695336,-0.2866829508022054,20.508191194508612,19.12375,17.73930880549139,0.16132544895384912,-108.90052356020898,10.0,0.0,3.0,17.730256877749227,0.5011607790756357,18.903578125,-0.35206249999999883,-1.862411960698572,,17.888686075574626,,falling,-676764.2999999999,12.0,4.0,15.0,5.0,0.0,5.0,0.16132544895384912,46.83680992392862,-108.90052356020898,-0.2866829508022054,0.5011607790756357,18.903578125,,17.888686075574626,,0.0,3.0,falling,-676764.2999999999,-0.35206249999999883,-1.862411960698572,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
XNYUSDT,Buy,42,0.014232,0.01433447,0.01380504,Bullish,2025-09-11T05:53:08.964289+00:00,2025-09-11T11:23:08.964289+05:30,Success,1,1.0,,5.04%,55.41401107208669,2.9922797409601826e-05,-1.5232091376310465e-05,4.5154888785912294e-05,0.014484098688051606,0.014039,0.013593901311948393,0.7168058513549508,72.66102514351974,10.0,3.0,0.0,0.014017162764744014,0.00027381713671777185,0.013967953125,9.45625000000009e-05,0.6769961149909063,,2.856412442521668,,falling,-6283.0,4.0,7.957814123149281,15.0,10.0,0.0,5.0,0.7168058513549508,55.41401107208669,72.66102514351974,4.5154888785912294e-05,0.00027381713671777185,0.013967953125,,2.856412442521668,,3.0,0.0,falling,-6283.0,9.45625000000009e-05,0.6769961149909063,5.040000000000024,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.04}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
WUSDT,Buy,54,0.09052,0.09117174,0.0878044,Bullish,2025-09-11T05:53:19.818046+00:00,2025-09-11T11:23:19.818046+05:30,Success,37,37.0,,5.04%,25.418175834086014,-0.00045423682605041926,-0.00036785124587917237,-8.63855801712469e-05,0.09252653599629322,0.09142900000000001,0.0903314640037068,0.08589057531140697,-140.093652570629,10.0,0.0,3.0,0.09198617519368173,0.00030763309388327206,0.09062578125000001,-0.00018718750000000506,-0.20654994353497508,,-43.40319410677937,,falling,-16299121.1,24.0,0.0,8.0,5.0,12.0,5.0,0.08589057531140697,25.418175834086014,-140.093652570629,-8.63855801712469e-05,0.00030763309388327206,0.09062578125000001,,-43.40319410677937,,0.0,3.0,falling,-16299121.1,-0.00018718750000000506,-0.20654994353497508,5.039999999999967,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.00018718750000000506,-0.20654994353497508
BSWUSDT,Buy,44,0.02319,0.02335697,0.0224943,Bullish,2025-09-11T05:53:24.620975+00:00,2025-09-11T11:23:24.620975+05:30,Fail,12,,12.0,5.04%,64.7076893848334,0.00045839520388817057,0.00039954470277720616,5.8850501110964404e-05,0.02336971523855267,0.02215,0.02093028476144733,0.9263290180887125,140.91158704008782,10.0,3.0,0.0,0.021527197402132655,0.0007624401790935157,0.022929062499999996,0.00011671874999999443,0.5090428359205461,,21.468253699810234,,falling,-42159209.0,8.0,5.852488976043206,15.0,10.0,0.0,5.0,0.9263290180887125,64.7076893848334,140.91158704008782,5.8850501110964404e-05,0.0007624401790935157,0.022929062499999996,,21.468253699810234,,3.0,0.0,falling,-42159209.0,0.00011671874999999443,0.5090428359205461,5.04,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 14.15}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
TAOUSDT,Buy,47,353.69,356.236568,343.0793,Bullish,2025-09-11T05:53:30.628434+00:00,2025-09-11T11:23:30.628434+05:30,Success,60,60.0,,5.04%,62.32929217280823,0.0706165829838028,-0.1374569315029909,0.2080735144867937,353.14973560230277,351.4715,349.7932643976972,1.1609620237337086,204.99950792244715,10.0,3.0,0.0,351.3381910182726,1.0900734376173724,351.2421875,0.4110937499999636,0.11703996975020652,,1.6568884769916932,,rising,3701.737999999999,8.0,13.581126532720738,15.0,5.0,0.0,5.0,1.1609620237337086,62.32929217280823,204.99950792244715,0.2080735144867937,1.0900734376173724,351.2421875,,1.6568884769916932,,3.0,0.0,rising,3701.737999999999,0.4110937499999636,0.11703996975020652,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.42}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,
LDOUSDT,Buy,49,1.2734,1.28256848,1.235198,Bullish,2025-09-11T05:53:36.625203+00:00,2025-09-11T11:23:36.625203+05:30,Fail,398,,398.0,5.04%,65.29081438862553,0.0014617771538596447,4.307172258715558e-05,0.0014187054312724892,1.2710955583039432,1.2622149999999999,1.2533344416960566,1.129746442576345,219.51030528436507,10.0,3.0,0.0,1.2605618106220664,0.005212826117781672,1.2618031250000001,0.0019453125000001847,0.15416925679274923,,8.38051056465689,,falling,-616017.0,8.0,10.531760235468841,15.0,10.0,0.0,5.0,1.129746442576345,65.29081438862553,219.51030528436507,0.0014187054312724892,0.005212826117781672,1.2618031250000001,,8.38051056465689,,3.0,0.0,falling,-616017.0,0.0019453125000001847,0.15416925679274923,5.040000000000019,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.47}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,
NEARUSDT,Buy,41,2.712,2.7315264,2.63064,Bullish,2025-09-11T05:53:39.004707+00:00,2025-09-11T11:23:39.004707+05:30,Success,48,48.0,,5.04%,33.83617701549821,-0.005814621093541472,-0.005045064168456544,-0.0007695569250849282,2.7374256471836254,2.72205,2.7066743528163744,0.17318448843237785,-96.54272667971533,10.0,3.0,0.0,2.726856248153699,0.006548172529512245,2.7090781250000004,-0.0014374999999997584,-0.05306233093590677,,-30.75243069042031,,falling,-589421.0,18.0,0.0,8.0,10.0,0.0,5.0,0.17318448843237785,33.83617701549821,-96.54272667971533,-0.0007695569250849282,0.006548172529512245,2.7090781250000004,,-30.75243069042031,,3.0,0.0,falling,-589421.0,-0.0014374999999997584,-0.05306233093590677,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,
PROVEUSDT,Buy,54,0.9316,0.93830752,0.903652,Bullish,2025-09-11T05:53:46.226313+00:00,2025-09-11T11:23:46.226313+05:30,Success,28,28.0,,5.04%,29.100642018229678,-0.007435796165920605,-0.0064192090316110275,-0.0010165871343095776,0.9599336893846381,0.94497,0.9300063106153619,0.05325188673971703,-182.83633500639402,10.0,0.0,3.0,0.9525034843879077,0.005462006824554967,0.9366546875,-0.0016593750000001295,-0.17715973903137378,,-36.3424187758998,,falling,-1576875.1999999997,24.0,0.0,8.0,5.0,12.0,5.0,0.05325188673971703,29.100642018229678,-182.83633500639402,-0.0010165871343095776,0.005462006824554967,0.9366546875,,-36.3424187758998,,0.0,3.0,falling,-1576875.1999999997,-0.0016593750000001295,-0.17715973903137378,5.039999999999975,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.0016593750000001295,-0.17715973903137378
EIGENUSDT,Buy,40,1.4945,1.5052604,1.449665,Bullish,2025-09-11T05:53:48.630628+00:00,2025-09-11T11:23:48.630628+05:30,Success,33,33.0,,5.04%,58.815491581634674,0.004026406790300641,0.0027553728493418944,0.0012710339409587462,1.5009305949498235,1.4807549999999998,1.4605794050501761,0.8406343167124357,94.79865771811978,10.0,3.0,0.0,1.4701204313568346,0.012393991111560932,1.4770328125,0.004071874999999947,0.2756793867773298,,9.358316130310865,,falling,-863900.6999999997,4.0,6.4612583879098855,15.0,10.0,0.0,5.0,0.8406343167124357,58.815491581634674,94.79865771811978,0.0012710339409587462,0.012393991111560932,1.4770328125,,9.358316130310865,,3.0,0.0,falling,-863900.6999999997,0.004071874999999947,0.2756793867773298,5.039999999999949,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 13.54}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
