Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule,SUPERVISOR__reason,CONFL_FLAG__RSI__30___CVD_falling
BTCUSDT,Buy,42,115894.3,116728.73896,112417.471,Bullish,2025-09-14T09:09:05.086421+00:00,2025-09-14T14:39:05.086421+05:30,Inconclusive,600,,,5.04%,62.625543752149035,42.67658117611427,35.822635776137446,6.853945399976823,115953.34389785444,115809.035,115664.72610214556,0.795425303871434,72.65402227280335,10.0,3.0,0.0,115780.29527270609,39.30772633453914,115939.3671875,14.351562500014552,0.012378506842119339,,27.290642908382306,,rising,357.34799999999996,4.0,13.184792786015318,15.0,5.0,0.0,5.0,0.795425303871434,62.625543752149035,72.65402227280335,6.853945399976823,39.30772633453914,115939.3671875,,27.290642908382306,,3.0,0.0,rising,357.34799999999996,14.351562500014552,0.012378506842119339,5.0399999999999965,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.82}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
PUMPUSDT,Buy,49,0.007946,0.00800321,0.00770762,Bullish,2025-09-14T09:09:09.176684+00:00,2025-09-14T14:39:09.176684+05:30,Success,21,21.0,,5.04%,36.56582156787538,-4.009433113992718e-05,-2.940491350885336e-05,-1.068941763107382e-05,0.008193402847651694,0.00807315,0.007952897152348305,-0.02867770902308192,-180.479771911716,10.0,3.0,0.0,0.008073689197321224,7.903374772850806e-05,0.00802953125,-2.5781249999995426e-06,-0.032108038685316066,,-15.409793459232276,,falling,-2403375952.0,26.0,0.0,8.0,10.0,0.0,5.0,-0.02867770902308192,36.56582156787538,-180.479771911716,-1.068941763107382e-05,7.903374772850806e-05,0.00802953125,,-15.409793459232276,,3.0,0.0,falling,-2403375952.0,-2.5781249999995426e-06,-0.032108038685316066,5.040000000000058,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
HIFIUSDT,Buy,49,0.5747,0.57883784,0.557459,Bullish,2025-09-14T09:09:12.296854+00:00,2025-09-14T14:39:12.296854+05:30,Success,1,1.0,,5.04%,30.93486878385798,-0.002501385682507351,0.00445581183239701,-0.006957197514904361,0.6751420690071148,0.632704,0.5902659309928853,-0.18339584430992417,-220.93277473100662,10.0,3.0,0.0,0.6209782626434985,0.01874166220810556,0.64254578125,-0.009147187499999987,-1.4235853330489807,,-3.732645754281388,,falling,-31889845.0,26.0,0.0,8.0,10.0,0.0,5.0,-0.18339584430992417,30.93486878385798,-220.93277473100662,-0.006957197514904361,0.01874166220810556,0.64254578125,,-3.732645754281388,,3.0,0.0,falling,-31889845.0,-0.009147187499999987,-1.4235853330489807,5.039999999999938,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
UBUSDT,Buy,41,0.045863,0.04619321,0.04448711,Bullish,2025-09-14T09:09:18.499422+00:00,2025-09-14T14:39:18.499422+05:30,Fail,1,,1.0,5.04%,46.96043305949464,0.000656790734920025,0.0009416172229109101,-0.0002848264879908851,0.049171405306097024,0.04712325,0.04507509469390297,0.19234510775417324,-143.3102375154953,10.0,3.0,0.0,0.0454500032118635,0.0013676567140515185,0.048184828125,-1.84843749999955e-05,-0.03836140071319493,,17.94551504166831,,rising,254746640.0,12.0,4.0,15.0,5.0,0.0,5.0,0.19234510775417324,46.96043305949464,-143.3102375154953,-0.0002848264879908851,0.0013676567140515185,0.048184828125,,17.94551504166831,,3.0,0.0,rising,254746640.0,-1.84843749999955e-05,-0.03836140071319493,5.039999999999953,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
BIOUSDT,Strong Buy,66,0.18222,0.18353198,0.1767534,Bullish,2025-09-14T09:09:33.964382+00:00,2025-09-14T14:39:33.964382+05:30,Fail,7,,7.0,5.04%,67.92888641414855,0.000650883272622027,-0.00021332316868207156,0.0008642064413040986,0.18205616598134777,0.17614800000000003,0.17023983401865228,1.0138650487451986,161.13197359055565,10.0,3.0,0.0,0.17608474864777446,0.0022151818413454587,0.17647171874999998,0.0016362500000000058,0.9272023934430038,,8.431402485565371,,rising,21979306.0,8.0,18.36309345091991,15.0,5.0,0.0,5.0,1.0138650487451986,67.92888641414855,161.13197359055565,0.0008642064413040986,0.0022151818413454587,0.17647171874999998,,8.431402485565371,,3.0,0.0,rising,21979306.0,0.0016362500000000058,0.9272023934430038,5.039999999999955,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,66,51.0,59.0,0.0016362500000000058,0.9272023934430038,True,59.0,66.0,0.780257787576659,0.9272023934430038,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
1000SHIBUSDT,Buy,59,0.014039,0.01414008,0.01361783,Bullish,2025-09-14T09:09:39.139954+00:00,2025-09-14T14:39:39.139954+05:30,Success,26,26.0,,5.04%,64.14190529349887,1.7012298166287076e-05,6.071344817794154e-06,1.0940953348492923e-05,0.014050010091584589,0.0139724,0.01389478990841541,0.9290679126915525,132.16694772344195,10.0,3.0,0.0,0.013987406147048017,3.058079347733989e-05,0.014017703125,1.926562500000062e-05,0.1374378157976621,,14.373906084500126,,rising,89468196.0,8.0,17.58652933771656,15.0,5.0,0.0,5.0,0.9290679126915525,64.14190529349887,132.16694772344195,1.0940953348492923e-05,3.058079347733989e-05,0.014017703125,,14.373906084500126,,3.0,0.0,rising,89468196.0,1.926562500000062e-05,0.1374378157976621,5.04000000000001,,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,59,51.0,59.0,1.926562500000062e-05,0.1374378157976621,False,,,0.7155441114763799,0.1374378157976621,False,,conditions_not_met,
QUSDT,Buy,45,0.03308,0.03331818,0.0320876,Bullish,2025-09-14T09:09:44.214915+00:00,2025-09-14T14:39:44.214915+05:30,Fail,2,,2.0,5.04%,71.27848384909849,0.0015869123692622902,0.0014177431243635498,0.00016916924489874044,0.033588414668505755,0.029657549999999998,0.025726685331494244,0.9353304283687003,128.19991504155695,10.0,3.0,0.0,0.027578763986435613,0.00133385936946089,0.032162765625000006,0.00017015625000001144,0.5290473213153958,,36.657743984131905,,rising,888995285.0,8.0,12.043845528641253,15.0,5.0,0.0,5.0,0.9353304283687003,71.27848384909849,128.19991504155695,0.00016916924489874044,0.00133385936946089,0.032162765625000006,,36.657743984131905,,3.0,0.0,rising,888995285.0,0.00017015625000001144,0.5290473213153958,5.039999999999993,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.96}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,,,,,,,,,,,
YGGUSDT,Buy,62,0.2369,0.23860568,0.229793,Bullish,2025-09-14T09:09:45.281718+00:00,2025-09-14T14:39:45.281718+05:30,Success,11,11.0,,5.04%,21.108529386998697,-0.0027540555501295305,-0.0022279797724976073,-0.0005260757776319232,0.24914664337260561,0.24381500000000003,0.23848335662739445,-0.14848673445882232,-239.30033494603586,10.0,0.0,3.0,0.24703987684720516,0.0023247266402807902,0.24163750000000003,-0.0008859374999999892,-0.3666390771299939,,-37.389383678186505,,falling,-22041967.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.14848673445882232,21.108529386998697,-239.30033494603586,-0.0005260757776319232,0.0023247266402807902,0.24163750000000003,,-37.389383678186505,,0.0,3.0,falling,-22041967.0,-0.0008859374999999892,-0.3666390771299939,5.039999999999963,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,,,-0.0008859374999999892,-0.3666390771299939,,,,,,,,,1.0
NAORISUSDT,Buy,44,0.08946,0.09010411,0.0867762,Bullish,2025-09-14T09:10:03.786955+00:00,2025-09-14T14:40:03.786955+05:30,Success,1,1.0,,5.04%,33.35496352399262,-0.0010016914419525291,2.1405835521402962e-05,-0.001023097277473932,0.10203232937386467,0.095773,0.08951367062613533,-0.004287250512764772,-203.2842460992219,10.0,0.0,3.0,0.09522224547267384,0.0023922957087566723,0.09664203125,-0.0013760937500000014,-1.4239081403827607,,-12.40232083010349,,falling,-24136766.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.004287250512764772,33.35496352399262,-203.2842460992219,-0.001023097277473932,0.0023922957087566723,0.09664203125,,-12.40232083010349,,0.0,3.0,falling,-24136766.0,-0.0013760937500000014,-1.4239081403827607,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
XPINUSDT,Buy,41,0.0016261,0.00163781,0.00157732,Bullish,2025-09-14T09:10:06.913904+00:00,2025-09-14T14:40:06.913904+05:30,Success,1,1.0,,5.04%,35.78693335898977,-1.0634018044439458e-05,7.117964787809369e-06,-1.7751982832248827e-05,0.0018151230359467233,0.0017162750000000002,0.001617426964053277,0.04387055273104991,-168.21174008087664,10.0,3.0,0.0,0.0016712343582888155,3.6717920837231656e-05,0.0016658390625,-1.6303124999999998e-05,-0.9786734725462111,,-7.867107450171315,,falling,-1874742872.0,18.0,0.0,8.0,10.0,0.0,5.0,0.04387055273104991,35.78693335898977,-168.21174008087664,-1.7751982832248827e-05,3.6717920837231656e-05,0.0016658390625,,-7.867107450171315,,3.0,0.0,falling,-1874742872.0,-1.6303124999999998e-05,-0.9786734725462111,5.0399999999999645,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
