Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__rule
SOMIUSDT,Buy,49,1.0177,1.02502744,0.987169,Bullish,2025-09-13T10:08:54.101996+00:00,2025-09-13T15:38:54.101996+05:30,Success,23,23.0,,5.04%,39.56930293963737,-0.0026390175666615168,-0.0011157367249324472,-0.0015232808417290696,1.0428837814693848,1.030825,1.0187662185306154,-0.04420921522304525,-192.6533802266514,10.0,3.0,0.0,1.0278228534461367,0.01017248092943819,1.025725,-0.0009140625000001457,-0.08911379755783916,,-7.673070505097723,,falling,-5245921.0,26.0,0.0,8.0,10.0,0.0,5.0,-0.04420921522304525,39.56930293963737,-192.6533802266514,-0.0015232808417290696,0.01017248092943819,1.025725,,-7.673070505097723,,3.0,0.0,falling,-5245921.0,-0.0009140625000001457,-0.08911379755783916,5.040000000000051,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,
AAVEUSDT,Buy,48,319.82,322.122704,310.2254,Bullish,2025-09-13T10:09:01.164916+00:00,2025-09-13T15:39:01.164916+05:30,Fail,413,,413.0,5.04%,72.0586200951933,0.7287195656514882,0.5798470239799357,0.1488725416715525,320.27014214745316,318.264,316.25785785254686,0.8878090099386448,107.26256983239917,10.0,3.0,0.0,317.8538882003392,0.5756571331412581,319.8034375,0.152499999999975,0.04768554121622755,,38.451390636364316,,rising,16952.1,8.0,15.206717148835383,15.0,5.0,0.0,5.0,0.8878090099386448,72.0586200951933,107.26256983239917,0.1488725416715525,0.5756571331412581,319.8034375,,38.451390636364316,,3.0,0.0,rising,16952.1,0.152499999999975,0.04768554121622755,5.0400000000000125,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,
1000SHIBUSDT,Strong Buy,68,0.014719,0.01482498,0.01427743,Bullish,2025-09-13T10:09:02.361011+00:00,2025-09-13T15:39:02.361011+05:30,Success,3,3.0,,5.04%,79.91317668779344,0.00012665879423363197,9.272282953395953e-05,3.393596469967243e-05,0.014708315136389948,0.01435605,0.014003784863610053,1.015165939666286,150.07151416753692,10.0,3.0,0.0,0.014258844902831979,6.888074693660448e-05,0.014595015625,3.587499999999945e-05,0.24580309416420681,,50.957389529495345,,rising,1061656742.0,8.0,20.0,15.0,5.0,0.0,5.0,1.015165939666286,79.91317668779344,150.07151416753692,3.393596469967243e-05,6.888074693660448e-05,0.014595015625,,50.957389529495345,,3.0,0.0,rising,1061656742.0,3.587499999999945e-05,0.24580309416420681,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,,53.0,61.0,3.587499999999945e-05,0.24580309416420681,True,61.0,68.0,0.9853541434707714,0.24580309416420681,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
YGGUSDT,Strong Buy,65,0.2423,0.24404456,0.235031,Bullish,2025-09-13T10:09:07.078962+00:00,2025-09-13T15:39:07.078962+05:30,Success,6,6.0,,5.04%,80.22266386670984,0.002941584683211429,0.0019239816261760448,0.0010176030570353842,0.2383137240736414,0.23010000000000003,0.22188627592635865,1.2426594739864054,292.8452579034935,10.0,3.0,0.0,0.2275830973443662,0.0030803368222654644,0.23418125,0.0008921875000000301,0.380981611465491,,35.522617093984785,,rising,40251382.0,8.0,16.92850742565466,15.0,5.0,0.0,5.0,1.2426594739864054,80.22266386670984,292.8452579034935,0.0010176030570353842,0.0030803368222654644,0.23418125,,35.522617093984785,,3.0,0.0,rising,40251382.0,0.0008921875000000301,0.380981611465491,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,65,,50.0,58.0,0.0008921875000000301,0.380981611465491,True,58.0,65.0,0.6607089521378885,0.380981611465491,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
VELVETUSDT,Buy,54,0.14623,0.14728286,0.1418431,Bullish,2025-09-13T10:09:08.252067+00:00,2025-09-13T15:39:08.252067+05:30,Success,1,1.0,,5.04%,22.73633096742239,-0.006402812791081125,-0.0062420013067192815,-0.00016081148436184346,0.16821318816392739,0.156968,0.1457228118360726,0.022551341806549878,-157.6156672748372,10.0,0.0,3.0,0.16724992475524408,0.004307396370188974,0.14992968750000002,-0.0008596874999999837,-0.573393778333583,,-44.79739862409209,,falling,-32474030.0,24.0,0.0,8.0,5.0,12.0,5.0,0.022551341806549878,22.73633096742239,-157.6156672748372,-0.00016081148436184346,0.004307396370188974,0.14992968750000002,,-44.79739862409209,,0.0,3.0,falling,-32474030.0,-0.0008596874999999837,-0.573393778333583,5.039999999999957,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,,,-0.0008596874999999837,-0.573393778333583,,,,,,,
ONDOUSDT,Buy,42,1.1132,1.12121504,1.079804,Bullish,2025-09-13T10:09:10.632994+00:00,2025-09-13T15:39:10.632994+05:30,Fail,391,,391.0,5.04%,73.75830144704707,0.003667330903753374,0.0031637771437698727,0.0005035537599835014,1.114080796880234,1.106395,1.098709203119766,0.9426997034946881,177.33302303933445,10.0,3.0,0.0,1.101535301350503,0.0026454824154641464,1.1083531249999998,0.0005812499999999776,0.052442672546258916,,44.77104665428431,,rising,6135202.0,8.0,8.568274643958912,15.0,5.0,0.0,5.0,0.9426997034946881,73.75830144704707,177.33302303933445,0.0005035537599835014,0.0026454824154641464,1.1083531249999998,,44.77104665428431,,3.0,0.0,rising,6135202.0,0.0005812499999999776,0.052442672546258916,5.040000000000053,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.43}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,
ARBUSDT,Buy,46,0.5561,0.56010392,0.539417,Bullish,2025-09-13T10:09:11.799617+00:00,2025-09-13T15:39:11.799617+05:30,Fail,222,,222.0,5.04%,74.78830274606291,0.002379445224439003,0.002136904766500488,0.0002425404579385151,0.5576728197197804,0.551785,0.5458971802802195,0.8664344532750871,109.51239008792709,10.0,3.0,0.0,0.5490216993987672,0.0015653272014120438,0.555396875,3.124999999992717e-05,0.005626607099639725,,47.57220813899666,,rising,7950516.199999997,8.0,12.718692798076598,15.0,5.0,0.0,5.0,0.8664344532750871,74.78830274606291,109.51239008792709,0.0002425404579385151,0.0015653272014120438,0.555396875,,47.57220813899666,,3.0,0.0,rising,7950516.199999997,3.124999999992717e-05,0.005626607099639725,5.040000000000062,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.28}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,
TRUMPUSDT,Strong Buy,68,9.486,9.5542992,9.20142,Bullish,2025-09-13T10:09:12.993951+00:00,2025-09-13T15:39:12.993951+05:30,Fail,222,,222.0,5.04%,95.69352628398778,0.05525611855875745,0.03038428881127636,0.02487182974748109,9.335413727325358,9.1618,8.98818627267464,1.4336819299790684,426.6950656727002,10.0,3.0,0.0,9.125894713644952,0.03999939147319684,9.206203125000002,0.0195937500000003,0.21283204089634178,,71.81207625800532,,rising,3127577.04,8.0,20.0,15.0,5.0,0.0,5.0,1.4336819299790684,95.69352628398778,426.6950656727002,0.02487182974748109,0.03999939147319684,9.206203125000002,,71.81207625800532,,3.0,0.0,rising,3127577.04,0.0195937500000003,0.21283204089634178,5.040000000000016,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Buy,68,,53.0,61.0,0.0195937500000003,0.21283204089634178,True,61.0,68.0,1.2436104066306826,0.21283204089634178,False,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support)
BCHUSDT,Buy,40,604.81,609.164632,586.6657,Bullish,2025-09-13T10:09:16.556924+00:00,2025-09-13T15:39:16.556924+05:30,Inconclusive,600,,,5.04%,71.57660560947926,0.9255327581659003,0.8245915111290183,0.10094124703688201,605.7088503308245,603.3485,600.9881496691754,0.809593872764104,103.93992523735051,10.0,3.0,0.0,602.2305994925241,0.7243881896594088,604.82140625,0.02140624999992724,0.003539267919211026,,39.51131204696017,,rising,2132.273,8.0,7.3443255473618585,15.0,5.0,0.0,5.0,0.809593872764104,71.57660560947926,103.93992523735051,0.10094124703688201,0.7243881896594088,604.82140625,,39.51131204696017,,3.0,0.0,rising,2132.273,0.02140624999992724,0.003539267919211026,5.0400000000000444,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.66}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
SEIUSDT,Buy,40,0.3547,0.35725384,0.344059,Bullish,2025-09-13T10:09:17.725497+00:00,2025-09-13T15:39:17.725497+05:30,Success,197,197.0,,5.04%,59.69024071305367,0.0006639096341066741,0.0005816553796299601,8.225425447671404e-05,0.35579142743132647,0.353495,0.35119857256867354,0.7623640493843036,86.85446009390077,10.0,3.0,0.0,0.35246557394299716,0.00120407271042752,0.354959375,4.8437500000053646e-05,0.013645927791047535,,16.61358153887609,,rising,8147716.0,4.0,10.639520678730614,15.0,5.0,0.0,5.0,0.7623640493843036,59.69024071305367,86.85446009390077,8.225425447671404e-05,0.00120407271042752,0.354959375,,16.61358153887609,,3.0,0.0,rising,8147716.0,4.8437500000053646e-05,0.013645927791047535,5.039999999999948,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.36}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,,,,,,,,,
