Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
BTCUSDT,Buy,44,112359.4,113168.38768,108988.618,Bullish,2025-09-08T22:20:52.329675+00:00,2025-09-09T03:50:52.329675+05:30,Inconclusive,300,,,5.04%,65.42438164058828,80.4372784494044,46.64217453802773,33.79510391137667,112479.9208575573,112135.38,111790.83914244271,0.8250993243417243,96.63097567589762,10.0,3.0,0.0,112163.737470796,74.19673882040193,112393.23437500001,30.08281250001164,,22.641470544683564,,rising,1768.832,4.0,14.931511367855647,15.0,5.0,0.0,5.0,0.8250993243417243,65.42438164058828,96.63097567589762,33.79510391137667,74.19673882040193,112393.23437500001,,22.641470544683564,,3.0,0.0,rising,1768.832,5.040000000000036,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.07}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
MYXUSDT,Buy,42,12.899,12.9918728,12.51203,Bullish,2025-09-08T22:20:54.317719+00:00,2025-09-09T03:50:54.317719+05:30,Success,4,4.0,,5.04%,58.639379026770136,0.3268813241555666,0.1818425876213633,0.1450387365342033,13.637249811882551,11.864495,10.091740188117448,0.7917789287796155,101.35733353417191,10.0,3.0,0.0,11.63297151569809,0.7153493529319381,13.115226562499998,0.12767499999999998,,11.27255169955836,,rising,9861642.0,8.0,8.866055532941918,15.0,5.0,0.0,5.0,0.7917789287796155,58.639379026770136,101.35733353417191,0.1450387365342033,0.7153493529319381,13.115226562499998,,11.27255169955836,,3.0,0.0,rising,9861642.0,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.13}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,
XRPUSDT,Buy,43,2.9781,2.99954232,2.888757,Bullish,2025-09-08T22:20:58.108798+00:00,2025-09-09T03:50:58.108798+05:30,Inconclusive,300,,,5.04%,60.24973425649746,0.0016767793375342954,0.0005798744164435434,0.001096904921090752,2.9824735683390498,2.9699750000000003,2.9574764316609508,0.8250372274484684,107.84006025986879,10.0,3.0,0.0,2.9717908040193026,0.004691455030173376,2.9756421875,0.00020156250000002984,,8.773430905342178,,rising,7428610.399999999,8.0,9.611418618927946,15.0,5.0,0.0,5.0,0.8250372274484684,60.24973425649746,107.84006025986879,0.001096904921090752,0.004691455030173376,2.9756421875,,8.773430905342178,,3.0,0.0,rising,7428610.399999999,5.039999999999951,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.39}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,
OPENUSDT,Buy,44,1.4537,1.46416664,1.410089,Bullish,2025-09-08T22:21:01.944046+00:00,2025-09-09T03:51:01.944046+05:30,Success,4,4.0,,5.04%,34.90182511622534,-0.027542740847775526,-0.00946690306341303,-0.018075837784362496,1.6719461570211103,1.566955,1.46196384297889,-0.039354947661108045,-194.69681941413765,10.0,0.0,3.0,1.5500127174980354,0.05974135101284453,1.5360156249999999,-0.02469218750000013,,-14.449674210504583,,falling,-14805386.0,26.0,0.0,8.0,5.0,0.0,5.0,-0.039354947661108045,34.90182511622534,-194.69681941413765,-0.018075837784362496,0.05974135101284453,1.5360156249999999,,-14.449674210504583,,0.0,3.0,falling,-14805386.0,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""base_score"", ""gap"": 14.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
ENAUSDT,Buy,44,0.774,0.7795728,0.75078,Bullish,2025-09-08T22:21:02.889205+00:00,2025-09-09T03:51:02.889205+05:30,Success,25,25.0,,5.04%,59.510660858722964,0.001268117093120802,0.00041794018471139586,0.0008501769084094061,0.7766734136704718,0.7693749999999999,0.762076586329528,0.8168496750678874,109.9715099715104,10.0,3.0,0.0,0.7714330575429951,0.002978446642699481,0.77428125,0.0004093750000000451,,11.807313096555397,,rising,14864324.0,8.0,10.85063331647687,15.0,5.0,0.0,5.0,0.8168496750678874,59.510660858722964,109.9715099715104,0.0008501769084094061,0.002978446642699481,0.77428125,,11.807313096555397,,3.0,0.0,rising,14864324.0,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.15}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,
SUIUSDT,Buy,45,3.4882,3.51331504,3.383554,Bullish,2025-09-08T22:21:03.835714+00:00,2025-09-09T03:51:03.835714+05:30,Success,113,113.0,,5.04%,69.12436995688013,0.007906686666521168,0.005647505295282645,0.0022591813712385224,3.498029762566262,3.469515,3.441000237433738,0.8276373064054139,110.66969353007867,10.0,3.0,0.0,3.4677720705791866,0.007136139334611466,3.487253125,0.0012640625000002181,,28.51980182713933,,rising,2663949.7,8.0,11.5979952698999,15.0,5.0,0.0,5.0,0.8276373064054139,69.12436995688013,110.66969353007867,0.0022591813712385224,0.007136139334611466,3.487253125,,28.51980182713933,,3.0,0.0,rising,2663949.7,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.4}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
LINKUSDT,Buy,40,23.116,23.2824352,22.42252,Bullish,2025-09-08T22:21:05.741049+00:00,2025-09-09T03:51:05.741049+05:30,Success,165,165.0,,5.04%,62.58394611487892,0.044251415785367954,0.02905147172598147,0.015199944059386482,23.215955407530426,23.0078,22.799644592469573,0.7599019676781255,80.92518890234633,10.0,3.0,0.0,23.02181748625089,0.05229391038507121,23.178921875,0.006890625000000483,,21.02427526980012,,rising,264335.66000000003,4.0,10.975929983798224,15.0,5.0,0.0,5.0,0.7599019676781255,62.58394611487892,80.92518890234633,0.015199944059386482,0.05229391038507121,23.178921875,,21.02427526980012,,3.0,0.0,rising,264335.66000000003,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.02}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
PENGUUSDT,Buy,40,0.03393,0.0341743,0.0329121,Bullish,2025-09-08T22:21:07.730939+00:00,2025-09-09T03:51:07.730939+05:30,Fail,187,,187.0,5.04%,61.16011252092303,0.00012253511849019683,7.082757763116368e-05,5.170754085903315e-05,0.03423440595337854,0.0336366,0.03303879404662147,0.7453973553975431,75.24926218393513,10.0,3.0,0.0,0.03367684699905626,0.00017886551696126544,0.0341405625,5.404687499999811e-05,,20.980808995901874,,rising,224204803.0,4.0,10.9380672233516,15.0,5.0,0.0,5.0,0.7453973553975431,61.16011252092303,75.24926218393513,5.170754085903315e-05,0.00017886551696126544,0.0341405625,,20.980808995901874,,3.0,0.0,rising,224204803.0,5.039999999999958,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.06}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
HYPEUSDT,Buy,45,50.947,51.3138184,49.41859,Bullish,2025-09-08T22:21:08.707349+00:00,2025-09-09T03:51:08.707349+05:30,Success,166,166.0,,5.04%,66.21512050011319,0.12494174391732571,0.06822233714713662,0.05671940677018909,50.99758792209556,50.531349999999996,50.06511207790443,0.9457488122499932,168.68910275569576,10.0,3.0,0.0,50.5684886784054,0.167376121084092,50.74415625,0.03803125000000307,,20.187812258020887,,rising,299873.32999999996,8.0,12.132974725830934,15.0,5.0,0.0,5.0,0.9457488122499932,66.21512050011319,168.68910275569576,0.05671940677018909,0.167376121084092,50.74415625,,20.187812258020887,,3.0,0.0,rising,299873.32999999996,5.039999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.87}]}",False,not_in_gap_or_already_strong,45.0,Buy,45,,,
PUMPUSDT,Buy,40,0.004774,0.00480837,0.00463078,Bullish,2025-09-08T22:21:15.372922+00:00,2025-09-09T03:51:15.372922+05:30,Success,49,49.0,,5.04%,58.72470958752999,8.806463613606798e-06,1.3989104638540055e-06,7.407553149752792e-06,0.004783149515394178,0.00474025,0.004697350484605821,0.8933610868315279,192.9499072356166,10.0,0.0,3.0,0.004757388010731023,2.2731956068754015e-05,0.004749671875000001,9.203125000000097e-06,,10.578291137186522,,rising,371106049.0,8.0,11.820764524458786,15.0,0.0,0.0,5.0,0.8933610868315279,58.72470958752999,192.9499072356166,7.407553149752792e-06,2.2731956068754015e-05,0.004749671875000001,,10.578291137186522,,0.0,3.0,rising,371106049.0,5.039999999999972,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,
