Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,CONFL_FLAG__RSI<=30_and_CVD_falling
MYXUSDT,Buy,40,8.7003,8.76294216,8.439291,Bullish,2025-09-08T16:32:25.315479+00:00,2025-09-08T22:02:25.315479+05:30,Success,1,1.0,,5.04%,74.38298427071099,0.39707816926441186,0.3495721030574496,0.04750606620696224,9.012166480604792,8.02303,7.0338935193952095,0.8423541711786294,118.61676525678776,10.0,3.0,0.0,7.435460068766531,0.34892574343846605,8.665728125000001,0.11607031249999977,,42.12094570674457,,rising,24871519.0,8.0,7.26758804819502,15.0,5.0,0.0,5.0,0.8423541711786294,74.38298427071099,118.61676525678776,0.04750606620696224,0.34892574343846605,8.665728125000001,,42.12094570674457,,3.0,0.0,rising,24871519.0,5.039999999999947,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.73}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
WLDUSDT,Buy,40,1.4931,1.50385032,1.448307,Bullish,2025-09-08T16:32:32.154011+00:00,2025-09-08T22:02:32.154011+05:30,Success,2,2.0,,5.04%,56.83025169642169,0.023737660406586425,0.03423954219219577,-0.010501881785609346,1.5541339423677882,1.510345,1.4665560576322119,0.3030895579167306,-79.4248766744754,10.0,3.0,0.0,1.4207178847772186,0.030137996897283758,1.49255,0.00037812500000011795,,22.556915468894495,,falling,-11201582.0,6.0,4.0,15.0,10.0,0.0,5.0,0.3030895579167306,56.83025169642169,-79.4248766744754,-0.010501881785609346,0.030137996897283758,1.49255,,22.556915468894495,,3.0,0.0,falling,-11201582.0,5.040000000000043,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,not_in_gap_or_already_strong,40.0,Buy,40,,,,
ENAUSDT,Buy,46,0.7964,0.80213408,0.772508,Bullish,2025-09-08T16:32:34.394651+00:00,2025-09-08T22:02:34.394651+05:30,Success,8,8.0,,5.04%,66.53498097256838,0.007556706194726592,0.005480939425333369,0.0020757667693932233,0.8065795991609321,0.7817700000000001,0.756960400839068,0.7948455536322799,102.13888341493785,10.0,3.0,0.0,0.7778732971279521,0.005810934998890167,0.8008031250000001,0.00387187500000008,,37.06924475555455,,rising,86565505.0,8.0,12.573216268113857,15.0,5.0,0.0,5.0,0.7948455536322799,66.53498097256838,102.13888341493785,0.0020757667693932233,0.005810934998890167,0.8008031250000001,,37.06924475555455,,3.0,0.0,rising,86565505.0,5.039999999999978,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.43}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,
GPSUSDT,Buy,43,0.01572,0.01583318,0.0152484,Bullish,2025-09-08T16:32:52.316372+00:00,2025-09-08T22:02:52.316372+05:30,Success,10,10.0,,5.04%,54.963931948398574,4.315481750616357e-05,-2.4569405798634206e-06,4.5611758086026985e-05,0.01592262890874289,0.015503,0.015083371091257108,0.7585617857574234,80.52287581699393,10.0,3.0,0.0,0.01566968080707678,0.00024200255214452054,0.015665937499999998,1.734374999999913e-05,,5.3621350162702415,,rising,11886517.0,4.0,13.5234324364105,15.0,5.0,0.0,5.0,0.7585617857574234,54.963931948398574,80.52287581699393,4.5611758086026985e-05,0.00024200255214452054,0.015665937499999998,,5.3621350162702415,,3.0,0.0,rising,11886517.0,5.039999999999947,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.48}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
1000BONKUSDT,Buy,41,0.02327,0.02343754,0.0225719,Bullish,2025-09-08T16:32:55.832711+00:00,2025-09-08T22:02:55.832711+05:30,Fail,254,,254.0,5.04%,67.30946389961471,0.00021541087299765949,0.00018501078400504127,3.0400088992618213e-05,0.023349788280840753,0.022915849999999998,0.022481911719159243,0.9080649433760898,182.3680876282325,10.0,3.0,0.0,0.02260460933531275,0.00017984165420030182,0.023113109375000003,9.339062500000189e-05,,38.83037620161109,,rising,460447117.0,8.0,8.056914061801443,15.0,5.0,0.0,5.0,0.9080649433760898,67.30946389961471,182.3680876282325,3.0400088992618213e-05,0.00017984165420030182,0.023113109375000003,,38.83037620161109,,3.0,0.0,rising,460447117.0,5.039999999999959,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.94}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
PTBUSDT,Buy,43,0.07184,0.07235725,0.0696848,Bullish,2025-09-08T16:33:01.587069+00:00,2025-09-08T22:03:01.587069+05:30,Success,2,2.0,,5.04%,63.14885833366286,0.006177240668667122,0.004487128008075141,0.001690112660591981,0.0842611593315033,0.0625425,0.040823840668496696,0.7140440590297812,74.05406840323582,10.0,3.0,0.0,0.059716711062209105,0.004062217454678414,0.0792515625,0.0036478125,,56.4817981311322,,rising,322284367.0,4.0,13.985360042085365,15.0,5.0,0.0,5.0,0.7140440590297812,63.14885833366286,74.05406840323582,0.001690112660591981,0.004062217454678414,0.0792515625,,56.4817981311322,,3.0,0.0,rising,322284367.0,5.03999999999998,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.01}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
LINEAUSDT,Buy,43,0.03332,0.0335599,0.0323204,Bullish,2025-09-08T16:33:04.989241+00:00,2025-09-08T22:03:04.989241+05:30,Success,2,2.0,,5.04%,69.02527502260868,0.0008831045778134594,0.0008535191012749377,2.9585476538521692e-05,0.03376219124439973,0.0315245,0.02928680875560027,0.9011947592174755,135.42162934730817,10.0,3.0,0.0,0.03006155233346208,0.0008770161104659698,0.0318825,-5.84375000000012e-05,,27.59743139341637,,rising,222401386.0,8.0,9.809621885448902,15.0,5.0,0.0,5.0,0.9011947592174755,69.02527502260868,135.42162934730817,2.9585476538521692e-05,0.0008770161104659698,0.0318825,,27.59743139341637,,3.0,0.0,rising,222401386.0,5.039999999999981,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.19}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,
IPUSDT,Buy,58,8.5676,8.62928672,8.310572,Bullish,2025-09-08T16:33:08.351307+00:00,2025-09-08T22:03:08.351307+05:30,Inconclusive,300,,,5.04%,55.76158914010326,0.006254733529626577,0.0019391668655679563,0.0043155666640586204,8.582215147809423,8.540465000000001,8.498714852190579,0.8249689093780377,133.9941542762776,10.0,3.0,0.0,8.543291580658497,0.0333589902912708,8.551323437499999,0.00794687500000002,,5.25659028281339,,falling,-123488.20000000006,8.0,12.104818192429207,15.0,10.0,0.0,5.0,0.8249689093780377,55.76158914010326,133.9941542762776,0.0043155666640586204,0.0333589902912708,8.551323437499999,,5.25659028281339,,3.0,0.0,falling,-123488.20000000006,5.04000000000007,,"{""if_confidence_needed"": 65, ""missing_points"": 7, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.9}]}",True,,,Buy,58,50.0,58.0,0.00794687500000002,
REDUSDT,Buy,62,0.6927,0.69768744,0.671919,Bullish,2025-09-08T16:33:09.471784+00:00,2025-09-08T22:03:09.471784+05:30,Fail,181,,181.0,5.04%,25.00432671426347,-0.0017730461796100494,-0.0010693320868773858,-0.0007037140927326636,0.7055894767762471,0.700315,0.695040523223753,-0.22187254992696712,-261.52970203075176,10.0,0.0,3.0,0.7022286383354438,0.0029380457126152552,0.6983046875,-0.001276562499999967,,-22.536621750673618,,falling,-2353321.0,32.0,0.0,8.0,5.0,12.0,5.0,-0.22187254992696712,25.00432671426347,-261.52970203075176,-0.0007037140927326636,0.0029380457126152552,0.6983046875,,-22.536621750673618,,0.0,3.0,falling,-2353321.0,5.039999999999954,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",False,hma_not_aligned,,Buy,62,,,-0.001276562499999967,1.0
ARBUSDT,Buy,41,0.5123,0.51598856,0.496931,Bullish,2025-09-08T16:33:10.667995+00:00,2025-09-08T22:03:10.667995+05:30,Inconclusive,300,,,5.04%,62.01006284354906,0.0022064872413841696,0.0018498462919897206,0.000356640949394449,0.5135327949580614,0.50906,0.5045872050419385,0.862189640971637,203.9823008849573,10.0,3.0,0.0,0.5057482166298187,0.0023831161219310996,0.510028125,0.0008421875000000911,,28.624876078473747,,rising,12251767.7,8.0,7.591676757459426,15.0,5.0,0.0,5.0,0.862189640971637,62.01006284354906,203.9823008849573,0.000356640949394449,0.0023831161219310996,0.510028125,,28.624876078473747,,3.0,0.0,rising,12251767.7,5.039999999999934,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.41}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
