Section,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Strong Buy,25,9,16,0,36.0,75.32
Buy,475,229,242,4,48.61995753715499,46.53473684210526
Strong Sell,40,14,25,1,35.8974358974359,71.45
Sell,295,183,112,0,62.03389830508475,48.12881355932203
