source_file,coin,signal,confidence,entry_price,signal_time_utc,signal_time_ist,is_buy,tp_price,sl_price,atr_used_5m,trail_distance,FixedOutcome,FixedExitPrice,FixedExitTime,FixedGrossProfitUSDT,FixedNetProfitUSDT,FixedProfitPctOnMargin,FixedTimeToExitMin,TrailOutcome,TrailExitPrice,TrailExitTime,TrailGrossProfitUSDT,TrailNetProfitUSDT,TrailProfitPctOnMargin,TrailMaxFavorableMovePct,TrailTimeToExitMin
TotalStrong_2025-09-13_13-59-43.csv,SUIUSDT,Strong Sell,68,3.5416,2025-09-10T19:38:25.496800+00:00,2025-09-11T01:08:25.496800+05:30,False,3.506184,3.577016,0.008671826469,0.013007739704,Fail,3.577016,1757536799999,-0.7,-0.6993,-7.0,61,Fail,3.55190773970414,1757533439999,-0.20373328,-0.20352955,-2.037333,0.076237,5
TotalStrong_2025-09-13_13-59-43.csv,LINKUSDT,Strong Sell,69,23.224,2025-09-10T19:38:26.357695+00:00,2025-09-11T01:08:26.357695+05:30,False,22.99176,23.45624,0.069873208575,0.104809812863,Fail,23.45624,1757539919999,-0.7,-0.6993,-7.0,113,Fail,23.294809812862525,1757534039999,-0.21342951,-0.21321608,-2.134295,0.1464,15
TotalStrong_2025-09-13_13-59-43.csv,1000PEPEUSDT,Strong Sell,72,0.0103427,2025-09-10T19:38:29.035667+00:00,2025-09-11T01:08:29.035667+05:30,False,0.010239273,0.010446127,3.7480263e-05,5.6220394e-05,Fail,0.010446127,1757535899999,-0.7,-0.6993,-7.0,46,Fail,0.010378420394146725,1757533739999,-0.24175772,-0.24151596,-2.417577,0.198207,10
TotalStrong_2025-09-13_13-59-43.csv,ADAUSDT,Strong Sell,70,0.8737,2025-09-10T19:38:29.935581+00:00,2025-09-11T01:08:29.935581+05:30,False,0.864963,0.882437,0.00231677039,0.003475155585,Fail,0.882437,1757538479999,-0.7,-0.6993,-7.0,89,Fail,0.8757751555850833,1757533439999,-0.16625946,-0.1660932,-1.662595,0.160238,5
TotalStrong_2025-09-13_13-59-43.csv,ONDOUSDT,Strong Sell,69,1.0062,2025-09-10T19:38:31.695392+00:00,2025-09-11T01:08:31.695392+05:30,False,0.996138,1.016262,0.003301195022,0.004951792533,Fail,1.016262,1757538419999,-0.7,-0.6993,-7.0,88,Success,1.0061517925326016,1757534519999,0.00335373,0.00335038,0.033537,0.496919,23
TotalStrong_2025-09-13_13-59-43.csv,KAITOUSDT,Strong Sell,67,1.2214,2025-09-10T19:38:33.428447+00:00,2025-09-11T01:08:33.428447+05:30,False,1.209186,1.233614,0.004952839181,0.007429258772,Fail,1.233614,1757534519999,-0.7,-0.6993,-7.0,23,Fail,1.2267292587720224,1757533319999,-0.30542665,-0.30512123,-3.054267,0.171934,3
TotalStrong_2025-09-13_13-59-43.csv,ARBUSDT,Strong Sell,72,0.5037,2025-09-10T19:38:38.745931+00:00,2025-09-11T01:08:38.745931+05:30,False,0.498663,0.508737,0.001755310345,0.002632965517,Fail,0.508737,1757538419999,-0.7,-0.6993,-7.0,88,Fail,0.505432965516764,1757534519999,-0.24083301,-0.24059218,-2.40833,0.178678,23
TotalStrong_2025-09-13_13-59-43.csv,AAVEUSDT,Strong Sell,65,297.88,2025-09-10T19:38:40.456470+00:00,2025-09-11T01:08:40.456470+05:30,False,294.9012,300.8588,0.802387403801,1.203581105702,Fail,300.8588,1757545379999,-0.7,-0.6993,-7.0,204,Fail,298.73358110570217,1757534279999,-0.2005864,-0.20038582,-2.005864,0.117497,19
TotalStrong_2025-09-13_13-59-43.csv,WIFUSDT,Strong Sell,69,0.8778,2025-09-10T19:38:41.366880+00:00,2025-09-11T01:08:41.366880+05:30,False,0.869022,0.886578,0.002864215426,0.004296323139,Fail,0.8865780000000001,1757536979999,-0.7,-0.6993,-7.0,64,Fail,0.8804963231387223,1757533499999,-0.21501779,-0.21480278,-2.150178,0.182274,6
TotalStrong_2025-09-13_13-59-43.csv,TIAUSDT,Strong Sell,66,1.7313,2025-09-10T19:38:43.139087+00:00,2025-09-11T01:08:43.139087+05:30,False,1.713987,1.748613,0.006895380912,0.010343071368,Fail,1.748613,1757538419999,-0.7,-0.6993,-7.0,88,Fail,1.7395430713682067,1757534279999,-0.33328423,-0.33295095,-3.332842,0.121296,19
TotalStrong_2025-09-13_13-59-43.csv,UNIUSDT,Strong Sell,65,9.58,2025-09-10T19:38:47.492959+00:00,2025-09-11T01:08:47.492959+05:30,False,9.4842,9.6758,0.027009287071,0.040513930607,Fail,9.6758,1757538419999,-0.7,-0.6993,-7.0,88,Fail,9.606513930606521,1757533439999,-0.19373436,-0.19354062,-1.937344,0.146138,5
TotalStrong_2025-09-13_13-59-43.csv,TRUMPUSDT,Strong Sell,72,8.731,2025-09-10T19:38:52.815145+00:00,2025-09-11T01:08:52.815145+05:30,False,8.64369,8.81831,0.016286322997,0.024429484496,Fail,8.81831,1757545259999,-0.7,-0.6993,-7.0,202,Fail,8.742429484496045,1757533319999,-0.09163485,-0.09154322,-0.916349,0.148895,3
TotalStrong_2025-09-13_13-59-43.csv,NEARUSDT,Strong Sell,70,2.661,2025-09-10T19:38:55.443934+00:00,2025-09-11T01:08:55.443934+05:30,False,2.63439,2.68761,0.008207208944,0.012310813415,Fail,2.6876100000000003,1757535839999,-0.7,-0.6993,-7.0,45,Fail,2.669310813415271,1757533439999,-0.21862343,-0.2184048,-2.186234,0.150319,5
TotalStrong_2025-09-13_13-59-43.csv,TAOUSDT,Strong Sell,65,336.48,2025-09-10T19:38:58.089856+00:00,2025-09-11T01:08:58.089856+05:30,False,333.1152,339.8448,1.125140698476,1.687711047715,Fail,339.8448,1757535959999,-0.7,-0.6993,-7.0,47,Fail,337.7077110477146,1757533859999,-0.25540827,-0.25515286,-2.554083,0.136709,12
TotalStrong_2025-09-13_13-59-43.csv,LDOUSDT,Strong Sell,72,1.2128,2025-09-10T19:38:59.823551+00:00,2025-09-11T01:08:59.823551+05:30,False,1.200672,1.224928,0.004420569277,0.006630853916,Fail,1.224928,1757538179999,-0.7,-0.6993,-7.0,84,Fail,1.2161308539160507,1757533439999,-0.19224915,-0.1920569,-1.922492,0.272098,5
TotalStrong_2025-09-13_13-59-43.csv,FILUSDT,Strong Sell,72,2.455,2025-09-10T19:39:02.468723+00:00,2025-09-11T01:09:02.468723+05:30,False,2.43045,2.47955,0.006993326633,0.010489989949,Fail,2.47955,1757538599999,-0.7,-0.6993,-7.0,90,Fail,2.4614899899489884,1757534279999,-0.18505063,-0.18486558,-1.850506,0.162933,18
TotalStrong_2025-09-13_13-59-43.csv,1000SHIBUSDT,Strong Sell,65,0.012869,2025-09-10T19:39:03.380315+00:00,2025-09-11T01:09:03.380315+05:30,False,0.01274031,0.01299769,3.4189276e-05,5.1283914e-05,Fail,0.012997690000000001,1757538419999,-0.7,-0.6993,-7.0,87,Fail,0.0128992839138134,1757533979999,-0.16472717,-0.16456244,-1.647272,0.163183,13
TotalStrong_2025-09-13_13-59-43.csv,HBARUSDT,Strong Sell,71,0.23006,2025-09-10T19:39:04.245476+00:00,2025-09-11T01:09:04.245476+05:30,False,0.2277594,0.2323606,0.00059782292,0.00089673438,Fail,0.2323606,1757538299999,-0.7,-0.6993,-7.0,85,Fail,0.2306567343799333,1757534219999,-0.18156745,-0.18138588,-1.815674,0.130401,17
