Regime,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
-10.0,527,111,85,331,56.63265306122449,33.25047438330171
-5.0,264,15,28,221,34.883720930232556,28.136363636363637
5.0,198,3,35,160,7.894736842105263,25.545454545454547
10.0,593,33,55,505,37.5,23.634064080944352
