Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
OMNIUSDT,Buy,44,3.659,3.6853448,3.54923,Bullish,2025-09-10T17:18:16.916702+00:00,2025-09-10T22:48:16.916702+05:30,Success,10,10.0,,5.04%,60.05486486939462,-0.0029084295456436315,-0.014793927252779827,0.011885497707136195,3.668574157620145,3.6026,3.5366258423798547,0.9274400919579027,140.5287219240711,10.0,0.0,3.0,3.6400258589058465,0.02603294546639624,3.6172500000000003,0.018671875000000338,0.5161897850577188,,-3.5344435466250115,,falling,-317619.22000000003,8.0,10.957344236727906,15.0,5.0,0.0,5.0,0.9274400919579027,60.05486486939462,140.5287219240711,0.011885497707136195,0.02603294546639624,3.6172500000000003,,-3.5344435466250115,,0.0,3.0,falling,-317619.22000000003,0.018671875000000338,0.5161897850577188,5.03999999999999,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.04}]}",False,,,,,,,,,,Buy,44,,,,not_in_gap_or_already_strong,44.0
DOTUSDT,Buy,44,4.191,4.2211752,4.06527,Bullish,2025-09-10T17:18:20.390775+00:00,2025-09-10T22:48:20.390775+05:30,Success,297,297.0,,5.04%,61.97067194007869,0.006549250793089101,0.0032867276823206745,0.0032625231107684264,4.201587338565409,4.17115,4.140712661434591,0.8260797582111697,108.42726784755877,10.0,3.0,0.0,4.163550435409691,0.011019590975138875,4.184609375,0.008218750000000163,0.19640423426619513,,14.275503716310434,,rising,167092.6,8.0,11.10557722469871,15.0,5.0,0.0,5.0,0.8260797582111697,61.97067194007869,108.42726784755877,0.0032625231107684264,0.011019590975138875,4.184609375,,14.275503716310434,,3.0,0.0,rising,167092.6,0.008218750000000163,0.19640423426619513,5.0400000000000675,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.89}]}",False,,,,,,,,,,Buy,44,,,,not_in_gap_or_already_strong,44.0
UNIUSDT,Strong Buy,69,9.81,9.880632,9.5157,Bullish,2025-09-10T17:18:23.722242+00:00,2025-09-10T22:48:23.722242+05:30,Inconclusive,600,,,5.04%,65.0718764375112,0.01592026653591816,0.006692981444775631,0.00922728509114253,9.822640697987941,9.745949999999999,9.669259302012057,0.917586497974448,129.0826521344204,10.0,3.0,0.0,9.732542871360536,0.029869511516233224,9.775187500000001,0.02153124999999889,0.22026431718060535,,13.991863889984216,,falling,-203919.0,8.0,16.414076459438125,15.0,10.0,0.0,5.0,0.917586497974448,65.0718764375112,129.0826521344204,0.00922728509114253,0.029869511516233224,9.775187500000001,,13.991863889984216,,3.0,0.0,falling,-203919.0,0.02153124999999889,0.22026431718060535,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,54.0,62.0,0.02153124999999889,0.22026431718060535,True,0.617839704953177,0.22026431718060535,True,,Buy,69,62.0,69.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
XNYUSDT,Buy,45,0.014904,0.01501131,0.01445688,Bullish,2025-09-10T17:18:24.809145+00:00,2025-09-10T22:48:24.809145+05:30,Success,1,1.0,,5.04%,63.56359427223918,0.00023578987900393922,0.0001736199131298413,6.216996587409793e-05,0.014816207091062348,0.013785950000000002,0.012755692908937655,1.0426072820557464,135.69572144675814,10.0,3.0,0.0,0.013595625676435002,0.0005261222533604134,0.014365562500000002,-1.5625000000000014e-05,-0.10876706011337886,,13.758755791627038,,rising,131666532.0,8.0,11.835993291384732,15.0,5.0,0.0,5.0,1.0426072820557464,63.56359427223918,135.69572144675814,6.216996587409793e-05,0.0005261222533604134,0.014365562500000002,,13.758755791627038,,3.0,0.0,rising,131666532.0,-1.5625000000000014e-05,-0.10876706011337886,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.16}]}",False,,,,,,,,,,Buy,45,,,,not_in_gap_or_already_strong,45.0
1000BONKUSDT,Buy,44,0.02343,0.0235987,0.0227271,Bullish,2025-09-10T17:18:28.142211+00:00,2025-09-10T22:48:28.142211+05:30,Inconclusive,600,,,5.04%,57.217887096488575,1.3318311415013578e-05,-1.056207027524115e-05,2.388038169025473e-05,0.023527591890086328,0.02330945,0.02309130810991367,0.7763109826184534,70.31082529474993,10.0,3.0,0.0,0.02332745911507241,9.113155431985298e-05,0.023395140624999998,5.292187500000045e-05,0.22620883476737152,,3.4872805750308205,,falling,-160294601.0,4.0,10.289030894332695,15.0,10.0,0.0,5.0,0.7763109826184534,57.217887096488575,70.31082529474993,2.388038169025473e-05,9.113155431985298e-05,0.023395140624999998,,3.4872805750308205,,3.0,0.0,falling,-160294601.0,5.292187500000045e-05,0.22620883476737152,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.71}]}",False,,,,,,,,,,Buy,44,,,,not_in_gap_or_already_strong,44.0
NEARUSDT,Strong Buy,65,2.715,2.734548,2.63355,Bullish,2025-09-10T17:18:35.940611+00:00,2025-09-10T22:48:35.940611+05:30,Success,408,408.0,,5.04%,62.112556303219485,0.0032954942074643334,0.0005719824050624753,0.002723511802401858,2.7212348763725,2.6984,2.6755651236275,0.8634790863153381,101.46923783287362,10.0,3.0,0.0,2.696522402579562,0.008520882984323306,2.705046875,0.00648437500000032,0.23971396059450245,,9.575595843091925,,rising,554355.0,8.0,16.67106922814239,15.0,5.0,0.0,5.0,0.8634790863153381,62.112556303219485,101.46923783287362,0.002723511802401858,0.008520882984323306,2.705046875,,9.575595843091925,,3.0,0.0,rising,554355.0,0.00648437500000032,0.23971396059450245,5.039999999999974,,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,50.0,58.0,0.00648437500000032,0.23971396059450245,True,0.6392557690118658,0.23971396059450245,False,,Buy,65,58.0,65.0,hist_norm>=0.6 AND (hma_slope_pct>=0.15 OR cvd_support),,
TAOUSDT,Buy,43,344.8,347.28256,334.456,Bullish,2025-09-10T17:18:39.192609+00:00,2025-09-10T22:48:39.192609+05:30,Success,377,377.0,,5.04%,58.18894083695227,0.2503201753622193,0.04465313280608145,0.20566704255613782,345.997580289693,343.4905,340.983419710307,0.7611603635877883,75.29089664613208,10.0,3.0,0.0,342.9461390269134,1.0576142791745495,343.85249999999996,0.6899999999999977,0.20066743734595435,,5.269095221951666,,falling,-746.3960000000002,4.0,8.667116470098893,15.0,10.0,0.0,5.0,0.7611603635877883,58.18894083695227,75.29089664613208,0.20566704255613782,1.0576142791745495,343.85249999999996,,5.269095221951666,,3.0,0.0,falling,-746.3960000000002,0.6899999999999977,0.20066743734595435,5.039999999999956,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.33}]}",False,,,,,,,,,,Buy,43,,,,not_in_gap_or_already_strong,43.0
LDOUSDT,Buy,47,1.2444,1.25335968,1.207068,Bullish,2025-09-10T17:18:40.333397+00:00,2025-09-10T22:48:40.333397+05:30,Success,490,490.0,,5.04%,59.689920879129005,0.0013221111741963387,0.00032528471127593394,0.0009968264629204048,1.2464589133530433,1.2365400000000002,1.2266210866469571,0.8962127563897083,102.80046359936682,10.0,3.0,0.0,1.2339735351725634,0.004965316638395539,1.2385859375,0.0024593749999999304,0.19856312957694391,,5.91050641807489,,rising,607397.0,8.0,13.818189221829833,15.0,5.0,0.0,5.0,0.8962127563897083,59.689920879129005,102.80046359936682,0.0009968264629204048,0.004965316638395539,1.2385859375,,5.91050641807489,,3.0,0.0,rising,607397.0,0.0024593749999999304,0.19856312957694391,5.040000000000014,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.18}]}",False,,,,,,,,,,Buy,47,,,,not_in_gap_or_already_strong,47.0
ARKMUSDT,Buy,46,0.6073,0.61167256,0.589081,Bullish,2025-09-10T17:18:42.517532+00:00,2025-09-10T22:48:42.517532+05:30,Success,198,198.0,,5.04%,58.243496836956936,-0.0007161839782946489,-0.0020514906148395027,0.0013353066365448538,0.6107564317637774,0.60192,0.5930835682362227,0.8044215212555507,83.76963350785154,10.0,0.0,3.0,0.6062780524659873,0.002575787037250022,0.6027281250000001,0.0023374999999999924,0.38781996443255273,,-7.758357076513238,,falling,-1883536.0,4.0,17.0,15.0,5.0,0.0,5.0,0.8044215212555507,58.243496836956936,83.76963350785154,0.0013353066365448538,0.002575787037250022,0.6027281250000001,,-7.758357076513238,,0.0,3.0,falling,-1883536.0,0.0023374999999999924,0.38781996443255273,5.039999999999966,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Buy,46,,,,not_in_gap_or_already_strong,46.0
HBARUSDT,Buy,46,0.23418,0.2358661,0.2271546,Bullish,2025-09-10T17:18:44.757126+00:00,2025-09-10T22:48:44.757126+05:30,Inconclusive,600,,,5.04%,57.857252861480895,6.083724334465801e-05,-0.00015849563963895967,0.00021933288298361768,0.23473275898286913,0.23318650000000002,0.2316402410171309,0.8212592492612465,94.11981166001759,10.0,3.0,0.0,0.23349965202389028,0.0006415951561282622,0.23371999999999998,0.0004187499999999955,0.17916737977066385,,1.9570846147055079,,falling,-1215217.0,4.0,12.204533873623092,15.0,10.0,0.0,5.0,0.8212592492612465,57.857252861480895,94.11981166001759,0.00021933288298361768,0.0006415951561282622,0.23371999999999998,,1.9570846147055079,,3.0,0.0,falling,-1215217.0,0.0004187499999999955,0.17916737977066385,5.039999999999995,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.8}]}",False,,,,,,,,,,Buy,46,,,,not_in_gap_or_already_strong,46.0
1000SHIBUSDT,Buy,46,0.013115,0.01320943,0.01272155,Bullish,2025-09-10T17:18:48.201744+00:00,2025-09-10T22:48:48.201744+05:30,Inconclusive,600,,,5.04%,61.512844071871655,1.3219270005570063e-05,1.3990292951331681e-06,1.1820240710436896e-05,0.013139214267874826,0.0130492,0.012959185732125175,0.8654976125090593,115.39515760621545,10.0,3.0,0.0,0.0130501807497158,3.156247325337739e-05,0.0130908125,2.362499999999934e-05,0.18047008159347894,,10.139300225015955,,rising,105680469.0,8.0,12.988071840033298,15.0,5.0,0.0,5.0,0.8654976125090593,61.512844071871655,115.39515760621545,1.1820240710436896e-05,3.156247325337739e-05,0.0130908125,,10.139300225015955,,3.0,0.0,rising,105680469.0,2.362499999999934e-05,0.18047008159347894,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.01}]}",False,,,,,,,,,,Buy,46,,,,not_in_gap_or_already_strong,46.0
OPUSDT,Buy,47,0.782,0.7876304,0.75854,Bullish,2025-09-10T17:18:51.531023+00:00,2025-09-10T22:48:51.531023+05:30,Success,539,539.0,,5.04%,61.272214867346115,0.0006840536375959383,-0.00023779711433181497,0.0009218507519277532,0.7846743739484692,0.77745,0.7702256260515308,0.8149061795841958,90.6628013321613,10.0,3.0,0.0,0.7778442598693406,0.0025554481026220164,0.7795953125,0.0019578125000000446,0.25113189735861124,,6.560589616256205,,falling,-169364.09999999966,4.0,12.657745005099233,15.0,10.0,0.0,5.0,0.8149061795841958,61.272214867346115,90.6628013321613,0.0009218507519277532,0.0025554481026220164,0.7795953125,,6.560589616256205,,3.0,0.0,falling,-169364.09999999966,0.0019578125000000446,0.25113189735861124,5.040000000000031,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 7.34}]}",False,,,,,,,,,,Buy,47,,,,not_in_gap_or_already_strong,47.0
