Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,CONFL_FLAG__RSI__30___CVD_falling,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence
WLFIUSDT,Strong Sell,66,0.2132,0.21166496,0.219596,Bearish,2025-09-14T14:08:04.911838+00:00,2025-09-14T19:38:04.911838+05:30,Success,9,9.0,,5.04%,21.82392681640195,-0.004839936934173811,-0.0036889141181870658,-0.001151022815986745,0.2358991646822511,0.222905,0.20991083531774887,0.12656314440680577,-118.10961704804608,-10.0,0.0,3.0,0.22633278820685232,0.003049410142764923,0.21307968749999998,-0.0021421875000000312,-1.0053457113316029,,-53.32671810774438,,falling,-607533853.0,8.0,13.058980684911901,15.0,5.0,12.0,5.0,0.12656314440680577,21.82392681640195,-118.10961704804608,-0.001151022815986745,0.003049410142764923,0.21307968749999998,,-53.32671810774438,,0.0,3.0,falling,-607533853.0,-0.0021421875000000312,-1.0053457113316029,5.039999999999959,RSI<=30 & CVD_falling,1.0,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,58.0,66.0,-0.0021421875000000312,-1.0053457113316029,Sell,66,,
AVNTUSDT,Sell,42,0.80667,0.80086198,0.8308701,Bearish,2025-09-14T14:08:07.793627+00:00,2025-09-14T19:38:07.793627+05:30,Success,10,10.0,,5.04%,41.45039024469976,-0.007153027008285906,-0.0030835437220914697,-0.004069483286194437,0.8594011658142726,0.828965,0.7985288341857273,0.1337416457767984,-134.57631109552554,-10.0,0.0,3.0,0.8263618330695052,0.01922555391890443,0.81087125,-0.005990312500000039,-0.7387501406666026,,-10.96248039265559,,falling,-8399038.0,8.0,9.080092843131569,15.0,5.0,0.0,5.0,0.1337416457767984,41.45039024469976,-134.57631109552554,-0.004069483286194437,0.01922555391890443,0.81087125,,-10.96248039265559,,0.0,3.0,falling,-8399038.0,-0.005990312500000039,-0.7387501406666026,5.0400000000000205,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.92}]}",False,,,,,Sell,42,not_in_gap_or_already_strong,42.0
WLDUSDT,Sell,42,1.6398,1.62799344,1.688994,Bearish,2025-09-14T14:08:11.625441+00:00,2025-09-14T19:38:11.625441+05:30,Success,15,15.0,,5.04%,55.84587340119227,-5.402934605758247e-05,-0.0022279793285013972,0.0021739499824438148,1.639553904004286,1.6283750000000001,1.6171960959957143,1.01100716115013,137.13871084773692,-10.0,0.0,3.0,1.6388956925374187,0.01039537072114578,1.6344593749999998,0.0014703124999999595,0.08995711502465209,,-0.3647847991121625,,falling,-214770.0,20.0,4.0,8.0,5.0,0.0,5.0,1.01100716115013,55.84587340119227,137.13871084773692,0.0021739499824438148,0.01039537072114578,1.6344593749999998,,-0.3647847991121625,,0.0,3.0,falling,-214770.0,0.0014703124999999595,0.08995711502465209,5.039999999999963,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,Sell,42,not_in_gap_or_already_strong,42.0
FUSDT,Buy,40,0.020752,0.02090141,0.02012944,Bearish,2025-09-14T14:08:12.576148+00:00,2025-09-14T19:38:12.576148+05:30,Success,2,2.0,,5.04%,59.72798224495772,8.134120624592525e-05,-1.4431132848334395e-05,9.577233909425965e-05,0.02089206393600542,0.02011,0.019327936063994577,0.9104523750827639,122.38955058367428,-10.0,3.0,0.0,0.020333666100159718,0.00040749597531023314,0.020674249999999998,6.724999999999787e-05,0.32528386761308326,,6.0496870754504055,,rising,8240174.0,8.0,14.640635190353278,7.0,5.0,0.0,5.0,0.9104523750827639,59.72798224495772,122.38955058367428,9.577233909425965e-05,0.00040749597531023314,0.020674249999999998,,6.0496870754504055,,3.0,0.0,rising,8240174.0,6.724999999999787e-05,0.32528386761308326,5.039999999999963,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,,,,,Buy,40,not_in_gap_or_already_strong,40.0
BNBUSDT,Sell,41,929.79,923.095512,957.6837,Bearish,2025-09-14T14:08:15.421853+00:00,2025-09-14T19:38:15.421853+05:30,Inconclusive,600,,,5.04%,32.73136569078076,-1.4012463307520875,-1.101384982387168,-0.2998613483649195,936.9385723278533,932.8195,928.7004276721466,0.13225943138769816,-123.83192106212809,-10.0,0.0,3.0,934.2985283430669,1.6914724930770184,929.808125,-0.6185937500000591,-0.06652918310431619,,-27.65708727355822,,falling,-11365.960000000001,8.0,8.25467892041587,15.0,5.0,0.0,5.0,0.13225943138769816,32.73136569078076,-123.83192106212809,-0.2998613483649195,1.6914724930770184,929.808125,,-27.65708727355822,,0.0,3.0,falling,-11365.960000000001,-0.6185937500000591,-0.06652918310431619,5.039999999999984,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.75}]}",False,,,,,Sell,41,not_in_gap_or_already_strong,41.0
OPENUSDT,Sell,41,0.9948,0.98763744,1.024644,Bearish,2025-09-14T14:08:19.297311+00:00,2025-09-14T19:38:19.297311+05:30,Success,9,9.0,,5.04%,49.08316124023997,-0.004849315578786095,-0.007324506457074483,0.0024751908782883877,0.9970316686257861,0.9878899999999999,0.9787483313742138,0.8779397549211568,104.69483568075212,-10.0,0.0,3.0,1.0092981321659502,0.00948682085857489,0.9912015624999999,0.00022343749999997886,0.02254208512710843,,-18.454969875647397,,rising,5621258.0,12.0,4.0,15.0,5.0,0.0,5.0,0.8779397549211568,49.08316124023997,104.69483568075212,0.0024751908782883877,0.00948682085857489,0.9912015624999999,,-18.454969875647397,,0.0,3.0,rising,5621258.0,0.00022343749999997886,0.02254208512710843,5.040000000000028,,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 28.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,Sell,41,not_in_gap_or_already_strong,41.0
UBUSDT,Sell,40,0.037965,0.03769165,0.03910395,Bearish,2025-09-14T14:08:22.145889+00:00,2025-09-14T19:38:22.145889+05:30,Success,17,17.0,,5.04%,33.15357959230555,-0.0006318799039628023,-0.0005153407054855828,-0.0001165391984772195,0.04115999063151983,0.039159650000000004,0.03715930936848018,0.20138835826867896,-101.31281351477686,-10.0,0.0,3.0,0.04047794388467856,0.0008485612821649696,0.038967687499999994,-0.0005112500000000048,-1.3119844486537848,,-25.971320943182548,,falling,-43488525.0,8.0,7.296097550335218,15.0,5.0,0.0,5.0,0.20138835826867896,33.15357959230555,-101.31281351477686,-0.0001165391984772195,0.0008485612821649696,0.038967687499999994,,-25.971320943182548,,0.0,3.0,falling,-43488525.0,-0.0005112500000000048,-1.3119844486537848,5.039999999999994,,,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.7}]}",False,,,,,Sell,40,not_in_gap_or_already_strong,40.0
BIOUSDT,Buy,43,0.18359,0.18491185,0.1780823,Bearish,2025-09-14T14:08:23.093548+00:00,2025-09-14T19:38:23.093548+05:30,Success,2,2.0,,5.04%,61.56985195928984,0.0002475959595176491,-0.00013171051300148322,0.0003793064725191324,0.1837237418260181,0.180589,0.1774542581739819,0.9786678084765927,150.50745989429768,-10.0,3.0,0.0,0.18048208910325134,0.0022070006698004583,0.17999421875000002,0.0004757812500000014,0.2643314064774657,,3.2795162135855738,,falling,-34657001.0,8.0,13.124763288487012,7.0,10.0,0.0,5.0,0.9786678084765927,61.56985195928984,150.50745989429768,0.0003793064725191324,0.0022070006698004583,0.17999421875000002,,3.2795162135855738,,3.0,0.0,falling,-34657001.0,0.0004757812500000014,0.2643314064774657,5.0399999999999485,,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,,,,,Buy,43,not_in_gap_or_already_strong,43.0
QUSDT,Sell,42,0.029422,0.02921016,0.03030466,Bearish,2025-09-14T14:08:25.144739+00:00,2025-09-14T19:38:25.144739+05:30,Fail,8,,8.0,5.04%,38.786224043783896,-0.0005376729014073163,-0.0003318861789744308,-0.0002057867224328855,0.03310162164445253,0.030937400000000004,0.028773178355547477,0.14989722658851165,-112.4392943048685,-10.0,0.0,3.0,0.030652034217311417,0.0009932607431885419,0.029624093749999993,-4.1875000000000245e-05,-0.14135453510708745,,-16.923880087612815,,falling,-414829620.0,8.0,8.972391562093327,15.0,5.0,0.0,5.0,0.14989722658851165,38.786224043783896,-112.4392943048685,-0.0002057867224328855,0.0009932607431885419,0.029624093749999993,,-16.923880087612815,,0.0,3.0,falling,-414829620.0,-4.1875000000000245e-05,-0.14135453510708745,5.040000000000019,,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.03}]}",False,,,,,Sell,42,not_in_gap_or_already_strong,42.0
MUSDT,Sell,45,2.5711,2.55258808,2.648233,Bearish,2025-09-14T14:08:39.813378+00:00,2025-09-14T19:38:39.813378+05:30,Success,9,9.0,,5.04%,70.0941217840891,0.006398892386334953,-0.0009355978275783364,0.00733449021391329,2.5576415361593585,2.517405,2.4771684638406417,1.1672418295071256,304.76900149031246,-10.0,3.0,0.0,2.522733994656367,0.021158069900139617,2.5218421875,0.006062500000000082,0.24039965823595302,,10.747502595709225,,rising,925019.0,32.0,0.0,8.0,0.0,0.0,5.0,1.1672418295071256,70.0941217840891,304.76900149031246,0.00733449021391329,0.021158069900139617,2.5218421875,,10.747502595709225,,3.0,0.0,rising,925019.0,0.006062500000000082,0.24039965823595302,5.039999999999973,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0
BTRUSDT,Sell,45,0.16977,0.16854766,0.1748631,Bearish,2025-09-14T14:08:45.831348+00:00,2025-09-14T19:38:45.831348+05:30,Success,2,2.0,,5.04%,81.93435365388686,0.012238903959636727,0.010476186744101468,0.0017627172155352585,0.16910096494839283,0.1439165,0.11873203505160718,1.0132826933782024,199.2751626904688,-10.0,3.0,0.0,0.12821120622283622,0.007350160270456206,0.15531499999999998,0.002185624999999969,1.4072208093229688,,57.209808834952014,,rising,254242033.0,32.0,0.0,8.0,0.0,0.0,5.0,1.0132826933782024,81.93435365388686,199.2751626904688,0.0017627172155352585,0.007350160270456206,0.15531499999999998,,57.209808834952014,,3.0,0.0,rising,254242033.0,0.002185624999999969,1.4072208093229688,5.039999999999943,,,"{""if_confidence_needed"": 65, ""missing_points"": 20, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,,,,,Sell,45,not_in_gap_or_already_strong,45.0
YGGUSDT,Sell,49,0.2289,0.22725192,0.235767,Bearish,2025-09-14T14:08:47.729260+00:00,2025-09-14T19:38:47.729260+05:30,Fail,146,,146.0,5.04%,58.33971828183404,-0.0002680384184979012,-0.0009960749534465982,0.0007280365349486969,0.22865359795993498,0.22589,0.22312640204006504,1.0445799359453158,170.78189300411586,-10.0,0.0,3.0,0.22981643871314716,0.0020103143147148354,0.2262671875,0.00015624999999999667,0.06905552754970125,,-4.593534302802024,,rising,17743803.0,20.0,4.0,15.0,5.0,0.0,5.0,1.0445799359453158,58.33971828183404,170.78189300411586,0.0007280365349486969,0.0020103143147148354,0.2262671875,,-4.593534302802024,,0.0,3.0,rising,17743803.0,0.00015624999999999667,0.06905552754970125,5.0399999999999885,,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",False,,,,,Sell,49,not_in_gap_or_already_strong,49.0
