Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,would_be_strong_if,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__estimated_profit_margin_pct
BTCUSDT,Buy,53,110919.6,111718.22112,110032.2432,Bullish,2025-09-06T08:53:28.248594+00:00,2025-09-06T14:23:28.248594+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 12, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",Inconclusive,300,,,5.04%,71.95621955839526,15.59868126321376,110885.67488749912,110789.39499999999,110693.11511250086,1.1761796434442033,250.6406246134039,10.0,3.0,0.0,110785.04725607207,31.24412601319978,110800.12812499999,,20.72395487104803,,rising,176.20000000001164,1.1761796434442033,71.95621955839526,250.6406246134039,15.59868126321376,31.24412601319978,110800.12812499999,,20.72395487104803,,3.0,0.0,rising,5.039999999999976
SOLUSDT,Buy,42,203.42,204.884624,201.79264,Bullish,2025-09-06T08:53:29.222406+00:00,2025-09-06T14:23:29.222406+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",Fail,277,,277.0,5.04%,62.98384051110546,0.05545495397131209,203.46068992230397,202.9845,202.50831007769602,0.9572755318853549,139.52278785513187,10.0,0.0,3.0,202.96751294361584,0.24972365361934962,203.07000000000002,,15.81312053761143,,rising,0.6699999999999875,0.9572755318853549,62.98384051110546,139.52278785513187,0.05545495397131209,0.24972365361934962,203.07000000000002,,15.81312053761143,,0.0,3.0,rising,5.039999999999954
WLFIUSDT,Buy,44,0.189,0.19123464,0.18676536,Bullish,2025-09-06T08:53:31.117631+00:00,2025-09-06T14:23:31.117631+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.83}]}",Success,32,32.0,,8.28%,67.6129918556451,0.0001122674550807244,0.18955065492155454,0.18638,0.18320934507844544,0.9131638517627525,129.48981926332752,10.0,3.0,0.0,0.18520693107271774,0.0012414667348266295,0.18717812500000003,,21.885681351840887,,rising,0.004299999999999998,0.9131638517627525,67.6129918556451,129.48981926332752,0.0001122674550807244,0.0012414667348266295,0.18717812500000003,,21.885681351840887,,3.0,0.0,rising,8.276444898844169
PYTHUSDT,Sell,40,0.15838,0.15685209,0.15990791,Bullish,2025-09-06T08:53:55.108072+00:00,2025-09-06T14:23:55.108072+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",Success,33,33.0,,6.75%,31.944599705063197,-0.00040184038538118984,0.16467978362572505,0.161004,0.15732821637427497,0.1430693061425188,-111.25673811563426,10.0,0.0,3.0,0.1602989405187092,0.000848838554175927,0.15813421875,,-21.593097019877046,,falling,-0.005290000000000017,0.1430693061425188,31.944599705063197,-111.25673811563426,-0.00040184038538118984,0.000848838554175927,0.15813421875,,-21.593097019877046,,0.0,3.0,falling,6.752977511438794
NMRUSDT,Buy,42,16.281,16.541496,15.95538,Bullish,2025-09-06T08:53:56.079523+00:00,2025-09-06T14:23:56.079523+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.09}]}",Success,8,8.0,,11.20%,69.04796570642762,0.047676350872245116,16.29661404956214,15.8186,15.340585950437859,0.9836677922161027,166.11869240378007,10.0,3.0,0.0,15.478778160010961,0.23327684675999283,16.001359375,,26.316490721633446,,rising,0.9869999999999983,0.9836677922161027,69.04796570642762,166.11869240378007,0.047676350872245116,0.23327684675999283,16.001359375,,26.316490721633446,,3.0,0.0,rising,11.199999999999994
PIPPINUSDT,Sell,41,0.01924,0.01893216,0.01958676,Bullish,2025-09-06T08:53:58.957786+00:00,2025-09-06T14:23:58.957786+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 20.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Success,11,11.0,,11.20%,55.533007802905736,3.648330747365912e-05,0.01921765389417174,0.019032,0.01884634610582826,1.0601821629649937,149.0384615384581,10.0,0.0,3.0,0.019375664569293332,0.00019264466772618216,0.018997656249999998,,-8.440582007935408,,falling,-0.0004900000000000009,1.0601821629649937,55.533007802905736,149.0384615384581,3.648330747365912e-05,0.00019264466772618216,0.018997656249999998,,-8.440582007935408,,0.0,3.0,falling,11.200000000000006
WLDUSDT,Sell,41,0.9055,0.8989804,0.912744,Bullish,2025-09-06T08:54:04.717340+00:00,2025-09-06T14:24:04.717340+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",Inconclusive,300,,,5.04%,36.545735694079056,-0.0005807588969783489,0.9147736272465663,0.9098500000000002,0.904926372753434,0.058252505504556316,-150.11638100419816,10.0,0.0,3.0,0.9097305942381126,0.002023855081264127,0.9068515624999999,,-12.49133034068957,,falling,-0.0048000000000000265,0.058252505504556316,36.545735694079056,-150.11638100419816,-0.0005807588969783489,0.002023855081264127,0.9068515624999999,,-12.49133034068957,,0.0,3.0,falling,5.039999999999968
EIGENUSDT,Buy,62,1.3091,1.31964808,1.29855192,Bullish,2025-09-06T08:54:05.675960+00:00,2025-09-06T14:24:05.675960+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",Fail,26,,26.0,5.64%,16.080783468494815,-0.0026696726721270264,1.352672703564874,1.334945,1.317217296435126,-0.22894382245904457,-379.2504343509511,10.0,0.0,3.0,1.3402651928379365,0.005860044012145577,1.3330343750000002,,-40.25338122334818,,falling,-0.03520000000000012,-0.22894382245904457,16.080783468494815,-379.2504343509511,-0.0026696726721270264,0.005860044012145577,1.3330343750000002,,-40.25338122334818,,0.0,3.0,falling,5.640253193265124
LDOUSDT,Buy,62,1.1601,1.16845272,1.1508192,Bullish,2025-09-06T08:54:14.257125+00:00,2025-09-06T14:24:14.257125+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 3, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 8.0}]}",Fail,88,,88.0,5.04%,26.907691128866702,-0.0004100861829669706,1.1686133382636164,1.164625,1.1606366617363837,-0.06727886414242806,-207.98303415890416,10.0,0.0,3.0,1.1674741133457678,0.0018804240768410265,1.1623703124999998,,-28.442815948813266,,falling,-0.006800000000000139,-0.06727886414242806,26.907691128866702,-207.98303415890416,-0.0004100861829669706,0.0018804240768410265,1.1623703124999998,,-28.442815948813266,,0.0,3.0,falling,5.0399999999999885
ETCUSDT,Buy,40,20.353,20.4995416,20.190176,Bullish,2025-09-06T08:54:25.713801+00:00,2025-09-06T14:24:25.713801+05:30,"{""if_confidence_needed"": 65, ""missing_points"": 25, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 34.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 16.0}]}",Fail,143,,143.0,5.04%,48.93401455307415,-0.0036991270756717865,20.399010627669515,20.3684,20.337789372330487,0.248453377593806,-110.34176653350738,10.0,3.0,0.0,20.349284794937255,0.020253262966807958,20.345015625000002,,5.783848681405063,,falling,-0.021999999999998465,0.248453377593806,48.93401455307415,-110.34176653350738,-0.0036991270756717865,0.020253262966807958,20.345015625000002,,5.783848681405063,,3.0,0.0,falling,5.039999999999967
