Regime,Total,Success,Fail,Inconclusive,WinRate,AvgConfidence
Bearish,23,7,14,2,33.33333333333333,46.91304347826087
Bullish,21,6,11,4,35.294117647058826,46.61904761904762
Neutral,581,274,201,106,57.684210526315795,46.62306368330465
