Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI<=30_and_CVD_falling,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope
OPUSDT,Sell,47,0.75,0.7446,0.7725,Bearish,2025-09-09T01:50:42.073018+00:00,2025-09-09T07:20:42.073018+05:30,Success,21,21.0,,5.04%,39.63830125974606,-0.00216357666313971,-0.00044753521996950343,-0.0017160414431702069,0.773871490426622,0.75935,0.744828509573378,0.17806334868841067,-116.40519078055411,-10.0,0.0,3.0,0.7556271912983463,0.004213927462130297,0.7497734375,-0.0019500000000000073,,-11.782466874979566,,falling,-2497088.300000001,8.0,13.77354143046032,15.0,5.0,0.0,5.0,0.17806334868841067,39.63830125974606,-116.40519078055411,-0.0017160414431702069,0.004213927462130297,0.7497734375,,-11.782466874979566,,0.0,3.0,falling,-2497088.300000001,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.23}]}",False,not_in_gap_or_already_strong,47.0,Sell,47,,,,
NMRUSDT,Strong Sell,67,16.731,16.6105368,17.23293,Bearish,2025-09-09T01:50:43.987873+00:00,2025-09-09T07:20:43.987873+05:30,Success,58,58.0,,5.04%,22.55196715513587,-0.1341083676930097,-0.09898297675403461,-0.0351253909389751,17.44637884603064,17.02675,16.60712115396936,0.14760525545662434,-111.81160763953238,-10.0,0.0,3.0,17.157433210604303,0.08339492031018417,16.688203124999998,-0.07879687500000188,,-45.32828716614654,,falling,-199439.1,8.0,14.108641862116562,15.0,5.0,12.0,5.0,0.14760525545662434,22.55196715513587,-111.81160763953238,-0.0351253909389751,0.08339492031018417,16.688203124999998,,-45.32828716614654,,0.0,3.0,falling,-199439.1,5.039999999999986,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 0, ""top_missing_components"": []}",True,,,Sell,67,1.0,59.0,67.0,-0.07879687500000188
UNIUSDT,Sell,44,9.493,9.4246504,9.77779,Bearish,2025-09-09T01:50:44.933877+00:00,2025-09-09T07:20:44.933877+05:30,Success,58,58.0,,5.04%,40.1259251525559,-0.01708337303759322,-0.008437220471012658,-0.008646152566580561,9.62435633009663,9.543899999999999,9.463443669903368,0.18367933300670072,-107.4433656957944,-10.0,0.0,3.0,9.544484486895515,0.028753983994501908,9.497468750000001,-0.015874999999999417,,-15.408885413853977,,falling,-759801.0,8.0,11.21665775558654,15.0,5.0,0.0,5.0,0.18367933300670072,40.1259251525559,-107.4433656957944,-0.008646152566580561,0.028753983994501908,9.497468750000001,,-15.408885413853977,,0.0,3.0,falling,-759801.0,5.03999999999996,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 8.78}]}",False,not_in_gap_or_already_strong,44.0,Sell,44,,,,
FILUSDT,Sell,42,2.437,2.4194536,2.51011,Bearish,2025-09-09T01:50:46.842018+00:00,2025-09-09T07:20:46.842018+05:30,Success,25,25.0,,5.04%,43.74521024386652,-0.0015044695514574435,4.507472616760319e-05,-0.0015495442776250468,2.4562912852927146,2.4447,2.4331087147072856,0.16785391759617968,-134.46768285478456,-10.0,0.0,3.0,2.44237325729582,0.007741305035804847,2.4415781249999995,-0.0025468750000001705,,-6.446211024120134,,rising,342012.5999999999,8.0,8.803978462416273,15.0,5.0,0.0,5.0,0.16785391759617968,43.74521024386652,-134.46768285478456,-0.0015495442776250468,0.007741305035804847,2.4415781249999995,,-6.446211024120134,,0.0,3.0,rising,342012.5999999999,5.0400000000000205,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.2}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
1000SHIBUSDT,Sell,42,0.012777,0.01268501,0.01316031,Bearish,2025-09-09T01:50:49.700531+00:00,2025-09-09T07:20:49.700531+05:30,Success,58,58.0,,5.04%,37.54718371196031,-2.4773090691720262e-05,-1.739766266744545e-05,-7.375428024274813e-06,0.012916065852899606,0.01283505,0.012754034147100395,0.1417367840838763,-116.42759220249908,-10.0,0.0,3.0,0.012849741117217596,3.281655389822327e-05,0.012795953125,-1.4421875000000112e-05,,-20.52343991264039,,falling,-257095891.0,8.0,9.393932377286546,15.0,5.0,0.0,5.0,0.1417367840838763,37.54718371196031,-116.42759220249908,-7.375428024274813e-06,3.281655389822327e-05,0.012795953125,,-20.52343991264039,,0.0,3.0,falling,-257095891.0,5.039999999999994,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.61}]}",False,not_in_gap_or_already_strong,42.0,Sell,42,,,,
TAOUSDT,Sell,46,341.93,339.468104,352.1879,Bearish,2025-09-09T01:50:52.561427+00:00,2025-09-09T07:20:52.561427+05:30,Success,35,35.0,,5.04%,38.59077213986308,-0.4948308640484811,0.023458768439868785,-0.5182896324883499,348.01273547594974,344.73199999999997,341.4512645240502,0.07296160867879954,-154.52636233005293,-10.0,0.0,3.0,343.6449251322965,1.3711584401630719,342.94265625,-0.5793749999999136,,-11.784629288872148,,falling,-27.58699999999925,8.0,13.07185545839694,15.0,5.0,0.0,5.0,0.07296160867879954,38.59077213986308,-154.52636233005293,-0.5182896324883499,1.3711584401630719,342.94265625,,-11.784629288872148,,0.0,3.0,falling,-27.58699999999925,5.04000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.93}]}",False,not_in_gap_or_already_strong,46.0,Sell,46,,,,
PYTHUSDT,Sell,41,0.15911,0.15796441,0.1638833,Bearish,2025-09-09T01:50:54.452481+00:00,2025-09-09T07:20:54.452481+05:30,Success,55,55.0,,5.04%,39.533801964342935,-0.00047675540296002183,-0.000351464729981611,-0.00012529067297841086,0.16192001559226044,0.160158,0.15839598440773955,0.20261330132284944,-107.53786773053228,-10.0,0.0,3.0,0.1604771267295877,0.0006794533036448546,0.15891578125000003,-0.00017609375000002259,,-21.54774094849501,,falling,-9065743.0,8.0,8.425581766033455,15.0,5.0,0.0,5.0,0.20261330132284944,39.533801964342935,-107.53786773053228,-0.00012529067297841086,0.0006794533036448546,0.15891578125000003,,-21.54774094849501,,0.0,3.0,falling,-9065743.0,5.040000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.57}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
OGUSDT,Sell,41,18.5,18.3668,19.055,Bearish,2025-09-09T01:50:55.398573+00:00,2025-09-09T07:20:55.398573+05:30,Success,45,45.0,,5.04%,36.4896623199167,-0.11119455186213045,-0.0339378864131988,-0.07725666544893164,19.626056315157435,18.9491,18.27214368484257,0.16829469646386372,-110.05856348823501,-10.0,3.0,0.0,18.769891624897536,0.19802276264011445,18.446749999999998,-0.058312499999999545,,-16.014872548127297,,falling,-185590.9,8.0,13.363367857583626,15.0,0.0,0.0,5.0,0.16829469646386372,36.4896623199167,-110.05856348823501,-0.07725666544893164,0.19802276264011445,18.446749999999998,,-16.014872548127297,,3.0,0.0,falling,-185590.9,5.0399999999999485,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,41.0,Sell,41,,,,
SAPIENUSDT,Sell,43,0.24006,0.23833157,0.2472618,Bearish,2025-09-09T01:50:58.243478+00:00,2025-09-09T07:20:58.243478+05:30,Success,11,11.0,,5.04%,42.832383715149504,-0.0005397934065718701,7.345939143023226e-05,-0.0006132527980021024,0.2486970506062668,0.243486,0.23827494939373323,0.17127550096328722,-118.59050866723616,-10.0,0.0,3.0,0.2429383533972411,0.0025880525713696347,0.24120718749999998,-0.0007931250000000334,,-4.896802899894149,,rising,1497797.0,8.0,9.686927427545047,15.0,5.0,0.0,5.0,0.17127550096328722,42.832383715149504,-118.59050866723616,-0.0006132527980021024,0.0025880525713696347,0.24120718749999998,,-4.896802899894149,,0.0,3.0,rising,1497797.0,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.31}]}",False,not_in_gap_or_already_strong,43.0,Sell,43,,,,
KAITOUSDT,Buy,41,1.4058,1.41592176,1.363626,Bearish,2025-09-09T01:51:00.137144+00:00,2025-09-09T07:21:00.137144+05:30,Fail,4,,4.0,5.04%,86.05793597129318,0.07745959252066714,0.0557755455679077,0.02168404695275944,1.4380740955384559,1.2263499999999998,1.0146259044615438,0.9237826581420112,145.9785024479372,-10.0,3.0,0.0,1.1706016546641778,0.03848704051791718,1.3661984375000003,0.03311250000000032,,68.8965509584745,,rising,36905494.5,8.0,16.0,7.0,5.0,0.0,5.0,0.9237826581420112,86.05793597129318,145.9785024479372,0.02168404695275944,0.03848704051791718,1.3661984375000003,,68.8965509584745,,3.0,0.0,rising,36905494.5,5.040000000000045,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""trend_score"", ""gap"": 8.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,
