Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,CONFL_FLAG__RSI__30___CVD_falling,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule
AVAXUSDT,Buy,49,28.868,29.0758496,28.00196,Bullish,2025-09-12T05:47:13.415157+00:00,2025-09-12T11:17:13.415157+05:30,Inconclusive,600,,,5.04%,62.14466380713848,0.021933837848401083,-0.017179501296534273,0.03911333914493535,28.896477579722774,28.68105,28.465622420277224,0.9339045173338022,163.8340463947837,10.0,3.0,0.0,28.78785168656259,0.07315864466900969,28.811874999999997,0.05321874999999565,0.18471116510118019,,8.086274038299804,,rising,264645.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9339045173338022,62.14466380713848,163.8340463947837,0.03911333914493535,0.07315864466900969,28.811874999999997,,8.086274038299804,,3.0,0.0,rising,264645.0,0.05321874999999565,0.18471116510118019,5.039999999999986,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
HYPEUSDT,Buy,49,57.329,57.7417688,55.60913,Bullish,2025-09-12T05:47:14.299231+00:00,2025-09-12T11:17:14.299231+05:30,Fail,369,,369.0,5.04%,70.61943021795335,0.15442784223934325,0.10764635760623403,0.046781484633109216,57.40372968519844,56.912099999999995,56.42047031480155,0.9239979933592936,146.66064459345546,10.0,3.0,0.0,56.820492008168145,0.15048619051087406,57.24521875,0.050312499999996874,0.08788943618107298,,32.55382952734492,,rising,120197.54,8.0,16.460854895609117,15.0,5.0,0.0,5.0,0.9239979933592936,70.61943021795335,146.66064459345546,0.046781484633109216,0.15048619051087406,57.24521875,,32.55382952734492,,3.0,0.0,rising,120197.54,0.050312499999996874,0.08788943618107298,5.040000000000025,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
BNBUSDT,Buy,43,909.23,915.776456,881.9531,Bullish,2025-09-12T05:47:15.183764+00:00,2025-09-12T11:17:15.183764+05:30,Inconclusive,600,,,5.04%,60.6068172369249,0.9814246066459873,1.000480785845796,-0.01905617919980873,910.8565297669828,908.0830000000002,905.3094702330176,0.7067762195405722,78.8049240521878,10.0,3.0,0.0,906.3980205229749,1.0901417835758447,909.175,0.035937500000045475,0.0039527593697633,,23.331154473101403,,falling,-1134.4500000000012,4.0,9.0,15.0,10.0,0.0,5.0,0.7067762195405722,60.6068172369249,78.8049240521878,-0.01905617919980873,1.0901417835758447,909.175,,23.331154473101403,,3.0,0.0,falling,-1134.4500000000012,0.035937500000045475,0.0039527593697633,5.040000000000027,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 36.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.0}]}",False,not_in_gap_or_already_strong,43.0,Buy,43,,,,,,,,,,,,,
SUIUSDT,Buy,49,3.679,3.7054888,3.56863,Bullish,2025-09-12T05:47:16.063684+00:00,2025-09-12T11:17:16.063684+05:30,Inconclusive,600,,,5.04%,63.97778108833756,0.004013375341322956,0.0019812278758844647,0.002032147465438491,3.6781000798168395,3.662365,3.6466299201831602,1.0285959840571393,181.26029037569043,10.0,3.0,0.0,3.6614461162643335,0.006503524447091524,3.6701234375,0.0024046874999998913,0.06552061643021757,,14.462848777140689,,rising,620998.2999999998,8.0,16.499247456867046,15.0,5.0,0.0,5.0,1.0285959840571393,63.97778108833756,181.26029037569043,0.002032147465438491,0.006503524447091524,3.6701234375,,14.462848777140689,,3.0,0.0,rising,620998.2999999998,0.0024046874999998913,0.06552061643021757,5.040000000000018,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
1000PEPEUSDT,Buy,49,0.0107036,0.01078067,0.01038249,Bullish,2025-09-12T05:47:18.704125+00:00,2025-09-12T11:17:18.704125+05:30,Inconclusive,600,,,5.04%,63.09175088134885,1.3310538288825724e-05,6.1188351404669385e-06,7.1917031483587855e-06,0.010704665208745063,0.010651464999999999,0.010598264791254934,0.9899886788962884,158.96032831737728,10.0,3.0,0.0,0.010653051333173881,2.4342937171805453e-05,0.010683740625,8.626562500000864e-06,0.08074477659832616,,13.97581656574785,,rising,993335936.0,8.0,16.090388244542698,15.0,5.0,0.0,5.0,0.9899886788962884,63.09175088134885,158.96032831737728,7.1917031483587855e-06,2.4342937171805453e-05,0.010683740625,,13.97581656574785,,3.0,0.0,rising,993335936.0,8.626562500000864e-06,0.08074477659832616,5.0399999999999485,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
SOMIUSDT,Buy,41,0.974,0.9810128,0.94478,Bullish,2025-09-12T05:47:21.389862+00:00,2025-09-12T11:17:21.389862+05:30,Success,15,15.0,,5.04%,35.85760337372078,-0.01173655223542902,-0.009144571805509337,-0.002591980429919684,1.0452176728580467,1.0021900000000001,0.9591623271419537,0.17242011794360287,-114.86396208237404,10.0,3.0,0.0,1.0064003500999874,0.01570950727883238,0.9855156250000001,-0.0007999999999999119,-0.08117578044487238,,-18.704214296767518,,falling,-10724759.0,18.0,0.0,8.0,10.0,0.0,5.0,0.17242011794360287,35.85760337372078,-114.86396208237404,-0.002591980429919684,0.01570950727883238,0.9855156250000001,,-18.704214296767518,,3.0,0.0,falling,-10724759.0,-0.0007999999999999119,-0.08117578044487238,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
BAKEUSDT,Buy,54,0.0978,0.09850416,0.094866,Bullish,2025-09-12T05:47:22.273605+00:00,2025-09-12T11:17:22.273605+05:30,Fail,5,,5.0,5.04%,28.007554933611615,-0.0019689476785647447,-0.0004142186467761795,-0.0015547290317885652,0.1167306683273951,0.10704,0.09734933167260489,0.023252695901328703,-163.56575667999795,10.0,0.0,3.0,0.10545889726063408,0.00283329747515039,0.1022578125,-0.002403124999999992,-2.3500649400259683,,-20.54792180230799,,falling,-165742806.0,24.0,0.0,8.0,5.0,12.0,5.0,0.023252695901328703,28.007554933611615,-163.56575667999795,-0.0015547290317885652,0.00283329747515039,0.1022578125,,-20.54792180230799,,0.0,3.0,falling,-165742806.0,-0.002403124999999992,-2.3500649400259683,5.039999999999967,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 11, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,54,1.0,-0.002403124999999992,-2.3500649400259683,,,,,,,,,,
LTCUSDT,Buy,60,116.16,116.996352,112.6752,Bullish,2025-09-12T05:47:24.044607+00:00,2025-09-12T11:17:24.044607+05:30,Inconclusive,600,,,5.04%,70.67301931972332,0.09923082936367678,0.021272986221933406,0.07795784314174337,116.00563305080139,115.569,115.13236694919861,1.1767696569410868,236.628155755245,10.0,3.0,0.0,115.6191480745295,0.18160797566536846,115.71812499999999,0.08546874999998977,0.07385943213302995,,14.597236510243631,,rising,57575.787,8.0,19.302346185771768,15.0,5.0,0.0,5.0,1.1767696569410868,70.67301931972332,236.628155755245,0.07795784314174337,0.18160797566536846,115.71812499999999,,14.597236510243631,,3.0,0.0,rising,57575.787,0.08546874999998977,0.07385943213302995,5.04000000000003,,"{""if_confidence_needed"": 65, ""missing_points"": 5, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",True,,,Buy,60,,0.08546874999998977,0.07385943213302995,52.0,60.0,False,0.858528848814314,0.07385943213302995,False,conditions_not_met,,,
FUSDT,Buy,59,0.009082,0.00914739,0.00880954,Bullish,2025-09-12T05:47:24.929354+00:00,2025-09-12T11:17:24.929354+05:30,Success,15,15.0,,5.04%,29.70367245541371,-0.00015636709145827078,-0.00014551520658793857,-1.0851884870332208e-05,0.009787293567367607,0.00939895,0.009010606432632393,0.09192062566086728,-120.37117085962964,10.0,3.0,0.0,0.009599600525277785,0.00016703014043206054,0.00920934375,-3.654687499999969e-05,-0.3968455949969257,,-29.740410457241428,,falling,-255357188.0,24.0,0.0,8.0,10.0,12.0,5.0,0.09192062566086728,29.70367245541371,-120.37117085962964,-1.0851884870332208e-05,0.00016703014043206054,0.00920934375,,-29.740410457241428,,3.0,0.0,falling,-255357188.0,-3.654687499999969e-05,-0.3968455949969257,5.040000000000029,RSI<=30 & CVD_falling,"{""if_confidence_needed"": 65, ""missing_points"": 6, ""top_missing_components"": [{""component"": ""momentum_score"", ""gap"": 20.0}, {""component"": ""confluence_bonus"", ""gap"": 18.0}, {""component"": ""base_score"", ""gap"": 16.0}]}",False,hma_not_aligned,,Buy,59,1.0,-3.654687499999969e-05,-0.3968455949969257,,,,,,,,,,
ACEUSDT,Buy,49,0.6729,0.67774488,0.652713,Bullish,2025-09-12T05:47:25.812802+00:00,2025-09-12T11:17:25.812802+05:30,Success,1,1.0,,5.04%,76.05246587020538,0.006851570555569841,0.004438008332082555,0.002413562223487286,0.6708965846091798,0.64962,0.6283434153908202,1.0470802863246176,180.10017716923124,10.0,3.0,0.0,0.645936853965277,0.00791074807644646,0.66245625,0.002820312500000033,0.4257356617889911,,35.775208741469186,,rising,1188668.9899999998,8.0,16.322378718665405,15.0,5.0,0.0,5.0,1.0470802863246176,76.05246587020538,180.10017716923124,0.002413562223487286,0.00791074807644646,0.66245625,,35.775208741469186,,3.0,0.0,rising,1188668.9899999998,0.002820312500000033,0.4257356617889911,5.040000000000053,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
