SourceFile,Coin,Signal,Confidence,Outcome,Duration(min),Did_TP_Hit,Buy_Score,Sell_Score,Num_Confluence_Buy,Num_Confluence_Sell,Regime,Estimated_Profit,DeservedStrongBuy,DeservedStrongSell,SignalTimeUTC,SignalTimeIST,rsi5m,williamsR,cci5m,cmf5m,stc5m,tsi5m,cvd5m,hma5m,alma5m,macd5m_macd,macd5m_signal,macd5m_hist,boll_upper,boll_middle,boll_lower,keltner_upper,keltner_middle,keltner_lower,marketTrend,RSI_buy_score,WilliamsR_buy_score,CCI_buy_score,CMF_buy_score,CVD_buy_score,HMA_buy_score,ALMA_buy_score,MACD_buy_score,RSI_sell_score,WilliamsR_sell_score,CCI_sell_score,CMF_sell_score,CVD_sell_score,HMA_sell_score,ALMA_sell_score,MACD_sell_score,Bollinger_sell_score,Keltner_sell_score,Bollinger_buy_score,Keltner_buy_score
signals_2025-09-05_12-26-39_STRONG.json,PTBUSDT,Sell,35,Success,7.0,True,30,35,,,Bullish,5.04%,0,0,2025-09-05T06:55:49.471589+00:00,2025-09-05T12:25:49.471589+05:30,58.50331454934596,-30.193905817174578,65.43897482042253,0.12197136570772894,,,falling,down,down,0.0009144543532810037,0.0009113464063543827,3.1079469266210137e-06,0.04803986916321912,0.045436500000000005,0.04283313083678089,0.0478015,0.0454365,0.0430715,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,10.0,10.0,0.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,BNXUSDT,Strong Sell,60,Inconclusive,,False,35,60,,,Bullish,5.04%,0,0,2025-09-05T06:55:50.304314+00:00,2025-09-05T12:25:50.304314+05:30,,,,,,,falling,down,down,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,,,,,0.0,0.0,0.0,0.0,,,,,15.0,10.0,10.0,0.0,15.0,10.0,15.0,10.0
signals_2025-09-05_12-26-39_STRONG.json,LINKUSDT,Sell,35,Inconclusive,,False,30,35,,,Bullish,5.04%,0,0,2025-09-05T06:55:51.140657+00:00,2025-09-05T12:25:51.140657+05:30,51.534544132623225,-66.90647482014418,-64.46789797712457,-0.25365804347192505,,,falling,up,up,0.011234275088959578,0.018917674458535084,-0.007683399369575506,22.617683229563482,22.552100000000003,22.486516770436523,22.608600000000003,22.5521,22.495599999999996,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,SOMIUSDT,Strong Sell,65,Success,0.0,True,10,65,,,Bullish,5.04%,0,0,2025-09-05T06:55:51.976708+00:00,2025-09-05T12:25:51.976708+05:30,48.05059384901967,-71.29629629629646,-111.04885003798051,-0.1736978993858687,,,falling,down,down,0.0016069490628507488,0.0031545574522639837,-0.001547608389413235,0.5725262320108498,0.561365,0.5502037679891502,0.571765,0.561365,0.550965,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,15.0,10.0,10.0,10.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,SUIUSDT,Buy,50,Success,16.0,True,50,25,,,Bullish,5.04%,0,0,2025-09-05T06:55:52.840640+00:00,2025-09-05T12:25:52.840640+05:30,64.95309311830341,-25.000000000000522,78.36724013868009,0.004148069094169525,,,falling,up,up,0.006651673454271645,0.006623141084941827,2.853236932981798e-05,3.3680715925202978,3.3505200000000004,3.332968407479703,3.3635199999999994,3.3505199999999995,3.3375199999999996,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,1000PEPEUSDT,Sell,35,Inconclusive,,False,30,35,,,Bullish,5.04%,0,0,2025-09-05T06:55:53.708285+00:00,2025-09-05T12:25:53.708285+05:30,48.520974139796905,-69.77848101265899,-65.33031033696855,-0.19550916773002153,,,falling,up,up,-1.2320354729478122e-07,2.6210927226997143e-06,-2.7442962699944955e-06,0.009575338471291937,0.009542730000000001,0.009510121528708065,0.00957088,0.00954273,0.009514579999999998,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,IDOLUSDT,Strong Buy,75,Success,2.0,True,75,35,,,Bullish,5.04%,0,0,2025-09-05T06:55:54.574393+00:00,2025-09-05T12:25:54.574393+05:30,28.963643209058773,-72.90076335877859,-122.43233222098607,0.018609075754323273,,,falling,up,up,-0.0005647931490187497,-0.0004561812905135595,-0.00010861185850519016,0.03911089852143174,0.0376365,0.03616210147856826,0.038691500000000004,0.0376365,0.0365815,10.0,25.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,15.0,0.0,0.0,10.0,,,,10.0
signals_2025-09-05_12-26-39_STRONG.json,AVAXUSDT,Sell,35,Inconclusive,,False,30,35,,,Bullish,5.04%,0,0,2025-09-05T06:55:55.453955+00:00,2025-09-05T12:25:55.453955+05:30,48.306547186073345,-76.82926829268247,-75.38628087786398,-0.14273374702220082,,,falling,up,up,0.0012927710959829142,0.013180590512039275,-0.01188781941605636,24.500670743538247,24.405450000000002,24.310229256461756,24.48545,24.405450000000002,24.325450000000004,10.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,,,,
signals_2025-09-05_12-26-39_STRONG.json,ADAUSDT,Strong Sell,75,Inconclusive,,False,50,75,,,Bullish,5.04%,0,0,2025-09-05T06:55:56.294846+00:00,2025-09-05T12:25:56.294846+05:30,64.03535577529884,-2.1276595744678843,189.8007429922376,-0.05185988784121809,,,falling,up,up,0.00023640530830870699,-5.76476783883648e-06,0.00024217007614754345,0.8186057799488125,0.8165699999999999,0.8145342200511874,0.8185699999999999,0.8165699999999999,0.8145699999999999,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,15.0,0.0,10.0,15.0,0.0,0.0,0.0,15.0,10.0,,
signals_2025-09-05_12-26-39_STRONG.json,TAKEUSDT,Strong Buy,95,Success,6.0,True,95,45,,,Bullish,5.04%,0,0,2025-09-05T06:55:57.137396+00:00,2025-09-05T12:25:57.137396+05:30,28.53710809845498,-89.14873713751173,-205.40620094191476,-0.17611688600816752,,,falling,up,up,-0.002459288698597184,-0.0018643611624741437,-0.0005949275361230404,0.15586543509946513,0.150332,0.14479856490053486,0.15525700000000003,0.15033200000000002,0.145407,10.0,25.0,15.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,15.0,0.0,0.0,10.0,,,15.0,10.0
