UTC_Time,Coin,Signal,Confidence,Estimated_Profit(%),Deserving_Strong,RSI,%B,MACD_Hist,Regime,Num_Conf,Vol_Profile_OK,Overshoot_OK,Min_Profit_OK,Price,TP,SL,Outcome,Duration(min),Did_TP_Hit_Later
2025-08-25 14:33:16,ETHUSDT,Neutral,30,5.0,False,55.109280301660576,0.6050618908528759,-0.3124933426869134,10.0,,True,False,True,4649.93,4683.143786,4616.716214,Inconclusive,,N/A
2025-08-25 14:33:16,BTCUSDT,Neutral,28,5.0,False,58.28258013575202,0.7718603982108966,62.249257939225814,10.0,,True,False,True,111898.9,112698.177857,111099.622143,Inconclusive,,N/A
2025-08-25 14:33:16,SOLUSDT,Neutral,17,5.0,False,47.15743101324067,0.37905473934758493,0.004782251305604501,10.0,,True,False,True,197.44,198.850286,196.029714,Inconclusive,,N/A
2025-08-25 14:33:16,XRPUSDT,Neutral,30,5.0,False,49.074150256782424,0.384207693908693,-0.00022391269370209332,10.0,,True,False,True,2.9503,2.971374,2.929226,Inconclusive,,N/A
2025-08-25 14:33:16,DOGEUSDT,Neutral,13,5.0,False,47.63808489532844,0.35742181298695663,-7.675524700025274e-07,10.0,,False,False,True,0.21929,0.220856,0.217724,Inconclusive,,N/A
2025-08-25 14:33:16,ADAUSDT,Neutral,11,5.0,False,50.71619536432602,0.5447962703767683,0.00044553540716529686,10.0,,False,False,True,0.8663,0.872488,0.860112,Inconclusive,,N/A
2025-08-25 14:33:16,BIOUSDT,Neutral,13,5.0,False,47.239238861396665,0.26844497500906916,-0.0004084189257930192,10.0,,False,False,True,0.23063,0.232277,0.228983,Inconclusive,,N/A
2025-08-25 14:33:16,LINKUSDT,Neutral,17,5.0,False,49.84904994507085,0.5983713557668555,0.01756387616288666,10.0,,True,False,True,24.496,24.670971,24.321029,Inconclusive,,N/A
2025-08-25 14:33:16,1000PEPEUSDT,Neutral,13,5.0,False,45.656210272349696,0.17355712151560268,-3.4062423776264084e-06,10.0,,False,False,True,0.0102,0.010272,0.010127,Inconclusive,,N/A
2025-08-25 14:33:16,SUIUSDT,Neutral,11,5.0,False,48.68111271142624,0.4138100666344067,0.00047159968562340317,10.0,,False,False,True,3.4755,3.500325,3.450675,Inconclusive,,N/A
2025-08-25 14:33:16,ENAUSDT,Neutral,19,5.0,False,49.176396438523945,0.35420029201153375,-0.0002290277498933511,10.0,,True,False,True,0.6449,0.649506,0.640294,Inconclusive,,N/A
2025-08-25 14:33:16,BNBUSDT,Buy,47,5.0,False,64.33401043853075,0.8433030743340794,0.5247537490118803,10.0,1.0,True,False,True,867.08,873.273429,860.886571,Fail,283.0,No
