Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,CONFL_FLAG__RSI__30___CVD_falling
1000SHIBUSDT,Sell,47,0.013933,0.01383268,0.01435099,Bearish,2025-09-14T06:37:53.225475+00:00,2025-09-14T12:07:53.225475+05:30,Success,295,295.0,,5.04%,32.49513249703786,-1.80164231046772e-05,-1.1496937787259573e-05,-6.519485317417628e-06,0.014059757021311592,0.013996450000000002,0.013933142978688412,-0.0011292482686037547,-150.0372048975161,-10.0,0.0,3.0,0.014023842310272107,3.0480771241199752e-05,0.013971531249999999,-1.7937500000000592e-05,-0.12838607078233172,,-16.51203474729234,,falling,-118504821.0,8.0,14.133323116395802,15.0,5.0,0.0,5.0,-0.0011292482686037547,32.49513249703786,-150.0372048975161,-6.519485317417628e-06,3.0480771241199752e-05,0.013971531249999999,,-16.51203474729234,,0.0,3.0,falling,-118504821.0,-1.7937500000000592e-05,-0.12838607078233172,5.040000000000008,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.87}]}",False,,,,,,,,,,Sell,47,not_in_gap_or_already_strong,47.0,
1000BONKUSDT,Sell,48,0.025389,0.0252062,0.02615067,Bearish,2025-09-14T06:37:54.418437+00:00,2025-09-14T12:07:54.418437+05:30,Success,295,295.0,,5.04%,37.03314823871012,-2.0673368230892525e-05,-6.043758377153109e-07,-2.0068992393177216e-05,0.02569812794661921,0.025535199999999997,0.025372272053380784,0.051335412267578345,-137.57727212942842,-10.0,0.0,3.0,0.025556797643464274,7.68019220983811e-05,0.025487828124999997,-4.639062500000346e-05,-0.1820108985845708,,-6.855849590612078,,falling,-3535151.0,8.0,15.271403166437235,15.0,5.0,0.0,5.0,0.051335412267578345,37.03314823871012,-137.57727212942842,-2.0068992393177216e-05,7.68019220983811e-05,0.025487828124999997,,-6.855849590612078,,0.0,3.0,falling,-3535151.0,-4.639062500000346e-05,-0.1820108985845708,5.040000000000017,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Sell,48,not_in_gap_or_already_strong,48.0,
AAVEUSDT,Sell,42,310.16,307.926848,319.4648,Bearish,2025-09-14T06:37:57.906340+00:00,2025-09-14T12:07:57.906340+05:30,Success,295,295.0,,5.04%,32.404910089927384,-0.2940716782410959,-0.1720180337066489,-0.12205364453444703,312.5338706216704,311.4765,310.41912937832956,-0.1225347919730176,-207.29572533740284,-10.0,0.0,3.0,311.8785896361906,0.5673848612182124,311.24843749999997,-0.26734374999995225,-0.0858940054919801,,-14.189229671080714,,falling,-1588.3000000000002,8.0,9.162787499365699,15.0,5.0,0.0,5.0,-0.1225347919730176,32.404910089927384,-207.29572533740284,-0.12205364453444703,0.5673848612182124,311.24843749999997,,-14.189229671080714,,0.0,3.0,falling,-1588.3000000000002,-0.26734374999995225,-0.0858940054919801,5.04000000000004,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 10.84}]}",False,,,,,,,,,,Sell,42,not_in_gap_or_already_strong,42.0,
ARBUSDT,Sell,43,0.5329,0.52906312,0.548887,Bearish,2025-09-14T06:38:01.388515+00:00,2025-09-14T12:08:01.388515+05:30,Success,89,89.0,,5.04%,37.52146965992793,-0.0001499035556496997,0.00022536731938278676,-0.0003752708750324865,0.5382042104026138,0.535685,0.5331657895973861,-0.052752560308247654,-178.26786124510875,-10.0,0.0,3.0,0.5355156243790199,0.001387390237196985,0.5354609375,-0.0005828125000000295,-0.10884314040182054,,-2.4864449379281757,,rising,829227.1999999996,8.0,10.491685438825034,15.0,5.0,0.0,5.0,-0.052752560308247654,37.52146965992793,-178.26786124510875,-0.0003752708750324865,0.001387390237196985,0.5354609375,,-2.4864449379281757,,0.0,3.0,rising,829227.1999999996,-0.0005828125000000295,-0.10884314040182054,5.040000000000056,,"{""if_confidence_needed"": 65, ""missing_points"": 22, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.51}]}",False,,,,,,,,,,Sell,43,not_in_gap_or_already_strong,43.0,
ONDOUSDT,Sell,47,1.065,1.057332,1.09695,Bearish,2025-09-14T06:38:02.559981+00:00,2025-09-14T12:08:02.559981+05:30,Success,294,294.0,,5.04%,36.091889584703175,-0.0007610979433336773,-0.00018682950435776102,-0.0005742684389759163,1.074865337367038,1.06991,1.0649546626329618,0.00457459943491749,-146.0021935104225,-10.0,0.0,3.0,1.0710114963345103,0.0025093562160131795,1.0687765625,-0.0012234374999999797,-0.11447083917504783,,-8.156680132770465,,rising,615922.7,8.0,14.492421700622199,15.0,5.0,0.0,5.0,0.00457459943491749,36.091889584703175,-146.0021935104225,-0.0005742684389759163,0.0025093562160131795,1.0687765625,,-8.156680132770465,,0.0,3.0,rising,615922.7,-0.0012234374999999797,-0.11447083917504783,5.040000000000005,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.51}]}",False,,,,,,,,,,Sell,47,not_in_gap_or_already_strong,47.0,
ETHFIUSDT,Sell,41,1.5321,1.52106888,1.578063,Bearish,2025-09-14T06:38:06.032189+00:00,2025-09-14T12:08:06.032189+05:30,Success,70,70.0,,5.04%,39.63513166534281,-0.0035202478402958093,-0.0022074133691594023,-0.001312834471136407,1.5569032203514317,1.5435,1.5300967796485685,0.07472906879493176,-156.1538128061719,-10.0,0.0,3.0,1.546428824166642,0.007080852546056353,1.5364906249999999,-0.0028703125000002494,-0.18680963315348895,,-11.793265278321883,,falling,-232763.50000000003,8.0,8.449750521188584,15.0,5.0,0.0,5.0,0.07472906879493176,39.63513166534281,-156.1538128061719,-0.001312834471136407,0.007080852546056353,1.5364906249999999,,-11.793265278321883,,0.0,3.0,falling,-232763.50000000003,-0.0028703125000002494,-0.18680963315348895,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.55}]}",False,,,,,,,,,,Sell,41,not_in_gap_or_already_strong,41.0,
MUSDT,Sell,41,2.477,2.4591656,2.55131,Bearish,2025-09-14T06:38:07.175128+00:00,2025-09-14T12:08:07.175128+05:30,Success,164,164.0,,5.04%,43.47145071429705,-0.0025003798638136843,0.005383474181571297,-0.007883854045384981,2.5559474120252372,2.51022,2.4644925879747626,0.13676054986814434,-172.16740387887,-10.0,3.0,0.0,2.4825007992397796,0.02150352507558233,2.48173125,-0.006173437499999768,-0.24875527920276488,,-2.8743111876935226,,falling,-535489.0,8.0,12.799138579566845,15.0,0.0,0.0,5.0,0.13676054986814434,43.47145071429705,-172.16740387887,-0.007883854045384981,0.02150352507558233,2.48173125,,-2.8743111876935226,,3.0,0.0,falling,-535489.0,-0.006173437499999768,-0.24875527920276488,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,,,,,,,,,,Sell,41,not_in_gap_or_already_strong,41.0,
XLMUSDT,Sell,48,0.39719,0.39433023,0.4091057,Bearish,2025-09-14T06:38:09.535970+00:00,2025-09-14T12:08:09.535970+05:30,Success,280,280.0,,5.04%,35.130331856367505,-0.000358933165364006,-0.00014536622214945198,-0.000213566943214554,0.4006612102079353,0.39887649999999997,0.3970917897920646,0.027514329076705698,-136.39934509519088,-10.0,0.0,3.0,0.3993161793441281,0.0009080886941692413,0.39822718749999997,-0.0005089062500000519,-0.12779294482500694,,-11.861864154437923,,falling,-9873849.0,8.0,14.644389881803805,15.0,5.0,0.0,5.0,0.027514329076705698,35.130331856367505,-136.39934509519088,-0.000213566943214554,0.0009080886941692413,0.39822718749999997,,-11.861864154437923,,0.0,3.0,falling,-9873849.0,-0.0005089062500000519,-0.12779294482500694,5.039999999999973,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.36}]}",False,,,,,,,,,,Sell,48,not_in_gap_or_already_strong,48.0,
PNUTUSDT,Sell,44,0.2551,0.25326328,0.262753,Bearish,2025-09-14T06:38:10.708299+00:00,2025-09-14T12:08:10.708299+05:30,Success,74,74.0,,5.04%,33.378202207096294,-0.0007254072635942688,-0.000643873166351864,-8.153409724240474e-05,0.2584444159690304,0.256874,0.2553035840309696,-0.06481850509177205,-194.77552642034425,-10.0,0.0,3.0,0.2582480159892301,0.0010060344411648371,0.25623171875,-0.00041890625000001736,-0.16348727317742248,,-20.08336500154798,,rising,1922449.0,8.0,10.945080857820345,15.0,5.0,0.0,5.0,-0.06481850509177205,33.378202207096294,-194.77552642034425,-8.153409724240474e-05,0.0010060344411648371,0.25623171875,,-20.08336500154798,,0.0,3.0,rising,1922449.0,-0.00041890625000001736,-0.16348727317742248,5.040000000000038,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 9.05}]}",False,,,,,,,,,,Sell,44,not_in_gap_or_already_strong,44.0,
HBARUSDT,Sell,48,0.24333,0.24157802,0.2506299,Bearish,2025-09-14T06:38:11.862739+00:00,2025-09-14T12:08:11.862739+05:30,Success,294,294.0,,5.04%,37.536760739377534,-0.00011315201719880319,8.479880277948327e-06,-0.00012163189747675151,0.2453609785572934,0.24428100000000003,0.24320102144270664,0.059713480616038664,-126.82430714467212,-10.0,0.0,3.0,0.2444570117107141,0.00048052974256889585,0.24414765625,-0.0003040624999999797,-0.12454041323609048,,-5.853400365480578,,rising,659700.0,8.0,15.074890440363328,15.0,5.0,0.0,5.0,0.059713480616038664,37.536760739377534,-126.82430714467212,-0.00012163189747675151,0.00048052974256889585,0.24414765625,,-5.853400365480578,,0.0,3.0,rising,659700.0,-0.0003040624999999797,-0.12454041323609048,5.039999999999967,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,,,,,,,,,,Sell,48,not_in_gap_or_already_strong,48.0,
