Coin,Signal,Confidence,Price,TP,SL,Regime,signal_time_utc,signal_time_ist,Outcome,Duration_min,Time_to_TP_min,Time_to_SL_min,Estimated_profit,IND__rsi5m,IND__macd5m__macd,IND__macd5m__signal,IND__macd5m__histogram,IND__boll5m__upper,IND__boll5m__middle,IND__boll5m__lower,IND__boll5m__percent_b,IND__cci5m,IND__marketTrend,IND__volProfile__bullish_score,IND__volProfile__bearish_score,IND__ema50_5m,IND__atr5m,IND__hma5m,IND__hma_slope,IND__hma_slope_pct,IND__alma5m,IND__tsi5m,IND__stc5m,IND__cvd5m__trend,IND__cvd5m__value,COMP__base_score,COMP__momentum_score,COMP__trend_score,COMP__volume_score,COMP__confluence_bonus,COMP__profit_check,SCORE__percent_b,SCORE__rsi,SCORE__cci,SCORE__macd_hist,SCORE__atr,SCORE__hma,SCORE__alma,SCORE__tsi,SCORE__stc,SCORE__volProfile_bull,SCORE__volProfile_bear,SCORE__cvd_trend,SCORE__cvd_value,SCORE__hma_slope,SCORE__hma_slope_pct,SCORE__estimated_profit_margin_pct,CONFL__flags,WOULD_BE_STRONG,HMA_GATEKEEPER__applied,HMA_GATEKEEPER__reason,HMA_GATEKEEPER__confidence,ANALYSIS__engine,ANALYSIS__confidence,HMA_GATEKEEPER__before_confidence,HMA_GATEKEEPER__after_confidence,HMA_GATEKEEPER__hma_slope,HMA_GATEKEEPER__hma_slope_pct,SUPERVISOR__applied,SUPERVISOR__hist_norm,SUPERVISOR__hma_slope_pct,SUPERVISOR__cvd_support,SUPERVISOR__reason,SUPERVISOR__before_confidence,SUPERVISOR__after_confidence,SUPERVISOR__rule,CONFL_FLAG__RSI__30___CVD_falling
DOGEUSDT,Buy,48,0.29022,0.29230958,0.2815134,Bullish,2025-09-13T09:25:06.837450+00:00,2025-09-13T14:55:06.837450+05:30,Success,4,4.0,,5.04%,83.6967670852529,0.0015903057658631647,0.0010686740174734512,0.0005216317483897135,0.29026690552521683,0.28548399999999996,0.2807010944747831,0.995096544875332,167.17594590706523,5.0,3.0,0.0,0.2843344126655845,0.00117272129482419,0.28870312500000006,0.0005615625000000013,0.19451209611950032,,47.902767994881586,,rising,578065579.0,8.0,14.675308802361222,15.0,5.0,0.0,5.0,0.995096544875332,83.6967670852529,167.17594590706523,0.0005216317483897135,0.00117272129482419,0.28870312500000006,,47.902767994881586,,3.0,0.0,rising,578065579.0,0.0005615625000000013,0.19451209611950032,5.039999999999947,,"{""if_confidence_needed"": 65, ""missing_points"": 17, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.32}]}",False,not_in_gap_or_already_strong,48.0,Buy,48,,,,,,,,,,,,,
HIFIUSDT,Buy,41,0.53412,0.53796566,0.5180964,Bullish,2025-09-13T09:25:09.214045+00:00,2025-09-13T14:55:09.214045+05:30,Success,1,1.0,,5.04%,39.50083516420639,-0.007400026899778922,-0.0051902924219829226,-0.0022097344777959995,0.5875499516359218,0.556699,0.5258480483640783,0.134063151982161,-142.35923397030342,5.0,3.0,0.0,0.5566036019051024,0.02058870582129603,0.5446675,-0.0032250000000000334,-0.5921043572454816,,-10.597544309465334,,falling,-69810437.0,18.0,0.0,8.0,10.0,0.0,5.0,0.134063151982161,39.50083516420639,-142.35923397030342,-0.0022097344777959995,0.02058870582129603,0.5446675,,-10.597544309465334,,3.0,0.0,falling,-69810437.0,-0.0032250000000000334,-0.5921043572454816,5.039999999999962,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""base_score"", ""gap"": 22.0}, {""component"": ""momentum_score"", ""gap"": 20.0}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
XRPUSDT,Buy,46,3.162,3.1847664,3.06714,Bullish,2025-09-13T09:25:11.580631+00:00,2025-09-13T14:55:11.580631+05:30,Success,56,56.0,,5.04%,78.29522404955512,0.012826365258135297,0.009904600778057333,0.002921764480077964,3.1738298610966833,3.135205,3.0965801389033167,0.8468620888102144,106.92774078123189,5.0,3.0,0.0,3.1260908770552995,0.007676569468155833,3.1651984375,0.0038031250000001293,0.12015439395338476,,53.51280169100418,,rising,39475679.4,8.0,13.134594275835667,15.0,5.0,0.0,5.0,0.8468620888102144,78.29522404955512,106.92774078123189,0.002921764480077964,0.007676569468155833,3.1651984375,,53.51280169100418,,3.0,0.0,rising,39475679.4,0.0038031250000001293,0.12015439395338476,5.040000000000017,,"{""if_confidence_needed"": 65, ""missing_points"": 19, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 6.87}]}",False,not_in_gap_or_already_strong,46.0,Buy,46,,,,,,,,,,,,,
1000PEPEUSDT,Buy,41,0.0124026,0.0124919,0.01203052,Bullish,2025-09-13T09:25:12.795228+00:00,2025-09-13T14:55:12.795228+05:30,Success,5,5.0,,5.04%,65.11510284029939,6.448619604064627e-05,5.495778412977204e-05,9.528411910874232e-06,0.012454325648928637,0.0122782,0.012102074351071362,0.8531569670763983,124.41097992439448,5.0,3.0,0.0,0.012196372261870403,6.344173278012818e-05,0.012392006249999999,1.055312499999815e-05,0.08516074626736209,,26.818920775949028,,rising,4004503213.0,8.0,7.6045970978367015,15.0,5.0,0.0,5.0,0.8531569670763983,65.11510284029939,124.41097992439448,9.528411910874232e-06,6.344173278012818e-05,0.012392006249999999,,26.818920775949028,,3.0,0.0,rising,4004503213.0,1.055312499999815e-05,0.08516074626736209,5.040000000000023,,"{""if_confidence_needed"": 65, ""missing_points"": 24, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 12.4}]}",False,not_in_gap_or_already_strong,41.0,Buy,41,,,,,,,,,,,,,
SUIUSDT,Buy,42,3.803,3.8303816,3.68891,Bullish,2025-09-13T09:25:16.387093+00:00,2025-09-13T14:55:16.387093+05:30,Success,150,150.0,,5.04%,72.781950198015,0.017622465471788473,0.015443491207253374,0.002178974264535099,3.8161234525730383,3.7704949999999995,3.7248665474269607,0.8561922240072544,126.78786510087549,5.0,3.0,0.0,3.7515492555783077,0.010734056424271794,3.7991515625,0.0023453124999996966,0.06173253320950384,,45.074518896871965,,rising,9709720.099999998,8.0,8.871912377001514,15.0,5.0,0.0,5.0,0.8561922240072544,72.781950198015,126.78786510087549,0.002178974264535099,0.010734056424271794,3.7991515625,,45.074518896871965,,3.0,0.0,rising,9709720.099999998,0.0023453124999996966,0.06173253320950384,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.13}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
ENAUSDT,Buy,44,0.7695,0.7750404,0.746415,Bullish,2025-09-13T09:25:17.593045+00:00,2025-09-13T14:55:17.593045+05:30,Success,42,42.0,,5.04%,69.45600709562684,0.001818030029962503,0.0012818165021224043,0.0005362135278400987,0.7709049441783465,0.7652950000000001,0.7596850558216536,0.8747809128146545,129.03867183616305,5.0,0.0,3.0,0.7651692106778156,0.0017459467156571418,0.7690921875000001,0.0003250000000000197,0.04225761297308974,,27.343667114580867,,rising,17006916.0,8.0,16.370857628560945,15.0,0.0,0.0,5.0,0.8747809128146545,69.45600709562684,129.03867183616305,0.0005362135278400987,0.0017459467156571418,0.7690921875000001,,27.343667114580867,,0.0,3.0,rising,17006916.0,0.0003250000000000197,0.04225761297308974,5.040000000000002,,"{""if_confidence_needed"": 65, ""missing_points"": 21, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 10.0}]}",False,not_in_gap_or_already_strong,44.0,Buy,44,,,,,,,,,,,,,
ADAUSDT,Buy,49,0.9449,0.95170328,0.916553,Bullish,2025-09-13T09:25:18.762172+00:00,2025-09-13T14:55:18.762172+05:30,Success,31,31.0,,5.04%,85.14305582542285,0.004479368828200769,0.003127964440585722,0.0013514043876150473,0.9473861773492749,0.9338600000000001,0.9203338226507254,0.9080975620429734,132.48111563044608,5.0,3.0,0.0,0.9313159203179767,0.0025525699785490692,0.9436984374999999,0.0018062499999998982,0.19140118582636717,,58.75198415799584,,rising,70029724.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9080975620429734,85.14305582542285,132.48111563044608,0.0013514043876150473,0.0025525699785490692,0.9436984374999999,,58.75198415799584,,3.0,0.0,rising,70029724.0,0.0018062499999998982,0.19140118582636717,5.039999999999976,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
LINKUSDT,Buy,47,25.595,25.779284,24.82715,Bullish,2025-09-13T09:25:21.151614+00:00,2025-09-13T14:55:21.151614+05:30,Fail,266,,266.0,5.04%,74.7998058959007,0.0949795648030971,0.08163625668999203,0.013343308113105079,25.65045830847401,25.395,25.139541691525988,0.8914533083592107,137.22417180561598,5.0,3.0,0.0,25.29117875200747,0.05895188613334139,25.526546874999998,0.007156250000001307,0.02803454002237155,,42.67527288534981,,rising,1258483.2400000005,8.0,14.43221626514515,15.0,5.0,0.0,5.0,0.8914533083592107,74.7998058959007,137.22417180561598,0.013343308113105079,0.05895188613334139,25.526546874999998,,42.67527288534981,,3.0,0.0,rising,1258483.2400000005,0.007156250000001307,0.02803454002237155,5.040000000000046,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.57}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,,
BNBUSDT,Buy,47,929.31,936.001032,901.4307,Bullish,2025-09-13T09:25:24.739395+00:00,2025-09-13T14:55:24.739395+05:30,Success,29,29.0,,5.04%,73.4850635087678,0.8207521115353984,0.5730339859692933,0.24771812556610506,929.8258319813535,927.1635,924.5011680186465,0.9031240309310832,134.53753991985215,5.0,3.0,0.0,926.8909448432087,0.589505650435494,928.98109375,0.1918749999999818,0.02065434929632892,,35.46863219065306,,rising,11563.4,8.0,14.08511964082874,15.0,5.0,0.0,5.0,0.9031240309310832,73.4850635087678,134.53753991985215,0.24771812556610506,0.589505650435494,928.98109375,,35.46863219065306,,3.0,0.0,rising,11563.4,0.1918749999999818,0.02065434929632892,5.039999999999963,,"{""if_confidence_needed"": 65, ""missing_points"": 18, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 5.91}]}",False,not_in_gap_or_already_strong,47.0,Buy,47,,,,,,,,,,,,,
MOODENGUSDT,Buy,49,0.2283,0.22994376,0.221451,Bullish,2025-09-13T09:25:28.271842+00:00,2025-09-13T14:55:28.271842+05:30,Success,1,1.0,,5.04%,77.19697627237903,0.004022347905336676,0.0021448790403754726,0.0018774688649612035,0.2297439232709687,0.215415,0.20108607672903128,0.9496150812010354,146.58744961534705,5.0,3.0,0.0,0.2138167575160512,0.0033915137817138044,0.22331890625,0.0032142187499999975,1.4392954022449667,,37.577823793100926,,rising,122051313.0,8.0,16.0,15.0,5.0,0.0,5.0,0.9496150812010354,77.19697627237903,146.58744961534705,0.0018774688649612035,0.0033915137817138044,0.22331890625,,37.577823793100926,,3.0,0.0,rising,122051313.0,0.0032142187499999975,1.4392954022449667,5.039999999999982,,"{""if_confidence_needed"": 65, ""missing_points"": 16, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""volume_score"", ""gap"": 5.0}]}",False,not_in_gap_or_already_strong,49.0,Buy,49,,,,,,,,,,,,,
HYPEUSDT,Buy,42,55.608,56.0083776,53.93976,Bullish,2025-09-13T09:25:30.666220+00:00,2025-09-13T14:55:30.666220+05:30,Success,30,30.0,,5.04%,70.8198977915353,0.10581620377563183,0.087381529216616,0.018434674559015832,55.696032894208045,55.4193,55.142567105791954,0.8409424827142779,122.47876061968998,5.0,3.0,0.0,55.34981159103464,0.09631358761097437,55.596375,0.01956249999999926,0.03518664661140094,,33.281670886023505,,rising,196144.44,8.0,8.593663265908365,15.0,5.0,0.0,5.0,0.8409424827142779,70.8198977915353,122.47876061968998,0.018434674559015832,0.09631358761097437,55.596375,,33.281670886023505,,3.0,0.0,rising,196144.44,0.01956249999999926,0.03518664661140094,5.039999999999985,,"{""if_confidence_needed"": 65, ""missing_points"": 23, ""top_missing_components"": [{""component"": ""base_score"", ""gap"": 32.0}, {""component"": ""confluence_bonus"", ""gap"": 30.0}, {""component"": ""momentum_score"", ""gap"": 11.41}]}",False,not_in_gap_or_already_strong,42.0,Buy,42,,,,,,,,,,,,,
